sampleMetadata	class	injectionOrder	sampleType	batch	KO
X20180906_501F_pos_030	Bio	30	sample	b1	Mx2
X20180906_502F_pos_048	Bio	48	sample	b1	Mx2
X20180906_503F_pos_036	Bio	36	sample	b1	Mx2
X20180906_506F_pos_057	Bio	57	sample	b1	Mx2
X20180906_508F_pos_058	Bio	58	sample	b1	Mx2
X20180906_509F_pos_051	Bio	51	sample	b1	Mx2
X20180906_513F_pos_017	Bio	17	sample	b1	Mx2
X20180906_517F_pos_040	Bio	40	sample	b1	Mx2
X20180906_518F_pos_027	Bio	27	sample	b1	Mx2
X20180906_521F_pos_065	Bio	65	sample	b1	Mx2
X20180906_527F_pos_041	Bio	41	sample	b1	Mx2
X20180906_528F_pos_064	Bio	64	sample	b1	Mx2
X20180906_529F_pos_034	Bio	34	sample	b1	Mx2
X20180906_531F_pos_019	Bio	19	sample	b1	Mx2
X20180906_616F_pos_031	Bio	31	sample	b1	CTL
X20180906_617F_pos_015	Bio	15	sample	b1	CTL
X20180906_620F_pos_055	Bio	55	sample	b1	CTL
X20180906_621F_pos_043	Bio	43	sample	b1	CTL
X20180906_622F_pos_063	Bio	63	sample	b1	CTL
X20180906_623F_pos_049	Bio	49	sample	b1	CTL
X20180906_625F_pos_037	Bio	37	sample	b1	CTL
X20180906_627F_pos_060	Bio	60	sample	b1	CTL
X20180906_628F_pos_016	Bio	16	sample	b1	CTL
X20180906_629F_pos_052	Bio	52	sample	b1	CTL
X20180906_630F_pos_029	Bio	29	sample	b1	CTL
X20180906_631F_pos_022	Bio	22	sample	b1	CTL
X20180906_632F_pos_039	Bio	39	sample	b1	CTL
X20180906_633F_pos_024	Bio	24	sample	b1	CTL
X20180906_634F_pos_047	Bio	47	sample	b1	CTL
X20180906_818F_pos_035	Bio	35	sample	b1	Lat
X20180906_819F_pos_023	Bio	23	sample	b1	Lat
X20180906_824F_pos_033	Bio	33	sample	b1	Lat
X20180906_825F_pos_042	Bio	42	sample	b1	Lat
X20180906_826F_pos_059	Bio	59	sample	b1	Lat
X20180906_827F_pos_021	Bio	21	sample	b1	Lat
X20180906_836F_pos_046	Bio	46	sample	b1	Lat
X20180906_841F_pos_061	Bio	61	sample	b1	Lat
X20180906_848F_pos_025	Bio	25	sample	b1	Lat
X20180906_849F_pos_028	Bio	28	sample	b1	Lat
X20180906_854F_pos_018	Bio	18	sample	b1	Lat
X20180906_859F_pos_053	Bio	53	sample	b1	Lat
X20180906_862F_pos_054	Bio	54	sample	b1	Lat
X20180906_Blanc.EI_pos_001	Blanc	1	blank	b1	NA
X20180906_Blanc.EI_pos_002	Blanc	2	blank	b1	NA
X20180906_Blanc.EI_067	Blanc	67	blank	b1	NA
X20180906_QC.EI_pos_020	QC	20	pool	b1	NA
X20180906_QC.EI_pos_026	QC	26	pool	b1	NA
X20180906_QC.EI_pos_032	QC	32	pool	b1	NA
X20180906_QC.EI_pos_038	QC	38	pool	b1	NA
X20180906_QC.EI_pos_044	QC	44	pool	b1	NA
X20180906_QC.EI_pos_050	QC	50	pool	b1	NA
X20180906_QC.EI_pos_056	QC	56	pool	b1	NA
X20180906_QC.EI_pos_062	QC	62	pool	b1	NA
X20180906_QC.EI_pos_066	QC	66	pool	b1	NA
X20180906_QC.EI.dil.1_pos_012	QC	12	pool1	b1	NA
X20180906_QC.EI.dil.1_pos_013	QC	13	pool1	b1	NA
X20180906_QC.EI.dil.1_pos_014	QC	14	pool1	b1	NA
X20180906_QC.EI.dil.2_pos_009	QC	9	pool2	b1	NA
X20180906_QC.EI.dil.2_pos_010	QC	10	pool2	b1	NA
X20180906_QC.EI.dil.2_pos_011	QC	11	pool2	b1	NA
X20180906_QC.EI.dil.4_pos_006	QC	6	pool4	b1	NA
X20180906_QC.EI.dil.4_pos_007	QC	7	pool4	b1	NA
X20180906_QC.EI.dil.4_pos_008	QC	8	pool4	b1	NA
X20180906_QC.EI.dil.8_pos_003	QC	3	pool8	b1	NA
X20180906_QC.EI.dil.8_pos_004	QC	4	pool8	b1	NA
X20180906_QC.EI.dil.8_pos_005	QC	5	pool8	b1	NA
