variableMetadata	namecustom	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	Bio	QC	Blanc	isotopes	adduct	pcgroup	spi_formula	spi_monoisotopic	spi_name	inchi	inchikey	pubchem	chebi	hmdb	kegg	spi_KEGGpathwaysfamily	spi_KEGGpathways	spi_subpathways	spi_annot
M85T51	M85.029T51	85.0290173213256	85.0286090198383	85.0293231489512	50.6927088793535	49.8549622656141	65.6665203516217	66	42	21	2			4													
M85T227	M85.029T227	85.029015882764	85.0286266143295	85.0291600758431	226.970873566281	223.64229321755	230.496227894242	26	21	5	0		[2M+3H]3+ 126.033 [M+H-COCH2]+ 126.033	12													
M85T117	M85.0289T117	85.0288960643657	85.0283830039527	85.0293295786315	117.32499976357	100.910731029417	130.437564719564	47	29	12	1		[M+H]+ 84.0231	41													
M85T96	M85.0653T96	85.0653276758948	85.0648643313798	85.0655361895378	96.4659810003468	94.8423225680279	98.0782429028955	48	31	16	1			48													
M85T173	M85.0655T173	85.0654604943872	85.0650516826655	85.0655963775375	172.689623284955	171.063859519006	174.029562932075	29	23	6	0			2380													
M85T229	M85.0766T229	85.0765613150188	85.0761240724886	85.0767365341558	229.321673428022	227.952411928482	239.741882372728	31	21	9	1		[M+2H]2+ 168.143	12													
M85T163	M85.0766T163	85.0765842427048	85.0761562868553	85.0766952088261	163.138366531717	160.77334256609	164.76169815662	22	10	9	3		[2M+3H]3+ 126.1	9													
M85T49	M85.0765T49	85.0765419601266	85.0762267772603	85.0768513330364	49.1975495852454	45.6337381504649	61.3667233699552	5	1	0	3			4													
M85T100_1	M85.0847T100_1	85.0846817693174	85.0842642933389	85.0849829622394	100.292689369479	99.2672147340968	112.418250516623	67	42	21	3			48													
M85T36	M85.0892T36	85.089204685185	85.0888022406988	85.0894551675448	36.3896441521657	34.9443927707851	37.3228691294216	62	42	20	0	[1][M]2+	[M+2H-C6H8O6]2+ 344.195	10													
M85T100_2	M85.216T100_2	85.2159774639116	85.2155227452422	85.2162978095809	100.397499564945	99.4774501503522	101.839813005811	14	4	7	3			1925													
M86T35	M85.5908T35	85.5908489071486	85.5904359314595	85.5910105995583	35.3009853923484	34.4416635768125	36.6596538689228	32	26	6	0	[1][M+1]2+		651													
M86T75_1	M86.0189T75_1	86.0189469307447	86.0184486903772	86.0192269614005	75.0304867182852	71.1140013099518	76.1339189595336	57	37	20	0		[2M+2Na+K]3+ 86.5541	1													
M86T48	M86.0606T48	86.06062877982	86.0602459913427	86.0608864854242	47.8526775678546	47.0148540093643	48.3552289799602	63	42	21	0			4													
M86T82	M86.0606T82	86.0606419638789	86.0602285041324	86.0609624788888	81.752786798732	66.2693941693443	82.4795163337727	63	42	19	2			55													
M86T171	M86.0607T171	86.0606650598143	86.0604386201563	86.0607705515464	170.546675489915	162.090292396246	171.916014375638	36	20	15	1			2377													
M86T101	M86.0969T101	86.0969252169044	86.0879601636592	86.0971990198509	101.087722405863	97.5608871314273	101.903704730769	65	42	20	3			48													
M86T75_2	M86.0969T75_2	86.0968758523884	86.0964325121494	86.0971752259993	74.8448081145951	74.3432808919652	75.4760453453922	63	42	21	0	[2][M]+	[M+Na]+ 63.1124	1													
