variableMetadata	namecustom	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	Bio	QC	Blanc	isotopes	adduct	pcgroup	spi_formula	spi_monoisotopic	spi_name	inchi	inchikey	pubchem	chebi	hmdb	kegg	spi_KEGGpathwaysfamily	spi_KEGGpathways	spi_subpathways	spi_annot
M75T210	M75.0088T210	75.0087747221457	75.0086799786054	75.0090660927603	209.748278007518	203.380764262379	223.58447952372	68	42	21	3	[1][M]-	[M-H]- 76.0173	6													
M75T130	M75.0088T130	75.0087811473191	75.0086918086625	75.0090679321258	130.115769202245	128.678385284326	130.886370445411	60	39	18	3	[2][M]-		14													
M75T321	M75.0088T321	75.0087634530479	75.0086660028716	75.0090331499749	321.126503371155	312.754456857333	323.314024966292	55	41	14	0			9													
M75T578	M75.0087T578	75.008730436059	75.0086278104725	75.0090118189032	577.798999742128	576.722708432027	578.747682857725	45	32	13	0			13													
M75T483	M75.0087T483	75.0087280399258	75.008636950616	75.0090045119449	482.706436836467	466.9170116113	488.333069491861	43	30	11	0		[M-H+Cl]2- 116.049	2													
M75T1198	M75.02T1198	75.0199702352361	75.0198715070396	75.0202108947933	1198.04301084093	1195.93005227058	1200.21616230901	45	27	16	2		[M-H]- 76.0312	38													
M75T492	M75.0281T492	75.0280588236602	75.0279659478716	75.0283359219891	491.964359219225	487.405282375472	495.0143769327	63	42	21	0			2													
M76T113	M75.9904T113	75.9903567527417	75.990267310648	75.9946107801336	112.830227758839	96.5233186492621	115.410933229529	64	40	21	2			35													
M76T1193	M76.004T1193	76.0040270244181	76.0039159222899	76.0042783862564	1193.34186060127	1188.90814374915	1195.2629861892	66	42	21	3			38													
M76T1032	M76.004T1032	76.0040134504469	76.0039013575015	76.0042575463835	1031.56574359315	1008.52789865435	1045.03304767259	35	15	10	3			1284													
M76T130	M76.0121T130	76.0121415151214	76.0120361705056	76.0124222486178	129.877648764091	128.678385284326	131.320450348576	65	42	20	3	[2][M+1]-		14													
M76T210	M76.0121T210	76.0121209735955	76.0120247073892	76.0124144687936	209.528094377284	203.909986051927	221.137847332508	68	42	21	3	[1][M+1]-		6													
M76T492	M76.0289T492	76.0289286299563	76.0288435489571	76.0292318239256	492.417325965932	489.122102497862	495.00599730235	46	36	10	0			2													
M77T384	M76.959T384	76.9590104010764	76.9589849225167	76.9593082782637	384.291184069376	383.334367156308	385.627939164796	5	0	2	3			998													
M77T926	M76.9701T926	76.9700874730324	76.969972879109	76.970379884369	925.584636473662	922.958621935513	928.798435420819	66	42	21	3		[M-H-H20]- 95.9901 [M-H-H20]- 95.9901	28													
M77T1190	M76.9881T1190	76.9880639166868	76.987951465731	76.9883186930444	1190.39547738887	1187.50181509761	1192.88142841014	65	41	21	3		[M+Cl]- 42.0164 [M+2Cl]2- 84.0376	38													
M77T916	M76.9825T916	76.9825248226445	76.9824137064941	76.9914462113721	916.364261218607	910.79075424226	931.148603710146	59	40	15	3		[M-H]- 77.9915 [M-H]- 77.9915	28													
M77T113	M76.9877T113	76.987681290647	76.987575040224	76.991405011085	112.836074698811	97.8814099156654	114.330747844979	44	26	16	2			35													
