variableMetadata	namecustom	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	Bio	QC	Blanc	isotopes	adduct	pcgroup	spi_formula	spi_monoisotopic	spi_name	inchi	inchikey	pubchem	chebi	hmdb	kegg	spi_KEGGpathwaysfamily	spi_KEGGpathways	spi_subpathways	spi_annot
M85T39	M85.014T39	85.0139557177541	85.0137415863908	85.0140397288954	38.5857689355953	38.1173447419286	39.0927401936579	34	26	8	0			470													
M85T53	M85.0289T53	85.0289342042714	85.0273884479281	85.0291478803297	52.5697494377991	51.3839721715281	62.9062041733782	89	42	21	0		[2M+3H]3+ 126.039 [M+H-COCH2]+ 126.039	33													
M85T80	M85.029T80	85.0289570072619	85.0286374462556	85.0291000547977	80.098123503237	78.8937893638235	83.2545086700311	34	26	8	0			2480													
M85T230	M85.0527T230	85.0527139448988	85.0523404165768	85.0530178138321	229.870434895741	228.389149734703	238.562463600477	34	27	7	0		[M+H-C2H4]+ 112.071	9													
M85T163_1	M85.0527T163_1	85.0526725610967	85.0521771899106	85.0529858445234	163.159657774383	159.017250438999	165.381910369789	31	19	11	1			12													
M85T97	M85.0654T97	85.0653693466159	85.065114108305	85.0655815435615	96.7732136424689	95.0132645060564	98.7981951415025	46	37	9	0			3192													
M85T231	M85.0765T231	85.0764906033201	85.0762024177573	85.0768328664743	230.736196650108	229.038299377047	233.597184469712	44	31	13	0		[M+H-CO]+ 112.071	9													
M85T4_1	M85.0766T4_1	85.0766051726154	85.0760930003783	85.0768915919964	4.01907387580764	1.18900408292334	17.914190616628	47	35	11	1			1844													
M85T163_2	M85.0765T163_2	85.0764689065707	85.0760715152964	85.0767386931959	163.012835503775	159.915813043987	166.931313530974	43	29	12	2		[M+H-CO2]+ 128.055	12													
M85T75	M85.0764T75	85.0764173138202	85.0761669570439	85.0766158286007	74.919271256517	61.4541441930089	77.8065526043846	24	13	11	0			1													
M85T102	M85.0847T102	85.0846796621598	85.0841386233308	85.0849194131259	101.640005894496	100.91057063001	103.181507835406	66	42	21	3			80													
M85T4_2	M85.4991T4_2	85.4991184738459	85.4986974661373	85.4993214842917	3.98329183968347	3.39762039458014	4.70691621900273	37	23	14	0			1845													
M86T75_1	M86.0189T75_1	86.0188524137236	86.0184960663277	86.019070270494	74.5416592688446	71.4446392929116	76.6662698570559	54	38	16	0			1													
M86T82	M86.0606T82	86.0606471913248	86.0600908892137	86.0608503497188	82.1493630361442	80.4981648089433	82.8984961686878	64	42	21	1	[1][M]+		2564													
M86T63	M86.0605T63	86.060505206605	86.0602387997287	86.0606703715661	63.1248119416356	61.4372481316963	65.1561797827944	44	32	12	0		[M+2H-COCH2]2+ 212.121	24													
M86T452	M86.0969T452	86.0968848409967	86.0963801561069	86.0971378059036	451.602215522238	450.369264250669	452.353344234351	66	42	21	3			41													
M86T75_2	M86.0968T75_2	86.0967662583212	86.0964710646145	86.0969968801474	74.5802657490411	61.1624736431747	75.0415300259408	64	42	21	1	[2][M]+	[M+Na]+ 63.1106	1													
M86T336	M86.0971T336	86.0970779806615	86.0967645168308	86.0973200000062	335.653041172802	332.872921866126	336.752945322509	56	42	14	0			98													
M86T103	M86.0969T103	86.0969211045983	86.0964568321602	86.097157687158	102.880806718827	99.935503063682	103.965589221015	49	32	15	2			4560													
