variableMetadata	namecustom	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	QC	Blanc	Bio	isotopes	adduct	pcgroup	spi_formula	spi_monoisotopic	spi_name	inchi	inchikey	pubchem	chebi	hmdb	kegg	spi_KEGGpathwaysfamily	spi_KEGGpathways	spi_subpathways	spi_annot
M75T211	M75.0088T211	75.0088330666525	75.0086388101534	75.0089967868801	211.022047767765	208.108183753671	227.053466927166	70	24	2	42	[1][M]-	[M-H]- 76.0137	17													
M75T324	M75.0088T324	75.0088241929317	75.0087296637546	75.0090015482764	323.722618477576	321.990298489985	325.981092497848	60	18	0	42			21													
M75T130	M75.0088T130	75.0088317009845	75.0086354601545	75.008980889042	129.527384581441	128.866948832138	130.877847449205	59	19	2	38	[2][M]-	[M+Cl]- 40.0446 [M-H]- 76.02	35													
M75T485	M75.0088T485	75.0087928437171	75.0086835681883	75.0089648573238	485.063226985087	468.97620584919	488.543779053548	57	17	0	38			3													
M75T354	M75.0088T354	75.0088439036729	75.0087401674628	75.0090097880562	353.683565767083	348.47618122131	359.2154827216	48	14	0	34			31													
M75T1198	M75.02T1198	75.0200371994596	75.0198544111084	75.0201610309311	1198.21500963612	1196.66379652767	1199.41284350533	46	13	2	31			33													
M75T493	M75.0281T493	75.0281216215489	75.0280224435756	75.028277630006	493.20124324251	490.309346424867	494.122384498951	64	22	0	42			3													
M76T1194	M76.0041T1194	76.0040778855176	76.003891711022	76.0042531194651	1193.56784262971	1190.64733144679	1196.12170946015	69	24	3	42		[M+2Cl]2- 82.0664	33													
M76T1036	M76.0041T1036	76.0040695988442	76.0038779322959	76.0042294594496	1035.53732504796	1019.84700275792	1056.06828443203	36	8	3	23		[M-2H]2- 154.015	24													
M76T211	M76.0122T211	76.0121827062972	76.0119824127613	76.0123445346901	210.784197144385	206.16639455024	214.184688193302	68	24	2	42	[1][M+1]-		17													
M76T130	M76.0122T130	76.0121830552098	76.0119827097457	76.0123383680207	129.554748508619	128.97830760597	131.016391534447	57	24	2	31	[2][M+1]-		35													
M77T929	M76.9701T929	76.970146807308	76.9699221664075	76.9703009583197	928.654472389513	922.837647683557	941.333847819483	70	24	3	42		[M-H-H20]- 95.989 [M-H-H20]- 95.989	20													
M77T556	M76.9701T556	76.9701499728288	76.9699319037058	76.9702810323085	556.140677507372	552.45721284648	569.201974023233	41	17	1	23			4													
M77T502	M76.9701T502	76.9701152579025	76.9698851817409	76.9701826871182	501.780913984761	483.91644402198	511.536409397423	9	4	3	2			140													
M77T927	M76.9826T927	76.9825854555313	76.9824711314834	76.9827314752525	926.966476023405	911.951100231607	945.136329927449	59	22	1	33		[M-H]- 77.9921 [M-H]- 77.9921	20													
M77T1190	M76.9881T1190	76.9881181253825	76.9879239539255	76.9882964048839	1189.96340286194	1185.5996185562	1193.07467350243	65	23	3	39			33													
M77T1033	M76.9881T1033	76.98811431632	76.9879284779075	76.9882454468312	1032.89931549604	1022.82698214062	1042.63796649821	44	18	2	24			350													
M77T1004	M76.9881T1004	76.9881181523155	76.9879959349837	76.9882687225946	1004.01658864747	986.297170310403	1017.75260932346	58	16	0	32			13													
M77T1119	M76.9881T1119	76.9881127123972	76.9879133310553	76.9882906167879	1119.20965793126	1098.73436656349	1146.90746172613	71	22	3	34			498													
M77T1189	M76.9993T1189	76.9993295788281	76.9991299096595	76.9995104217432	1189.30433720448	1186.10532292228	1191.39107213808	68	24	2	42		[M-H+Cl]2- 120.041	33													
M77T130	M77.0131T130	77.0130907035846	77.0128878958982	77.0132534309056	129.935917907927	128.430116870681	131.781833376385	67	24	2	41	[2][M+2]-		35													
M77T212	M77.0131T212	77.0131000623273	77.0129016686746	77.0132602567465	212.112701462516	207.750973210829	214.821612421658	68	24	2	42	[1][M+2]-		17													
M78T524	M78.0035T524	78.0035415540805	78.0034192607509	78.0037195719064	524.189008915135	523.186617053631	525.102561734031	66	24	0	42			16													
M79T362	M78.919T362	78.9189933272142	78.9187710203658	78.9191648863558	361.64122465564	353.678530482875	365.334168479923	68	24	2	42		[M-H]- 79.9263	31													
M79T87	M78.9591T87	78.9591011369669	78.9589198725993	78.9592698467913	86.9580165292366	85.8694815670348	91.8061487309698	68	24	2	42		[M-H]- 79.9666	11													
M79T596	M78.9592T596	78.9591562342001	78.9590392171175	78.9593090926324	595.695291701039	593.496139161583	596.732569753411	48	19	0	29		[M+Cl]- 43.9923	30													
M79T557	M78.9591T557	78.9591220596584	78.9589914404224	78.9592292629331	556.558694703643	553.736336449712	563.472712846377	42	20	0	22		[M+Cl]- 43.9929	4													
M79T512	M79.0114T512	79.0114123352085	79.0112767900383	79.0115766231937	512.361571157542	511.232019016481	513.625766125816	61	20	0	41		[M-2H]2- 160.04	27													
M79T1199	M79.0209T1199	79.0208774139546	79.0207812918164	79.0210970492129	1198.54596254935	1197.37072428696	1199.72403243782	52	9	1	42		[2M-3H]3- 120.041	33													
M80T603	M79.9575T603	79.9574702317608	79.9572437231974	79.9576185527885	603.187348661649	602.219660848758	603.841860753123	68	24	2	42			10													
M80T160	M79.9575T160	79.9574784268851	79.9573317072026	79.9576486878298	159.689014857995	158.186130630846	162.507744459955	66	24	0	42		[M-H-C6H10O5]- 243.027	46													
M80T467	M79.9575T467	79.9574847734699	79.9573363216007	79.9576404337238	467.036515358675	460.518956287234	483.293656348413	70	24	0	39			3													
M80T1194	M79.9813T1194	79.981285353819	79.9810680730867	79.9814598833764	1193.55646758502	1189.74514927004	1198.52076432363	60	23	2	35			33													
M80T988	M80.0119T988	80.0118871461138	80.011762806077	80.0120410724305	987.749189641415	984.950983685294	995.265062130486	55	17	0	38			13													
M80T13	M80.0119T13	80.0118796253788	80.0116814079773	80.0120515838749	12.9087502559015	6.27434116834651	35.0590345979294	63	22	2	39		[M-H-CO2]- 125.009	62													
M80T57	M80.0119T57	80.0118790691224	80.0116846377176	80.0120402921089	57.305839704326	36.7372213187371	66.5612537483054	54	19	2	33			57													
M80T1492	M80.0119T1492	80.0118765315125	80.0117583245262	80.0120654600767	1492.48168160788	1476.36985456495	1500.39448175314	57	15	1	36			785													
M80T1391	M80.0119T1391	80.0118811336431	80.0117558470967	80.0120630775059	1391.16734401771	1372.78752085197	1402.95685058734	54	18	1	33			69													
M80T1438	M80.0119T1438	80.0118750448877	80.0117623422596	80.0120725587721	1438.22787838645	1425.77809531396	1450.30658671017	46	18	1	24			819													
M80T1253	M80.0119T1253	80.0118772769586	80.0116961539868	80.012053631029	1253.27634274391	1235.77498661464	1279.40904093245	60	18	1	36			54													
M81T361	M80.9169T361	80.9169233583925	80.9167098209674	80.9170935163169	361.439395394869	354.354286824513	365.334168479923	68	24	2	42		[M-H]- 81.9232	31													
M81T154	M80.9653T154	80.9652864269185	80.9651623847879	80.9654444780628	153.510405591817	151.719337877688	156.032019174524	58	17	0	41		[M+2Cl]2- 91.9899	15													
M81T1192	M80.9653T1192	80.9652604694651	80.9650594912705	80.9653870637964	1191.8502622933	1184.69222172247	1198.07017902511	55	19	3	33		[M-H]- 81.9746	33													
M81T635	M80.9653T635	80.9652917769854	80.96516894882	80.9654181105433	634.968063426606	629.100424652565	636.991483303177	41	21	0	20			36													
M81T438	M80.9749T438	80.9749379629446	80.9748154228839	80.975120010461	438.237004005598	428.184206516966	442.22513373937	60	18	0	42			8													
M81T1012	M81.0146T1012	81.0146218025375	81.0144830612893	81.0147640951994	1012.11025841465	1008.9979709892	1014.73245265348	52	18	0	34			13													
M81T475	M81.0347T475	81.0346568480602	81.034520148951	81.0348362159256	475.343997554035	464.783676047314	482.140037421777	67	20	0	41		[M-H-CH4]- 98.0771	3													
M81T128	M81.0459T128	81.0458894099335	81.045767378505	81.0460570766367	128.257310252676	125.9891243694	130.407265179173	56	20	0	36		[M-2H]2- 164.097	35													
M81T100	M81.0459T100	81.0459063728669	81.0457784410677	81.046068252462	99.8778452380862	98.5525023463357	101.151521349152	37	19	0	18		[M+Cl]- 46.078	5													
M82T993	M81.9912T993	81.9911511392765	81.9909257548622	81.9913171228362	993.150917112413	985.086278202583	997.705029168462	67	24	1	42		[M-3H]3- 248.991 [M-3H]3- 248.991	13													
M82T159	M82.03T159	82.0299618428081	82.0298169446068	82.0301192036549	158.955608482771	157.320212180527	160.908849224029	60	18	0	42		[M-2H]2- 166.068	15													
M82T300	M82.03T300	82.0300004045521	82.0298775665778	82.0301785767505	299.542107187685	297.033741017744	302.886637708759	58	21	0	37			220													
M82T484	M82.03T484	82.0299508005275	82.0298069298789	82.0301195399456	483.995899617036	477.114773931225	498.205884719836	67	22	0	42			3													
M83T187	M82.9543T187	82.9543044691835	82.9541787263328	82.9544772327281	187.04064404421	185.965228068858	188.380028556866	66	24	0	42			19													
M83T438	M82.972T438	82.9720299694325	82.9719017138488	82.9722175722736	437.985111814083	428.184206516966	442.22513373937	60	18	0	42			8													
M83T478	M83.014T478	83.0139523052009	83.0137430665975	83.0141317071921	477.873921751211	463.158709453422	482.115381924886	75	24	2	42			3													
M83T1206	M83.0139T1206	83.0138643192908	83.0137707290248	83.0140612735082	1205.81273460636	1202.63867186744	1207.82782608696	4	1	3	0			441													
M83T1200	M83.0252T1200	83.0252059242005	83.0250064175949	83.0253889043777	1200.18201032328	1198.58977678694	1201.13261781317	67	24	3	40			33													
M83T971	M83.0252T971	83.0252137245769	83.0249975289237	83.0253820765446	971.253612507373	943.904042285076	995.660082997361	84	24	3	42		[2M-3H]3- 126.044 [M-H-COCH2]- 126.044	40													
M83T193	M83.0365T193	83.0364856270212	83.0362389038397	83.0366497545531	193.326705945927	192.24650221801	197.810433595806	50	24	2	24			619													
M83T464	M83.495T464	83.4950354553775	83.4949032043659	83.4952135544289	463.868941662674	456.749407682734	469.093398777546	66	24	0	42			3													
M84T556	M84.0092T556	84.0091754619741	84.0089906932132	84.0093467367011	555.529990053865	544.178057730886	556.974968221112	61	20	1	40			4													
M84T606	M84.0092T606	84.0091870064105	84.0090842347224	84.0093599657713	606.444456607944	603.144422510479	614.808203089826	59	17	0	42			9													
M84T487	M84.0092T487	84.0091913057583	84.0090737618861	84.0093787438692	486.62792838494	473.905517961108	505.128416624572	55	15	0	37		[M+2Cl]2- 98.0771	3													
M84T456	M84.0092T456	84.0091821603736	84.0090786814734	84.0093705964848	455.555794647324	437.912005113159	458.246116665642	45	13	0	32		[M+2Cl]2- 98.0771	3													
M84T1198	M84.0204T1198	84.02041977441	84.0202266621873	84.0206138101452	1198.35379046916	1196.36758507854	1199.76976687915	68	23	3	42		[M-H]- 85.0288	33													
M84T610	M84.0218T610	84.0217719126357	84.0216611685544	84.0219542920998	610.442583789	609.842755981273	612.08617412476	62	20	0	42			9													
M84T973	M84.0204T973	84.0204137558065	84.0202079186782	84.0206004343975	972.800823609379	959.131104154136	984.542880740802	65	23	3	38			227													
M84T1007	M84.0279T1007	84.0279461688779	84.0204275201552	84.0281096981398	1007.17129502251	1005.88268830898	1010.29342949685	59	21	0	38			13													
M85T187	M84.9514T187	84.9513806583845	84.9512727204706	84.9515542803941	186.729178006037	185.538997018266	188.380028556866	52	24	0	28			19													
M85T992	M84.9908T992	84.9908276423093	84.9906070968219	84.9909959728444	992.169213202976	985.086278202583	1015.32212108786	70	24	3	42	[3][M]-		13													
M85T1208	M84.9908T1208	84.990831590232	84.9906313554174	84.9910213238659	1208.07571435838	1204.91560567785	1214.55506275595	66	24	1	41		[M+Cl]- 50.029	33													
M85T1148	M84.9908T1148	84.990826513628	84.9906326678945	84.9910334855551	1147.57883650829	1130.71670012669	1161.68734728541	59	22	2	35		[M-H-CO2]- 129.988 [M-H-CO2]- 129.988	37													
