variableMetadata	chromato	namecustom	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	spi_formula	spi_monoisotopic	spi_name	spi_KEGGpathwaysfamily	spi_KEGGpathways	spi_subpathways	spi_annot	inchi	inchikey	pubchem	chebi	hmdb	kegg	supp_mzmin	supp_mzmax	supp_rtmin	supp_rtmax	supp_npeaks	supp_Bio	supp_QC	supp_Blanc	supp_blankMean_over_sampleMean	supp_pool_CV	supp_poolCV_over_sampleCV	supp_poolDil_cor	supp_poolDil_pval	supp_redund_samp_mean	supp_redund_is	supp_redund_repres	supp_redund_relative
M85.029T51	c18hyper	M85.029T51	85.0290173213256	50.6927088793535			4	1	@M127T51|-(C2H2O)														85.0286090198383	85.0293231489512	49.8549622656141	65.6665203516217	66	42	21	2	0.00542725450771914	0.0532446253339656	0.210486288972616	0.857316898797542	0.00036470214188411	573730.243498934	0	M145T51	
M97.0291T51	c18hyper	M97.0291T51	97.0290655272779	50.9530403475334			4	1	@M127T51|-(CH2O)														97.0286137588423	97.0292999903841	50.3164699925887	51.5142112663413	63	42	21	0	0.000145308946865071	0.0679085664081271	0.282926306819329	0.742626395885551	0.00566372043954222	293870.255998752	0	M145T51	
M145.0502T51	c18hyper	M145.0502T51	145.050230310747	51.0626429402932	[100][M]+		4	1	@M127T51|+(H2O)|@M163T51|-(H2O)														145.04953679269	145.050616328286	49.8549622656141	51.7155935099927	63	42	21	0	5.35439527651802e-07	0.103494914024288	0.512887159594188	0.978362978974875	3.60173407640012e-08	1868766.54750237	0	M145T51	M
M164.0642T51	c18hyper	M164.0642T51	164.064164943599	51.2460730171067	[140][M+1]+		4	1	@M163T51|+13C														164.063300844537	164.064563587523	48.0430330814755	52.4465553549306	63	41	21	1	0.101043172500843	0.199193587408079	0.58503639240249	0.906020882343335	4.92197797328634e-05	60180.8167971325	0	M145T51	
M102.1158T37	c18hyper	M102.1158T37	102.11578161749	36.5739929284389		[M+2H]2+ 202.214	10	2	@M85T36|+(NH3)|+NH3|@M103T36|-13Cdb														102.115300524496	102.116091197421	35.4109628310063	37.2468550564031	63	42	21	0	0.00056036443292045	0.0928005219533573	0.264351607540051	0.998280803507897	1.17932455336291e-13	578880.450343549	0	M102T37	M
M87.1002T75	c18hyper	M87.1002T75	87.1002028305066	74.9080280515802	[2][M+1]+		1	3	@M86T75_2|+13C|@M133T75_8|-(HCOOH)|-(H2O-CO)														87.0997547075171	87.1005138924586	74.3940126813602	75.4760453453922	63	42	21	0	3.29750184209077e-07	0.102016583806171	0.516978406840026	0.994383022395859	4.36208339837798e-11	3030290.66593646	0	M132T75_19	
M132.1025T75_19	c18hyper	M132.1025T75_19	132.10245955461	75.0085340052622	[83][M]+	[M+Na+HCOOH]+ 63.1124	1	3	@M86T75_2|+(HCOOH)|+(H2O-CO)|@M133T75_8|-13C|@M134T75_11|-18O|-13C2														132.101751653079	132.103142972592	71.3566334630653	75.4760453453922	66	42	21	3	0.000127242374012908	0.107090792857615	0.576117874417785	0.995276482444929	1.83719881200479e-11	755849600.662581	0	M132T75_19	M
M105.0039T40	c18hyper	M105.0039T40	105.003910473251	39.5584055692948			10	4	@M87T39_2|+(H2O)														105.00341462122	105.00421560206	39.1667200122914	40.4919353364663	63	42	21	0	9.00731008799521e-06	0.138207448817871	0.782302184055671	0.956620443843215	1.12464373412615e-06	111194.610466947	0	M105T40	M
M90.9773T43	c18hyper	M90.9773T43	90.9773006404169	43.329616085011			4	5	@M132T43|-(CH3CN)|-(C2H3N)														90.9736939300885	90.9775376112108	43.0449602491628	46.571517351146	66	42	21	3	0.124197768539184	0.0395714712627704	0.194653709082986	0.795437531905971	0.00197821605155587	815133.420097869	0	M91T43	M
M91.0148T39	c18hyper	M91.0148T39	91.0148264425887	39.1108557572839	[8][M+3]2+		10	6	@M151T40_2|-(CH3COOH)|-(C2H4O2)|-CH3COOH														91.0143853470019	91.0150490486714	38.911896295094	39.5439381890642	63	42	21	0	7.01538093692165e-06	0.0697378480897285	0.462079232526495	0.968447693694533	2.33576728006638e-07	142492.477812811	0	M94T39_2	
