variableMetadata	chromato	name	chebi_id	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	hmdb_id	pubchem_id	formula	monoisotopic_mass	inchikey	inchi	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag
M102.1158T36.57	c18hypersil													M102T37	102.11578161749	36.5744924054794		[M+2H]2+ 202.214	10	1	@M85.0892T36.4|+(NH3)|+NH3|@M102.6175T36.47|-13Cdb
M87.1002T74.9	c18hypersil													M87T75	87.1002028305066	74.9026461946048	[1][M+1]+		1	2	@M86.0969T74.86_2|+13C|@M133.1057T75.03_4|-(HCOOH)|-(H2O-CO)
M132.1025T75.01_11	c18hypersil	L-Isoleucine;Isoleucine|β-Leucine;DL-β-Leucine;3-Amino-4-methylpentanoic acid|L-Leucine;Leucine|L-Norleucine;Norleucine|6-Aminocaproic acid;6-Aminohexanoic acid	CHEBI:17191|CHEBI:72772|CHEBI:15603|CHEBI:18347|CHEBI:16586	C00407|C02486|C00123|C01933|C02378	Amino acid metabolism|Microbial Metabolism|Miscellaneous	Valine, Leucine and Isoleucine biosynthesis|Valine, Leucine and Isoleucine degradation|Microbial Metabolism|Miscellaneous	Isoleucine|Leucine|Others|Microbial Metabolism|Miscellaneous	HMDB00172|HMDB03640|HMDB00687|HMDB01645|HMDB01901	CID6306|CID193411|CID6106|CID21236|CID564	C6H13NO2	131.0946	AGPKZVBTJJNPAG-WHFBIAKZSA-N|GLUJNGJDHCTUJY-UHFFFAOYSA-N|ROHFNLRQFUQHCH-YFKPBYRVSA-N|LRQKBLKVPFOOQJ-YFKPBYRVSA-N|SLXKOJJOQWFEFD-UHFFFAOYSA-N	InChI=1S/C6H13NO2/c1-3-4(2)5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t4-,5-/m0/s1|InChI=1S/C6H13NO2/c1-4(2)5(7)3-6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)|InChI=1S/C6H13NO2/c1-4(2)3-5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t5-/m0/s1|InChI=1S/C6H13NO2/c1-2-3-4-5(7)6(8)9/h5H,2-4,7H2,1H3,(H,8,9)/t5-/m0/s1|InChI=1S/C6H13NO2/c7-5-3-1-2-4-6(8)9/h1-5,7H2,(H,8,9)	M132T75_11	132.10245955461	75.0124298070721	[70][M]+	[M+Na+HCOOH]+ 63.1096	1	2	@M86.0969T74.86_2|+(HCOOH)|+(H2O-CO)|@M133.1057T75.03_4|-13C|@M134.1065T75.09_8|-18O|-13C2
M105.0039T39.56	c18hypersil													M105T40	105.003910473251	39.5569165917096		[M+H]+ 103.999	10	3	@M86.9933T39.5|+(H2O)
M90.9773T43.33	c18hypersil													M91T43	90.9773006404169	43.3254216007768			4	4	@M132.0039T43.34|-(CH3CN)|-(C2H3N)
M93.6025T36.33	c18hypersil													M94T36	93.6025484796911	36.3250620977474	[15][M]2+	[M+2H-NH3]2+ 202.214	10	5	@M94.1042T35.01|-13Cdb
M94.0457T39.24_2	c18hypersil													M94T39_2	94.0457398292374	39.2438728811778	[16][M]2+		10	6	@M94.5465T39.16_1|-13Cdb|@M95.0444T39.29_2|-13C|-15N|@M130.0175T39.51_1|-(HCl)
M95.546T39.2	c18hypersil													M96T39	95.5460224787652	39.2043439090728	[16][M+3]2+		10	6	@M94.5465T39.16_1|+13C|+15N|@M95.0444T39.29_2|+13Cdb
M110.0094T39.51_2	c18hypersil													M110T40_2	110.009378417198	39.5139673802308	[31][M]+	[M+Na]+ 87.0249	10	6	@M111.0101T39.52_1|-13C|-15N|@M112.0069T39.52|-34S|-41K|-37Cl|@M128.02T39.56|-(H2O)|@M151.036T39.52_1|-(CH3CN)|-(C2H3N)|@M154.0368T39.53_2|-(C2H4O)
M111.0101T39.52_1	c18hypersil													M111T40_1	111.010148238834	39.5169432119798	[31][M+1]+		10	6	@M110.0094T39.51_2|+13C|+15N|@M112.0069T39.52|-15N|@M129.0207T39.54|-(H2O)|@M152.0369T39.52_2|-(CH3CN)|-(C2H3N)|@M153.0335T39.52|-(CH2N2)
M112.0069T39.52	c18hypersil													M112T40	112.006897914429	39.5192101193626	[31][M+2]+		10	6	@M110.0094T39.51_2|+34S|+41K|+37Cl|@M111.0101T39.52_1|+15N|@M130.0175T39.51_1|-(H2O)|@M153.0335T39.52|-(CH3CN)|-(C2H3N)|@M154.0368T39.53_2|-(C2H4N.)
M128.02T39.56	c18hypersil													M128T40	128.019978021773	39.5572739358533	[60][M]+	[M+Na+NH3]+ 88.0028	10	6	@M95.0444T39.29_2|+(HS.)|@M110.0094T39.51_2|+(H2O)|@M129.0207T39.54|-13C|-15N|@M130.0175T39.51_1|-34S|-41K|-37Cl|@M156.0148T39.51|-(CO)|@M225.9873T39.56|-(H2SO4)
M129.0207T39.54	c18hypersil													M129T40	129.020734290089	39.5380225549761	[60][M+1]+		10	6	@M111.0101T39.52_1|+(H2O)|@M128.02T39.56|+13C|+15N|@M130.0175T39.51_1|-15N
M151.036T39.52_1	c18hypersil													M151T40_1	151.035995546113	39.5180766656712	[98][M]+		10	6	@M110.0094T39.51_2|+(CH3CN)|+(C2H3N)|@M152.0369T39.52_2|-13C|-15N|@M153.0335T39.52|-34S|-41K|-37Cl|@M154.0368T39.53_2|-13C-37Cl|-13C-34S
M152.0369T39.52_2	c18hypersil													M152T40_2	152.036905684395	39.5220323101418	[98][M+1]+		10	6	@M111.0101T39.52_1|+(CH3CN)|+(C2H3N)|@M151.036T39.52_1|+13C|+15N|@M153.0335T39.52|-15N|@M154.0368T39.53_2|-18O|-34S|-41K|-37Cl
M153.0335T39.52	c18hypersil													M153T40	153.033508571085	39.5180766656712	[98][M+2]+		10	6	@M111.0101T39.52_1|+(CH2N2)|@M112.0069T39.52|+(CH3CN)|+(C2H3N)|@M151.036T39.52_1|+34S|+41K|+37Cl|@M152.0369T39.52_2|+15N|@M154.0368T39.53_2|-13C
M154.0368T39.53_2	c18hypersil													M154T40_2	154.036824600582	39.525425718354	[98][M+3]+		10	6	@M110.0094T39.51_2|+(C2H4O)|@M112.0069T39.52|+(C2H4N.)|@M151.036T39.52_1|+13C+37Cl|+13C+34S|@M152.0369T39.52_2|+18O|+34S|+41K|+37Cl|@M153.0335T39.52|+13C
M156.0148T39.51	c18hypersil													M156T40	156.014823626112	39.5098859253364	[101][M]+	[M+Na+HCOOH]+ 87.0249	10	6	@M128.02T39.56|+(CO)
M200.9739T39.59	c18hypersil													M201T40	200.973933698617	39.5874338982224			490	6	@M218.9846T39.66|-(H2O)|@M242.0007T39.83|-(CH3CN)|-(C2H3N)
M218.9846T39.66	c18hypersil													M219T40	218.984582132416	39.6624008672404			494	6	@M200.9739T39.59|+(H2O)|@M224.9906T39.61|-Li|@M266.0172T39.66|-(CH5NO)
M223.99T39.61	c18hypersil													M224T40	223.989996196551	39.6099873936402	[253][M]+	[M+Na]+ 201.002	10	6	@M224.9906T39.61|-13C|-15N|@M225.9873T39.56|-34S|-41K|-37Cl|@M242.0007T39.83|-(H2O)|@M265.0168T39.68|-(CH3CN)|-(C2H3N)
M224.9906T39.61	c18hypersil													M225T40	224.990581425433	39.608722643799	[253][M+1]+		495	6	@M218.9846T39.66|+Li|@M223.99T39.61|+13C|+15N|@M225.9873T39.56|-15N|@M243.0012T39.83|-(H2O)|@M266.0172T39.66|-(CH3CN)|-(C2H3N)|@M267.0143T39.61|-(CH2N2)
M225.9873T39.56	c18hypersil													M226T40	225.987309891618	39.5561399668096	[253][M+2]+		496	6	@M128.02T39.56|+(H2SO4)|@M223.99T39.61|+34S|+41K|+37Cl|@M224.9906T39.61|+15N|@M243.9982T39.72|-(H2O)|@M267.0143T39.61|-(CH3CN)|-(C2H3N)
