variableMetadata	chromato	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	name	formula	monoisotopic_mass	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	chebi_id	hmdb_id	pubchem_id	inchikey	inchi
M78.9189T349.93	hilic	M79T350	78.9189107091595	349.92696245606		[M-H-C2H4]- 107.951	4	1	@M80.9169T349.91|-34S|-41K|-37Cl												
M80.9169T349.91	hilic	M81T350	80.9168539655038	349.909042607193		[M-H]- 81.9236	4	1	@M78.9189T349.93|+34S|+41K|+37Cl												
M96.9697T551.14	hilic	M97T551	96.9696740564192	551.138954201514		[M-2H]2- 195.955	6	2	@M78.9591T551.17|+(H2O)|@M194.9466T551.35|-(H3PO4)												
M176.936T551.14	hilic	M177T551	176.936032140632	551.144238051272		[M-H-H20]- 195.955	6	2	@M194.9466T551.35|-(H2O)|@M292.9239T551.11|-(H3PO4)-(H2O)												
M196.9509T551.35	hilic	M197T551	196.950869695884	551.352758118147		[M+Cl]- 161.987	6	2	@M194.9466T551.35|+18O|+13C2|@M294.928T551.11|-(H3PO4)												
M292.9239T551.11	hilic	M293T551	292.923890475268	551.111044054978		[3M-2H]2- 195.955	6	2	@M176.936T551.14|+(H3PO4)+(H2O)|@M194.9466T551.35|+(H3PO4)|@M294.928T551.11|-18O|-13C2|@M390.9009T551.34|-(H3PO4)												
M294.928T551.11	hilic	M295T551	294.927976965647	551.113680446436			6	2	@M196.9509T551.35|+(H3PO4)|@M292.9239T551.11|+18O|+13C2|@M392.9052T551.35|-(H3PO4)												
M390.9009T551.34	hilic	M391T551	390.900930859561	551.344519237828		[2M-H]- 195.955	6	2	@M292.9239T551.11|+(H3PO4)|@M392.9052T551.35|-18O|-13C2|@M488.8779T551.43|-(H3PO4)												
M392.9052T551.35	hilic	M393T551	392.905154610542	551.352758118147			6	2	@M294.928T551.11|+(H3PO4)|@M390.9009T551.34|+18O|+13C2												
M488.8779T551.43	hilic	M489T551	488.877941169011	551.431453991881		[M-H-C6H10O5]- 651.938	6	2	@M390.9009T551.34|+(H3PO4)|@M586.8545T551.46|-(H3PO4)												
M586.8545T551.46	hilic	M587T551	586.854532374553	551.462759079834		[3M-H]- 195.955	6	2	@M488.8779T551.43|+(H3PO4)|@M684.8316T551.51|-(H3PO4)												
M684.8316T551.51	hilic	M685T552	684.831589396188	551.511322732834			6	2	@M586.8545T551.46|+(H3PO4)												
M81.9911T1000.39	hilic	M82T1000	81.9910838742923	1000.38583534534		[M-H-C3H2O3]- 168.997 [M-H-C3H2O3]- 168.997	31	3	@M100.0017T1000.42|-(H2O)|@M127.9966T1000.57|-(HCOOH)|-(H2O-CO)|@M143.0075T1000.41|-(NH3)-(CO2)|@M143.9915T1000.49|-(H2O)-(CO2)												
M100.0017T1000.42	hilic	M100T1000	100.001736467965	1000.42415311168		[M-H-COCH2]- 143.015 [M-H-CO2]- 144.999	31	3	@M81.9911T1000.39|+(H2O)|@M127.9966T1000.57|-(CO)|@M134.9733T1000.63|-Cl|-(Cl.)|@M143.0075T1000.41|-(NHCO)|@M143.9915T1000.49|-(CO2)|@M167.989T1000.49|-(HCOONa)|@M178.9631T1000.55|-(PO3)												
M127.9966T1000.57	hilic	M128T1001	127.996629457873	1000.56793459668		[M+Cl]- 93.0249 [M-H-CH2]- 143.015	31	3	@M81.9911T1000.39|+(HCOOH)|+(H2O-CO)|@M100.0017T1000.42|+(CO)												
M134.9733T1000.63	hilic	M135T1001	134.973288314692	1000.63404289345		[M-H-CO]- 163.967	31	3	@M100.0017T1000.42|+Cl|+(Cl.)|@M168.9617T1000.61_1|-(H2S)|@M178.9631T1000.55|-(CO2)												
M139.9944T1000.37	hilic	M140T1000	139.994377742671	1000.37437785674		[M-H-CO]- 168.997 [M-H-CO]- 168.997	31	3	@M122.9677T1000.49|+(NH3)|+NH3|@M143.0075T1000.41|-13C3|@M143.9915T1000.49|-44Ca|@M167.989T1000.49|-(CO)|@M183T1000.31|-(NHCO)|@M183.984T1000.39|-(CO2)												
M140.9783T1000.62	hilic	M141T1001	140.97828405867	1000.6173688797		[M+Cl]- 106.01	31	3	@M122.9677T1000.49|+(H2O)|@M162.9602T1000.49|-Na|@M184.9681T1000.74|-(CO2)												
M143.0075T1000.41	hilic	M143T1000	143.007530502031	1000.40728372684			31	3	@M81.9911T1000.39|+(NH3)+(CO2)|@M100.0017T1000.42|+(NHCO)|@M139.9944T1000.37|+13C3|@M186.9723T1000.95|-2Na|@M230.9363T1000.7_1|-4Na												
M143.9915T1000.49	hilic	M144T1000	143.991527712631	1000.48829125675		[M-H]- 144.999	31	3	@M81.9911T1000.39|+(H2O)+(CO2)|@M100.0017T1000.42|+(CO2)|@M139.9944T1000.37|+44Ca|@M165.9734T1000.33|-Na|@M178.9631T1000.55|-Cl|-(Cl.)												
M150.9625T1000.62	hilic	M151T1001	150.962516881001	1000.61645280657		[M-H-NH3]- 168.997 [M-H-NH3]- 168.997	31	3	@M167.989T1000.49|-(NH3)|-NH3|@M168.9731T1000.88_2|-(H2O)												
M162.9602T1000.49	hilic	M163T1000	162.960214947969	1000.48550678493		[M-H]- 163.967	31	3	@M140.9783T1000.62|+Na												
M165.9734T1000.33	hilic	M166T1000	165.973439037269	1000.32917547339		[M-2H+Na]- 144.999	31	3	@M122.9677T1000.49|+(NHCO)|@M143.9915T1000.49|+Na|@M167.989T1000.49|-(H2)|@M183T1000.31|-(NH3)|-NH3|@M183.984T1000.39|-(H2O)|@M226.006T1000.41|-(NH3)-(CONH)|@M226.9901T1000.43|-(NH3)-(CO2)|@M227.9741T1000.36|-(H2O)-(CO2)|@M229.9354T1000.47|-(SO2)												
M166.9575T1000.61	hilic	M167T1001	166.957480354046	1000.60601073459	[160][M]-	[M+Cl]- 131.989 [M+Cl]- 131.989	31	3	@M122.9677T1000.49|+(CO2)|@M167.9608T1000.57|-13C|@M168.9617T1000.61_1|-18O|-13C2|@M184.9681T1000.74|-(H2O)|@M188.9395T1000.58|-Na|@M227.9741T1000.36|-(NH3)-(CO2)												
M167.989T1000.49	hilic	M168T1000	167.989022403543	1000.49291271195		[M-H]- 168.997 [M-H]- 168.997	31	3	@M100.0017T1000.42|+(HCOONa)|@M139.9944T1000.37|+(CO)|@M150.9625T1000.62|+(NH3)|+NH3|@M165.9734T1000.33|+(H2)												
M168.9731T1000.88_2	hilic	M169T1001_2	168.973104619056	1000.88051281885	[165][M]-		31	3	@M150.9625T1000.62|+(H2O)|@M190.9551T1000.68_2|-Na|@M212.9631T1000.91|-(CO2)												
