variableMetadata	chromato	name	chebi_id	annot_level	annot_confidence	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag
M96.9695T1	c18acqui			4		M97T59	96.9695346795798	58.7005952843633		[M-H-C2H4]- 126.004	105	1	@M78.959T0.9|+(H2O)|@M154.9282T0.9|-(NaCl)
M156.9252T0.9	c18acqui			4		M157T55	156.925209648498	55.245166432733			105	1	@M154.9282T0.9|+34S|+41K|+37Cl|@M214.8839T0.9|-(NaCl)
M212.8868T0.9	c18acqui			NA		M213T54	212.886792406645	54.3242759528478			1520	1	@M154.9282T0.9|+(NaCl)|@M214.8839T0.9|-34S|-41K|-37Cl
M214.8839T0.9	c18acqui			NA		M215T54	214.883932798882	54.2604707675858		[M+Cl+NH3]- 162.884 [M+Cl]- 179.912	105	1	@M156.9252T0.9|+(NaCl)|@M212.8868T0.9|+34S|+41K|+37Cl
M334.9916T0.9	c18acqui			4		M335T54	334.991568755293	54.4339020099826			105	1	@M154.9282T0.9|+(C6H10O5)+(H2O)
M96.9695T1.2	c18acqui			4		M97T72	96.9695092988283	71.832428802054			8	2	@M78.959T1.2|+(H2O)
M80.9651T8.6	c18acqui			4		M81T519	80.9651229406471	518.605866484295		[M-H-CO2]- 125.961	60	3	@M79.9573T8.6|+13C|@M132.0455T8.7|-3(NH3)|@M213.0054T8.7|-(C5H8O4)|@M213.9985T8.7|-(C3H6O3)-(CHNO)
M210.9945T8.6	c18acqui			4		M211T519	210.994521805546	518.630621289623			60	3	@M212.0023T8.7|-13C|@M213.0054T8.7|-13C2|-(H2)|@M213.9985T8.7|-13C-37Cl|-13C-18O|-13C-34S
M212.0023T8.7	c18acqui			4		M212T520	212.002293157443	519.575395642256	[89][M]-		1078	3	@M79.9573T8.6|+(C5H8O4)|@M132.0455T8.7|+(SO3)|@M210.9945T8.6|+13C|@M213.0054T8.7|-13C|@M213.9985T8.7|-34S|-41K|-37Cl|@M291.959T8.7|-(SO3)
M425.0117T8.6	c18acqui			4		M425T519	425.011724743013	518.952497359201		[M-H]- 426.019	60	3	@M213.0054T8.7|+(C5H9O7P)|@M446.9938T8.7|-Na|@M462.9675T8.6|-K|@M470.0699T8.7|-(C2H7N)
M446.9938T8.7	c18acqui			4		M447T519	446.993792928942	519.164619711586		[M-2H+Na]- 426.019	60	3	@M425.0117T8.6|+Na
M462.9675T8.6	c18acqui			4		M463T518	462.967450991703	518.223241627061			1079	3	@M425.0117T8.6|+K
M470.0699T8.7	c18acqui			4		M470T519	470.0698871956	519.149747379141			60	3	@M425.0117T8.6|+(C2H7N)
M89.0243T1.2	c18acqui			4		M89T71	89.0243491336104	71.3080511060262	[2][M]-		8	4	@M90.0277T1.2|-13C
