sampleMetadata	gene	mouse_nb	sex	initial_name	class	InjOrder	SourisGenre	Genre	Type	BW	injectionOrder	sampleType	batch	pca_sco1	pca_sco2	hotel_pval	miss_pval	deci_pval
X501f	MX2	501	F	Ec57697P_501F_M_Lo_GB8_01_16921	Sample	16953	521F	F	M	Lo	51	sample	pos	34.7674361518183	15.4593192762616	0.548116484682567	1	0.401765032994527
X502m	MX2	502	M	Ec57711P_502M_M_Hi_GD6_01_16937	Sample	16952	528M	M	M	Hi	50	sample	pos	-19.030551552486	-28.0126765794841	0.530432945481763	1	0.716434316161186
X503m	MX2	503	M	Ec57702P_503M_M_Hi_GC5_01_16927	Sample	16951	622F	F	C	Lo	49	sample	pos	27.3305925982217	-3.89586813806024	0.749006927000789	1	0.27537666389772
X506m	MX2	506	M	Ec57718P_506M_M_Hi_GE5_01_16945	Sample	16950	841F	F	L	Lo	48	sample	pos	23.2188025656549	20.9082007788291	0.618785357995909	1	0.490471119427383
X508f	MX2	508	F	Ec57719P_508F_M_Lo_GE6_01_16946	Sample	16949	627M	M	C	Hi	47	sample	pos	-46.9962241401121	-34.2218035796227	0.215211008360282	1	0.399469401330783
X509f	MX2	509	F	Ec57713P_509F_M_Lo_GD8_01_16939	Sample	16948	826M	M	L	Hi	46	sample	pos	-44.9274876369841	6.94641460346659	0.459495277570291	1	0.147907029896024
X513m	MX2	513	M	Ec57686P_513M_M_Hi_GA5_01_16908	Sample	16946	508F	F	M	Lo	44	sample	pos	39.431106672175	20.2972629445059	0.433482449466873	1	0.513544484568502
X517f	MX2	517	F	Ec57705P_517F_M_Lo_GC8_01_16930	Sample	16945	506M	M	M	Hi	43	sample	pos	-71.0138542305098	32.6276861511827	0.0859600179392759	1	0.0146618594204482
X518f	MX2	518	F	Ec57694P_518F_M_Lo_GB5_01_16917	Sample	16944	620F	F	C	Lo	42	sample	pos	33.0311236984355	9.2919164149727	0.630257807490843	1	0.405248505377775
X521f	MX2	521	F	Ec57725P_521F_M_Lo_BA4_01_16953	Sample	16943	862F	F	L	Lo	41	sample	pos	28.4070568341512	3.17679308855155	0.734874504564742	1	0.176183078469271
X527m	MX2	527	M	Ec57706P_527M_M_Hi_GD1_01_16931	Sample	16942	859M	M	L	Hi	40	sample	pos	0.913309512842189	-37.3491705343927	0.413187424072696	1	0.4615823246549
