variableMetadata	chromato	name	chebi_id	annot_level	annot_confidence	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag
M61.5087T0.72_1	c18acqui			4		M62T43_1	61.5086557690867	43.1853361108618	[5][M+1]2+		14	1	@M61.0072T0.72_5|+13Cdb|@M79.5191T0.72_1|-(H2O)|@M92.5223T0.72_1|-(CH3O.)
M63.0036T0.72_3	c18acqui			4		M63T43_3	63.0036167373717	43.1737771115211	[5][M+4]2+		14	1	@M61.0072T0.72_5|+34S|+41K|+37Cl
M70.0124T0.72_3	c18acqui			4		M70T43_3	70.0124277893366	43.1790911213774	[17][M]2+	[M+H+K]2+ 100.049	14	1	@M70.5138T0.72_1|-13Cdb|@M72.0089T0.72_4|-34S|-41K|-37Cl|@M88.0232T0.72_4|-(H2O)
M70.5138T0.72_1	c18acqui			4		M71T43_1	70.5137906307791	43.1853361108618	[17][M+1]2+		14	1	@M70.0124T0.72_3|+13Cdb|@M88.5243T0.72_1|-(H2O)
M72.0089T0.72_4	c18acqui			4		M72T43_4	72.0088932760289	43.1764996346772	[17][M+4]2+		14	1	@M70.0124T0.72_3|+34S|+41K|+37Cl|@M143.9968T0.72_1|-(CO2)-(CO)
M79.0177T0.72_2	c18acqui			4		M79T43_2	79.0177267908052	43.1790911213774	[31][M]2+		14	1	@M61.0072T0.72_5|+(H2O)|@M79.5191T0.72_1|-13Cdb|@M81.0142T0.72_3|-34S|-41K|-37Cl|@M97.0286T0.72_3|-(H2O)
M81.5205T0.72_1	c18acqui			4		M82T43_1	81.5204669953997	43.1591901605617		[M+H-C2H4]+ 108.548	14	1	@M79.5191T0.72_1|+18O|+41K|+37Cl|@M81.0142T0.72_3|+13Cdb|@M83.517T0.72_1|-34S|-41K|-37Cl|@M99.5315T0.72_1|-(H2O)
M83.517T0.72_1	c18acqui			4		M84T43_1	83.5169548015343	43.1591901605617	[37][M+3]2+		14	1	@M81.5205T0.72_1|+34S|+41K|+37Cl|@M101.5281T0.72_1|-(H2O)
M84.9596T0.72_2	c18acqui			4		M85T43_2	84.9595586066561	43.1751383730992	[47][M]+	[M+K]+ 45.9958 [M+K]+ 45.9958	14	1	@M85.963T0.72_3|-13C|@M88.9525T0.72_2|-44Ca|@M102.9706T0.72_3|-(H2O)|@M125.9862T0.72_1|-(CH3CN)|-(C2H3N)|@M126.9895T0.72_1|-(C2H4N.)
M85.963T0.72_3	c18acqui			NA		M86T43_3	85.9630393690672	43.1790911213774	[47][M+1]+		14	1	@M84.9596T0.72_2|+13C|@M126.9895T0.72_1|-(CH3CN)|-(C2H3N)
M88.0232T0.72_4	c18acqui			4		M88T43_4	88.0231742558696	43.1908022944057	[63][M]2+		14	1	@M70.0124T0.72_3|+(H2O)|@M88.5243T0.72_1|-13Cdb|@M90.0196T0.72_4|-34S|-41K|-37Cl|@M91.0272T0.72_4|-13C-37Cl|-13C-18O|-13C-34S
M88.5243T0.72_1	c18acqui			4		M89T43_1	88.5242894472781	43.1880692026337	[63][M+1]2+		14	1	@M70.5138T0.72_1|+(H2O)|@M88.0232T0.72_4|+13Cdb|@M90.5258T0.72_1|-18O|-41K|-37Cl
M88.9525T0.72_2	c18acqui			NA		M89T43_2	88.9524626796204	43.1593279608189	[47][M+4]+		14	1	@M84.9596T0.72_2|+44Ca
M90.0196T0.72_4	c18acqui			4		M90T43_4	90.0195672766382	43.1853361108618	[63][M+4]2+		14	1	@M88.0232T0.72_4|+34S|+41K|+37Cl|@M90.5258T0.72_1|-13Cdb|@M91.0272T0.72_4|-13C
M90.5258T0.72_1	c18acqui			4		M91T43_1	90.5257934856995	43.1592590606903	[74][M]2+		14	1	@M88.5243T0.72_1|+18O|+41K|+37Cl|@M90.0196T0.72_4|+13Cdb|@M91.0272T0.72_4|-13Cdb|@M92.5223T0.72_1|-34S|-41K|-37Cl|@M108.5369T0.72_1|-(H2O)
M91.0272T0.72_4	c18acqui			NA		M91T43_4	91.0271995579537	43.1737771115211	[74][M+1]2+		14	1	@M88.0232T0.72_4|+13C+37Cl|+13C+18O|+13C+34S|@M90.0196T0.72_4|+13C|@M90.5258T0.72_1|+13Cdb
M92.5223T0.72_1	c18acqui			NA		M93T43_1	92.5223392874299	43.1737771115211	[74][M+3]2+		14	1	@M61.5087T0.72_1|+(CH3O.)|@M90.5258T0.72_1|+34S|+41K|+37Cl
M99.5315T0.72_1	c18acqui			4		M100T43_1	99.5315190855467	43.1790911213774	[94][M]2+		14	1	@M81.5205T0.72_1|+(H2O)|@M101.5281T0.72_1|-34S|-41K|-37Cl
M101.5281T0.72_1	c18acqui			4		M102T43_1	101.528094608433	43.1880692026337	[94][M+4]2+		14	1	@M83.517T0.72_1|+(H2O)|@M99.5315T0.72_1|+34S|+41K|+37Cl
M102.9706T0.72_3	c18acqui			NA		M103T43_3	102.970614972939	43.1940504210335	[113][M]+	[M+K]+ 64.009	14	1	@M84.9596T0.72_2|+(H2O)|@M143.9968T0.72_1|-(CH3CN)|-(C2H3N)
M108.5369T0.72_1	c18acqui			NA		M109T43_1	108.536908371716	43.1908022944057			14	1	@M90.5258T0.72_1|+(H2O)
M125.9862T0.72_1	c18acqui			NA		M126T43_1	125.986210813523	43.1492157001229	[165][M]+		14	1	@M84.9596T0.72_2|+(CH3CN)|+(C2H3N)|@M126.9895T0.72_1|-13C|@M143.9968T0.72_1|-(H2O)|@M167.0127T0.72|-(CH3CN)|-(C2H3N)
M126.9895T0.72_1	c18acqui			NA		M127T43_1	126.989475658192	43.1591901605617	[165][M+1]+		14	1	@M84.9596T0.72_2|+(C2H4N.)|@M85.963T0.72_3|+(CH3CN)|+(C2H3N)|@M125.9862T0.72_1|+13C|@M214.9174T0.72|-4Na
M143.9968T0.72_1	c18acqui			4		M144T43_1	143.99683071454	43.1536459755301	[196][M]+		14	1	@M72.0089T0.72_4|+(CO2)+(CO)|@M102.9706T0.72_3|+(CH3CN)|+(C2H3N)|@M125.9862T0.72_1|+(H2O)
M167.0127T0.72	c18acqui			4		M167T43	167.012715984785	43.138203337595	[250][M]+		14	1	@M125.9862T0.72_1|+(CH3CN)|+(C2H3N)
M214.9174T0.72	c18acqui			4		M215T43	214.917438348737	43.1403180358466	[379][M]+	[3M+2K-H]+ 45.9958 [3M+2K-H]+ 45.9958	14	1	@M126.9895T0.72_1|+4Na|@M232.9278T0.72|-(H2O)
M232.9278T0.72	c18acqui			4		M233T43	232.927780717993	43.1447668679848		[M+K]+ 193.964	14	1	@M214.9174T0.72|+(H2O)
M67.0213T0.72	c18acqui			NA		M67T43	67.0213452857534	43.1751383730992			14	2	@M111.0098T0.72_3|-(CO2)
M71.0289T0.72_4	c18acqui			4		M71T43_4	71.0289375827346	43.1790911213774			14	2	@M71.5296T0.72_2|-13Cdb|@M72.0278T0.72_5|-13C|-15N|@M74.0324T0.72_4|-13C-37Cl|-13C-18O|-13C-34S|@M151.0352T0.72_3|-2(H2O)-(CO2)
M71.5296T0.72_2	c18acqui			4		M72T43_2	71.5295513848713	43.1777953780273	[19][M]+		14	2	@M71.0289T0.72_4|+13Cdb|@M72.0278T0.72_5|-13Cdb|@M74.5305T0.72_2|-13C-37Cl|-13C-34S
M72.0278T0.72_5	c18acqui			4		M72T43_5	72.0278306915312	43.1751383730992		[M+Na]+ 49.0356	14	2	@M71.0289T0.72_4|+13C|+15N|@M71.5296T0.72_2|+13Cdb
M73.5316T0.72_1	c18acqui			4		M74T43_1	73.5316272343113	43.1591901605617			14	2	@M74.0324T0.72_4|-13Cdb|@M74.5305T0.72_2|-13C|-15N
M74.0324T0.72_4	c18acqui			4		M74T43_4	74.0323875566939	43.1586332057495	[24][M]+		14	2	@M71.0289T0.72_4|+13C+37Cl|+13C+18O|+13C+34S|@M73.5316T0.72_1|+13Cdb|@M74.5305T0.72_2|-13Cdb|@M92.0429T0.72_5|-(H2O)
M74.5305T0.72_2	c18acqui			4		M75T43_2	74.5305071418344	43.1593279608189		[M+H-CH4]+ 89.5606	14	2	@M71.5296T0.72_2|+13C+37Cl|+13C+34S|@M73.5316T0.72_1|+13C|+15N|@M74.0324T0.72_4|+13Cdb|@M92.5413T0.72_2|-(H2O)
M80.0342T0.72_3	c18acqui			4		M80T43_3	80.0342372084438	43.1777953780273			14	2	@M81.0331T0.72_4|-13C|-15N|@M83.0377T0.72_7|-13C-37Cl|-13C-18O|-13C-34S|@M151.0352T0.72_3|-(C2HNO2)
M80.5347T0.72_2	c18acqui			4		M81T43_2	80.5347224294208	43.1777953780273			14	2	@M82.537T0.72_2|-18O|-41K|-13C2|@M83.5359T0.72_2|-13C-37Cl|-13C-34S
M81.0331T0.72_4	c18acqui			4		M81T43_4	81.0331121624182	43.1924263577195			14	2	@M80.0342T0.72_3|+13C|+15N
M82.0137T0.72_2	c18acqui			4		M82T43_2	82.0136852825858	43.1751383730992	[37][M]2+		14	2	@M128.0193T0.72_3|-(HCOOH)|-(H2O-CO)|@M146.0301T0.72_3|-(H2O)-(HCOOH)
M82.537T0.72_2	c18acqui			4		M83T43_2	82.5370076216949	43.1728859959694			14	2	@M80.5347T0.72_2|+18O|+41K|+13C2|@M83.0377T0.72_7|-13Cdb|@M83.5359T0.72_2|-13C|-15N
M84.0373T0.72_5	c18acqui			4		M84T43_5	84.037308363529	43.1764996346772	[41][M+1]+		14	2	@M83.0377T0.72_7|+13C|+15N|@M83.5359T0.72_2|+13Cdb
M91.5423T0.72_2	c18acqui			4		M92T43_2	91.5423493414667	43.1790911213774		[M+H-H20]+ 108.548	14	2	@M92.0429T0.72_5|-13Cdb|@M92.5413T0.72_2|-13C|-15N
M92.0429T0.72_5	c18acqui			4		M92T43_5	92.0429000299248	43.1790911213774			14	2	@M74.0324T0.72_4|+(H2O)|@M91.5423T0.72_2|+13Cdb|@M92.5413T0.72_2|-13Cdb|@M128.0193T0.72_3|-(HCl)
M92.5413T0.72_2	c18acqui			4		M93T43_2	92.5413080366651	43.1777953780273			14	2	@M74.5305T0.72_2|+(H2O)|@M91.5423T0.72_2|+13C|+15N|@M92.0429T0.72_5|+13Cdb
M111.0098T0.72_3	c18acqui			4		M111T43_3	111.00979522276	43.1592590606903		[M+2H-CO]2+ 247.991 [M+2H-CO]2+ 247.991	14	2	@M67.0213T0.72|+(CO2)|@M112.0061T0.72_2|-15N|@M129.0204T0.72_4|-(H2O)|@M152.0366T0.72_3|-(CH3CN)|-(C2H3N)|@M153.0329T0.72_2|-(CH2N2)
