dataMatrix	X501f	X502m	X503m	X506m	X508f	X509f	X513m	X517f	X518f	X521f	X527m	X528m	X529f	X531f	W616f	W617f	W620f	W621f	W622f	W623f	W625m	W627m	W628m	W629m	W630m	W631m	W632f	W633f	W634m	L818f	L819f	L824m	L825m	L826m	L827m	L836f	L841f	L848m	L849m	L854f	L859m	L862f
M86.0606T82.15	17.3884323316226	17.2596488643461	16.9311512965019	16.5127114422433	17.0592670504208	17.4655073390386	16.7234224460347	17.391682309856	17.2016017929431	16.5603571342408	17.4916620783411	16.4113968219535	17.7954733992432	17.0469075337992	17.3745900495885	17.3932914491087	17.2913633353802	16.5364357266476	16.7759928551509	16.5433378296742	17.8519779774971	17.4740389506218	16.5919546010186	16.5752890140894	17.2942143539951	17.1021579912812	17.2532161289871	17.3742929398533	16.9354096314899	16.8964145255015	17.4525067752447	16.9704591357095	17.3313750860783	17.4106272891647	17.5427237251342	17.4748783148338	18.8635487474507	17.4501172206683	17.5288367077432	17.6695349123943	16.8732307711731	17.2134130674862
M87.1001T74.52	20.3988305011344	21.0838493459549	20.8546755639865	20.4745338714828	20.6255600827946	20.7394026540139	20.0818290479846	20.4614383011277	20.8150414741831	20.7269373498855	20.0290786023116	19.733437248369	20.5040103682685	20.5137814775985	20.7417374872355	20.9302519835652	20.9113425948635	20.4137920696539	20.9332133374589	20.6653548047397	20.3612169528799	20.5101832888797	20.189042037109	20.1870528766411	20.425057686756	20.4397971382382	20.7404028159989	20.7426397857779	20.7900459307073	20.2602575550727	20.8945683395682	20.6950517803174	20.6944359807654	20.6352073959459	20.5861210703363	20.5778236475766	20.7901281419442	20.3477586070326	20.4853067752232	20.7816518828317	20.1957804491811	19.9279382610002
M132.1023T74.93_10	28.4485408774234	28.9978738167601	28.8724919863765	28.5011336007733	28.6531114766378	28.6826838062973	28.131625459863	28.4910376503257	28.7872501223555	28.7425933930239	28.0997795838915	27.8024248717298	28.5222870917925	28.531997592138	28.7529458289564	28.908799170548	28.8727980265032	28.3721513235516	28.9470342208025	28.5986141171351	28.4364335352961	28.5569529205844	28.2143085746781	28.1927794425838	28.4877293336803	28.4412356593829	28.7879348643254	28.7378896790442	28.716321247905	28.3323902582838	28.8520363326144	28.6728468581868	28.7724858478784	28.6544809368073	28.5944580239255	28.4938115882974	28.7432485110056	28.3326436980217	28.4822945880257	28.7293888522072	28.1686459538291	27.9763375238537
M86.0971T335.66	13.9047369548654	14.4917476814858	14.2189746630377	13.2941946507898	13.6197800522687	14.1079736855162	12.7165363420635	13.2508507350675	13.8704412787227	13.4269337989713	13.4358452621081	12.6465239854653	14.1565036830166	13.6067795133873	13.6367707454318	14.011583500741	14.1495909901676	12.4005831246243	13.665978642938	13.4636004260019	14.0750313299835	14.2470638903236	13.4715278476456	12.7490518736834	13.0646830768826	13.1143962389904	14.1738194138474	13.5625094190435	14.2749278120027	13.1423872187434	14.2392354707687	13.8177524288139	13.6532571169973	13.9353713385717	14.2827750118588	13.3000230182008	14.5766067384036	13.1826252186042	12.9705599913276	14.2387806279742	13.0057302660093	12.835576371571
M156.1028T335.75_2	15.7587671565389	17.1498636631265	16.8319111013259	15.9023315962688	16.0382421756205	16.8101748463277	15.0267992091473	15.8352520582813	16.5154017902969	15.8700437605812	15.3258390470073	13.7342777532255	16.5001386332165	15.6268840706274	15.9037602846185	16.5776399809615	16.8010358241771	14.9288278708432	16.0602732826952	15.6209296392712	16.787504383751	16.8656105357223	15.6010252807187	14.8617208636934	15.301471893394	15.5838309904316	16.8435254494589	16.190637068353	16.634698059976	15.600654867585	16.936810757089	16.4908497876077	16.299250314981	16.5447872161976	16.8432344049535	15.0169384129651	17.2176651184685	15.4555402551502	15.3715459936403	16.9377268998862	15.4767112538384	14.5637310241572
M87.0444T76.18	20.3336853145173	20.4709150670702	19.3253474585842	19.7471103399364	20.1424193428835	20.7640778794293	19.7510447655001	19.5093647589503	20.7274463180415	19.277569424072	19.8806907338843	20.8628674450865	20.3334514873464	19.7732186401937	20.5410252784095	20.4405196642552	20.1102839888825	20.3880300869455	20.0079478484687	20.5871035598981	20.4430102547307	20.369304436774	20.0087709781257	19.1565027568439	19.6730838300627	20.0202725468443	20.2174135057216	20.4953185462131	20.3335106365401	20.8069105979961	20.8216592904604	20.1265965550034	20.0112015134704	19.9749668044763	20.6502009439274	20.7491060151957	20.8049517260081	19.9979787048362	19.693677449127	20.5902461898788	19.448475539911	21.0435259383254
M94.0457T39.07_2	23.5233602493555	24.047092472637	24.0103138181402	24.0369692574534	23.7135034830497	23.5335876067115	23.5654545490392	23.1169483457624	23.8842237851171	23.6270062686828	24.0355864125648	23.3137451322005	23.4452687454921	23.1493026016961	23.5491724571526	23.9946182147736	23.7010981376699	23.9224195659344	23.7275235015313	23.7664889245665	24.0128028682982	24.0402433506625	24.0522955565947	22.8137379634708	23.7342170827024	24.0638246275237	23.3378441967227	23.7234673726576	24.029928457977	23.6405846450699	23.7575404620279	24.0853053792248	23.6919578806577	24.0927694378682	23.9129934239261	24.049101027769	23.6452706708934	23.6042234490319	23.7865415658383	23.7212209436434	23.9696029949086	23.8694404383015
M95.546T39.06_2	16.7906493747154	17.410986146839	17.4124940377011	17.3218414365114	17.0012600167084	16.8533867131595	16.9111143007507	16.4364039365843	17.2336162899984	16.9945930353225	17.374501638559	16.4663023395612	16.6807691658457	16.409623553702	16.9345982769748	17.3724617945136	16.9742766619607	17.2627723877997	17.1584921396284	17.1032632881879	17.3771111644976	17.4815254940298	17.342241934958	16.1060050871405	16.9496038401877	17.411805859291	16.6854126787357	17.1215736133719	17.3980629249396	16.9628159394905	17.1283254557398	17.4830633403025	17.0133921178301	17.5219761985578	17.2007594872925	17.3556621281379	16.8759876805683	16.8246173688206	17.1732815926838	17.1296442556817	17.306709538324	17.14109913369
M110.0093T39.44	18.9028445632076	19.5341190670787	19.6223969850046	19.7149158323372	19.1821696749126	19.0678457171836	18.9570571501576	18.4576938396034	19.4497383307615	18.9941682529888	19.5126593559988	18.5958449803079	18.9387961651332	18.3729701877132	19.2161286951407	19.4629775352299	19.2541465565828	18.7261086596563	19.1752150951133	19.242395455242	19.6590354639471	19.5787728016653	19.7321908911042	18.138139750726	19.1392896153059	19.5984092130875	18.6892009803094	19.1399158987521	19.5327887013604	19.2922044297311	19.2036490975777	19.839068886868	19.1859174577467	19.7470863681023	19.5320691031545	19.4667854590296	19.3174373545855	18.9779022866958	19.3627414715681	19.1523444203789	19.5620125102227	19.4819684574012
M111.0101T39.43	15.3428610364578	15.9496501103915	16.1482803947844	16.1408776579347	15.6538128213616	15.4987796921094	15.4719511788991	14.9308878209522	15.9307843014408	15.4697366417614	16.008622171451	15.0642749920226	15.3384844323664	14.9730291975032	15.6512143452649	15.8657377709487	15.7169490192855	15.1948402421787	15.6540652722959	15.6518188174548	16.201277640688	16.0599607130263	16.198021973156	14.5409111717437	15.5249698980801	15.9483957164845	15.2378130204595	15.6412127136967	15.9129168000088	15.7609684277339	15.7505112893259	16.2802834478493	15.6078838127204	16.2328880843063	15.9447697197439	15.9608447366055	15.8162360691558	15.5546164614612	15.8273691189479	15.5423772292987	15.9788383993698	15.9386162946098
