variableMetadata	chromato	name	chebi_id	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	hmdb_id	pubchem_id	formula	monoisotopic_mass	inchikey	inchi	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag
M86.0606T82.15	c18hyper										NA			M86T82	86.0606471913248	82.1521246036377	[1][M]+		2789	1	@M87.064T82.51|-13C
M87.1001T74.52	c18hyper										NA			M87T75	87.100099806759	74.5206215882584	[2][M+1]+		1	2	@M86.0968T74.57_2|+13C|@M133.1055T74.93_4|-(HCOOH)|-(H2O-CO)
M132.1023T74.93_10	c18hyper	L-Isoleucine;Isoleucine|β-Leucine;DL-β-Leucine;3-Amino-4-methylpentanoic acid|L-Leucine;Leucine|L-Norleucine;Norleucine|6-Aminocaproic acid;6-Aminohexanoic acid	CHEBI:17191|CHEBI:72772|CHEBI:15603|CHEBI:18347|CHEBI:16586	C00407|C02486|C00123|C01933|C02378	Amino acid metabolism|Miscellaneous	Valine, Leucine and Isoleucine biosynthesis|Valine, Leucine and Isoleucine degradation|Miscellaneous	Isoleucine|Leucine|Others|Miscellaneous	HMDB00172|HMDB03640|HMDB00687|HMDB01645|HMDB01901	CID6306|CID193411|CID6106|CID21236|CID564	C6H13NO2	131.0946	AGPKZVBTJJNPAG-WHFBIAKZSA-N|GLUJNGJDHCTUJY-UHFFFAOYSA-N|ROHFNLRQFUQHCH-YFKPBYRVSA-N|LRQKBLKVPFOOQJ-YFKPBYRVSA-N|SLXKOJJOQWFEFD-UHFFFAOYSA-N	InChI=1S/C6H13NO2/c1-3-4(2)5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t4-,5-/m0/s1|InChI=1S/C6H13NO2/c1-4(2)5(7)3-6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)|InChI=1S/C6H13NO2/c1-4(2)3-5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t5-/m0/s1|InChI=1S/C6H13NO2/c1-2-3-4-5(7)6(8)9/h5H,2-4,7H2,1H3,(H,8,9)/t5-/m0/s1|InChI=1S/C6H13NO2/c7-5-3-1-2-4-6(8)9/h1-5,7H2,(H,8,9)	M132T75_10	132.102281296596	74.9256404524714	[68][M]+	[M+H+HCOOH]+ 85.0878	1	2	@M86.0968T74.57_2|+(HCOOH)|+(H2O-CO)|@M133.1055T74.93_4|-13C|@M134.1063T75.02_28|-18O|-13C2
M86.0971T335.66	c18hyper										NA			M86T336	86.0970779806615	335.6584702961			88	3	@M128.1078T335.62|-(C2H2O)
M156.1028T335.75_2	c18hyper										NA			M156T336_2	156.102794475771	335.747397611563	[103][M]+		88	3	@M128.1078T335.62|+(CO)|@M157.1062T335.46|-13C
M87.0444T76.18	c18hyper	γ-Butyrolactone	CHEBI:42639	C01770				HMDB00549	CID7302	C4H6O2	86.03678	YEJRWHAVMIAJKC-UHFFFAOYSA-N	InChI=1S/C4H6O2/c5-4-2-1-3-6-4/h1-3H2	M87T76	87.0444056982077	76.177029580119	[4][M]+		1	4	@M105.055T76.28|-(H2O)
M94.0457T39.07_2	c18hyper										NA			M94T39_2	94.0456531361813	39.0692967926265	[20][M]2+		14	5	@M94.5463T39.09_1|-13Cdb|@M95.0444T39.06_2|-13C|-15N
M95.546T39.06_2	c18hyper										NA			M96T39_2	95.5459993293189	39.0608047698638	[20][M+3]2+		14	5	@M95.0444T39.06_2|+13Cdb
M110.0093T39.44	c18hyper										NA			M110T39	110.009305321694	39.4396317210947	[33][M]+		14	5	@M111.0101T39.43|-13C|-15N|@M112.0068T39.43|-34S|-41K|-37Cl|@M128.0199T39.45_2|-(H2O)|@M151.0359T39.45|-(CH3CN)|-(C2H3N)|@M177.9968T42.43|-(HCOONa)
M111.0101T39.43	c18hyper										NA			M111T39	111.01005094106	39.4308784859111	[33][M+1]+		14	5	@M110.0093T39.44|+13C|+15N|@M112.0068T39.43|-15N|@M129.0206T39.43|-(H2O)|@M152.0367T39.46|-(CH3CN)|-(C2H3N)|@M153.0334T39.45|-(CH2N2)
M112.0068T39.43	c18hyper										NA			M112T39	112.006814909238	39.4346919968211	[33][M+2]+		388	5	@M110.0093T39.44|+34S|+41K|+37Cl|@M111.0101T39.43|+15N|@M153.0334T39.45|-(CH3CN)|-(C2H3N)
M128.0199T39.45_2	c18hyper										NA			M128T39_2	128.01985158062	39.4480858941267	[58][M]+	[M+Na+NH3]+ 88.0022	14	5	@M95.0444T39.06_2|+(HS.)|@M110.0093T39.44|+(H2O)|@M129.0206T39.43|-13C|-15N|@M156.0148T39.43|-(CO)
M129.0206T39.43	c18hyper										NA			M129T39	129.020634893756	39.4347623097043	[58][M+1]+		14	5	@M111.0101T39.43|+(H2O)|@M128.0199T39.45_2|+13C|+15N
M151.0359T39.45	c18hyper										NA			M151T39	151.035896825239	39.4468715859703	[97][M]+	[M+Na]+ 128.051	14	5	@M110.0093T39.44|+(CH3CN)|+(C2H3N)|@M152.0367T39.46|-13C|-15N|@M153.0334T39.45|-34S|-41K|-37Cl|@M154.0369T39.38|-13C-37Cl|-13C-34S
M152.0367T39.46	c18hyper										NA			M152T39	152.036701016122	39.4626656817499	[97][M+1]+		14	5	@M111.0101T39.43|+(CH3CN)|+(C2H3N)|@M151.0359T39.45|+13C|+15N|@M153.0334T39.45|-15N|@M154.0369T39.38|-18O|-34S|-41K|-37Cl
M153.0334T39.45	c18hyper										NA			M153T39	153.033395529539	39.4468715859703	[97][M+2]+		14	5	@M111.0101T39.43|+(CH2N2)|@M112.0068T39.43|+(CH3CN)|+(C2H3N)|@M151.0359T39.45|+34S|+41K|+37Cl|@M152.0367T39.46|+15N|@M154.0369T39.38|-13C
M154.0369T39.38	c18hyper										NA			M154T39	154.036858991177	39.3796982738824	[97][M+3]+		393	5	@M151.0359T39.45|+13C+37Cl|+13C+34S|@M152.0367T39.46|+18O|+34S|+41K|+37Cl|@M153.0334T39.45|+13C
M156.0148T39.43	c18hyper										NA			M156T39	156.014761695644	39.4289037836463			394	5	@M128.0199T39.45_2|+(CO)
M177.9968T42.43	c18hyper										NA			M178T42	177.996762849075	42.4303313433678		[M+2H-COCH2]2+ 395.984 [M+2H-COCH2]2+ 395.984	49	5	@M110.0093T39.44|+(HCOONa)
M96.9223T47.63	c18hyper										NA			M97T48	96.9223448902847	47.628105888243			1185	6	@M98.9194T47.6|-34S|-41K|-37Cl|@M164.9099T46.5_1|-(HCOONa)|@M232.8976T46.14_2|-2(HCOONa)
M154.881T47.67	c18hyper										NA			M155T48	154.880964345413	47.669514464941			1234	6	@M156.878T47.74|-34S|-41K|-37Cl|@M212.8399T48.19|-(NaCl)|@M222.8687T47_1|-(HCOONa)
M156.878T47.74	c18hyper										NA			M157T48	156.878042122085	47.7446485840866			1236	6	@M154.881T47.67|+34S|+41K|+37Cl|@M214.8369T48.17|-(NaCl)
M166.9069T46.49	c18hyper										NA			M167T46	166.906888146068	46.4872515366017		[M+2H-C4H8]2+ 387.869	49	6	@M164.9099T46.5_1|+34S|+41K|+37Cl
M212.8399T48.19	c18hyper										NA			M213T48	212.839862927011	48.1853700182687			1289	6	@M154.881T47.67|+(NaCl)|@M214.8369T48.17|-34S|-41K|-37Cl|@M270.7987T48.33|-(NaCl)
M214.8369T48.17	c18hyper										NA			M215T48	214.836864432281	48.1695408278407			1291	6	@M156.878T47.74|+(NaCl)|@M212.8399T48.19|+34S|+41K|+37Cl|@M272.7957T48.34|-(NaCl)
M216.8341T48.71	c18hyper										NA			M217T49	216.834104737827	48.7139641404671			1292	6	@M274.7928T48.35|-(NaCl)
M222.8687T47_1	c18hyper										NA			M223T47_1	222.868702862218	46.9963222402786			1304	6	@M154.881T47.67|+(HCOONa)|@M164.9099T46.5_1|+(NaCl)|@M224.8658T46.97_1|-34S|-41K|-37Cl|@M290.8564T46.38|-(HCOONa)
M224.8658T46.97_1	c18hyper										NA			M225T47_1	224.865784555309	46.9695725503576		[M+H-H20]+ 241.865	90	6	@M222.8687T47_1|+34S|+41K|+37Cl|@M292.8535T46.48|-(HCOONa)
M234.8947T46.13	c18hyper										NA			M235T46	234.89470876713	46.1342896380282			49	6	@M98.9194T47.6|+2(HCOONa)|@M232.8976T46.14_2|+34S|+41K|+37Cl
M270.7987T48.33	c18hyper										NA			M271T48	270.798702295831	48.3343780205705			1355	6	@M212.8399T48.19|+(NaCl)|@M272.7957T48.34|-34S|-41K|-37Cl
M272.7957T48.34	c18hyper										NA			M273T48	272.795694148907	48.3446875889551			1357	6	@M214.8369T48.17|+(NaCl)|@M270.7987T48.33|+34S|+41K|+37Cl|@M274.7928T48.35|-34S|-41K|-37Cl
M274.7928T48.35	c18hyper										NA			M275T48	274.792812540934	48.3465923112193			1360	6	@M216.8341T48.71|+(NaCl)|@M272.7957T48.34|+34S|+41K|+37Cl
M290.8564T46.38	c18hyper										NA			M291T46	290.8563768371	46.3839655393042			49	6	@M222.8687T47_1|+(HCOONa)|@M232.8976T46.14_2|+(NaCl)|@M292.8535T46.48|-34S|-41K|-37Cl
M292.8535T46.48	c18hyper										NA			M293T46	292.853478162327	46.4770294578529			49	6	@M224.8658T46.97_1|+(HCOONa)|@M290.8564T46.38|+34S|+41K|+37Cl
M300.8852T45.82	c18hyper										NA			M301T46	300.885240704301	45.8192523544491			49	6	@M232.8976T46.14_2|+(HCOONa)|@M368.873T45.68|-(HCOONa)
M368.873T45.68	c18hyper										NA			M369T46	368.873049795558	45.6790544656196			49	6	@M300.8852T45.82|+(HCOONa)
M98.9848T543.69	c18hyper										NA			M99T544	98.9847745983649	543.68678352234			1609	7	@M140.0113T543.69|-(CH3CN)|-(C2H3N)
M99.0427T38.63	c18hyper										NA			M99T39	99.0427496791452	38.6347134896653	[23][M]2+		14	8	@M99.5432T38.73|-13Cdb
M105.0567T61.54	c18hyper										NA			M105T62	105.056690640427	61.5411129437117	[28][M+1]+		26	9	@M104.0533T61.57|+13C|@M151.0621T61.56|-(HCOOH)|-(H2O-CO)
