variableMetadata	chromato	name	chebi_id	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	hmdb_id	pubchem_id	formula	monoisotopic_mass	inchikey	inchi	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag
M78.919T361.71	hilic										NA			M79T362	78.9189939471061	361.709771772755		[M-H]- 79.9252	6	1	@M80.9169T361.36|-34S|-41K|-37Cl
M80.9169T361.36	hilic										NA			M81T361	80.9169234635685	361.358921834662		[M-H]- 81.9231	6	1	@M78.919T361.71|+34S|+41K|+37Cl|@M142.9174T362.71|-(H2O)-(CO2)
M140.9195T362.54	hilic										NA			M141T363	140.919507466115	362.535162945908		[M-H]- 141.93	6	1	@M141.9227T362.42|-13C|@M142.9174T362.71|-34S|-41K|-37Cl|@M143.9207T362.55|-13C-37Cl|-13C-34S
M141.9227T362.42	hilic										NA			M142T362	141.922712492544	362.420073223598			6	1	@M140.9195T362.54|+13C|@M142.9174T362.71|-15N|@M143.9207T362.55|-34S|-41K|-37Cl|@M144.9217T362.11|-13C-37Cl|-13C-34S
M143.9207T362.55	hilic										NA			M144T363	143.920699372506	362.547246634926		[M+2Cl]2- 217.911	6	1	@M140.9195T362.54|+13C+37Cl|+13C+34S|@M141.9227T362.42|+34S|+41K|+37Cl|@M142.9174T362.71|+13C|@M144.9217T362.11|-13C|-15N
M144.9217T362.11	hilic										NA			M145T362	144.921681754469	362.106473896282		[M+2Cl]2- 219.909	6	1	@M141.9227T362.42|+13C+37Cl|+13C+34S|@M142.9174T362.71|+18O|+13C2|@M143.9207T362.55|+13C|+15N
M79.9575T159.61	hilic										NA			M80T160	79.9574807487214	159.608692219194			1493	2	@M212.9907T164.84|-(C3H6O3)-(CHNO)
M210.9949T161.4	hilic										NA			M211T161	210.994926318264	161.397324322741			1493	2	@M212.9907T164.84|-34S|-41K|-37Cl
M80.9653T634.94	hilic										NA			M81T635	80.9652901742976	634.938111142905			1278	3	@M159.9906T635.21|-(NH3)-(CO2)-(H2O)
M158.9872T635.28	hilic										NA			M159T635	158.98723030323	635.275490736612	[131][M]-		1286	3	@M95.0252T635.2|+(SO2)|@M159.9906T635.21|-13C
M100.0018T993.11	hilic										NA			M100T993	100.00183623858	993.111818415443		[M-H-CO2]- 144.996	14	4	@M81.9912T993.04|+(H2O)|@M143.0077T993.11|-(NHCO)
