dataMatrix	X501f	X502m	X503m	X506m	X508f	X509f	X513m	X517f	X518f	X521f	X527m	X528m	X529f	X531f	W616f	W617f	W620f	W621f	W622f	W623f	W625m	W627m	W628m	W629m	W630m	W631m	W632f	W633f	W634m	L818f	L819f	L824m	L825m	L826m	L827m	L836f	L841f	L848m	L849m	L854f	L859m	L862f
M75.0281T492	17.8017377044041	18.3867814965333	18.465632051233	18.4926230435918	17.898583747416	17.9649801165135	18.0226121276798	18.6098891646093	18.3184961708767	18.7439494924775	17.8998829297726	18.5880076801545	18.4317122117085	18.3809342284795	18.52328280505	18.2630457332546	18.7774981288347	18.0574017580228	18.7031766573129	18.3215957189795	18.140811267755	18.7541382263308	18.0878987922026	18.8014100697618	18.397624760801	18.3442270405596	18.2965428563944	18.369243404091	18.4516678010584	17.5287863839496	18.0956786913094	17.9459420275744	18.4189643524497	18.2016303662387	18.2810291853004	17.7904486249226	18.6357953257004	18.2454698671937	17.9083887509615	18.0258746717663	18.06527482407	17.7512448920499
M76.0289T492	14.7477224186679	15.7175691031033	15.6037018837054	15.8883610262805	14.9594672984816	15.2712391261606	15.2712287000558	15.4745766840668	15.6288259147955	15.5822365566061	14.8605566404294	15.7925303748461	15.5962438832785	15.7443356801673	15.84446336329	15.3993199164854	16.1570588881224	15.3947419911126	15.8008756209538	15.738681405904	15.1745629831126	16.1919465733196	15.5566640817749	15.8842760881767	15.6673687185267	15.6128932171083	15.8485925598486	15.6288033889871	15.4664418083131	14.3893609524436	15.4158800979337	15.1199765256021	15.4162092136052	15.6110065919884	15.5889232881215	14.8531373892093	16.1145962648452	15.3392874414816	15.443290833131	15.1526170822765	15.1878995194923	14.797456935874
M78.9189T350	20.2505577144654	20.2920515729578	20.0840997317181	20.665105609947	20.4560422533362	20.3194636575137	20.4222797617513	20.3208144426592	20.4508670439928	20.8732749744427	20.5734701511785	20.3355260000875	20.2426630361563	20.2481350386353	20.4545655969202	20.3718727981191	20.3769011268802	20.2491243416972	20.2719683552498	20.5324617017083	20.5392314878882	20.6742670335174	20.6034088138859	20.4670761561426	20.4837421819701	20.2856730148617	20.3876344497603	20.4447361160343	20.4083540284839	20.3385129786246	20.4509756875838	20.3707946629979	20.7082881219638	20.6504878959776	20.4159557199135	20.6555031182401	20.6119473469297	20.7903380140281	20.3015363710008	20.5948063692802	20.211635698878	20.5135981484001
M78.959T86	16.4248696214926	16.3387750040894	16.4261254151259	16.6997338555258	16.2079667952699	16.1527141495627	16.580000098394	16.219735077567	16.1587741887091	15.6032521307519	16.0170841565003	16.4712170346932	16.2705927249952	16.2370603260516	16.318592985237	16.4638520285749	16.5000245669192	16.3739202018412	16.2926927383928	16.1377651630092	16.5010981288528	16.0499233679635	16.4553076459457	15.962914142361	16.1483965822819	16.0856252610756	16.4153953782456	16.370779645696	16.6311984051699	16.0721484411428	16.4961777098266	16.0661640352608	15.9790336847958	16.3960250381677	16.8961055694016	15.2835737806362	16.3430794684367	16.2897605695555	16.1804358348238	16.5462034590732	16.2705882753448	16.040366573659
M78.9591T551	22.7929960774379	22.8075819159913	22.7883797551355	23.1050573432211	23.1072222052918	22.948935051627	22.8624091273151	23.3884761017659	22.9977136975397	23.1184540622051	23.2042771851278	23.1628764185969	23.0265864220823	23.0593445988077	23.0810782894747	22.8146626381318	23.0678644761638	23.0333234195262	23.0330734543193	23.0930255342378	22.9646972557236	22.9729885454649	22.8779993541793	23.3973607949205	23.053085523912	22.9777560742455	22.8968292317664	23.0058633520381	23.1156788261613	22.5528801038849	22.9626069621962	22.8538791547942	23.070959784573	22.6518214568145	22.6824122984589	23.025699678612	23.1659612454329	23.1995579011414	22.779780053795	22.9210472568599	22.9461045883518	22.9670720096931
M80.9169T350	20.2890763088458	20.3609557407721	20.1386452892874	20.7204415233391	20.5047567249582	20.3591195904138	20.4458579668616	20.3966445355599	20.503026049681	20.8946878325017	20.6365055934344	20.4107579914017	20.3065595008288	20.3070274962525	20.5221895176761	20.4142929507966	20.4052032146866	20.3031310270998	20.3518953778074	20.5873679184731	20.6131957184283	20.7189612714141	20.6404886892697	20.5165501615834	20.4928078193124	20.3351945340858	20.4587845686339	20.5038038312687	20.4435933864939	20.3636410247089	20.4914156201259	20.4174446806925	20.7595606898934	20.6941319042565	20.4434074737241	20.7221377708534	20.6438869039532	20.8017898223498	20.3840873794413	20.641590809147	20.2525241862829	20.5482724678242
M80.9749T397	17.3625880002019	17.5808053478289	17.517507265734	17.4291646460764	17.0664930645608	17.5398920144361	17.6107112636018	17.4317196669421	17.6116404035382	17.4132152056007	17.6768636545757	16.8586216269213	17.1624743397542	17.2772173062705	17.525455340673	17.4937987981803	17.1113307461671	17.1512720510064	16.7072432175665	17.6075320247998	17.6208504693086	17.6556453821932	18.2484744572676	17.928458749046	17.5757564405548	17.5728891689482	17.8023274773896	17.5465086285654	17.9097808826156	16.8725808194989	17.5341740180642	17.2116836695221	18.0636637018753	17.3229394891823	17.9395377541417	17.6306629151607	16.9920341319574	18.2567082645701	17.0284670942169	17.6338298931009	16.9392268819603	16.8267847045475
M81.0458T128	16.0650025847391	19.8400086098981	18.7547356519281	17.7577416410079	17.5579670275691	16.2600905509395	17.6836307972725	16.3521044798171	16.7396848474481	17.7694954476112	18.1474773879003	17.3537917605089	16.4987151126013	15.9415301948463	15.1676401042463	16.0169000972997	16.0535626773341	16.2957080586792	15.6904853881281	15.9165521251757	16.2192034599314	16.3335190165235	17.0500096325428	18.745801522458	16.2940493860334	16.6773948583294	16.6625557356644	16.4668712219469	19.5447198171451	16.4863139276218	16.0975031182759	20.1596057159263	21.5421483130449	21.0992370047165	20.6416670151322	16.5329113579259	16.1747157703509	20.6860762323402	17.9171833952727	17.4578248253944	19.9552308596776	15.8569981725286
M81.9911T1000	15.903453259394	16.1774805279021	16.018582900463	16.2976953782402	16.183807835364	16.1491785039821	15.7948870449017	16.1877164857263	16.2132048261097	16.7790079505564	16.2172810599561	15.7801359303768	15.9598056987084	15.8303598296236	15.977516434358	15.9513823221892	16.356527726745	15.821643304796	15.8242839461018	15.9949764007368	16.0113694052565	16.5490165317034	16.5609681223621	16.1914821159954	16.1572195731361	15.8840739779206	16.3513823557355	16.2143795031707	16.4956177991333	15.7606246534275	16.1321718760785	16.2650061565192	16.4649219651472	16.4008099448864	16.341920344588	16.0505330017907	16.3046364516226	16.6337126555892	15.6048787108535	16.1712999006689	15.8589852271358	15.9468129388798
M82.0299T158	13.94519337957	14.3593020681295	14.3782508630686	14.5784041497192	14.6603938113956	14.167886595961	13.9485716393609	14.7614129123092	14.0139929119952	14.3984370973529	14.3586505608548	13.2907036202846	13.8632739321904	13.634116836842	13.4947919040464	13.8864028864092	13.7491710006682	13.6883727756287	13.5124827790001	13.5090221067516	14.5155379491357	14.8641084240411	14.1103429281392	14.4787669738163	13.9685254881903	13.5538641302931	14.2946510540712	14.4090185905595	14.4770084993855	14.2615366241149	14.6759340067367	14.8685642598287	15.3389749502808	14.8999506986861	14.6484216923124	14.0297539202697	14.7189302410144	14.5785682987956	13.632656315931	14.3894209145331	13.6154947159154	13.8145311616049
