dataMatrix	X501f	X502m	X503m	X506m	X508f	X509f	X513m	X517f	X518f	X521f	X527m	X528m	X529f	X531f	W616f	W617f	W620f	W621f	W622f	W623f	W625m	W627m	W628m	W629m	W630m	W631m	W632f	W633f	W634m	L818f	L819f	L824m	L825m	L826m	L827m	L836f	L841f	L848m	L849m	L854f	L859m	L862f
M355.1582T18.9	13.8498366387297	13.6109110129483	13.5933788917484	13.604868101178	13.4107930351761	13.6296362969141	14.0021969978127	13.6854158901647	13.6639106739968	13.7435594481682	14.2984828722388	13.802861352676	13.5002670632846	13.9760256191819	13.4924076262206	13.9672253289759	13.8085961626914	13.7503094072197	13.820402210223	13.6142617491555	13.4672007515889	13.847541638105	13.971140962573	13.7290080681293	13.8067816488113	14.0423510451752	13.7030735526702	13.6992808563396	13.6400844627366	13.6594337257851	13.8335695891196	13.5634236092262	13.7149170398182	13.7053263246645	14.0647646472593	13.6811892175715	13.9050887301968	13.8186283808164	13.5598557538386	13.9688095657541	13.5730012570347	13.6795956435569
M353.1636T18.9	9.91776663666639	9.94400774764088	9.41360564369823	9.18309003548621	9.70048486173996	9.87713149301302	9.8574895859266	9.57674451118907	9.31278126353487	9.26638761514788	10.0896780224159	9.8250463212846	9.74901218779874	9.86412393107585	9.50579011958112	10.1406099740181	9.67046223046604	9.74411511007673	9.96414807815756	9.47280995347844	9.27654180601895	9.98001196556814	10.1306846639345	9.66472860609298	9.55091791716881	9.91681398326703	10.3838535879186	9.52788205041859	9.63613579436243	9.57596427650977	9.96430717612092	9.78590259879286	9.60281136308786	9.24125283707619	10.032436208945	9.78024671870886	9.60803858354009	10.003613058818	9.42050165788354	10.0395328120187	9.08421251760113	9.90799138314664
M89.0243T1.2	20.7315672194133	21.0793722146432	20.4633068335501	20.7393751003094	20.8267573661863	21.0002462567052	20.6968079372548	19.6737842161125	20.7258118174457	20.9136167084817	20.2138073683568	19.3368982515745	20.4005384070742	20.5498021743471	20.3147358330068	20.7627141674311	20.652787274987	20.3117767731472	20.2892972570609	20.1505441392518	20.5756365060203	20.8584758897928	21.0140803208236	20.6491475007596	20.2077004495745	20.5379179315923	20.7137488066013	20.5008990607824	20.9273734421824	20.4485242108108	20.9659398800021	20.871123930357	20.548186234406	20.8019602585497	21.1288315047469	20.3654485647172	21.0944486354994	20.602401276475	20.611277447558	20.966677120504	20.767840711543	20.4739694696154
M167.021T1.2_2	18.9420682094158	19.2737564750263	19.7036531753989	19.6319196781609	17.9424520411998	17.8013463639624	19.4649042918426	18.5478689868582	18.5168529610681	17.5364124456755	19.4272117767314	18.7995001296485	19.1524092625399	18.744155806668	19.360968727918	19.2503152033345	17.8048962595422	19.8129812876469	18.4312657904776	19.0700850053942	19.4871489133695	19.4342514527374	19.6561101586218	17.6129775938533	19.4535047483681	19.500952797663	18.8089558000275	19.2079081810527	19.888766786767	19.4437615353654	19.441036319539	20.1138230885956	20.0133311872057	19.2227065486058	19.7517980241375	19.034970456918	17.7626456616142	19.3676000655858	19.0927571096875	17.8715468313984	18.3543066822898	19.243657992065
M111.0087T1.2_2	18.4302605189253	18.5665324347542	18.487458677011	18.6075585350076	18.7166356118796	19.0810901981837	18.7593753162629	18.0979856582721	18.0873421102831	18.5091787987557	18.0918002241678	18.2577324224939	17.9027482832728	18.15855255861	18.3667466599431	18.5547627185794	18.7260050796494	17.9957900701034	18.5426220268976	18.3628659919567	18.081708022329	18.5364003468853	18.837032739861	17.956716438385	18.2290625516964	18.0573541002935	18.4014450260086	18.3899237294204	18.6062293723851	18.5837739781428	18.6545421444175	18.5846993934782	18.0806530550898	18.706507589224	18.5527901596353	18.5457427428611	19.2991496628155	18.1057758018339	18.5995160066165	19.0529837827848	18.7504753023249	18.8538028384196
M133.0142T1.2	18.1593718881695	19.0346951988636	18.5094853115834	18.2641960935167	18.3445497441805	19.2857981531113	18.1655090879625	17.4181278726	18.0553902303381	18.5510286828466	18.6307911841505	17.8238644120085	18.2509544693682	18.0102605880226	17.8973621676283	18.6593828994835	18.4018211401153	18.4409009115529	18.2425268811418	18.1739052878839	17.9060944187176	18.7893144431125	18.5625387843535	17.7528675085705	17.5255824541719	17.7061473570135	18.7754896110376	18.100230260482	18.7034241601528	18.4357866649703	18.6781329829703	18.3546339938558	17.8186666408055	18.7333552417561	18.8649041580285	18.8764981371094	19.2390402955738	18.1820049514119	18.890984350795	19.3141265949206	19.0735614092742	18.9107787469898
M191.0197T1.2	17.7626768522491	18.0604789093941	18.3900764081269	18.4625167086287	18.161806319001	18.4160042994893	18.383898244894	17.8919491045889	17.623022408196	17.2524708692743	18.1032210032426	17.7850767337939	17.6600507735895	17.5662096983517	17.8541783622657	18.0961961275164	18.1707210225183	17.7683168200338	17.7120588527597	17.8120173642885	17.9212025268423	17.9890334351339	18.4602632643422	17.051083250863	17.6770964092596	17.990281030605	17.9571604704113	17.9352766541509	18.5715571827554	18.4047057212355	18.544597251196	18.4078759698836	18.1313486362164	18.4248179258263	18.4513997762502	18.1416480086934	18.3962516731207	17.6191911798845	18.1236171823756	18.4340185932424	17.9920364948159	18.5771538076806
M128.0353T1.2	17.7727768358841	17.4075061829927	17.1312986670709	17.2087918872562	16.9268243658574	16.6978238458508	17.2940581797191	17.1757548849729	17.0408813305088	17.6436311457736	17.3821562740302	16.9184976892581	16.7337120493466	17.2457221347122	17.3875836906907	17.5283795530642	17.0749854926396	16.9045611626177	17.0140238627672	17.3198545660661	16.7196093821426	17.0137257415843	17.353488418252	17.8105583447376	17.494374446598	17.2442199854155	17.3466033465689	17.3509031061259	17.0968835342138	17.158621205851	17.3971329094597	17.0648581760066	16.9203171531903	16.6398691072979	17.0687318136616	17.2707542931821	17.4068862932451	17.7530036601187	17.491736327121	16.9166470594048	16.7439180835518	17.2043394135511
M87.0087T1.2	16.5608507042442	17.146910209277	16.7489126692357	16.9690033249632	16.7218476664508	17.0866170623824	16.9137721409868	15.5820339796449	16.6878906902661	16.9412844890089	16.8490213903787	15.5726683913234	16.0815815775353	16.4959797707964	16.1950597856344	16.5798811823757	16.5328373874196	15.9348537619694	16.3358273125604	16.2630820595733	16.2878824805776	16.6563444644327	17.0630372638895	16.5973060532182	16.3314843765992	16.9127628336015	16.5063962709374	16.3127234131593	17.0051563763002	16.7128744588328	16.7780206765201	17.1112759244631	16.4781603884054	16.9913589339571	16.8284975376864	16.6671968247657	17.3294815631083	16.5476294878124	16.8993841902594	17.118067656303	17.2000145170792	16.9582975211653
M124.0151T1.2	15.1331580893705	15.5767438041485	16.1814461402702	16.0753138983759	14.8270706542058	14.7083030767839	15.7611889732988	14.9571512281139	15.0537387048717	14.7531303166944	15.9215373354727	15.584219817946	15.3759072819859	15.5636129238365	15.9782136980548	15.9974828893264	14.7548264466214	15.9286216587413	15.4757656954593	15.8724783488809	16.0622727313461	16.3454074403526	16.2631120275916	14.5839038165941	16.0589307351501	15.9658925074662	15.4788750993663	15.8930536841393	16.1698647256364	16.0811871024827	15.9520178964626	15.9972108764668	16.2182463259067	16.0641745259715	16.0188664023647	15.7558902812042	14.9916777189361	15.984085628485	15.3648528752385	14.8015744975113	14.9902022442597	16.0673845070639
