sampleMetadata	gene	mouse_nb	sex	initial_name	class	InjOrder	SourisGenre	Genre	Type	BW	injectionOrder	sampleType	batch	pca_sco1	pca_sco2	hotel_pval	miss_pval	deci_pval	id
X501f	MX2	501	F	Ec57697P_501F_M_Lo_GB8_01_16921	Sample	16953	521F	F	M	Lo	16953	sample	pos	-34.4401520702518	-16.4586753802986	0.582221726177508	0.839891119112414	0.337726712593817	X501f
X502m	MX2	502	M	Ec57711P_502M_M_Hi_GD6_01_16937	Sample	16952	528M	M	M	Hi	16952	sample	pos	20.818281282003	35.62032740501	0.444627748160707	0.77011387501125	0.571086707824617	X502m
X503m	MX2	503	M	Ec57702P_503M_M_Hi_GC5_01_16927	Sample	16951	622F	F	C	Lo	16951	sample	pos	-26.8261515134412	0.645798165324642	0.784150382622955	0.752933068500801	0.191742904313515	X503m
X506m	MX2	506	M	Ec57718P_506M_M_Hi_GE5_01_16945	Sample	16950	841F	F	L	Lo	16950	sample	pos	-22.2454206238717	-22.5445109548443	0.647105880801813	0.752933068500801	0.483087413079286	X506m
X508f	MX2	508	F	Ec57719P_508F_M_Lo_GE6_01_16946	Sample	16949	627M	M	C	Hi	16949	sample	pos	52.0622392271442	29.0868234227529	0.263545869706291	0.735873768027037	0.345157701749845	X508f
X509f	MX2	509	F	Ec57713P_509F_M_Lo_GD8_01_16939	Sample	16948	826M	M	L	Hi	16948	sample	pos	48.1976141553577	-7.83065469602296	0.446114028164543	0.735873768027037	0.139140558625042	X509f
X513m	MX2	513	M	Ec57686P_513M_M_Hi_GA5_01_16908	Sample	16946	508F	F	M	Lo	16946	sample	pos	-41.5172807707533	-20.6587161060037	0.449689397435546	0.735873768027037	0.410847058994019	X513m
X517f	MX2	517	F	Ec57705P_517F_M_Lo_GC8_01_16930	Sample	16945	506M	M	M	Hi	16945	sample	pos	73.0411146285698	-27.1225601413066	0.121540769223145	0.735873768027037	0.0305499904665822	X517f
X518f	MX2	518	F	Ec57694P_518F_M_Lo_GB5_01_16917	Sample	16944	620F	F	C	Lo	16944	sample	pos	-35.1135302303411	-16.0864251991615	0.576882895941654	0.77011387501125	0.366667896685914	X518f
X521f	MX2	521	F	Ec57725P_521F_M_Lo_BA4_01_16953	Sample	16943	862F	F	L	Lo	16943	sample	pos	-30.8652321539223	-5.66688830055099	0.713208741841838	0.77011387501125	0.217257009664272	X521f
X527m	MX2	527	M	Ec57706P_527M_M_Hi_GD1_01_16931	Sample	16942	859M	M	L	Hi	16942	sample	pos	-2.21443438848726	37.6067250309267	0.474762734949975	0.787408258220675	0.547286498281415	X527m
X528m	MX2	528	M	Ec57724P_528M_M_Hi_BA3_01_16952	Sample	16941	629M	M	C	Lo	16941	sample	pos	33.5277980357552	-29.8135117370821	0.43129082075741	0.80480812053509	0.183772296510144	X528m
X529f	MX2	529	F	Ec57700P_529F_M_Lo_GC3_01_16924	Sample	16939	509F	F	M	Lo	16939	sample	pos	-45.1399360507624	-29.0003607491934	0.328232200379382	0.80480812053509	0.545972157876611	X529f
X531f	MX2	531	F	Ec57688P_531F_M_Lo_GA7_01_16910	Sample	16938	623F	F	C	Lo	16938	sample	pos	-26.5099136489354	-4.46942162686463	0.780496900707746	0.80480812053509	0.265654930895844	X531f
W616f	WT	616	F	Ec57698P_616F_C_Lo_GC1_01_16922	Sample	16937	502M	M	M	Hi	16937	sample	pos	48.9151016788357	-19.5334827416074	0.369871416083254	0.80480812053509	0.160787691012072	W616f
W617f	WT	617	F	Ec57684P_617F_C_Lo_GA3_01_16906	Sample	16936	634M	M	C	Hi	16936	sample	pos	54.6605154804157	-19.4074138750874	0.305734498620074	0.787408258220675	0.24420233198528	W617f
W620f	WT	620	F	Ec57717P_620F_C_Lo_GE4_01_16944	Sample	16935	836F	F	L	Hi	16935	sample	pos	-41.1771366602985	29.240917575056	0.364162589804115	0.787408258220675	0.090247456685693	W620f
W621f	WT	621	F	Ec57708P_621F_C_Lo_GD3_01_16934	Sample	16934	621F	F	C	Lo	16934	sample	pos	-40.763502996254	39.6349174961001	0.255910136174172	0.787408258220675	0.0085764091689331	W621f
W622f	WT	622	F	Ec57723P_622F_C_Lo_BA2_01_16951	Sample	16932	825M	M	L	Hi	16932	sample	pos	51.1672100447379	-22.0975427081352	0.325530710931467	0.77011387501125	0.130824156243975	W622f
W623f	WT	623	F	Ec57712P_623F_C_Lo_GD7_01_16938	Sample	16931	527M	M	M	Hi	16931	sample	pos	1.14639790178857	48.7646369211682	0.290137288520879	0.77011387501125	0.192133337312407	W623f
W625m	WT	625	M	Ec57703P_625M_C_Hi_GC6_01_16928	Sample	16930	517F	F	M	Lo	16930	sample	pos	-24.5308556809702	-40.5464604975488	0.347113306186665	0.77011387501125	0.49928635647981	W625m
W627m	WT	627	M	Ec57721P_627M_C_Hi_GE8_01_16949	Sample	16929	632F	F	C	Lo	16929	sample	pos	-32.690246631877	-18.7674117928597	0.580200557874968	0.752933068500801	0.30494746828179	W627m
W628m	WT	628	M	Ec57685P_628M_C_Hi_GA4_01_16907	Sample	16928	625M	M	C	Hi	16928	sample	pos	30.2377212863889	32.0120785654251	0.430716169039913	0.752933068500801	0.371333362636442	W628m
W629m	WT	629	M	Ec57714P_629M_C_Lo_GE1_01_16941	Sample	16927	503M	M	M	Hi	16927	sample	pos	66.3492373025207	-20.7114262538031	0.189454859883789	0.77011387501125	0.0152076866139368	W629m
W630m	WT	630	M	Ec57696P_630M_C_Hi_GB7_01_16920	Sample	16925	818F	F	L	Lo	16925	sample	pos	-19.9719796742688	-20.1351986102744	0.70524737427087	0.787408258220675	0.709093817401726	W630m
W631m	WT	631	M	Ec57690P_631M_C_Hi_GB1_01_16913	Sample	16924	529F	F	M	Lo	16924	sample	pos	-46.4421389438563	-8.13897258730724	0.469934638862913	0.787408258220675	0.0874902528407848	W631m
W632f	WT	632	F	Ec57704P_632F_C_Lo_GC7_01_16929	Sample	16923	824M	M	L	Hi	16923	sample	pos	42.1761598489948	13.0783107039833	0.504102113224093	0.77011387501125	0.458014954999289	W632f
