variableMetadata	chromato	namecustom	mz	rt	isotopes	adduct	pcgroup	BiH_base_POS_QTof_Plasma.txt_.MzDelta_Query.Bank.0.005Da..MzBank.RtQuery.RtDelta_Query.Bank.0.2min...RtBank.name.M.Formule.M.H..M.H...th.Intensite...Tr.Masse.Exp.Delta.ppm.	BiH_Pool_Qtof_Pos_plasma.txt_.MzDelta_Query.Bank.0.005Da..MzBank.RtQuery.RtDelta_Query.Bank.0.2min...RtBank.G.N.compound.composition.Formule.M.H...M.H....Th...TR.Masse.exo.delta.ppm.	BiH_DB_Lipids_POS.MzDelta_Query.Bank.0.005Da..MzBank.m.z..M.H...Formule.Brute..M..Annotation..Lipid.class.and.subclass.RT.min..	limma2ways_WT.LAT_diff	limma2ways_WT.LAT_BH	limma2ways_WT.LAT_signif	limma2ways_M.F_diff_LAT	limma2ways_M.F_BH_LAT	limma2ways_M.F_signif_LAT	PCA_xload-p1_LAT	PCA_xload-p2_LAT	OPLSDA_xload-p1_LAT	OPLSDA_xload-o1_LAT	OPLSDA_VIP-pred_LAT	OPLSDA_VIP-ortho_LAT	OPLSDA_coef_LAT	biosign_plsda_LAT	biosign_forest_LAT	biosign_svm_LAT	limma2ways_WT.MX2_diff	limma2ways_WT.MX2_BH	limma2ways_WT.MX2_signif	limma2ways_M.F_diff_MX2	limma2ways_M.F_BH_MX2	limma2ways_M.F_signif_MX2	PCA_xload-p1_MX2	PCA_xload-p2_MX2	biosign_plsda_MX2	biosign_forest_MX2	biosign_svm_MX2	supp_mzmin	supp_mzmax	supp_rtmin	supp_rtmax	supp_npeaks	supp_Sample	supp_BLC	supp_fold	supp_tstat	supp_pvalue	supp_pool_CV	supp_poolCV_over_sampleCV
M132.102T1.19_3	c18acqui_pos	M132.102T1.19_3	132.1019736	1.194670425	[182][M]+		1	0.000273608365#132.1017#0.11467042513736#1.08#LC [M+H-C3H5NOS]+#NA#C6H14NO2#132.101905#58.52#1.08#132.1017#-1.552|0.000273608365#132.1017#0.11467042513736#1.08#IC [M+H-C3H5NOS]+#NA#C6H14NO2#132.101905#14.91#1.08#132.1017#-1.552|0.000173608365#132.1018#0.11467042513736#1.08#IS [M+H-C3H5NO2]+#NA#C6H14NO2#132.101905#22.15#1.08#132.1018#-0.795|0.000073608365#132.1019#0.11467042513736#1.08#AI [M+H-C5H5NO]+#NA#C6H14NO2#132.101905#15.43#1.08#132.1019#-0.038|0.000073608365#132.1019#0.09467042513736#1.1#IT [M+H-C4H4NO2]+#NA#C6H14NO2#132.101905#26.1#1.1#132.1019#-0.038|0.000073608365#132.1019#0.03467042513736#1.16#GL [M+H-C2H3NO]+#NA#C6H14NO2#132.101905#11.44#1.16#132.1019#-0.038|0.000026391635#132.102#0.04467042513736#1.15#L-Isoleucine#C6H13NO2#C6H14NO2#132.1019#100#1.15#132.102#0.757|0.000026391635#132.102#0.02467042513736#1.17#L-Norleucine#C6H13NO2#C6H14NO2#132.10191#100#1.17#132.102#0.681|0.000026391635#132.102#0.09467042513736#1.1#AL [M+H-C3H5NO]+#NA#C6H14NO2#132.101905#14.52#1.1#132.102#0.719|0.000026391635#132.102#0.18532957486264#1.38#GI [M+H-C2H3NO]+#NA#C6H14NO2#132.101905#6.14#1.38#132.102#0.719|0.000126391635#132.1021#0.04467042513736#1.15#L-Leucine#C6H13NO2#C6H14NO2#132.1019#100#1.15#132.1021#1.514	0.000273608365#132.1017#0.09532957486264#1.29#33#993#6-Aminocaproic acid#C6H13NO2#C6H14NO2#132.101909#100#1.29#132.1017#-1.58		-0.044700729	0.90549377	0	0.164829479	0.08812644	0	-0.014181384	0.022557217	0.011679182	0.022211099	0.654843279	1.104092152	0.000746004	E	E	E	-0.054196241	0.842767544	0	0.182398612	0.041112402	1	-0.018760269	0.027360165	E	E	E	132.101799	132.1020873	1.184387431	1.218752636	52	50	2	2511.969947	-59.21192462	0	0.047869477	0.375458865
M118.0863T1.18_2	c18acqui_pos	M118.0863T1.18_2	118.0862678	1.178641052	[153][M]+	[M+H+NH3]+ 100.055	1	0.000167794245#118.0861#0.05864105169436#1.12#L-Valine#C5H11NO2#C5H12NO2#118.08625#100#1.12#118.0861#-1.270|0.000067794245#118.0862#0.04864105169436#1.13#DL-Norvaline#C5H11NO2#C5H12NO2#118.08625#100#1.13#118.0862#-0.423|0.000067794245#118.0862#0.08864105169436#1.09#AV [M+H-C3H5NO]+#NA#C5H12NO2#118.086255#16.69#1.09#118.0862#-0.467	0.000067794245#118.0862#0.16864105169436#1.01#15#211#5-Aminovaleric acid#C5H11NO2#C5H12NO2#118.08628#100#1.01#118.0862#-0.68|0.000032205755#118.0863#0.01864105169436#1.16#4#30#Valine#C5H11NO2#C5H12NO2#118.08626#100#1.16#118.0863#0.34		0.049423159	0.823615452	0	0.012399155	0.891078534	0	-0.001870156	0.014419628	-0.010498778	0.016048767	0.588658894	0.797768607	-0.001021313	E	E	E	0.022810251	0.952108696	0	0.021005705	0.867276241	0	0.000662968	0.028775502	E	E	E	118.0861327	118.0863866	1.076597919	1.186354507	51	50	1	206.5248061	-58.68702052	0	0.049817675	0.414540494
M118.1366T1.17	c18acqui_pos	M118.1366T1.17	118.1366182	1.174266292			1				-0.094684217	0.992553581	0	1.736430004	0.267759148	0	-0.006211032	0.016345027	0.002332681	0.002446412	0.130791766	0.121608752	9.63E-05	E	E	C	-1.741068088	0.721146062	0	2.046199935	0.282546323	0	-0.013330142	-0.010630092	E	E	C	118.1361713	118.1380308	1.169256302	1.187577699	5	5	0	188.702327	-19.68850186	0	0.074164621	0.185986524
M72.0806T1.18_2	c18acqui_pos	M72.0806T1.18_2	72.08063765	1.181558596	[20][M]+		1	0.0001376509194#72.0805#0.10155859577066#1.08#VI [M+H-C7HN12NO2]+#NA#C4H10N#72.0807759#13.31#1.08#72.0805#-3.828|0.0000376509194#72.0806#0.09155859577066#1.09#VL [M+H-C7H13NO3]+#NA#C4H10N#72.0807759#11.09#1.09#72.0806#-2.44|0.0000623490806#72.0807#0.06155859577066#1.12#L-Valine frag [M+H-CH2O2]+#NA#C4H10N#72.08078#39.69#1.12#72.0807#-1.110|0.0000623490806#72.0807#0.08155859577066#1.1#VF [M+H-C10H11NO3]+#NA#C4H10N#72.0807759#9.28#1.1#72.0807#-1.053|0.0000623490806#72.0807#0.00844140422934#1.19#QV [M+H-C6H10N2O4]+#NA#C4H10N#72.080776#25.64#1.19#72.0807#-1.054|0.0001623490806#72.0808#0.05155859577066#1.13#DL-Norvaline frag [M+H-CH2O2]+#NA#C4H10N#72.08078#51.83#1.13#72.0808#0.277|0.0001623490806#72.0808#0.08155859577066#1.1#VV [M+H-C6H11NO3]+#NA#C4H10N#72.0807759#14.44#1.1#72.0808#0.334|0.0001623490806#72.0808#0.09155859577066#1.09#AV [M+H-C4H7NO3]+#NA#C4H10N#72.0807759#4.14#1.09#72.0808#0.334|0.0001623490806#72.0808#0.10155859577066#1.08#VM [M+H-C6H11NO3S]+#NA#C4H10N#72.080776#8.47#1.08#72.0808#0.333|0.0001623490806#72.0808#0.11155859577066#1.07#VS [M+H-C4H7NO4]+#NA#C4H10N#72.080776#32.75#1.07#72.0808#0.333|0.0001623490806#72.0808#0.02155859577066#1.16#VA [M+H-C4H7NO3]+#NA#C4H10N#72.080776#60.33#1.16#72.0808#0.333|0.0001623490806#72.0808#0.06155859577066#1.12#RV  [M+H-C7H14N4O3]+#NA#C4H10N#72.080776#16.53#1.12#72.0808#0.333|0.0002623490806#72.0809#0.11155859577066#1.07#VC [M+H-C4H7NO3S]+#NA#C4H10N#72.080776#25.68#1.07#72.0809#1.72|0.0002623490806#72.0809#0.11155859577066#1.07#VD [M+H-C5H6NO5]+#NA#C4H10N#72.080776#21.76#1.07#72.0809#1.72|0.0002623490806#72.0809#0.12155859577066#1.06#VG [M+H-C3H5NO3]+#NA#C4H10N#72.080776#47.46#1.06#72.0809#1.72|0.0002623490806#72.0809#0.10155859577066#1.08#VT [M+H-C5H9NO4]+#NA#C4H10N#72.080776#20.44#1.08#72.0809#1.72	0.0002623490806#72.0809#0.02155859577066#1.16#4#30#Valine [M+H-CH2O2]+#NA#C4H10N#72.0807759#38.55#1.16#72.0809#1.72		0.018928788	0.967984766	0	-0.044950474	0.790849462	0	0.00562924	-0.000681828	0.00060113	0.016897944	0.033704916	0.839980399	-0.000255667	E	E	E	0.000210002	0.996946338	0	-0.016098803	0.918850622	0	0.007359261	0.006795508	E	E	E	72.08047815	72.08074218	0.985974165	1.285811001	52	50	1	1586.842964	-39.91701789	0	0.156419699	0.920706489
M204.123T1.18_3	c18acqui_pos	M204.123T1.18_3	204.1230209	1.181784337	[347][M]+		1	0.000179136952#204.1232#0.03178433715477#1.15#Acetyl L Carnitine#C9H17NO4#C9H18NO4#204.1230345#100#1.15#204.1232#0.81	0.000020863048#204.123#0.11821566284523#1.3#2#86#Acetyl-L-carnitin#C9H17NO4#C9H18NO4#204.12303#NA#1.3#204.123#-0.15		-0.092362054	0.888003495	0	0.50491997	0.000759078	1	-0.029311765	-0.01323689	0.012533181	-0.025407034	0.702726389	1.262959011	0.000787914	E	E	E	-0.099713952	0.811302867	0	0.233228959	0.092279963	0	-0.014006911	-0.025566711	E	E	E	204.122774	204.1232589	1.174076042	1.350897083	51	50	0	3499.406634	-29.69139704	0	0.128385434	0.508291183
M150.0583T1.19	c18acqui_pos	M150.0583T1.19	150.0583462	1.185691177	[221][M]+		1	0.000046209078#150.0583#0.09569117680175#1.09#AM [M+H-C3H5NO]+#NA#C5H12NO2S#150.058326#9.7#1.09#150.0583#-0.173|0.000053790922#150.0584#0.08569117680175#1.1#GM [M+H-C2H3NO]+#NA#C5H12NO2S#150.058326#8.59#1.1#150.0584#0.493|0.000253790922#150.0586#0.06569117680175#1.12#L-Methionine#C5H11NO2S#C5H12NO2S#150.05832#100#1.12#150.0586#1.866	0.003546209078#150.0548#0.09430882319825#1.28#18#255#Pyridoxal[M+H-H2O]+#NA#C8H8NO2#150.054955#41.91#1.28#150.0548#-1.03|0.000146209078#150.0582#0.11430882319825#1.3#8#28#Methionine#C5H11NO2S#C5H12NO2S#150.05833#100#1.3#150.0582#-0.87		0.022459014	0.932129232	0	0.021234216	0.85839407	0	-0.005321053	0.017764735	-0.00759487	-0.014183157	0.425838889	0.705030963	-0.000415966	E	E	E	0.091856548	0.79955892	0	0.083908395	0.490952998	0	-0.01096133	0.023106587	E	E	E	150.058156	150.0584811	1.174215855	1.196821183	50	50	0	1347.69797	-52.75928698	0	0.053500376	0.399983992
M182.0812T1.19_2	c18acqui_pos	M182.0812T1.19_2	182.0811719	1.187848392	[281][M]+		1	0.000128136426#182.0813#0.04784839240756#1.14#L-Tyrosine#C9H11NO3#C9H12NO3#182.08117#100#1.14#182.0813#0.714|0.000128136426#182.0813#0.05215160759244#1.24#L-Tyrosine#C9H11NO3#C9H12NO3#182.08117#100#1.24#182.0813#0.714			0.151790114	0.617961284	0	0.155854865	0.208899775	0	-0.025316285	-0.002176301	-0.02074067	-0.049997504	1.162914416	2.48532738	-0.001773062	E	E	E	0.18252846	0.472301189	0	0.136526537	0.282272409	0	-0.016227152	0.003962718	E	E	E	182.0809722	182.0813265	1.180993165	1.197516655	50	50	0	1506.051979	-38.68285877	0	0.028825804	0.147005923
M130.0863T1.18_3	c18acqui_pos	M130.0863T1.18_3	130.0863061	1.180715266	[178][M]+	[M+H-COCH2]+ 171.093	1	0.000006079904#130.0863#0.08071526601529#1.1#LK [M+H-C6H11NO-NH3]+#NA#C6H12NO2#130.086255#26.68#1.1#130.0863#0.346|0.000093920096#130.0864#0.19071526601529#0.99#IK [M+H-C6H11NO-NH3]+#NA#C6H12NO2#130.086255#25.56#0.99#130.0864#1.115|0.000093920096#130.0864#0.11071526601529#1.07#IK [M+H-C6H11NO-NH3]+#NA#C6H12NO2#130.086255#23.53#1.07#130.0864#1.115|0.000093920096#130.0864#0.01071526601529#1.17#FK [M+H-C9H9NO-NH3]+#NA#C6H12NO2#130.086255#17.91#1.17#130.0864#1.115|0.000293920096#130.0866#0.00071526601529#1.18#YK [M+H-C9H12N2O2]+ #NA#C6H12NO2#130.086255#7.98#1.18#130.0866#2.652	0.000106079904#130.0862#0.04928473398471#1.23#19#272#Pipecolinic acid #C6H11NO2#C6H12NO2#130.08628#100#1.23#130.0862#-0.61		-0.0485138	0.779714014	0	-0.688873361	4.03E-06	1	0.036969357	-0.013059741	-0.002395122	0.03180601	0.134292756	1.581045901	0.000357509	E	E	E	0.075213697	0.811302867	0	-0.540791394	5.29E-05	1	0.031395754	0.014020831	E	E	E	130.0861439	130.0864232	1.171181321	1.187577699	50	50	0	258.3621843	-28.05593827	0	0.128046359	0.50236211
M104.0531T1.19	c18acqui_pos	M104.0531T1.19	104.0530943	1.193850476	[115][M]+		1	0.000294270095#104.0528#0.03385047588344#1.16#MT [M+H-C5H8NO4]+#NA#C4H10NS#104.052847#31.82#1.16#104.0528#-0.452|0.000194270095#104.0529#0.14385047588344#1.05#MR [M+H-C7H14N4O3]+#NA#C4H10NS#104.052847#21.7#1.05#104.0529#0.509|0.000194270095#104.0529#0.04385047588344#1.15#MG [M+H-C3H5NO3]+#NA#C4H10NS#104.052847#58.1#1.15#104.0529#0.509|0.000194270095#104.0529#0.06385047588344#1.13#MS [M+H-C4H7NO4]+#NA#C4H10NS#104.052847#20.7#1.13#104.0529#0.509|0.000194270095#104.0529#0.00385047588344#1.19#MC [M+H-C4H7NO3S]+#NA#C4H10NS#104.052847#36.71#1.19#104.0529#0.509|0.000194270095#104.0529#0.05385047588344#1.14#MD [M+H-C5H7NO5]+#NA#C4H10NS#104.052847#12.43#1.14#104.0529#0.509|0.000094270095#104.053#0.10385047588344#1.09#MF [M+H-C10H11NO3]+#NA#C4H10NS#104.052847#7.42#1.09#104.053#1.47|0.000094270095#104.053#0.03385047588344#1.16#MA [M+H-C4H7NO3]+#NA#C4H10NS#104.052847#35.17#1.16#104.053#1.47|0.000094270095#104.053#0.00614952411656#1.2#MP [M+H-C6H9NO3]+#NA#C4H10NS#104.052847#5.73#1.2#104.053#1.47|0.000005729905#104.0531#0.07385047588344#1.12#L-Methionine frag 2 [M+H-CH2O2]+#NA#C4H10NS#104.05285#25.88#1.12#104.0531#2.403	0.000294270095#104.0528#0.10614952411656#1.3#8#28#Methionine[M+H-CH2O2]+#NA#C4H10NS#104.052847#24.07#1.3#104.0528#-0.45		0.035580606	0.872095339	0	0.026677398	0.804756764	0	-0.009055821	0.01906071	-0.009582492	-0.02054227	0.537283423	1.02113628	-0.000710148	E	E	E	0.129255454	0.517448394	0	0.10369873	0.281256626	0	-0.014474776	0.022132626	E	E	E	104.0529655	104.0531964	1.184387431	1.20264335	50	50	0	158.7798814	-60.63417568	0	0.059240167	0.506701733
M123.0553T1.19_1	c18acqui_pos	M123.0553T1.19_1	123.0553319	1.187222177	[164][M]+		1	0.00013190456#123.0552#0.07722217693575#1.11#Nicotinamide #C6H6N2O#C6H7N2O#123.055289#100#1.11#123.0552#-0.723	0.00013190456#123.0552#0.11277782306425#1.3#27#581#Nicotinamide#C6H6N2O#C6H7N2O#123.055292#NA#1.3#123.0552#-0.75|0.00006809544#123.0554#0.15722217693575#1.03#33#742#beta-Nicotinamide mononucleotide  [M+H-C5H9O7P]+#NA#C6H7N2O#123.055289#32.43#1.03#123.0554#0.9		-0.04921484	0.950573293	0	0.195191128	0.302223886	0	-0.003354634	0.017932021	0.003846986	0.025548643	0.215697713	1.269998246	0.000433611	E	E	E	0.079867845	0.85876448	0	0.13137686	0.323588592	0	-0.013700001	0.017304653	E	E	E	123.0551872	123.0565111	1.060198999	1.197516655	51	50	0	54.20761794	-27.84140432	0	0.13966166	0.636876188
