variableMetadata	chromato	namecustom	mz	rt	isotopes	adduct	pcgroup	spi_formula	spi_monoisotopic	spi_name	spi_KEGGpathwaysfamily	spi_KEGGpathways	spi_subpathways	supp_spi_annot	inchi	inchikey	pubchem	chebi	hmdb	kegg	limma2ways_WT.LAT_diff	limma2ways_WT.LAT_BH	limma2ways_WT.LAT_signif	limma2ways_M.F_diff_LAT	limma2ways_M.F_BH_LAT	limma2ways_M.F_signif_LAT	PCA_xload-p1_LAT	PCA_xload-p2_LAT	OPLSDA_xload-p1_LAT	OPLSDA_xload-o1_LAT	OPLSDA_VIP-pred_LAT	OPLSDA_VIP-ortho_LAT	OPLSDA_coef_LAT	biosign_plsda_LAT	biosign_forest_LAT	biosign_svm_LAT	limma2ways_WT.MX2_diff	limma2ways_WT.MX2_BH	limma2ways_WT.MX2_signif	limma2ways_M.F_diff_MX2	limma2ways_M.F_BH_MX2	limma2ways_M.F_signif_MX2	PCA_xload-p1_MX2	PCA_xload-p2_MX2	OPLSDA_xload-p1_MX2	OPLSDA_xload-o1_MX2	OPLSDA_VIP-pred_MX2	OPLSDA_VIP-ortho_MX2	OPLSDA_coef_MX2	biosign_plsda_MX2	biosign_forest_MX2	biosign_svm_MX2	supp_spi_annot.2	supp_mzmin	supp_mzmax	supp_rtmin	supp_rtmax	supp_npeaks	supp_QC	supp_Blanc	supp_Bio	supp_spi_annot.1	supp_blankMean_over_sampleMean	supp_pool_CV	supp_poolCV_over_sampleCV	supp_poolDil_cor	supp_poolDil_pval
M75.0088T324	hilic_neg	M75.0088T324	75.00882419	323.7226185			21														-0.247214902	0.096890894	0	0.039310338	0.927295036	0	-0.00978859	0.004648445	0.020903946	-0.005185101	1.203474054	0.247322876	0.001154909	E	E	E	-0.145472529	0.498127637	0	0.088810679	0.527156618	0	-0.011791996	0.003096974	0.020724881	-0.014617319	1.178036822	0.771212568	0.001424474	E	E	E		75.00872966	75.00900155	321.9902985	325.9810925	60	18	0	42		0.003647104	0.070877478	0.386709839	0.933301499	9.29E-06
M75.0088T354	hilic_neg	M75.0088T354	75.0088439	353.6835658			31														1.390844209	0.543810909	0	-0.805735359	0.816360442	0	0.017191822	-0.011328331	-0.01288441	-0.024837932	0.741776365	1.184738599	-0.000460522	E	E	E	1.56710512	0.618090111	0	-0.810676226	0.721061695	0	-0.010451989	-0.015288389	-0.015636737	-0.016215712	0.888818215	0.855544064	-0.000966322	E	E	E		75.00874017	75.00900979	348.4761812	359.2154827	48	14	0	34		0.000726183	0.164736293	0.379390701	0.909718085	4.05E-05
M75.0281T493	hilic_neg	M75.0281T493	75.02812162	493.2012432			3														0.452281103	0.034590661	1	-0.231921385	0.330683352	0	0.033303697	-0.017377703	-0.029792656	-0.037730107	1.715211514	1.799679371	-0.001396472	E	E	E	0.375882911	0.164601409	0	-0.259975648	0.161713334	0	-0.018297361	-0.030774022	-0.033047878	-0.030201952	1.878496497	1.593460773	-0.002044039	E	E	E		75.02802244	75.02827763	490.3093464	494.1223845	64	22	0	42		2.12E-05	0.166548255	0.545737284	0.98843925	1.60E-09
M78.0035T524	hilic_neg	M78.0035T524	78.00354155	524.1890089			16														0.809944876	0.03869806	1	-0.509980399	0.20714473	0	0.003069638	-0.023342237	-0.032217236	0.021696037	1.854798511	1.034874116	-0.001333114	E	E	E	0.897351556	0.03833321	1	-0.504425773	0.104058716	0	0.001687537	-0.018591739	-0.040077424	-0.000687725	2.278067611	0.036284509	-0.002518754	E	E	E		78.00341926	78.00371957	523.1866171	525.1025617	66	24	0	42		4.00E-05	0.089493961	0.197025358	0.995548259	1.37E-11
M78.919T362	hilic_neg	M78.919T362	78.91899333	361.6412247		[M-H]- 79.9263	31														0.142836897	0.164233456	0	0.045153011	0.690313813	0	0.033799929	-0.001455937	-0.017089429	-0.045923629	0.983866103	2.190500234	-0.001025454	E	E	E	0.064012213	0.737344879	0	0.088445951	0.506613431	0	-0.028933924	-0.01101095	-0.010451624	-0.034433392	0.594087724	1.816712375	-0.000775233	E	E	E		78.91877102	78.91916489	353.6785305	365.3341685	68	24	2	42		0.00081378	0.092386309	0.726585742	0.9965307	3.94E-12
M79.0114T512	hilic_neg	M79.0114T512	79.01141234	512.3615712		[M-2H]2- 160.04	27														0.568917387	0.0322384	1	0.160436877	0.490096827	0	0.02702229	0.005887157	-0.0260931	-0.020859923	1.50222207	0.994992487	-0.001354998	E	E	E	0.293057312	0.528741106	0	-0.01308113	0.9459872	0	-0.017882501	-0.009844284	-0.018486093	-0.019938356	1.050780335	1.051951507	-0.001277897	E	E	E		79.01127679	79.01157662	511.232019	513.6257661	61	20	0	41		9.30E-05	0.113501675	0.299481978	0.986425751	3.55E-09
M79.9575T603	hilic_neg	M79.9575T603	79.95747023	603.1873487			10														0.283455782	0.135347382	0	-0.095366491	0.771509329	0	0.022624382	-0.015136111	-0.020638006	-0.023697537	1.188163444	1.130343148	-0.001026577	E	E	E	0.142316549	0.493197045	0	-0.16842987	0.180024653	0	0.002103015	-0.016851116	-0.025309483	-0.003394539	1.438633206	0.179096522	-0.001351683	E	E	E		79.95724372	79.95761855	602.2196608	603.8418608	68	24	2	42		0.065105154	0.089453655	0.368122896	0.997005976	1.89E-12
M79.9575T160	hilic_neg	M79.9575T160	79.95747843	159.6890149		[M-H-C6H10O5]- 243.027	46														0.438045244	0.038756641	1	0.800568421	0.000245124	1	0.011644356	0.026660378	-0.018280752	0.007689315	1.052452525	0.366770794	-0.000910304	E	E	E	0.225573005	0.621573178	0	1.04954328	1.47E-05	1	-0.022604953	0.016748697	-0.007739972	-0.011762178	0.439952908	0.620574784	-0.000770548	E	E	E		79.95733171	79.95764869	158.1861306	162.5077445	66	24	0	42		7.61E-06	0.050433455	0.121674434	0.999038593	6.46E-15
M80.9169T361	hilic_neg	M80.9169T361	80.91692336	361.4393954		[M-H]- 81.9232	31														0.140935951	0.160724928	0	0.043447986	0.694607569	0	0.033934398	-0.001583874	-0.01750518	-0.04569196	1.007801592	2.179449879	-0.001041695	E	E	E	0.066063461	0.71693905	0	0.087461396	0.502852269	0	-0.029078393	-0.011023107	-0.011175758	-0.034431223	0.635248711	1.81659793	-0.000819649	E	E	E		80.91670982	80.91709352	354.3542868	365.3341685	68	24	2	42		0.000843051	0.089382865	0.716398783	0.996689479	3.11E-12
M80.9653T154	hilic_neg	M80.9653T154	80.96528643	153.5104056		[M+2Cl]2- 91.9899	15														0.125997202	0.529900245	0	0.159303753	0.488745712	0	0.003967064	0.005300411	-0.009578286	0.006564963	0.551437477	0.313140586	-0.000424358	E	E	E	-0.160071145	0.715124003	0	0.276344105	0.389524841	0	-0.006064693	0.015078784	0.015131105	0.000604149	0.860077268	0.031875034	0.000630572	E	E	E		80.96516238	80.96544448	151.7193379	156.0320192	58	17	0	41		0.069215497	0.240169363	0.748080322	0.902764908	5.80E-05
