dataMatrix	X501f	X502m	X503m	X506m	X508f	X509f	X513m	X517f	X518f	X521f	X527m	X528m	X529f	X531f	W616f	W617f	W620f	W621f	W622f	W623f	W625m	W627m	W628m	W629m	W630m	W631m	W632f	W633f	W634m	L818f	L819f	L824m	L825m	L826m	L827m	L836f	L841f	L848m	L849m	L854f	L859m	L862f
M132.1025T75_19	29.6235309805526	29.7413683471721	29.6635690097072	29.3943702320015	29.1203491483598	29.1724383314685	29.450267902797	29.4947924507524	29.6460174111948	29.3552889093346	29.2611699195841	29.2427768044027	29.5657388271755	29.6045639932952	29.658969040873	29.5844156809863	29.8217834445789	29.3993025160609	29.8237594039436	29.3791618172421	29.7924219952762	29.9370453408902	29.677591732215	29.784747125286	29.7143899075629	29.746786744071	29.9630014034528	29.4374894223968	29.703298119398	28.7868979155236	29.2555523391602	29.0564548567694	29.4204992987369	28.9634924650992	29.1387790602885	29.2169263384832	29.668703988229	29.1614715807565	29.3465313288879	29.3519876342859	29.2979626607652	29.2522650740567
M269.0892T73	25.9030871345347	26.3772437600625	26.3870834572385	26.3593329909207	26.0052613357617	25.7163148053752	26.3753895380902	25.085466391301	25.8229578788562	25.6447871821326	25.9271483758764	26.0294611135131	25.709971249706	25.4910283443846	25.9102279005828	25.6707514767898	25.4990061439766	25.534693952318	25.7976985315058	25.162678882518	25.9827892410432	25.8288952246142	25.9260312118195	26.0356153874395	25.6511910526536	26.1277445983339	26.0971100863778	25.1698453706539	26.2915000984988	26.1318917915166	26.3416422487088	26.2625163196025	26.4196806904264	26.5216345834535	26.318949429512	26.2738970537312	26.2604296826718	26.2865999441074	26.4194636292449	26.2940048648983	26.3740205277071	26.210974027522
M294.1557T74	23.0898647838809	23.3113488497125	23.1099808069637	22.6883574821622	22.4963509276787	22.494486187258	22.067850404719	22.9567716840311	23.2461966363737	22.7528677013307	22.7662201424721	22.505303997566	22.8382684547426	22.7210819365268	23.323532590239	23.4570561851557	23.7480338326611	22.9379336026034	23.4289009357639	22.8590277028076	23.3712845562177	22.6445013999163	22.3189646029752	23.0607288873212	23.2221690921157	23.3648808124318	22.9258737911022	23.1227262391448	22.6105506026657	22.7895548252059	23.2673054014998	22.3085337248778	22.64458582264	22.6843427923756	22.9556864975556	22.5377900788902	23.6398345880827	22.6060081444637	23.3457162946318	23.1205964396052	23.2073112947534	23.127040348126
M400.1842T73	22.4405622589489	22.9505504083828	22.8867232756229	22.7555427429567	22.3721687717152	22.0822205880532	22.7040614540351	21.6311043914274	22.3925958297397	22.1932736579299	22.1497192646681	22.2277452840292	22.1928634699602	22.0091412431986	22.4899652266667	22.1956548444379	22.3497813569276	21.9917995848017	22.3641173958629	21.6278339709573	22.5835049942034	22.6797029525116	22.4883512885421	22.5657464985966	22.2554781256717	22.7602413973772	22.9629554874506	21.8109828448181	22.7630545763385	22.0645448731798	22.5257199852678	22.2403409129364	22.7211075672011	22.4194489732606	22.5088409605056	22.3696620014401	22.7216530370464	22.3880321264788	22.6448360880719	22.5925092030581	22.4858459624704	22.2946751615476
M276.1451T74	22.2849710229754	22.2023760537489	21.964426064855	21.9278768719529	21.7925805936797	21.8224073151551	22.072425434126	22.16608994618	21.8882365857945	21.7756616862227	22.4853301075122	22.4559535035547	22.0512071618077	22.2794420649588	22.4063667738141	22.5384268287936	22.0215403487084	22.7619913014738	22.3698443699125	21.6365991226464	21.9992797434124	22.1117223866729	22.0085555105215	21.7429062433706	21.9663507131067	22.1395717253481	22.2482602700076	22.119868829623	21.71484800918	21.575592865117	22.1684410099253	21.9158873366185	21.3909630656663	21.8611466938927	21.8340453784673	22.806561935022	22.1336169521628	21.690888269386	22.6951529252473	22.1764744417122	22.3142169982505	23.0325101281992
M380.1134T75	18.3231266774115	21.7453545000153	21.2343207672196	19.5728829692755	19.4885934925795	19.1441039004543	20.5239167994345	20.0406570701429	19.4781561945615	19.7238977207197	21.014571058307	20.1194293575704	19.3548652726299	20.3386191849553	20.2300128653975	19.9071062141398	19.1572382590268	19.0131572636249	19.26070317673	18.1530867001562	18.9636797280661	19.4525738656557	18.8004712130926	17.7780670390648	19.2844774967132	18.3970281007662	19.1510362754347	20.2366051748963	20.176270069202	19.3168112062355	19.6542792197506	23.0220619585611	22.0188822604856	23.4450627655002	22.7202346526487	19.9455555205771	18.9935904380742	21.9408441937712	22.1029588824398	20.341405480625	22.7909712016118	19.068219681943
M222.08T77	21.5531235040958	19.4349609796332	19.7404992049531	19.9209956420294	20.799795152654	20.6036019151071	21.2820818151329	20.794027505252	20.1356260114102	19.920712730335	21.2995062105512	21.211923689168	20.7738240082931	21.2202823818562	20.9930210396072	20.4183081277683	19.1321181435298	18.9523384214326	19.5800645726706	20.0948251599369	20.210426967068	19.1593299332543	19.3277971710981	21.5085430236222	20.8319838945394	20.0724073693028	18.8839297844808	20.884415929231	19.8169532433157	19.5748217198452	19.7877891881614	20.2525304996295	20.2202853502221	20.2278003930993	19.5389944899725	19.9307208802346	21.0498861783157	19.7119354314743	21.0484690847684	19.9041163799526	21.6719953799628	20.8337419015455
M739.1854T76	19.2714836791209	19.0442230486696	19.5347076906622	19.434338239528	19.3519145117854	19.3479787475434	19.3422835760972	19.2775922277809	19.4623656353734	19.8371057459949	19.3845405555868	19.2502652088034	19.1275062991856	18.3666875007741	19.095623291059	19.4285546555772	19.9279123192857	19.4574857385634	18.381000774278	18.1206261399945	19.6627498967067	18.0494793346418	19.7801733496213	19.2806879412836	19.57391548805	19.1713216211619	19.1904507550484	19.6222612495632	19.3985075422888	19.3890380944576	20.0577950696153	19.6618779378032	19.9322301517459	19.4866790953299	19.5665089227846	19.9871155566452	20.2346119125884	19.5738130806972	19.5809773745536	19.5897083335951	19.8792208459898	20.0144467052477
M310.1771T78	20.0584117257605	20.521262419566	20.0704241764307	19.6334464666674	19.6062498164104	18.5472374583905	19.0249689251563	18.4906564709932	19.6570608036421	19.6892847994036	18.5542531479056	19.2097444089782	18.7450571266416	18.9331189997597	19.1462804283552	19.5733060633673	19.6093034734964	18.6229069821878	18.4612827070494	19.0674128004922	19.0547332109952	19.3017294336476	20.0087909177059	20.6639717745672	19.3716084251927	19.9015743950576	20.4134394164164	19.7303846070023	20.1759256794631	18.2142627887755	18.5085930119907	18.089501646806	19.134664137575	18.7355261941108	18.6772939921163	18.4774661025239	19.1246838508903	19.1376819685619	18.826698176723	19.4633418568083	19.3638456270582	18.591608318438
M562.2378T73	19.0762421989566	19.3782985743713	19.3798352929263	18.8994244349433	18.341194310106	18.2712868032857	18.512141529423	18.351596520453	18.9779750560332	18.6151428829209	18.7194671398382	18.9072645113454	18.8973841197867	18.8271500551655	19.3335900052126	19.1066478297133	19.3331325800304	18.95292789308	19.3851069480259	18.5333080181154	19.2696073637393	19.0837313436125	18.7222999304521	19.1685898641801	19.2261481944986	19.5331436269738	19.2517003125898	18.7403874648667	18.8080463409782	18.386371248621	18.9127597170339	18.1989343972055	18.5777368478414	18.4826165407603	18.7763028735942	18.4555310776731	19.1402057691221	18.4496270868496	19.3206648056142	18.8884270424853	19.0775461826328	18.8378464958102
M87.0445T76	18.4795925753126	19.2399339279911	18.769947756859	18.7624235303705	18.5353141278924	19.385026015331	17.7638021758814	18.8187379480679	19.3822530840304	18.9938904276074	18.1015063731022	17.7642264532602	18.605404853092	18.9016919825406	18.6041588335728	18.4286068024355	18.6051081427957	18.5926426428394	18.9318948683161	18.4340015592891	19.2187981621763	19.4979713263279	18.7507691270289	17.4099385711259	17.8580899669984	19.1605799063776	19.164893898127	18.8360649560797	19.2713861763075	19.428945668393	18.985971813742	18.8097392944016	18.3376289555999	19.5457944691325	19.3633919873403	18.2397476614092	18.6591749844516	19.5346686403484	18.3002939579834	18.8654703002836	18.6053615690481	18.6652928726897
M263.197T76	18.4603346989056	18.7165892333726	18.2715678239149	18.2690217262273	17.9139009739571	18.3170039565708	18.0852323437866	18.779873065255	19.1568783825519	18.5529095780299	18.1542274611413	17.7203938098067	18.4983443135938	18.8505825150137	18.9579491313956	18.5316224044939	19.3142108760025	18.2709107642761	18.7874290931869	17.7632351994562	18.7947599668447	19.1782565095561	18.6534607851645	18.4644116030319	18.9978210536816	18.8121082688	19.3227641606271	18.3478861411298	18.3795287309815	16.6656247516231	17.9904112966993	17.5615558477606	18.2689229450722	17.2972162720273	17.7699640250455	17.7623966141073	18.541425991483	17.880240196678	17.6889219204262	17.8124420959323	17.5532046367297	17.8394691686704
M131.7345T75_10	18.26893004088	16.7342618338365	18.2957834785578	18.1692707195866	17.9118834175585	17.9040233596989	18.016779791517	17.9490017328847	18.32607828026	17.9592358644362	18.1643641984821	18.0328887552385	18.1692189802672	18.5524006597045	18.5418996274363	18.1498445174807	18.3890937473106	18.1484468015214	18.4909966782359	18.1656277892346	18.7987869315869	18.8837475929835	18.192967222848	18.797021717778	18.4182361747362	18.4274219894616	19.1850251639959	18.2164655393867	18.5470180638789	17.1218269244934	18.0081375036358	17.9810555881235	18.1947263552617	17.5915275567973	17.9455692493543	17.4626437956734	18.3142584246082	17.7742700081152	17.2046005159377	18.3396664457951	18.0425792910801	17.545327818256
M132.4719T75_28	18.4566594063484	17.9113970208795	18.8948072778089	17.989051976407	17.8976137157178	17.8474283433131	18.2158377364472	17.6791202677462	18.3531105825341	17.9784793954129	18.1858383040241	17.760793549437	18.3188242863548	18.4875502579192	18.2913761504494	18.6305585508843	18.588712113601	18.2071847620934	18.5610613798524	17.8578928925228	18.0448864728558	18.5357491896585	17.4079211912312	18.81806966838	17.6686550953302	17.724756810398	19.0486404240918	18.3055699344751	18.4373596093406	17.5160948959315	18.0461060020626	16.90756889561	18.2944043296149	17.6774876212758	17.858880378538	17.4107693885377	18.2385535209642	17.0421084640704	17.7828685213867	18.3128712196778	17.8749070320965	17.3400512157423
M129.9179T75_35	18.4436941501853	18.4182799251821	18.4019860966663	17.9851965406535	17.4893649159527	17.757691338324	18.0377630464208	18.2916517943299	18.4102121004963	18.2181507017642	17.81449569879	18.1105956996541	18.3331732972756	18.0325769402627	18.3389822407864	18.3320587601726	18.2675185655916	18.1065565677585	18.865260192881	17.9750868426425	18.5360525980661	18.2506417487696	18.2290982305083	18.3291680110987	18.5462334446146	18.2537814447263	18.6579544745072	18.0556954717145	18.1043304066956	17.3453336809194	17.5981619262707	17.82238170628	17.8421561223373	17.3248676101132	17.422096258878	17.5075702553931	17.8471735242093	17.7030057121732	17.9959002601238	18.0495689894028	17.5570215824691	17.6799196811998
M263.1608T75	18.400000495203	18.4432981589194	18.3830483028393	17.7794579690849	17.7796354659781	18.0084145375696	17.9073969463738	17.9321576486008	18.1790512379122	17.7746313520568	17.6454391872551	17.6753855174871	18.2498509358116	18.4206188587718	18.049081665288	18.0864022248775	18.062938037388	17.3736989317019	18.0742978201814	17.6182660764086	18.4368528187221	18.3979187702821	18.0276925065458	18.4627492672204	17.7524937600846	18.1386719392178	18.3538604908916	17.6864036519467	18.2845806927109	17.1800786476724	17.9641273415227	17.7657105813354	17.8236087318064	17.4631974715162	17.6547242358178	17.8513331674867	18.5719298121507	17.7011132213435	17.9748820246153	18.1171105342011	18.1329341640573	18.0742620886077
M134.3426T75_15	18.4348991235886	18.4811057047683	18.2120113303703	17.6658662261201	17.4299773425658	15.9511584418091	17.8959414688771	18.0923072777192	17.4878479949635	18.0734036550175	17.5552058122291	18.0929700277524	18.2743853030646	17.9851338318554	18.2744695994632	18.0739158881327	18.2780609034242	18.0075143726659	18.6856774181741	17.9830255036905	18.4636291670538	18.2371478495937	18.1954352023912	17.8451634790952	18.5413169423391	17.8949316888548	18.6545524501014	18.0473095013979	17.9987730660371	17.2070439686016	17.3752729220425	17.0872146564938	17.8473967008558	15.587599867171	17.0960404038217	17.3468315771336	17.7723217934792	17.7057765340303	17.9721643752779	17.800351819413	17.5530481148467	17.34773662261
M105.0551T77	17.4860041090062	18.6224073147756	17.8930897948905	17.7294851769499	17.3768155752787	18.2997514094368	17.5412909564202	17.9709501580841	18.4516483885951	17.4568673663118	17.1508618854424	16.5287955821048	17.6409497873896	17.9427707154091	17.6679003365855	17.544833841979	17.7908865702562	17.5573067174653	18.1287281143973	17.2214403749974	17.7037778558887	18.6738198208139	16.2284284411915	16.4140632407863	16.6138936500117	18.0511396737332	17.6244068468913	17.561005040382	17.806493642161	18.3678781747484	18.1362640570943	17.9227233829007	18.0718051803717	18.5738222938399	18.5121354460141	17.33170835928	17.8232277940479	18.4751155692273	17.0415653206994	18.0007630978756	16.9734938371132	17.6766953407545
M205.9215T75	17.9222206725368	17.9527956211573	17.9745481038757	17.7071978467954	17.4264436391086	17.4172944709608	0.00148841962066756	17.5891647436894	17.8374419059519	17.5113259568297	17.3375733966652	17.577818455892	17.757989002307	18.0047787409951	17.9279034235533	18.0384006583258	17.9761485620187	17.6049991683662	18.0345122316869	17.530986878011	17.9618493295691	18.1540932461179	18.0566780702169	17.9605114376921	17.8327722942461	18.1361482795286	18.0800476253763	17.6396219488011	17.8927969569938	17.3432830848723	17.8200998083538	17.4760624121263	17.7178902233265	17.4434746679209	17.7368086692395	17.5893910184256	17.9685732582101	17.6011309439477	17.8184434277565	17.8451320815257	17.6479326869749	17.6411726372975
M264.9885T75	17.3029934696901	17.9809924751947	17.9883940979272	17.6605336461239	17.3466879107115	17.4974769957833	17.76776632139	17.6605839344681	17.8413253652695	17.4700230010639	17.5724765703594	17.4743615857846	17.7755839335381	17.694605992271	17.8185543357512	17.7299373951142	18.0127147293331	17.662505286678	17.966996879963	16.96365315788	18.0944592620976	18.1417858693764	17.8061051033941	17.9817283792994	17.7733319893546	17.9173157880456	18.2193282120659	17.5765533835228	17.9287424508666	17.0570950252726	17.6874195564239	17.4689266220465	17.7520371917489	17.4248584129175	17.6562995128566	17.4004811888794	17.866471740628	17.5780670225422	17.3758329564234	17.6682338894581	17.6683306533951	17.5722436587092
