dataMatrix	X501f	X502m	X503m	X506m	X508f	X509f	X513m	X517f	X518f	X521f	X527m	X528m	X529f	X531f	W616f	W617f	W620f	W621f	W622f	W623f	W625m	W627m	W628m	W629m	W630m	W631m	W632f	W633f	W634m	L818f	L819f	L824m	L825m	L826m	L827m	L836f	L841f	L848m	L849m	L854f	L859m	L862f
M102.1158T36.57	18.9578019540041	20.0370472123928	18.720737237475	18.835913545961	18.002796646399	18.5961965922246	19.2356360819565	19.098846468986	18.5521416943113	17.9193236640462	20.0524736919598	18.3348721522358	18.639011782873	19.7421911784377	19.476794431498	19.3224166901241	18.8342719879044	19.19789617806	18.7607525972479	18.2161886412698	19.3281458767565	19.9118083100006	19.1099058712761	18.4694536769175	18.6204558040788	19.3189441403851	19.0808890668406	18.3658617025832	19.263166039556	18.4132808196752	19.2019427396288	19.1412679480046	19.0524192448826	19.3734462209924	19.4938873132864	19.397768163464	18.862858805054	19.1375026411781	19.7679319932171	19.5379345599639	19.4608661553182	19.3962073035188
M87.1002T74.9	21.6762121031332	21.7538222661198	21.5693122349747	21.3426051365235	21.0438803158104	21.1800985073833	21.6348346693241	21.4758463206319	21.7212379868197	21.4709092386511	21.1782940267504	21.3332987881405	21.5667729483849	21.7415652675479	21.7190718307404	21.7594422530006	21.8030421881731	21.3733382606831	21.9092258422044	21.4193657524825	21.7379893827117	22.0092483861539	21.8392026439082	21.7938106268598	21.7739840315583	21.9229648615552	21.9510184680602	21.562865104532	21.6707936230256	20.7193185254482	21.338434992532	21.0035143670362	21.3579280770471	20.9097482326496	21.2726455590502	21.1491317292664	21.7527246853137	21.2587610716454	21.3787266376122	21.4773706731518	21.2973818851504	21.2324879180928
M132.1025T75.01_11	29.5949700337537	29.6583279583854	29.5867080018886	29.373937881957	29.1105784703945	29.1034541288355	29.6257927246753	29.4068540499115	29.653956886288	29.439318455452	29.1713617995919	29.3114569138221	29.5009545865567	29.7416564155359	29.6199449938844	29.8004965159675	29.7821935833472	29.3084819131369	29.8777056942215	29.3000355901987	29.7112135712412	29.9507088163588	29.8731387350378	29.7219797436064	29.6971687965711	29.8305638653825	29.8768162559123	29.4888599285487	29.617125127329	28.715533833676	29.3227976114074	28.9992824694825	29.3297534146046	28.965090094278	29.2397228784047	29.1284084146221	29.6951234629349	29.1976482502322	29.3414892989815	29.5080211031467	29.2421708115776	29.2042011188846
M105.0039T39.56	16.7720870940273	17.2273656587549	16.8553625473699	16.7931067680273	17.207680920037	17.0087906612631	16.7403405659123	15.9430375409038	17.0112710152635	16.5588367257737	16.7823616610688	16.439084561919	16.4666379464301	16.4759887313792	16.7737668681793	16.8532493152745	16.7097786308227	16.3896536179575	16.6210490453467	16.4394495256888	16.6198308916394	16.7764207631139	17.0599098027069	17.1833153554231	16.4786710108958	17.0067221828146	16.9635526501872	16.6461546607693	17.0755792088999	16.3629344279332	16.6437882397774	16.4011079688809	16.9390548871157	16.8796228441005	17.06788325829	16.5986981996578	16.6231153542289	16.5555749238862	16.6128984869358	16.8038054921668	16.6894793728368	16.8847405760841
M90.9773T43.33	19.5703180673124	19.3138289038766	19.5994575455349	19.5448825001398	19.5268328240267	19.5283212431928	19.1306191242519	19.4305608051953	19.6134626604883	20.1881857862804	19.6618978414047	18.7441982895716	19.3258614619029	19.6553929648862	19.51320225432	19.5639997272087	19.7931786666432	19.1553937527483	19.2516451681778	19.6956179735233	19.5637867176632	20.1089327759194	20.1651318473335	19.3003059721437	19.6370133298394	19.5885327275885	19.87869454201	19.6842091682323	19.634875312329	20.1923237110376	19.9144656213844	19.9723964681942	19.6115636968501	19.6411893544682	19.7592319761093	19.72168613769	19.8942717789903	19.8545786945778	19.1306146936371	19.6684990756132	19.395181916343	19.3710230932288
M93.6025T36.33	17.827743281095	18.978543328149	17.61007039903	17.7351281724762	16.9863957000095	17.5114124014195	18.0492446931713	18.0585082723358	17.5238126663042	16.913056100555	18.9650805761016	17.1823952313855	17.5846083969945	18.5152830118881	18.4399909722599	18.1815312061078	17.6735437332531	18.0908727440464	17.5805412886943	17.1293836875136	18.1964511703055	18.7703272975202	17.9458833655993	17.4697219179976	17.5415393253131	18.1999999966416	17.9607340134388	17.2204660720639	18.1425457804399	17.3294505339302	18.0260325482521	18.1443054201784	18.0410664001134	18.0710034070245	18.3680083923115	18.3809460392399	17.6652232171316	18.1266295097318	18.7343141307542	18.3987105315767	18.3978524470085	18.3732629720986
M94.0457T39.24_2	25.6110939216731	25.8678698321926	25.6678635571926	25.7441568614116	25.6934495448786	25.5898578566876	25.8045045514104	25.1818776974043	25.666123757493	25.284352158734	25.5595929149295	25.3051578777877	25.4016021487613	25.5312525841601	25.5603720241991	25.7619122114517	25.4925262213684	25.4568898431343	25.4162990192002	25.2331579795516	25.5808025895224	25.3914030829534	25.7657577711764	25.8217289156396	25.4219435316155	25.6753647212777	25.7176735455904	25.4425577733906	25.8026323138924	25.3923240661366	25.5322614411004	25.3197894879806	25.8062157298525	25.7773071369044	25.8894553589448	25.4588833086923	25.3904220027212	25.5757989000915	25.4738092969143	25.8188156415015	25.578602391956	25.5688780239534
M95.546T39.2	19.0998491561487	19.3796029629363	19.1621415715836	19.3608174412538	19.1857872823959	19.0475835860402	19.2744931566944	18.6134405955798	19.2024352219833	18.7724807599267	19.1034356907144	18.8417765588168	18.8801458239975	19.0601422404308	19.0522652628543	19.2389810992099	18.9261848727427	18.8937082349579	18.8748342515347	18.7087524314539	19.0889306333739	18.7748002632288	19.3390039490218	19.3775070813166	18.8876450239356	19.2285554725658	19.2231198027018	18.8406015019435	19.3890027025482	18.8851748643333	19.0123847289089	18.7994520476374	19.3384748618069	19.4299949187846	19.3995925569488	18.9574732454813	18.889157735263	18.9577754448947	18.9104383065444	19.3742116440051	19.106499654256	18.9882209221545
M110.0094T39.51_2	22.8318033442601	23.1575935311726	22.7058875031913	22.8122362304521	22.6818117680152	22.7245960659947	22.8565910017656	22.2008294882397	22.7847856066986	22.3544280303096	22.6467138365644	22.3861504526404	22.5842138903399	22.4997159838338	22.6565851306413	22.7506683146871	22.6840841751808	22.5228403983108	22.3296215842229	22.4464947519986	22.6480510956754	22.3787555823033	22.8114987402103	22.8923617534811	22.6482180920333	22.8128901224335	23.0115039609523	22.5752719145971	22.984610225454	22.5274815262415	22.6370811441595	22.4852003632004	23.0623828058332	22.9043444366497	23.0473797998702	22.6348830481239	22.4748140303539	22.9061966886167	22.5960199256021	22.9716760531593	22.6772558564709	22.7219878384209
M111.0101T39.52_1	19.5531337783434	19.8564601272914	19.3187050447024	19.4444018373661	19.3752390725837	19.3379586610682	19.5188366772796	18.7705941233828	19.4654461554616	19.0173234345881	19.3206817136167	19.0502924571999	19.2485189437664	19.1180900565854	19.2777551391369	19.378486220693	19.4020007257464	19.1659501239475	18.9774421934971	19.1236570224071	19.2915386341368	19.0652979417822	19.4992626639599	19.5534001578452	19.2725930240228	19.5169009691597	19.697223231797	19.1873238210402	19.677545887454	19.1559805691034	19.2783746149372	19.1206194032137	19.7663096262814	19.5578969526622	19.7643559287372	19.3198855463876	19.0655477193888	19.6258752464379	19.2354057448398	19.6473154112854	19.3466051572438	19.2492412251492
