dataMatrix	X501f	X502m	X503m	X506m	X508f	X509f	X513m	X517f	X518f	X521f	X527m	X528m	X529f	X531f	W616f	W617f	W620f	W621f	W622f	W623f	W625m	W627m	W628m	W629m	W630m	W631m	W632f	W633f	W634m	L818f	L819f	L824m	L825m	L826m	L827m	L836f	L841f	L848m	L849m	L854f	L859m	L862f
M89.0244T254_14	30.6608091106855	30.8315237869059	30.4634019508111	31.071241696982	31.0580662253893	30.1485038256373	30.4847849099834	30.2365133362868	31.0272893931819	30.0218670604963	29.8314565588211	30.2013836376181	29.5071719184236	30.1603492054578	30.0284047431534	29.8853616148805	30.9166148146736	29.762559138093	29.6072953178749	30.5525397886025	30.4952257148755	30.2972616796196	30.4238259655661	30.5802148246559	30.3908382215842	30.3139397978261	30.9856748039394	30.5837785968844	31.3873461205597	30.0122346878646	30.6649885529512	30.4841083362785	31.3362703974016	31.3261759726092	31.1630524120406	30.0358909540661	30.6175279053232	30.9861739702458	29.9798523136354	31.1452926614341	30.3462193474874	30.034514102393
M135.0312T264	26.7813638804681	26.6347690230596	26.7031159584783	26.8331178657384	26.8393545004959	27.247700934632	26.3002237025089	27.2433297052676	27.0498410183206	27.1077063384425	27.6609633597464	27.0822751580824	27.4205157224631	27.4171253583605	27.2994542693546	27.2451822242968	26.9990018525152	27.5746912032203	27.2960427749593	27.1630636037358	27.1493164546742	27.1408757650068	27.2186407935628	27.0357180331246	27.310657541546	27.1876559231586	26.6177310574412	26.8597390533036	26.7848823796149	25.8137271565485	26.8973550728309	26.4126157537168	25.4068666152524	25.6461458308199	26.2733656828291	27.0473697274119	26.6930785089405	26.4026582695236	26.8565257810145	26.9300038786706	26.8638130291105	27.0151556234115
M179.0561T257	25.5812249584239	26.6012681270258	25.9987145603663	26.5494620155929	26.678786672302	25.7475560905505	23.4342566576755	0.152520904419181	26.2778999681854	25.6915638330932	0.138154572296453	0.0139644088201049	25.5044887406913	24.6272355493014	24.5964675620757	25.4066526448367	25.9912793288233	0.117096827753035	0.0199674704768554	25.1953609190737	25.4748845469034	25.1357387942629	25.7243560661835	25.940334253945	21.3333024165945	25.7345586821904	26.490888139175	25.5174365111702	26.5915132546299	24.6877142220145	25.6510982357117	25.384064593103	27.3312678513217	27.0469069182307	26.5123670596828	0.102862401144243	25.7764233501309	26.9366005936417	23.9348120622978	26.3063448548246	21.5929276712271	22.1603208958364
M187.0418T252	24.0914809600277	24.6785323769205	24.2686507235258	23.6897082835901	24.61694363427	24.1041237547065	23.7568340046575	23.2557423332843	24.3532653517256	23.9075854359693	23.0500084200958	23.2588074222159	23.7365310349983	23.3468368624521	23.2958096378258	23.6857831754908	24.274351789145	22.7963648651927	22.7685988984257	23.5961585648844	23.8825781331792	23.7427382114196	23.9552157805647	23.8255915102056	23.4824909871576	24.016871404445	24.4113523045102	23.7695193068225	24.4241364418753	23.9239095632578	24.1955098389545	24.2982821732245	24.8627912959782	25.1935845470531	24.6656426663688	23.1488912589514	24.1367637641186	24.4661166970612	23.5235353524761	24.3909542069846	23.9334184179824	23.3563143168828
M333.0941T241	23.2757819719141	23.7164694680713	24.1173919387125	23.6950635313228	24.2158557322216	23.5788388486471	23.7009271466326	23.1182640105622	23.4590524398507	23.661778116185	23.6014882713664	23.6668499777036	23.8841220655556	23.4391011579919	23.280294627936	23.387321491138	22.7024739769441	22.9764814994929	23.148858417526	23.4221674017031	23.6830003523861	22.8210038066213	23.3596920084354	24.0654037973017	23.427894752723	23.568158577656	23.5036131590183	23.3300783011975	23.0753977649096	22.6729180511817	23.3135181773193	22.8328176437135	24.2626738910895	23.590138387663	23.4081086959714	22.9941991771772	23.0632939239057	23.8284585755144	23.1376514830228	23.7694887467893	23.4168055136214	23.0192657436951
M225.063T261	23.1709590413572	23.7391982971404	23.3802601048557	23.8855997531461	23.8170591332255	23.7519258135768	23.1119366633333	23.0345453628985	23.9891781268213	23.6692951872101	23.1908874005822	22.8179627630617	23.6876320611953	22.7976262742351	22.9155249476304	23.2267129073103	23.6230409051235	22.4847936953032	22.2478160748562	23.1919001337268	23.4379317480244	23.2174928742588	23.5346974839829	23.6801687062795	23.2041713317176	23.6441444280344	23.850295493794	23.130522319605	23.984224923149	21.2574548318356	23.1363389662799	22.5857788652895	23.4080553139088	22.9277152331439	23.1355211812544	22.3089438191577	23.2117102337175	23.4932933012007	22.2608648785304	23.5651775381625	22.4562225892398	22.0975230952508
M292.1403T260	23.0293594168112	23.7698921228764	23.3511688653543	23.9327714782933	22.7691647080614	22.5644936096661	23.0029367675926	22.3520837296487	22.8387535489433	22.3425868295788	22.3597838282772	22.9799524266718	22.8574701537792	22.4792912993784	23.5100310124886	22.9120391937406	23.4637864165688	22.5044719987086	22.9952261813647	23.1053023328236	23.4879938652231	23.3280459866848	23.5054028082607	23.0064242340983	23.4304114038416	23.2181723851307	23.6727051274884	23.1497850903637	23.1738001252217	21.8517393258541	22.3899406026532	22.3982043460627	22.8969744082617	22.7055358464038	22.7915748279913	22.2182099043493	22.850678290164	22.5677752315278	23.0527181166338	23.1999209479264	22.9989982216338	22.6508131268043
M160.0614T258	22.2166844207373	22.8274578579889	22.4877320167853	22.4095317711639	22.0032363990469	22.1675356851965	22.1392314176406	22.2981821623561	22.4988841325787	22.0112954222218	21.7973777516673	22.0773650037552	22.391744552122	22.5908128267414	23.1046720676482	22.5619580335206	23.0376388939454	22.1994909462136	22.5329674646111	22.4382450702504	23.332980628369	23.3218071885334	22.2872420348131	21.8321780201153	22.1898711927891	22.510574473412	22.7075865960782	22.4333791988696	22.1926117062664	21.6548684676841	22.5180258691866	22.1857695187678	21.9122125880245	21.4826843989151	21.904456580056	21.815554611249	22.5964413878796	21.9524264015729	22.2307689179697	22.3744919165218	22.1746086044806	22.0796461455469
M152.0022T251	22.0331481340034	22.3410494452642	22.8793579480643	21.5059098075739	19.8907118786741	21.7618202827972	22.677143778284	22.6575339920327	22.0681747198377	21.9865311153053	22.312161393262	23.5421542912491	21.6501458971893	22.1813860869996	21.8201488223622	21.0967565433061	21.4744585918373	22.3194194885602	21.8707830013228	22.4567018204977	23.4573014447391	22.5779889528553	23.0108530203708	21.8421565350646	22.3701353899015	20.5848822438623	22.1392077788785	22.3373296321963	22.3440713171629	21.6713532732733	22.6088898719921	22.2245086101525	22.1434117871978	22.1459592791244	21.5349255341886	21.8605633555591	22.0472591530098	23.1753316227743	22.4820068839451	21.7690757812852	21.996629721378	22.4784276914752
M87.0088T254_12	22.2167613831244	22.1291864595227	22.0545161112151	22.6272617249158	22.7988637904563	21.9929549889766	21.9138376952601	21.0800339051366	22.5829080953237	21.752174923197	21.8647598011525	21.7848474591449	22.1280888572295	21.4305254037257	21.7939445941497	21.8668556789849	22.1566284104099	21.0773003097876	21.1369593544055	20.8077058734348	22.1578581285388	21.9382774878985	22.2794881990113	21.850048417776	21.8716809518413	21.6699684055504	22.5917720159408	21.9127794750392	22.6056509326653	21.6959953305174	22.1024497240242	22.1168809907418	23.2265775761801	22.988049496678	22.6235803843871	21.324541456848	22.2371558804373	22.9395113884851	21.5138317937589	22.1641181136464	21.8904613855433	21.577539140751
