sampleMetadata	gene	mouse_nb	sex	initial_name	class	injectionOrder	batch	sampleType	pca_sco1	pca_sco2	hotel_pval	miss_pval	deci_pval	id
X501f	MX2	501	F	X20180910_501F_neg_040	Bio	40	b1	sample	-7.56279611939071	-14.9030919509768	0.785674540474214	1	0.0834777855743707	X501f
X502m	MX2	502	M	X20180910_502F_neg_057	Bio	57	b1	sample	31.0510654886885	6.72706360901721	0.552541847291017	1	0.172321324384095	X502m
X503m	MX2	503	M	X20180910_503F_neg_046	Bio	46	b1	sample	7.35500095536135	1.57869255338104	0.966943538811099	1	0.662397111724868	X503m
X506m	MX2	506	M	X20180910_506F_neg_066	Bio	66	b1	sample	32.4125045582727	26.5024559150914	0.28986053367976	1	0.0803149933121605	X506m
X508f	MX2	508	F	X20180910_508F_neg_067	Bio	67	b1	sample	19.5556497217773	4.56388765074162	0.786887662308994	1	0.422758172437653	X508f
X509f	MX2	509	F	X20180910_509F_neg_060	Bio	60	b1	sample	-7.57421413469675	-13.6510162365899	0.812270231450655	1	0.218101945100618	X509f
X513m	MX2	513	M	X20180910_513F_neg_027	Bio	27	b1	sample	-6.27490476281585	5.44137689247304	0.950635517181814	1	0.698410638518093	X513m
X517f	MX2	517	F	X20180910_517F_neg_050	Bio	50	b1	sample	-20.1702690187275	-2.36204297821273	0.787081169121913	1	0.412927208753938	X517f
X518f	MX2	518	F	X20180910_518F_neg_037	Bio	37	b1	sample	2.65575406942878	10.9104441763049	0.890488356950626	1	0.435605134762672	X518f
X521f	MX2	521	F	X20180910_521F_neg_074	Bio	74	b1	sample	10.0265920803487	13.6194324858692	0.793053164916836	1	0.0181027183141709	X521f
X527m	MX2	527	M	X20180910_527F_neg_051	Bio	51	b1	sample	-22.0299716858726	2.41297970819011	0.752337453051621	1	0.0666917366972224	X527m
X528m	MX2	528	M	X20180910_528F_neg_073	Bio	73	b1	sample	-39.9958188128323	10.0607264002982	0.36775171148375	1	0.100971797077756	X528m
X529f	MX2	529	F	X20180910_529F_neg_044	Bio	44	b1	sample	-32.1790535513187	8.04327755973221	0.521349375381297	1	0.473808906077404	X529f
X531f	MX2	531	F	X20180910_531F_neg_029	Bio	29	b1	sample	-39.9323256136868	-14.9944216726211	0.329819854592242	1	0.166784750572601	X531f
W616f	WT	616	F	X20180910_616F_neg_041	Bio	41	b1	sample	-43.9039308982411	11.9779673539964	0.295274653529437	1	0.587617620770814	W616f
W617f	WT	617	F	X20180910_617F_neg_025	Bio	25	b1	sample	-19.3419837367972	-7.74236825512548	0.762313893929261	1	0.372359646010574	W617f
W620f	WT	620	F	X20180910_620F_neg_064	Bio	64	b1	sample	3.6716555343837	6.83427037649504	0.94955824589144	1	0.658275729839054	W620f
W621f	WT	621	F	X20180910_621F_neg_053	Bio	53	b1	sample	-54.1886422051596	-4.85713931550342	0.189375382454029	1	0.0251313237661837	W621f
W622f	WT	622	F	X20180910_622F_neg_072	Bio	72	b1	sample	-50.4786680886448	-5.76365290111423	0.231874862460702	1	0.087351670053865	W622f
W623f	WT	623	F	X20180910_623F_neg_058	Bio	58	b1	sample	-26.4233527167852	12.4446062913654	0.580527626906331	1	0.358245392278431	W623f
W625m	WT	625	M	X20180910_625F_neg_047	Bio	47	b1	sample	-11.2911569905761	1.31610012993487	0.927502935885134	1	0.474818893032524	W625m
W627m	WT	627	M	X20180910_627F_neg_069	Bio	69	b1	sample	-8.47890068041627	2.31786948999143	0.954467599691581	1	0.450245077924799	W627m
W628m	WT	628	M	X20180910_628F_neg_026	Bio	26	b1	sample	-5.99737417292332	42.4275312139098	0.19000177358855	1	0.30841922249161	W628m
W629m	WT	629	M	X20180910_629F_neg_061	Bio	61	b1	sample	7.01549583517862	54.1847803827065	0.0706734338900354	1	0.339551371466638	W629m
W630m	WT	630	M	X20180910_630F_neg_039	Bio	39	b1	sample	-24.4058019583518	35.2133589908481	0.230155765754853	1	0.588690943502085	W630m
W631m	WT	631	M	X20180910_631F_neg_032	Bio	32	b1	sample	-17.5815376117699	24.3321038178145	0.483810011078149	1	0.643803531769267	W631m
W632f	WT	632	F	X20180910_632F_neg_049	Bio	49	b1	sample	6.70027335964115	39.0052340393147	0.24204245107143	1	0.325574260539354	W632f
W633f	WT	633	F	X20180910_633F_neg_034	Bio	34	b1	sample	-7.0196433910949	13.3434104389033	0.82240970964103	1	0.45697591140711	W633f
W634m	WT	634	M	X20180910_634F_neg_056	Bio	56	b1	sample	38.5726971956047	37.1324552782789	0.125977762724491	1	0.0733000777844375	W634m
L818f	LAT	818	F	X20180910_818F_neg_045	Bio	45	b1	sample	-7.09058640817525	-61.8810299370883	0.0335035454878143	1	0.000444839811618358	L818f
L819f	LAT	819	F	X20180910_819F_neg_033	Bio	33	b1	sample	9.24311838396797	-39.5145373097711	0.228473004419988	1	0.394590097349951	L819f
L824m	LAT	824	M	X20180910_824F_neg_043	Bio	43	b1	sample	23.8800836789879	-43.431910503461	0.132219351044205	1	0.448290293166962	L824m
L825m	LAT	825	M	X20180910_825F_neg_052	Bio	52	b1	sample	85.9242366791677	-2.21041136616757	0.0193244134799606	1	0.0580452221712529	L825m
L826m	LAT	826	M	X20180910_826F_neg_068	Bio	68	b1	sample	67.327813375099	-27.2588837314996	0.0441932527802196	1	0.485360645925129	L826m
L827m	LAT	827	M	X20180910_827F_neg_031	Bio	31	b1	sample	51.907582512486	-22.1369806230291	0.143308421400947	1	0.485514625318524	L827m
L836f	LAT	836	F	X20180910_836F_neg_055	Bio	55	b1	sample	-27.4909799891033	-5.8790881631279	0.627920364689104	1	0.195223281946766	L836f
L841f	LAT	841	F	X20180910_841F_neg_070	Bio	70	b1	sample	5.46484157424159	-37.8383881174535	0.264361136009772	1	0.212492408213504	L841f
L848m	LAT	848	M	X20180910_848F_neg_035	Bio	35	b1	sample	78.9343777833142	13.6578490407514	0.0296064247846974	1	0.00852982511689704	L848m
L849m	LAT	849	M	X20180910_849F_neg_038	Bio	38	b1	sample	-14.4771465655098	-34.5321503064816	0.296726862016927	1	0.173107670637997	L849m
L854f	LAT	854	F	X20180910_854F_neg_028	Bio	28	b1	sample	24.2912577815705	-9.99701863093756	0.649388757460626	1	0.343308558190761	L854f
