variableMetadata	chromato	namecustom	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	spi_formula	spi_monoisotopic	spi_name	spi_KEGGpathwaysfamily	spi_KEGGpathways	spi_subpathways	spi_annot	inchi	inchikey	pubchem	chebi	hmdb	kegg	limma2ways_WT.LAT_diff	limma2ways_WT.LAT_BH	limma2ways_WT.LAT_signif	limma2ways_M.F_diff_LAT	limma2ways_M.F_BH_LAT	limma2ways_M.F_signif_LAT	PCA_xload-p1_LAT	PCA_xload-p2_LAT	OPLSDA_xload-p1_LAT	OPLSDA_xload-o1_LAT	OPLSDA_VIP-pred_LAT	OPLSDA_VIP-ortho_LAT	OPLSDA_coef_LAT	biosign_plsda_LAT	biosign_forest_LAT	biosign_svm_LAT	limma2ways_WT.MX2_diff	limma2ways_WT.MX2_BH	limma2ways_WT.MX2_signif	limma2ways_M.F_diff_MX2	limma2ways_M.F_BH_MX2	limma2ways_M.F_signif_MX2	PCA_xload-p1_MX2	PCA_xload-p2_MX2	OPLSDA_xload-p1_MX2	OPLSDA_xload-o1_MX2	OPLSDA_VIP-pred_MX2	OPLSDA_VIP-ortho_MX2	OPLSDA_coef_MX2	biosign_plsda_MX2	biosign_forest_MX2	biosign_svm_MX2	supp_mzmin	supp_mzmax	supp_rtmin	supp_rtmax	supp_npeaks	supp_Bio	supp_QC	supp_Blanc	supp_blankMean_over_sampleMean	supp_pool_CV	supp_poolCV_over_sampleCV	supp_poolDil_cor	supp_poolDil_pval	supp_redund_samp_mean	supp_redund_is	supp_redund_repres	supp_redund_relative
M78.9189T350	hilic	M78.9189T350	78.9189107091595	349.953908114808		[M-H-C2H4]- 107.951	11	1	@M81T350|-34S|-41K|-37Cl														0.076292255218668	0.521180813123831	0	-0.0575785423050803	0.644777563798826	0	0.0225448366882551	0.00882524103634367	-0.00576393250114597	-0.0231807212472707	0.288762088874236	0.969031915614647	-0.000590257354841926	E	E	E	-0.0503863606196795	0.718812282229399	0	-0.0550624076938071	0.675305839576825	0	0.0182629382969701	-0.013229906056189	0.0189858469115481	-0.0237964878456898	0.938702622767571	1.01038009889926	0.000992140848585462	E	E	E	78.918803483488	78.9192061469899	347.319731859541	352.598046928851	66	42	21	3	0.0133212638830337	0.0752139232224629	0.663561747981285	0.991620222870823	3.20876357522512e-10	1437694.05841347	0	M81T350	
M80.9169T350	hilic	M80.9169T350	80.9168539655038	349.955280732885			11	1	@M79T350|+34S|+41K|+37Cl														0.0678432213772133	0.581467790770902	0	-0.050090792320173	0.69179356487251	0	0.0210347415454156	0.00959066230002602	-0.00440647895978091	-0.0214582467499468	0.220756240423309	0.897026703009986	-0.000537255039706665	E	E	E	-0.0483105157043084	0.724589837831988	0	-0.0510864098338715	0.690934565843748	0	0.0165901087418094	-0.0124775910736846	0.0190050935462886	-0.0216845931256596	0.939654219322335	0.920710715336199	0.000980694780410866	E	E	E	80.9167430219632	80.9171564555063	347.319731859541	352.75324325535	66	42	21	3	0.0130268726932347	0.0661146552271955	0.600849980147954	0.990819821466789	5.05649662187964e-10	1486236.73735672	0	M81T350	M
M96.9697T551	hilic	M96.9697T551	96.9696731742215	551.134664728351		[M-2H]2- 195.955	4	2	@M79T551|+(H2O)|@M195T551|-(H3PO4)														-0.124665916132454	0.225337806863865	0	-0.0154014297065928	0.848673037648093	0	0.00154106806564732	0.0346226680503101	0.0245436840448082	-0.00312728511423021	1.22959203148874	0.130731009298189	0.000880629552399411	E	E	E	-0.0237636419366858	0.862589843003919	0	-0.00366862014463365	0.983676824039893	0	-0.0041511340696306	-0.0337181929166192	0.0103271063247804	-0.0435437578065632	0.510595173227405	1.84883360117404	0.000524764408277461	E	E	E	96.9695328364506	96.9700370602338	550.229215560088	552.632339079305	63	42	21	0	6.25027208624919e-09	0.0485010695368947	0.43828646034293	0.980609577471096	2.08977538678529e-08	159982769.36705	0	M97T551	M
M176.936T551	hilic	M176.936T551	176.936032140632	551.161777216105		[M-H-H20]- 195.955	4	2	@M79T551|+(H3PO4)|@M195T551|-(H2O)|@M293T551|-(H3PO4)-(H2O)														-0.157137805440566	0.121766511998136	0	-0.0192255544966997	0.815628717136559	0	-0.000455232993641963	0.0309884881694037	0.0266287504973791	-0.00714852626723853	1.3340499071086	0.298832380091684	0.00102510380223435	E	E	E	0.0169409888300294	0.919533539195332	0	-0.00292958827163403	0.980982233923943	0	-0.0084680097575823	-0.0291519055685973	-0.000486217839208056	-0.031978984651594	0.024039694569715	1.35780245742558	-0.000320898874146405	E	E	E	176.935800210047	176.936688452229	549.635179110645	551.928768655693	63	42	21	0	1.74100917643496e-07	0.0725763858949556	0.560197105450192	0.978648805408051	3.37166018032374e-08	5739089.00106168	0	M97T551	
M196.9509T551	hilic	M196.9509T551	196.950869099302	551.264696342719		[M-H-CH4]- 213.989 [M-H-CH4]- 213.989	4	2	@M195T551|+18O|+13C2|@M295T551|-(H3PO4)														-0.148036035873758	0.139168492626089	0	0.00691003843454396	0.984585007131846	0	-0.000516888410657563	0.0324661908277127	0.0275593564743873	-0.00662678012049338	1.38067150196356	0.277021640785868	0.00101854038706195	E	E	E	0.00745456972229874	0.96627971215295	0	0.00650378447441824	0.963358663440835	0	-0.00640074543950526	-0.0277186485000628	0.00269009923621043	-0.0308624047551774	0.133004507004627	1.31039335598649	-0.00014350128092588	E	E	E	196.950582383978	196.951590127713	549.813650651131	551.988552670499	63	42	21	0	1.598740780851e-06	0.0728693820543538	0.580354358242907	0.980883379343736	1.94723561738939e-08	625178.933816957	0	M97T551	
M292.9239T551	hilic	M292.9239T551	292.923890495345	551.128036632466		[3M-2H]2- 195.955	4	2	@M177T551|+(H3PO4)+(H2O)|@M195T551|+(H3PO4)|@M295T551|-18O|-13C2|@M391T551|-(H3PO4)														-0.170288099205248	0.0967967023565169	0	-0.00998123464659173	0.870553027862658	0	0.000268451197396258	0.03404242344565	0.0284708738483793	-0.00778240583073912	1.42633679400276	0.32533067240691	0.00107295029525559	E	E	E	-0.00283394937808978	0.984855449194524	0	0.0115424568067404	0.929086020983277	0	-0.00680660374272683	-0.0253877566441856	0.00363883194252821	-0.0310979340552821	0.17991196832963	1.32039374424028	5.77479420701023e-05	E	E	E	292.922000761412	292.924941045197	539.313572257045	551.924086415334	66	42	21	3	0.000695726521271606	0.0756939098669022	0.598323220903732	0.99022956421003	6.89818710949091e-10	28968537.577902	0	M97T551	
M294.928T551	hilic	M294.928T551	294.927976965647	551.140213219828			4	2	@M197T551|+(H3PO4)|@M293T551|+18O|+13C2|@M393T551|-(H3PO4)														-0.17741788347443	0.084621194116116	0	-0.0311613872759331	0.73677678202421	0	-0.000753571743062605	0.0327841845446562	0.0287368965012676	-0.00765037132335185	1.43966402448657	0.319811187044228	0.00107909506854055	E	E	E	0.00338367577515442	0.986011390683376	0	0.00520682270274619	0.974760368048432	0	-0.0068268756041935	-0.0226121522388773	0.0027589322264334	-0.0261809127081886	0.136407763586029	1.11162089728984	-6.0898023119029e-05	E	E	E	294.92755430087	294.929000978093	549.635179110645	551.928768655693	63	42	21	0	1.89739007846125e-06	0.0816408295615219	0.603041167854379	0.988861736946051	1.32513042241119e-09	526977.053743106	0	M97T551	
M390.9009T551	hilic	M390.9009T551	390.900930859561	551.293109157736		[2M-H]- 195.955	4	2	@M293T551|+(H3PO4)|@M393T551|-18O|-13C2|@M489T551|-(H3PO4)														-0.191309816658116	0.101657707947736	0	-0.00981214378974116	0.880992786145292	0	-7.64975335647029e-05	0.0324992740350976	0.0268840012204785	-0.0063036647059978	1.34683748433547	0.263514332461278	0.00102292933759474	E	E	E	-0.0368767061732171	0.82943804805332	0	0.00225300178143328	0.983462202385543	0	-0.00232744332817113	-0.0191240459845103	0.00841438683207885	-0.0282833533714282	0.416026054831877	1.20088886906067	0.000586835036468826	E	E	E	390.900474550837	390.902333149608	549.813650651131	551.928768655693	63	42	21	0	1.40677858830144e-07	0.0920202277260387	0.618004970903916	0.993207454848647	1.12587520101008e-10	7117345.19016275	0	M97T551	
M392.9052T551	hilic	M392.9052T551	392.905154610542	551.251400655345			4	2	@M295T551|+(H3PO4)|@M391T551|+18O|+13C2														-0.204887717979432	0.132193288668287	0	-0.0175473852639705	0.855859325698901	0	0.00130853222446164	0.0313339917650935	0.0247611774627186	-0.00678073242240657	1.24048803932015	0.283457363490302	0.000933852854294683	E	E	E	-0.0430935669250019	0.80327613306263	0	0.00637418647131227	0.961890601883369	0	0.000359353188884127	-0.0182807892745455	0.00939784995767061	-0.0291457696509274	0.464650665558441	1.23750638385626	0.000672998062317325	E	E	E	392.904612252342	392.90656985174	549.083897219423	552.180721140819	61	42	19	0	5.97146393207945e-06	0.101131101835487	0.624232324100629	0.997193126981571	1.36562551416325e-12	167697.887777639	0	M97T551	
M488.8779T551	hilic	M488.8779T551	488.877945500872	551.392876440878		[M-H-C6H10O5]- 651.938	4	2	@M391T551|+(H3PO4)|@M587T551|-(H3PO4)														-0.171220750644952	0.16622286598344	0	0.00143788687844904	0.952136100688326	0	0.00114160429846213	0.0317130510403992	0.0249350370829064	-0.00591964573935177	1.24919807662304	0.247461051335472	0.00090636820852691	E	E	E	-0.0300682228134086	0.862589843003919	0	0.0354079565783394	0.818780717297909	0	-0.00202193987358743	-0.0125545716109091	0.00476167173467259	-0.0227778230749951	0.235427672356118	0.96712839644494	0.000453788747849598	E	E	E	488.877276340453	488.87962949989	549.846916496115	552.180721140819	63	42	21	0	5.17470657488083e-07	0.0914236601992475	0.599623409591484	0.993305211855656	1.04732800512001e-10	1935287.94976989	0	M97T551	
