dataMatrix	X501f	X502m	X503m	X506m	X508f	X509f	X513m	X517f	X518f	X521f	X527m	X528m	X529f	X531f	W616f	W617f	W620f	W621f	W622f	W623f	W625m	W627m	W628m	W629m	W630m	W631m	W632f	W633f	W634m	L818f	L819f	L824m	L825m	L826m	L827m	L836f	L841f	L848m	L849m	L854f	L859m	L862f
M89.0243T1.2	20.7455237832614	21.1648173711256	20.5592847766	20.7368901077232	20.8077397322763	21.0704803102977	20.4974599691247	19.7940654145675	20.6811798122345	20.7397305779788	20.3290558302354	19.1894930076587	20.4539620861865	20.3864530502923	20.3421801441016	20.5273704164543	20.6655152941256	20.4136949845324	20.1668797588949	20.2288786197488	20.6898293976999	20.7816621271219	20.796704041623	20.6999316211235	20.2077242630956	20.4274305427418	20.8362290168152	20.4241555291791	21.0190291905353	20.5148904210159	20.8725090833604	20.9116771638746	20.6588797103731	20.7458035309251	20.983323552653	20.4625385544352	20.9955551267354	20.5419351763888	20.582011416495	20.7853593012219	20.8071672060683	20.5006230637954
M167.021T1.2_2	18.6409633749694	19.191640748711	19.3962770011297	19.8907516549452	18.2538557386331	17.7926084768129	19.3514766231083	18.2477907557715	18.2447905248151	18.2886292126499	19.1535289373973	19.4803578380122	18.8454598300746	18.5847467262386	19.0565489847437	19.1886714092257	18.0135621834094	19.631330819591	19.0437530347727	19.0238218381529	19.175367216479	19.9184257428344	19.5678615269891	17.6848857407785	19.1572492758807	19.2838556563975	18.4954985973839	18.9601225199161	19.7722869464145	19.1370677229612	19.2078034625526	19.8075175058185	19.769557158604	19.646729747914	19.5716354814191	18.8853955004399	18.3096098697261	19.1068653204212	18.8110009136875	17.7343895102407	18.4695900278576	19.4044991207292
M111.0087T1.2_2	18.5410846675431	18.6321296868864	18.6449841487644	18.506068670726	18.5876406118632	19.1132289664824	18.6292654411845	18.2519920478946	18.1413541762202	18.1438362103347	18.2346530117816	17.9309114434794	18.0419498174183	18.0740600694313	18.4884684808578	18.3774920200898	18.6504874069788	18.103234271304	18.2527212869596	18.4123610582976	18.2456996094273	18.3155754399481	18.6834967655842	17.950104435163	18.3275965628447	18.0370497017631	18.5645194621891	18.4086519174357	18.6867686539398	18.7296752969975	18.6541834190535	18.7158799335457	18.2121339971812	18.5178545632454	18.4903379993045	18.6401818087266	19.0445789870083	18.1426534877063	18.6695683539613	18.9459139594298	18.7223709565165	18.8027399908228
M133.0142T1.2	18.220608074827	19.0526191802851	18.604273648459	18.1664589856041	18.227932260342	19.2795810960023	18.1520834599579	17.5167577446229	18.0972414317083	18.2622351395436	18.7164780352882	17.5646521539813	18.3246435054162	18.0095381592939	17.9628152819787	18.633848049688	18.3218023042741	18.4920216163244	18.0110482333606	18.1800512254489	18.0158699940098	18.6082395252233	18.542954533076	17.7197758911167	17.5823808720822	17.7245427927832	18.8862423202586	18.1307766816891	18.7326612615158	18.5141356800273	18.7026929464304	18.4241734039597	17.8922342959707	18.5751573754217	18.8706060678673	18.9167359187004	19.0335722131718	18.2183249575786	18.9381002750804	19.3070093252383	19.0257913005892	18.847391541495
M191.0197T1.2	17.8210773614015	18.0216097208472	18.4220707177932	18.4617607324966	18.1695850158836	18.3813784298406	18.2318308011289	17.8698224871253	17.6481922086361	17.3391105535106	18.073871976457	17.8586748972808	17.7219399516137	17.4656815619882	17.9160745031337	17.8854161133128	18.1622147880233	17.7297819157218	17.7731434955532	17.774820031167	17.9275781875685	18.0268260254726	18.2797464097206	17.0242877809919	17.7299779730516	17.9539537651274	17.9455284954049	17.9331442115007	18.5319114306017	18.4621158252595	18.5262267306489	18.4710480996954	18.0976409606458	18.4519079059154	18.3740033409739	18.1021129794185	18.4453891594868	17.6315751214115	18.1598227848576	18.308607057885	17.9704853484304	18.5617076828703
M128.0353T1.2	17.6808793744731	17.4800828979996	17.1087365951776	17.2773555683256	16.9908347018892	16.7748972631859	17.1860613256386	17.2027371587876	16.9283537373577	17.6510670491422	17.4188097640771	16.9366863736704	16.6674495234453	17.1303343117901	17.303102033749	17.4315788646977	17.1472176017654	16.9633915183542	17.0420641737337	17.3951452683798	16.7200828891288	17.0587968994653	17.2506161678473	17.8884286812538	17.3960064927699	17.1247583470643	17.3627904868051	17.2331904617108	17.1658101355145	17.1037918741761	17.2781102080147	16.9888502171284	16.9653548819925	16.6921313373583	16.9510677619212	17.3350966711673	17.4438856167946	17.6374591488916	17.3830729215127	16.8044784238718	16.8208109059894	17.2793500685083
M87.0087T1.2	16.6256081344456	17.2030370123366	16.8635425860237	16.9257780769346	16.6617494470809	17.1230567371327	16.7844389134876	15.7014494089145	16.7066179884132	16.7285973732802	16.9576760064627	15.3858009226495	16.1723234209809	16.4039242261363	16.2692237977158	16.4115058662617	16.5053826386386	16.0167248954027	16.1733501480718	16.3097068823335	16.4128115949586	16.5385936452827	16.9143772633597	16.6109765387933	16.3860077670464	16.8724084463588	16.6337363509957	16.3034434249468	17.070214026651	16.8111241298604	16.7535705886938	17.1940674021905	16.5771863322774	16.8940400071681	16.7542909224574	16.7407662284109	17.1900272151556	16.5527522388514	16.9308909070571	17.0076198374146	17.2009628908939	16.9455532099484
M117.0193T1.2	14.8113529252949	15.7167169724288	16.0196021281448	15.8929431469169	14.9433956851982	15.0052058240016	15.9335042539567	14.7408590233915	15.4446001898438	14.9605459825265	14.630569118772	14.9311327675908	14.4238076119463	14.1450424918512	14.4919978703482	14.9777171043645	14.6873222498542	14.7973442258491	15.0096954852288	15.4412870791971	15.133792074296	15.1633338829537	15.263985197384	15.4007671607146	14.6362395394317	15.2240773241507	15.374081160361	14.9964683737666	15.5172161935424	15.4029548198812	15.621223296068	15.2984041298284	15.0767466398337	15.0449843310998	14.8871838871618	15.0365435577081	15.4383529634157	15.2053521714994	15.1903094266349	15.0280175025198	15.0688041322064	15.045868960779
M44.9981T1.2	14.9814007551686	15.3351611691215	15.1212269558458	15.292169498307	15.1948806175078	15.0730343043413	15.0991558149226	14.767368093628	15.1955061879989	15.0857407264152	15.0444679981822	14.6701662514076	15.0695205967393	14.9215189709289	14.8144333434187	15.0954197447835	15.1768499971732	15.0950119161496	14.9006385060836	15.0057355279432	15.2079080121358	15.1399533906053	15.1236294918609	15.0042085718559	15.0006367367422	15.074673842667	15.0959029749438	14.923970844058	15.3303337590395	14.9930830037614	15.2673310149427	15.1982797219824	15.0355289592402	15.1550330245425	15.2353336558096	15.2245811418828	15.2246773444295	15.0963930028174	15.180374939258	15.1323877646395	15.1730069955765	15.0809795129118
M145.0142T1.2_1	14.4476834997118	14.9777300220881	15.3728202443899	15.2820316151025	14.6107719281402	14.2290312955724	15.4574745018651	14.5776257095585	14.5489143130702	15.031387924861	16.0508776561985	15.5685788879342	14.496309356159	15.0520005995757	14.1535362457501	14.6989923210949	13.9925566707672	15.2063117817867	14.3398142160657	14.548297171357	14.306026855029	14.5834596276082	15.4996106485858	15.2574258585818	15.2513916391067	15.858460249903	14.439330137204	14.0659117794	15.1945599871035	14.8737585891744	14.9107172147115	15.3203459096407	14.8272532767384	15.1025617662551	14.9861025247346	15.7179423822473	14.4671865284159	15.2211429995264	15.7166800330993	14.7541795754357	15.9770654742801	16.1523372775173
M173.0091T1.2	14.2531580615145	14.2314273814099	14.1399423506869	14.4947864976755	14.2437135787319	14.492136321587	14.4827572220794	13.9991857622735	13.9439679525773	13.7997409032379	13.7964373328063	13.7022694820273	13.6692522659441	13.6213824815584	14.0947115921807	13.7947308622168	14.4304605987787	14.0572297364404	13.9127501740547	14.03219322973	13.7275347041989	13.8514191786986	14.3883339500816	13.4733302512646	13.8529330503885	13.8795127237023	13.99579371403	14.0942497942226	14.293092279523	14.3178544523124	14.3984733819992	14.4984863984578	14.1427188005356	14.183895421364	14.0292047601831	14.1009020134553	14.4768815961255	13.8969776328887	14.3175600162051	14.2824394496301	14.1848690579927	14.4939433455045
M103.04T1.2	14.3126560213715	14.2323436256272	13.5050259022944	13.4293134446549	13.9562809727572	14.2775276586548	13.1875459807796	13.5073464010431	14.112815180666	13.3100841552495	13.5137435875995	14.4591642226298	13.9078753905013	13.4339525202136	14.7031140366432	14.467015426186	13.9568432853318	13.899297656429	14.0275376100637	14.3130017806806	13.907513457802	14.1285135984155	13.8990114946803	12.7673766850321	13.4463812686631	13.3574877916521	14.332369975401	14.5095805046987	13.7589711021491	14.9431712652197	14.4873470704968	13.7340673693179	13.611875625252	13.3912919921003	13.8849121370983	14.5310860193492	14.7351817737773	13.4627149929224	13.3371544232293	14.5177604151383	13.016733789968	14.6771252256285
M96.9695T1.2	14.0292269236221	13.2720332614456	13.3276592180608	12.9534929448203	14.1245248152311	14.8547402300344	13.5425069133692	13.991441583627	13.7467842257011	13.8185741340066	13.7557357130196	13.5625360887922	13.8262167398718	14.0884754997015	13.8546724534125	13.7612762921177	14.3794613323147	13.8168239873741	13.5680260614832	13.4688637590141	12.9875456751928	13.4626806160887	13.2471557054561	14.3147202898908	12.9964263213277	12.6612414766108	14.5432475397542	13.8313901713728	13.8828030410804	13.976878508368	14.5734688604984	13.0099656802579	13.6045098891748	13.4051652433041	13.6773186667958	13.3031440689704	14.3225601853935	13.8284856100729	13.6905197038193	14.4665320918154	13.108101580209	13.5800489629762
M147.0298T1.2	13.923331015391	13.8450484753414	13.7078010570168	13.6364489320479	13.8294476001503	13.8783715400085	13.5294105436363	13.6872853530682	13.5725472010785	13.6292873822527	13.906562639157	13.2971692862846	13.6951983313564	13.6602983442474	13.8280315211338	13.9593572322593	13.7485311559943	13.689969368195	13.6495938148316	13.5090014249802	13.4849170239505	13.6617512066479	13.6472564434548	13.3157430769644	13.3912335183493	13.7773266573453	13.8265943841143	13.6402171082667	13.7013666755978	13.8481584084045	13.8388636440774	13.7962911582646	13.2730430424886	13.6593677685045	13.5762237417109	13.8412703412347	14.1502433870819	13.5831911762433	13.6482923549797	13.8794347576184	13.9303449295696	13.9130748082874
M97.0041T1.2	13.8507962829488	13.2720380136707	13.1552256075079	11.3970656858888	14.2659433825947	14.8861176963517	13.7080628752519	10.727917516186	13.6227125686865	14.0600501321129	13.6604909877659	10.8962087362723	13.634297516424	14.1748744210058	13.9892889230483	10.9955886060584	14.4898589235268	13.7699916536841	13.7825766366175	13.484523581993	12.831020072016	13.648898185938	11.737110527379	10.6791240249234	12.8282108540232	12.6197041613994	14.4082977202076	13.9837221435185	13.8672013503308	13.7872553408894	14.5093077352624	12.8193808773046	13.5258345234554	11.4386588409951	13.6841141332322	13.2719500371683	14.5231159845844	13.7819960713578	13.5497132958183	14.5249377613498	11.1998114422694	13.6747090220953
M130.0873T1.2	13.3961938441655	13.8045486012818	13.770260017232	13.3189015979152	13.6470918330281	13.5966440000183	13.1876141219118	13.6991532572771	13.3728376786983	13.7933587500264	13.37157238099	13.3030842126001	13.7321080780018	13.8852716186493	13.9460885543429	14.1491018313471	13.9868254290653	13.4025544986217	14.1041174616929	13.8956375705274	13.2055320802282	13.4924556388265	13.2658123068542	13.0598623331323	13.7288932405322	13.1651392468093	14.132678815494	13.9362610162199	13.2582867761667	13.4509237735177	13.4066275832291	13.5217973650888	13.4304021827061	13.2234251301449	13.3145429639126	13.5464096967023	13.4919387400707	13.2926233511733	13.5863839846381	13.4551266767126	13.3196590323668	13.1486509562512
M116.0353T1.2	13.4870852590861	13.1457471406794	13.4434875716343	13.0758704431601	13.1619608309796	13.9607387657471	13.3027703188825	13.1868682663846	13.238004192797	13.0051277679146	13.5062678326354	13.3920304619068	12.9368030961181	13.243770959644	13.1736150838015	13.4439367191656	13.1398320954321	13.1776994529958	13.0502555285873	13.0496908893223	13.8069410007695	13.4293851878445	13.3298252706758	13.7289222862563	13.7690878194664	13.4965225646178	13.4358056795367	13.1639124780318	13.2364998775719	12.8812990888077	13.7836506350438	13.4181649268042	13.1252272083598	13.593930628671	13.8050069031241	13.704241635088	13.9321905525377	13.5195095210535	13.4629413402327	13.0975398788891	13.7408607102727	13.5613393822874
M359.0483T1.2	12.3666310314662	13.3366491726277	13.7009251266023	14.1072866741315	12.9036706575786	13.0156393268621	13.3567793635448	12.4586893009884	12.4373938151807	11.868010439014	13.4770279117259	12.8940665244638	12.7187123478243	12.0229665051116	12.8940866937456	12.9696202821917	12.7947805053859	12.9080833395348	12.5684881175216	13.0137106572302	13.1152188992096	13.6873258446968	13.8945046203301	11.2107980899154	12.5742483787342	13.4666452598222	12.6252603793458	12.8072497098223	14.3151511132195	13.7216418029337	13.9252491549173	13.9917425095114	13.6398944627949	14.1372912787961	13.9905268392229	13.2468682411005	13.214530269051	12.6128973215333	13.2888453101196	12.9662656623111	12.8826015548104	14.1460663425138
M180.0666T1.2	13.1471565387583	13.5571156312541	13.3221541550639	12.5803635888222	12.8527089614774	12.7636389391769	12.4767409787295	13.2905153042448	13.0739798873602	13.9502102047818	13.3074942414378	13.1903784205538	13.5502048662473	14.0014836780524	12.9551534605829	13.8119620684964	12.9768694711083	13.510724938623	13.452008422532	13.1605215423498	12.5516923687626	12.7100103480953	12.7121505779	12.9419416097143	13.1419212227408	12.4368416763834	13.3902159846983	13.211171770764	13.0034000227112	13.0035718944525	12.863920385843	12.5995550834018	12.6307176925129	12.5789251043336	12.3909468590045	13.742695415984	12.5221046090059	12.840765626173	13.8383121870503	13.1042996663928	13.4231532782591	13.1747850564963
M243.0622T1.2	13.5301071148319	12.9595078194653	13.2368569992133	13.1660020882138	12.9149866064152	12.8258117920779	13.3396642772911	13.2953218349234	12.6850385736177	12.8770162664948	13.0054693059148	13.1017764403411	12.8390057153834	12.7611953469124	12.3793525926031	12.9004742509594	12.9217128528661	12.4489682347244	12.9387761734124	12.65031568459	12.9583096734307	12.4407657115101	12.7497092615877	12.9970485574555	13.1533224790178	12.6252889409664	12.4873678441115	12.6599364092477	12.8664067343675	12.589011007604	12.7207157819239	12.8995574500389	12.9236971374134	12.865119198455	12.7303699586081	12.1384775856112	12.9351227735427	12.9116368098796	13.2255440687512	12.6493987526968	12.9651002410666	12.5881866234668
M231.9676T1.2	12.6465714100753	12.5475147632232	12.2238595192253	12.6018133407652	12.4444851062963	12.2132958105891	12.4103496256199	12.6301434244265	12.7408613247503	12.6856847012458	12.421442716584	12.3937951699386	12.7836141327802	12.9185694956494	12.5360214556637	12.7610111012896	12.2945845714626	12.7849330774749	12.803601089358	12.4621213516699	12.8747240409184	12.9645027970164	11.5549330387095	12.8971478331199	12.557870121868	12.6296942420697	12.398824127044	12.6153683665374	12.560385128768	12.3431192683267	12.6685302037509	12.5571705199252	12.8617826619917	12.7867075631815	12.7769527320733	12.3618177781547	12.2199158632777	12.8475531871841	12.3483414201114	12.4029396616925	12.5293862553916	12.0967130256652
M113.0243T1.2_2	11.806923233581	13.363265106298	12.8358067874094	12.9289099955355	12.1290693667302	11.9762210025987	12.7484793456161	11.8698228681746	12.7719125071025	12.9406801472326	13.3416420846162	11.7893725991022	12.1773339585215	12.4660480367036	11.6486320132674	11.7852674171858	11.3389358995577	11.8038238369386	12.0561679045078	11.831078638939	12.1359047039305	12.5427337923436	12.8518975053254	12.8381486210344	12.374880945074	13.6316354271287	11.6647744645928	11.7026786900241	12.8549056302184	12.0480559710787	12.0157275607029	13.1691093685176	12.8838234420907	12.9582365379765	12.500532353895	12.2803234012511	12.3443853734813	12.8908447216483	12.6776717505443	11.6698861837105	13.0598756551739	12.4325392036149
M154.9984T1.2_1	12.4303328841344	12.8603574409237	12.4665961342563	12.8815362386908	12.7088183410485	12.5549053110984	12.9095765151971	12.6464914765789	12.1501647302087	12.1083634822775	12.2403745855402	12.2045380045687	12.1979755447149	11.9502091618726	12.2115239268409	11.9266479336752	12.5743490827389	12.2717969804372	12.3786877256649	12.2293469019208	12.1982509544284	12.0658634682285	12.6988006862686	11.8421765576497	12.2854088065653	12.1971561162857	12.4812061779394	11.8821645860402	12.4991560834779	12.6716835648788	12.7816049992353	13.1463583158913	12.1134672159139	12.4642509911916	12.6881942893265	12.1530905473553	12.8521278219686	12.7253669566574	12.6157851970893	12.5199522702342	12.8481089034394	12.6499840846384
M137.0356T1.2	12.9963069448771	12.0619500189157	12.5602454071874	12.1703859375277	12.7899375612169	12.0307960809019	12.2212518870937	12.7411944475105	12.6656028507	12.8713763024859	13.7568665600173	12.7518390419428	11.8123839098408	12.6702280290634	12.3047565844655	12.9154210505398	12.29304217743	11.7061747122902	11.9479743174123	10.9730910320128	11.6210621657084	12.1893257765113	10.9325095614909	12.8830457361235	12.3930051513213	12.0287008111294	11.8756993378085	12.6620469859532	12.0980991392857	12.2846882194089	12.5021852299854	11.4121959887722	11.9828385079763	11.5672280770224	11.5962121518526	12.3020038246744	12.5491309223579	13.2881380135179	12.3447237556641	11.9674409302684	11.6418737395018	12.5980201047257
M187.0419T1.2_1	12.3699844333888	12.3166435295544	12.142256537069	12.4165809905481	12.5560202907199	12.6368843545227	11.9018208051781	12.3305642081323	12.9393181293296	12.0790173049826	12.2605941845737	11.6431524671489	12.3324987481835	12.2150371985666	12.2573560311105	12.3249885322237	12.6916321471394	12.017315789428	12.0910015609142	11.9826960092128	12.9856939795277	12.5981940196988	12.4501479984996	12.8952627964887	11.8763212998113	12.4021717526175	12.200177259237	12.3497932792781	12.4664209882578	12.3049745294866	12.6060690198036	12.4290596211193	12.4985850911214	12.5179899221641	12.393692508246	11.8029560452884	12.8516215392432	12.2917987693772	11.9993345137563	12.6503913083219	12.0269976239051	12.1500740588964
M146.0459T1.2_2	12.9107865651316	12.4564536130853	12.1698344986775	12.0192998128428	12.1757628557461	11.6845517661651	12.4738040297165	12.2176609034864	12.0556378268013	12.7885004389482	12.2486017516863	11.9703860342178	12.5633895036829	12.3465311697715	12.4817919195058	12.1450907875786	12.3168221944358	11.9419244350222	12.5118397093817	12.1749641284114	11.8065516803761	12.5142982566719	12.2941307375432	12.5815474381307	12.5209292018409	11.9237289744864	12.4414696608385	12.292359791102	12.1935514903604	12.1424239776009	11.7471425612217	12.6588374655043	12.2468833044751	12.0135172101674	12.3275060330299	12.0736482463279	12.1937118907568	12.9267676001752	12.316285292211	12.0077088892047	12.3797942883972	12.4511304913462
M201.0381T1.2	12.5680384128382	12.1611468378824	12.1938095208613	12.0592271456468	12.4621330341511	12.1056456309912	12.1808771200401	12.4192446841955	12.3405188678282	12.2623955979438	12.1432752822194	12.4929992567272	12.4886628345192	12.3384991435222	12.3335199687295	12.1142542534492	12.167853570289	12.4480701241769	12.4966213146957	12.0555434592254	12.4068268831678	12.1501833301854	12.3945045660215	12.757935202766	12.3696383948699	12.2680500845718	12.1050606660045	12.2575258267026	12.2547537866323	12.3016297617676	12.1528818656804	12.1363483969915	12.1845617832632	12.2976985970662	12.3570295203732	12.1540465168306	12.0939408531405	12.3768636635792	12.1834782071492	12.2521907095291	12.2556434953436	11.9942191987013
M193.0242T1.2	11.7412282385731	12.00180472685	12.2957838468629	12.4729034834326	12.3049658535822	12.3219671490482	12.3639607915268	12.0031849653293	11.8685273088919	11.5472114895271	12.2155932499934	11.9038755595064	11.7933551546367	11.1861089065552	11.9513170317011	12.0575743475718	12.075082468173	11.8775354143694	11.9671346540859	11.7054426657977	12.0629205057041	12.3444517105011	12.4685223297488	11.1980700148921	12.2093888575513	11.8838137827264	11.9755366233917	11.7871671924661	12.921120310344	12.3833866907363	12.604718159708	12.4496070849316	12.2978378874753	12.5187490204677	12.5199384268722	12.1784746117745	12.2275124327815	11.5839661866812	12.2044840560571	12.2729348585181	12.1584106589205	12.4732338583085
M301.0426T1.2	12.0671694796244	12.605901470327	11.8751383309226	11.8443262428617	11.5632443297417	12.0214775939	11.915095342317	10.9594181170562	11.5906864889964	12.3658773253543	11.7382084856672	11.8568585570043	12.2994233633171	12.1306279168802	12.3786907689308	12.7442774883746	11.1195734333662	12.95586205428	11.7018826409241	12.1033808401577	11.9818171129182	12.6503473659163	12.2849772178778	11.1551328252195	11.779441204374	11.0738415861606	12.8839444938157	12.2794303048212	12.298699383974	11.6950223657786	11.9127476616864	11.6577066169327	11.4786554080927	12.0891976078734	12.4652824891888	12.6464358406171	12.0969981470896	12.4455236103682	12.5004290271134	11.7045683950541	11.9902858042593	13.2085508778908
M99.0087T1.2	11.4913781694769	12.4925674904719	12.928875603989	12.8753727413986	11.6696396107818	12.1055354211775	12.5402031372776	11.4826004222883	12.2474953810097	11.8784538614356	11.7540413434029	11.5894561346924	11.8203069993946	10.8490427776901	11.4003768442396	11.6352108883326	11.3378866636254	11.7559382807136	11.8343557802921	12.2879429448069	12.2997649689762	12.3686952031166	12.4861322008621	11.7064551012831	11.4129918128134	12.3512616885504	11.9117159282171	11.6277410131306	12.4455922407052	12.1608958410637	12.5812713062292	12.2075129963174	11.8840134190928	12.0572968725106	11.8502525919464	12.1124801741119	12.2635199492154	12.2015803968656	11.8797769602156	12.0830283523325	11.9720837102448	12.0699224771154
M254.9816T1.2	12.3561388526525	11.5149293734966	11.9856305984493	12.0744334251436	12.4137195293767	12.9085300044803	12.1118687724402	12.5088100061662	12.6258288274709	11.7066131669511	11.4078128096657	11.3259808124865	12.2993682039035	11.7621308633319	12.0589036136886	11.9880266969672	12.375204308591	11.4664521889946	12.1773892175318	12.5136613090573	11.5345486951312	11.5147209932501	11.29753415502	11.3960714729944	11.0504690829423	11.7951819922076	11.7379965957151	12.4191467641909	11.9108209688085	12.633769321592	12.4609561251	11.8381113668856	11.7979630486551	11.9979568037576	11.7168036605661	11.2807985462714	12.6511065636475	11.435976347435	10.9692511330427	12.5147427139685	11.3680031827178	11.6677947521981
