variableMetadata	chromato	name	chebi_id	limma2ways_WT.LAT_diff	limma2ways_WT.LAT_BH	limma2ways_WT.LAT_signif	limma2ways_M.F_diff_LAT	limma2ways_M.F_BH_LAT	limma2ways_M.F_signif_LAT	limma2ways_WT.MX2_diff	limma2ways_WT.MX2_BH	limma2ways_WT.MX2_signif	limma2ways_M.F_diff_MX2	limma2ways_M.F_BH_MX2	limma2ways_M.F_signif_MX2	OPLSDA_VIP-pred_LAT	OPLSDA_VIP-pred_MX2	biosign_plsda_LAT	biosign_forest_LAT	biosign_svm_LAT	biosign_plsda_MX2	biosign_forest_MX2	biosign_svm_MX2	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	hmdb_id	pubchem_id	formula	monoisotopic_mass	inchikey	inchi	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag
M86.0606T82.15	c18hyper			0.335053911226048	0.553511750002009	0	0.118646910762376	0.679845295383542	0	0.027934586443326	0.969525678394707	0	0.130155000490774	0.583193034922484	0	1.30189005622257	0.315067674968037	E	E	E	E	E	E								NA			M86T82	86.0606471913248	82.1521246036377	[1][M]+		2789	1	@M87.064T82.51|-13C
M87.1001T74.52	c18hyper			-0.067760165893592	0.858031013054922	0	0.193630156015992	0.245516215583852	0	-0.100639256340408	0.784289975201385	0	0.282047852191084	0.0800623024787759	0	0.712259536984158	0.561315971411237	E	E	E	E	E	E								NA			M87T75	87.100099806759	74.5206215882584	[2][M+1]+		1	2	@M86.0968T74.57_2|+13C|@M133.1055T74.93_4|-(HCOOH)|-(H2O-CO)
M132.1023T74.93_10	c18hyper	L-Isoleucine;Isoleucine|β-Leucine;DL-β-Leucine;3-Amino-4-methylpentanoic acid|L-Leucine;Leucine|L-Norleucine;Norleucine|6-Aminocaproic acid;6-Aminohexanoic acid	CHEBI:17191|CHEBI:72772|CHEBI:15603|CHEBI:18347|CHEBI:16586	-0.0799557192651932	0.807876876802578	0	0.168707763949794	0.295568371433152	0	-0.0914872272477787	0.787619924361925	0	0.25467371857777	0.0926381339907416	0	0.848142429170543	0.565070058246753	E	E	E	E	E	E	C00407|C02486|C00123|C01933|C02378	Amino acid metabolism|Miscellaneous	Valine, Leucine and Isoleucine biosynthesis|Valine, Leucine and Isoleucine degradation|Miscellaneous	Isoleucine|Leucine|Others|Miscellaneous	HMDB00172|HMDB03640|HMDB00687|HMDB01645|HMDB01901	CID6306|CID193411|CID6106|CID21236|CID564	C6H13NO2	131.0946	AGPKZVBTJJNPAG-WHFBIAKZSA-N|GLUJNGJDHCTUJY-UHFFFAOYSA-N|ROHFNLRQFUQHCH-YFKPBYRVSA-N|LRQKBLKVPFOOQJ-YFKPBYRVSA-N|SLXKOJJOQWFEFD-UHFFFAOYSA-N	InChI=1S/C6H13NO2/c1-3-4(2)5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t4-,5-/m0/s1|InChI=1S/C6H13NO2/c1-4(2)5(7)3-6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)|InChI=1S/C6H13NO2/c1-4(2)3-5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t5-/m0/s1|InChI=1S/C6H13NO2/c1-2-3-4-5(7)6(8)9/h5H,2-4,7H2,1H3,(H,8,9)/t5-/m0/s1|InChI=1S/C6H13NO2/c7-5-3-1-2-4-6(8)9/h1-5,7H2,(H,8,9)	M132T75_10	132.102281296596	74.9256404524714	[68][M]+	[M+H+HCOOH]+ 85.0878	1	2	@M86.0968T74.57_2|+(HCOOH)|+(H2O-CO)|@M133.1055T74.93_4|-13C|@M134.1063T75.02_28|-18O|-13C2
M86.0971T335.66	c18hyper			0.0325312576763803	0.958942456047312	0	0.108653362765386	0.796438815878681	0	0.0419226996215407	0.969383710049261	0	0.176485940895123	0.628813690002313	0	0.153546451864937	0.418499816373834	E	E	E	E	E	E								NA			M86T336	86.0970779806615	335.6584702961			88	3	@M128.1078T335.62|-(C2H2O)
M156.1028T335.75_2	c18hyper			0.0179352155122778	0.979399025535497	0	0.0825870461405014	0.895523467057894	0	-0.115859952102999	0.912821584389711	0	0.2978586672298	0.522463322732252	0	0.00976900459374136	0.167469063258701	E	E	E	E	E	E								NA			M156T336_2	156.102794475771	335.747397611563	[103][M]+		88	3	@M128.1078T335.62|+(CO)|@M157.1062T335.46|-13C
M87.0444T76.18	c18hyper	γ-Butyrolactone	CHEBI:42639	0.180414180566835	0.570357169490623	0	0.546421419909098	0.00425343497017821	1	-0.11623670164327	0.847959644400247	0	0.229966897949414	0.406561629486997	0	0.578520697511007	0.481967484703114	E	E	E	E	E	E	C01770				HMDB00549	CID7302	C4H6O2	86.03678	YEJRWHAVMIAJKC-UHFFFAOYSA-N	InChI=1S/C4H6O2/c5-4-2-1-3-6-4/h1-3H2	M87T76	87.0444056982077	76.177029580119	[4][M]+		1	4	@M105.055T76.28|-(H2O)
M94.0457T39.07_2	c18hyper			0.078158340220277	0.824375877968768	0	-0.125971928303358	0.520934452290654	0	-0.140180256690321	0.786164979863845	0	-0.217888559859944	0.321249070842611	0	0.809186175419302	1.07824527012963	E	E	E	E	E	E								NA			M94T39_2	94.0456531361813	39.0692967926265	[20][M]2+		14	5	@M94.5463T39.09_1|-13Cdb|@M95.0444T39.06_2|-13C|-15N
M95.546T39.06_2	c18hyper			0.0658159172712161	0.870885278914819	0	-0.128128631243516	0.550519812623237	0	-0.183961631141237	0.754095228235754	0	-0.205848486932748	0.420089772853125	0	0.638985488933641	1.1892622760923	E	E	E	E	E	E								NA			M96T39_2	95.5459993293189	39.0608047698638	[20][M+3]2+		14	5	@M95.0444T39.06_2|+13Cdb
M110.0093T39.44	c18hyper			0.183435391470734	0.641538140086008	0	-0.220556821270272	0.319346722545454	0	-0.150009234189188	0.820054361269047	0	-0.311903982217789	0.247955092081414	0	1.38135241200537	0.845163128842206	E	E	E	E	E	E								NA			M110T39	110.009305321694	39.4396317210947	[33][M]+		14	5	@M111.0101T39.43|-13C|-15N|@M112.0068T39.43|-34S|-41K|-37Cl|@M128.0199T39.45_2|-(H2O)|@M151.0359T39.45|-(CH3CN)|-(C2H3N)|@M177.9968T42.43|-(HCOONa)
M111.0101T39.43	c18hyper			0.208918615273017	0.603994158243197	0	-0.202304158052593	0.37914818246834	0	-0.119094642225718	0.87004518790264	0	-0.288148093379309	0.291796781965587	0	1.4706149588073	0.726084693529109	E	E	E	E	E	E								NA			M111T39	111.01005094106	39.4308784859111	[33][M+1]+		14	5	@M110.0093T39.44|+13C|+15N|@M112.0068T39.43|-15N|@M129.0206T39.43|-(H2O)|@M152.0367T39.46|-(CH3CN)|-(C2H3N)|@M153.0334T39.45|-(CH2N2)
