dataMatrix	X501f	X502m	X503m	X506m	X508f	X509f	X513m	X517f	X518f	X521f	X527m	X528m	X529f	X531f	W616f	W617f	W620f	W621f	W622f	W623f	W625m	W627m	W628m	W629m	W630m	W631m	W632f	W633f	W634m	L818f	L819f	L824m	L825m	L826m	L827m	L836f	L841f	L848m	L849m	L854f	L859m	L862f
M78.919T361.71	23.5515732415095	23.453328790009	23.4942881140597	23.4814442157239	23.6461886367129	23.4515997540552	23.4840905584882	23.4185385179524	23.2287843643256	23.6054782369311	22.9589071177191	23.2518333176674	23.6268499644575	23.5570614916381	23.5841679813873	23.3897933272786	23.4947315140158	23.5913168683218	23.3776440532616	23.3511818393905	23.4892839844675	23.2880657973822	23.4087922542695	23.5184464255284	23.4424819417325	23.3582971072786	23.3343020413501	23.1828832148083	23.2115456301621	23.6997453751147	23.2986742361646	23.4293356709162	23.4900737180626	23.4571179741624	23.4399615365321	23.5797323556178	23.5985485768655	23.5443034288125	23.7585745546526	23.6985800955748	23.5232927010717	23.5955562715399
M80.9169T361.36	23.5704042165442	23.4674743138238	23.5240150354387	23.5054671054882	23.672010656197	23.4719929603959	23.4940030795101	23.4320246278377	23.251505209902	23.6310233210902	22.990404266965	23.2750517094954	23.6344063236587	23.5804582723286	23.5909915077526	23.4283486601636	23.4986626548149	23.6100604159068	23.3925730902923	23.3714378242123	23.5108691710168	23.2975524749301	23.4293953049456	23.5258689170333	23.4639697614322	23.3734593297513	23.3503043018242	23.2066198826669	23.2423842780831	23.7121237492556	23.3271178720684	23.4457727945312	23.5140425261706	23.4680809637177	23.4532873122882	23.601287681746	23.6160655819009	23.5523965300433	23.7813998512647	23.7001508298993	23.5499110244874	23.6052366791274
M140.9195T362.54	23.2992424928335	23.2099419288063	23.3409784706932	23.4277085238716	23.3150420984814	23.3098577323134	23.3569332777715	23.2495454231808	23.0942635452393	23.4024652363755	22.9749362668513	23.200549870385	23.4176828370458	23.3376440641807	23.4131546940988	23.1896129262235	23.3222401320014	23.4095035026618	23.25537546705	23.1740265423882	23.4144228891699	23.1932707244292	23.3031506990365	23.4552625335009	23.320307354565	23.2971793343122	23.1629299397274	23.1593584141083	23.1311055090027	23.5032322236899	23.1463216296398	23.2759886522437	23.3722223578667	23.300552983736	23.2522619674396	23.3866546704895	23.370547033233	23.3655661730647	23.4915898098184	23.5217735842839	23.3212688091891	23.399020807926
M141.9227T362.42	16.472052803052	16.3657259999082	16.4326317660065	16.5157362660864	16.5164673514869	16.4514004415523	16.542903476421	16.4176855536159	16.2531764772557	16.5383826766314	16.1408313001519	16.4570158566336	16.544049957541	16.4896365857449	16.5527861062478	16.3401222033395	16.54042147986	16.5861067222895	16.3627715720589	16.3374523466995	16.5801802451679	16.3902755968357	16.4282111423389	16.5473742458096	16.5461586006683	16.3846428858141	16.3343860141127	16.2877017803549	16.3045730992104	16.6281818828797	16.2533202160192	16.4452691557294	16.5176621455247	16.4541123487221	16.3983086853184	16.5374831292734	16.449016530933	16.5698567254698	16.657556752775	16.7044815735488	16.4880703832054	16.5187787453431
M143.9207T362.55	16.529488989582	16.3636971076771	16.5036783525182	16.5646497467141	16.5353557223814	16.4112814960002	16.536463999022	16.4810101420103	16.2886297402142	16.531338311762	16.1930210929909	16.4750825057507	16.6139140100881	16.5168216540117	16.5657681616246	16.362371372282	16.5389765435328	16.6827246641321	16.4234893111094	16.4005822639107	16.6299986967619	16.4256538983376	16.4942711608486	16.6186766824066	16.49209672514	16.4512405179429	16.3416366669467	16.385283348906	16.3012593928407	16.6594445596212	16.2716030555016	16.4614428021907	16.5111619796307	16.4855832713442	16.4012199466692	16.5076196343837	16.5468844173122	16.5476874687049	16.6387126079021	16.7145714743586	16.4723178776381	16.4564973031078
M144.9217T362.11	15.6456966945466	15.4648653351229	15.6811716182594	15.6852431086389	15.7453812458272	15.5929978472077	15.660029409726	15.635331172762	15.4235529955884	15.6634871537772	15.3875858304608	15.6526042462545	15.7667497709111	15.6391938041179	15.6810090262735	15.5321061131655	15.6634676059518	15.7506749070648	15.5807393996119	15.5613351737662	15.757128762102	15.5751384495498	15.6511688915587	15.8082374308562	15.6644807859914	15.6762142164832	15.4854030920711	15.50328594434	15.4843252683712	15.8327552941452	15.4747766231951	15.6583022326629	15.6487192080198	15.6302258629374	15.5747751262334	15.6375046440548	15.6562229440426	15.7168069767599	15.8011008666705	15.8188416921957	15.6485265864416	15.6317301414325
M79.9575T159.61	17.1297375763479	16.3449455029499	16.8133619728232	17.0728702958983	17.2831223011006	17.1372939649681	16.2924653555619	17.6200433698086	17.1160709560241	17.8666140397699	16.2274093456814	15.1957302145248	17.0334541755938	17.1740913124717	16.5528722606943	17.0654140787902	17.2897369775064	17.0538675057353	17.4666764383177	17.0603553456291	15.3486006108834	16.0433639519838	16.2283397065308	15.8064157480209	16.1584254325695	16.2182311473797	17.7319040294275	17.1662989194223	16.7618276848156	18.112744619809	17.5996213006072	16.9789776177979	16.613973533244	16.7027107764338	16.7529181992149	17.0315426356725	17.0265691081815	17.2525213257498	16.9722638110258	17.6364405369088	16.688539028216	16.8439061420531
M210.9949T161.4	20.293103057357	19.4445304764686	19.9553587325814	20.4037065867991	20.2992073079335	20.3667005626607	19.340375041877	20.8310959850951	20.1931952313974	20.9412238241595	19.4493219582877	18.1332754328428	20.1340995400298	20.304650282284	19.7213632655316	20.2583186294683	20.4278321652216	20.2545551936295	20.7461957286481	20.3383514818292	18.0517556274584	19.1499542017063	19.3418977852333	18.8731098386286	19.281892460354	19.4070625174387	20.9254247344328	20.3712331760884	19.9566260587715	21.0221902322876	20.8126158869406	20.0268989324581	19.7748129081929	19.641020780066	19.9116107815882	20.1966129423568	20.2042543652713	20.3942738847785	20.1458333626176	20.7312169216253	19.6213640699748	20.0096609732569
M80.9749T438.25	19.9396266495478	19.8263501132475	20.106723936726	19.929094448338	20.0335355195803	19.8942661336288	20.1866587396481	20.088426493416	19.7287174876405	19.8632124789805	18.8907680207386	19.5722694566086	20.0597015282152	20.4086011859222	19.7998623431708	19.7216788523068	19.744126171522	19.8286468645551	19.9019146658109	19.8098672047598	19.919663107493	19.9747345302893	19.5714151555703	19.8335790383216	19.7294501472789	19.4884408333735	19.5563710621224	19.3634770730064	19.9305970130897	20.3229316186796	19.5198915866387	19.8330415744265	19.6653347713153	19.9551893316713	19.8998148198148	20.1312327989265	20.0554920692211	20.3581726443548	20.1723120637173	19.8033093105511	19.9641239264224	19.9610235887046
M100.0018T993.11	23.4766662823031	23.3188135477263	23.5871459519882	23.6325166803887	23.5573741561927	23.4867986609678	23.4732774442244	23.4728852635171	23.0995131598789	23.2612040907469	22.8258685808656	23.225264346714	23.6248760455826	23.4655785818239	23.4521140345847	23.3600597917696	23.4225035852562	23.2901112305015	23.4107570071554	23.1938511395955	23.4066011216805	23.4407328100314	23.2908715325108	23.4354247179804	23.1593632157528	23.2889748665589	23.373191651864	23.0946286558699	23.1815839813161	23.7911047307591	23.3486941452896	23.4373316155087	23.4022310419636	23.4667868187987	23.6163261371402	23.424983047589	23.5476972006547	23.5149079624419	23.6522769227869	23.4727406168754	23.554798306944	23.2962581404652
