sampleMetadata	gene	mouse_nb	sex	initial_name	class	polarity	injectionOrder	batch	sampleType	KO	pca_sco1	pca_sco2	hotel_pval	miss_pval	deci_pval	id
X501f	MX2	501	F	X20180910_501P_neg_040	Bio	0	40	b1	sample	Mx2	11.7087046297713	-18.5864169441534	0.665928657259275	1	0.693767066545183	X501f
X502m	MX2	502	M	X20180910_502P_neg_057	Bio	0	57	b1	sample	Mx2	34.5439516789741	4.71109381371053	0.388774206344399	1	0.0812729213909638	X502m
X503m	MX2	503	M	X20180910_503P_neg_046	Bio	0	46	b1	sample	Mx2	46.4225237745681	26.7088332699968	0.108120113009917	1	0.0361872125250078	X503m
X506m	MX2	506	M	X20180910_506P_neg_066	Bio	0	66	b1	sample	Mx2	41.3997485225619	56.7625419894447	0.021190309685873	1	0.375551730460192	X506m
X508f	MX2	508	F	X20180910_508P_neg_067	Bio	0	67	b1	sample	Mx2	25.6713920099324	-41.5062064417216	0.142726148159944	1	0.291928082748969	X508f
X509f	MX2	509	F	X20180910_509P_neg_060	Bio	0	60	b1	sample	Mx2	12.3505155453936	-36.9278366627924	0.278714631431396	1	0.529045525056725	X509f
X513m	MX2	513	M	X20180910_513P_neg_027	Bio	0	27	b1	sample	Mx2	17.123630244657	49.9727155960496	0.100051719316273	1	0.385638426209217	X513m
X517f	MX2	517	F	X20180910_517P_neg_050	Bio	0	50	b1	sample	Mx2	-0.676780865604679	-14.3572401059576	0.835587110891308	1	0.264210858292838	X517f
X518f	MX2	518	F	X20180910_518P_neg_037	Bio	0	37	b1	sample	Mx2	-26.3917124571961	-24.5537680057213	0.348422884778745	1	0.291853692291589	X518f
X521f	MX2	521	F	X20180910_521P_neg_074	Bio	0	74	b1	sample	Mx2	5.64033544317612	-12.9885733898225	0.842146605639976	1	0.510940090787389	X521f
X527m	MX2	527	M	X20180910_527P_neg_051	Bio	0	51	b1	sample	Mx2	-73.4121568713167	18.7130984906955	0.0150811440833289	1	0.00344227007178155	X527m
X528m	MX2	528	M	X20180910_528P_neg_073	Bio	0	73	b1	sample	Mx2	-57.5198013688665	27.7425336248318	0.0455614934952432	1	0.00403271698531649	X528m
X529f	MX2	529	F	X20180910_529P_neg_044	Bio	0	44	b1	sample	Mx2	16.4326923410078	-34.1693897646021	0.300265639422869	1	0.432375888155943	X529f
