variableMetadata	chromato	name	chebi_id	limma2ways_WT.LAT_diff	limma2ways_WT.LAT_BH	limma2ways_WT.LAT_signif	limma2ways_M.F_diff_LAT	limma2ways_M.F_BH_LAT	limma2ways_M.F_signif_LAT	limma2ways_WT.MX2_diff	limma2ways_WT.MX2_BH	limma2ways_WT.MX2_signif	limma2ways_M.F_diff_MX2	limma2ways_M.F_BH_MX2	limma2ways_M.F_signif_MX2	OPLSDA_VIP-pred_LAT	OPLSDA_VIP-pred_MX2	biosign_plsda_LAT	biosign_forest_LAT	biosign_svm_LAT	biosign_plsda_MX2	biosign_forest_MX2	biosign_svm_MX2	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	hmdb_id	pubchem_id	formula	monoisotopic_mass	inchikey	inchi	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag
M78.919T361.71	hilic			0.147542450079285	0.0827943714922026	0	0.0280515461042299	0.762778359823075	0	0.0431104673143672	0.810881959156701	0	0.0910435502050895	0.443631176720745	0	1.46849038462053	0.478945487134832	E	E	E	E	E	E								NA			M79T362	78.9189939471061	361.709771772755		[M-H]- 79.9252	6	1	@M80.9169T361.36|-34S|-41K|-37Cl
M80.9169T361.36	hilic			0.146064641113643	0.081861304857742	0	0.026874417569438	0.769864409292185	0	0.0453327093956091	0.802117781254057	0	0.0896859138000572	0.446731819842349	0	1.49140660533963	0.531641150671015	E	E	E	E	E	E								NA			M81T361	80.9169234635685	361.358921834662		[M-H]- 81.9231	6	1	@M78.919T361.71|+34S|+41K|+37Cl|@M142.9174T362.71|-(H2O)-(CO2)
M140.9195T362.54	hilic			0.0866334689227024	0.299445736693433	0	-0.0127178089766566	0.970203551061869	0	-0.000706986368516738	0.993607239350719	0	0.00672618231321565	0.954272074233161	0	1.01626313908395	0.0342251248048841	E	E	E	E	E	E								NA			M141T363	140.919507466115	362.535162945908		[M-H]- 141.93	6	1	@M141.9227T362.42|-13C|@M142.9174T362.71|-34S|-41K|-37Cl|@M143.9207T362.55|-13C-37Cl|-13C-34S
M141.9227T362.42	hilic			0.0780786574384074	0.363953356650308	0	-0.0241688774113484	0.902984853987069	0	0.00374273871033992	0.982366527563116	0	0.00789121178520347	0.946998014039207	0	0.830239026059261	0.0329902954285845	E	E	E	E	E	E								NA			M142T362	141.922712492544	362.420073223598			6	1	@M140.9195T362.54|+13C|@M142.9174T362.71|-15N|@M143.9207T362.55|-34S|-41K|-37Cl|@M144.9217T362.11|-13C-37Cl|-13C-34S
M143.9207T362.55	hilic			0.0428934159663292	0.649230404158901	0	-0.0126893072208638	0.959226570227792	0	-0.0120033076616224	0.932774724083006	0	0.0128374091377665	0.910974120393112	0	0.441526430924796	0.363710146458073	E	E	E	E	E	E								NA			M144T363	143.920699372506	362.547246634926		[M+2Cl]2- 217.911	6	1	@M140.9195T362.54|+13C+37Cl|+13C+34S|@M141.9227T362.42|+34S|+41K|+37Cl|@M142.9174T362.71|+13C|@M144.9217T362.11|-13C|-15N
M144.9217T362.11	hilic			0.0486026559421955	0.576970101659935	0	-0.0372414353286921	0.771858267482069	0	-0.00715303215777041	0.963650218402223	0	-0.00829879061793903	0.94448215297199	0	0.613174316179836	0.235928687859915	E	E	E	E	E	E								NA			M145T362	144.921681754469	362.106473896282		[M+2Cl]2- 219.909	6	1	@M141.9227T362.42|+13C+37Cl|+13C+34S|@M142.9174T362.71|+18O|+13C2|@M143.9207T362.55|+13C|+15N
M79.9575T159.61	hilic			0.43777366588354	0.0313781568530164	1	0.785069358771569	0.000528005002077073	1	0.221291952695172	0.67076292457936	0	1.0500771067709	1.42307326753283e-05	1	1.11203314651576	0.522249893602829	E	E	E	E	E	E								NA			M80T160	79.9574807487214	159.608692219194			1493	2	@M212.9907T164.84|-(C3H6O3)-(CHNO)
M210.9949T161.4	hilic			0.391506557093496	0.0745044615067535	0	0.881218529412077	0.000562249428799039	1	0.204170897144419	0.713418414732707	0	1.11752692740044	4.8305717478901e-05	1	0.948800120582704	0.446902207851332	E	E	E	E	E	E								NA			M211T161	210.994926318264	161.397324322741			1493	2	@M212.9907T164.84|-34S|-41K|-37Cl
M80.9653T634.94	hilic			3.67254387856515	0.0853741973315195	0	0.660102218977888	0.777942623713822	0	2.90992903368318	0.490289297674115	0	1.08676237737953	0.733856966427603	0	1.13405594823123	1.56518713940653	E	E	C	E	E	E								NA			M81T635	80.9652901742976	634.938111142905			1278	3	@M159.9906T635.21|-(NH3)-(CO2)-(H2O)
M158.9872T635.28	hilic			2.61096457739868	0.534626303882063	0	-0.449639840569171	0.97657214921453	0	-0.707954757370757	0.925680031828048	0	-0.138409320618694	0.984185159834432	0	0.513100371515687	0.234008761276743	E	E	B	E	E	E								NA			M159T635	158.98723030323	635.275490736612	[131][M]-		1286	3	@M95.0252T635.2|+(SO2)|@M159.9906T635.21|-13C
M100.0018T993.11	hilic			0.177490978383943	0.0532013664116087	0	-0.020454619510172	0.967532496612204	0	0.0721709479152643	0.717002764753138	0	0.0453529131631107	0.782868447316374	0	1.49948477713569	0.601946822928601	E	E	E	E	E	E								NA			M100T993	100.00183623858	993.111818415443		[M-H-CO2]- 144.996	14	4	@M81.9912T993.04|+(H2O)|@M143.0077T993.11|-(NHCO)
M123.0178T990.62	hilic			0.257185979831641	0.0796127016082648	0	0.010155758840515	0.918470713866407	0	0.106062909866262	0.724689211555401	0	0.0234933538993776	0.938744669040376	0	1.27049360619795	0.608550843947953	E	E	E	E	E	E								NA			M123T991	123.017787788321	990.620004760413			14	4	@M81.9912T993.04|+(CH3CN)|+(C2H3N)
M139.9944T993.58	hilic			0.170748953412517	0.0909634866827047	0	-0.0322831936202945	0.915490864285769	0	0.0624772540947731	0.768775935521554	0	0.0208089605003856	0.913227944427349	0	1.2880083232212	0.440678243278253	E	E	E	E	E	E								NA			M140T994	139.994426620178	993.582143644315		[M+Cl+NH3]- 87.9938 [M+Cl+NH3]- 87.9938	14	4	@M143.0077T993.11|-13C3|@M161.9764T993.88|-Na|@M183.0002T992.91|-(NHCO)|@M183.9842T992.81|-(CO2)
M161.9764T993.88	hilic			0.223159021950671	0.0857922241620541	0	-0.0176356040770358	0.995144959772625	0	0.0969048389150373	0.716171596282668	0	0.0217476753427199	0.935023058268973	0	1.22856686565586	0.579653653892697	E	E	E	E	E	E								NA			M162T994	161.976395567448	993.884055541235			14	4	@M139.9944T993.58|+Na|@M165.9736T992.98|-44Ca|@M204.9823T993.88|-(NHCO)|@M205.9662T993.61|-(CO2)|@M331.971T993.73|-(C3H7O6P)
M165.9736T992.98	hilic			0.160147701681289	0.128213397760506	0	-0.0193757543108859	0.97280583827694	0	0.0547633486182981	0.806542222530341	0	0.0403370833982173	0.831418471001267	0	1.15708538007901	0.415781272778149	E	E	E	E	E	E								NA			M166T993	165.973602170826	992.979658617324		[M-2H+Na]- 144.996	14	4	@M161.9764T993.88|+44Ca|@M183.0002T992.91|-(NH3)|-NH3|@M183.9842T992.81|-(H2O)
M183.0002T992.91	hilic			0.155643313339276	0.090091312152688	0	-0.0167710923994271	0.97838573914281	0	0.0638301368811796	0.746054316300202	0	0.0607686694966887	0.69336724834274	0	1.32372953583461	0.514413858614068	E	E	E	E	E	E								NA			M183T993	183.000174443637	992.908090697177			14	4	@M139.9944T993.58|+(NHCO)|@M165.9736T992.98|+(NH3)|+NH3|@M204.9823T993.88|-Na
M183.9842T992.81	hilic			0.157541776903294	0.0562068655862521	0	-0.000846622141580156	0.954339970321607	0	0.0828735789038255	0.683725710938505	0	0.0796170571763568	0.546115623256148	0	1.52649964702708	0.801155845018844	E	E	E	E	E	E								NA			M184T993	183.98422526673	992.813901742493			14	4	@M139.9944T993.58|+(CO2)|@M165.9736T992.98|+(H2O)|@M205.9662T993.61|-Na|@M227.9743T993.82_2|-(CO2)
