variableMetadata	chromato	name	chebi_id	limma2ways_WT.LAT_diff	limma2ways_WT.LAT_BH	limma2ways_WT.LAT_signif	limma2ways_M.F_diff_LAT	limma2ways_M.F_BH_LAT	limma2ways_M.F_signif_LAT	limma2ways_WT.MX2_diff	limma2ways_WT.MX2_BH	limma2ways_WT.MX2_signif	limma2ways_M.F_diff_MX2	limma2ways_M.F_BH_MX2	limma2ways_M.F_signif_MX2	OPLSDA_VIP-pred_LAT	OPLSDA_VIP-pred_MX2	biosign_plsda_LAT	biosign_forest_LAT	biosign_svm_LAT	biosign_plsda_MX2	biosign_forest_MX2	biosign_svm_MX2	mixomics_LAT	mixomics_MX2	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	hmdb_id	pubchem_id	formula	monoisotopic_mass	inchikey	inchi	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag
M102.1158T36.57	c18hyper			0.233250381819364	0.340337739893317	0	-0.226333515666408	0.509165550733542	0	-0.0723920037333556	0.901664521734292	0	-0.366958574702931	0.278359936023542	0	0.84182557778378	0.532871565306798	E	E	E	E	E	E	0	0											M102T37	102.11578161749	36.5744924054794		[M+2H]2+ 202.214	10	1	@M85.0892T36.4|+(NH3)|+NH3|@M102.6175T36.47|-13Cdb
M87.1002T74.9	c18hyper			-0.508667818947394	0.000982843331967515	1	0.0076576105388213	0.91786100398087	0	-0.254574416504358	0.19201545482418	0	-0.0737277848330713	0.736657466419373	0	1.85225490352141	2.47372894812382	E	E	E	E	E	E	0	0											M87T75	87.1002028305066	74.9026461946048	[1][M+1]+		1	2	@M86.0969T74.86_2|+13C|@M133.1057T75.03_4|-(HCOOH)|-(H2O-CO)
M132.1025T75.01_11	c18hyper	L-Isoleucine;Isoleucine|β-Leucine;DL-β-Leucine;3-Amino-4-methylpentanoic acid|L-Leucine;Leucine|L-Norleucine;Norleucine|6-Aminocaproic acid;6-Aminohexanoic acid	CHEBI:17191|CHEBI:72772|CHEBI:15603|CHEBI:18347|CHEBI:16586	-0.474561222977893	0.00140805726889262	1	0.00309334344990475	0.907159626831777	0	-0.231906700410576	0.22038382405585	0	-0.0875162484812648	0.656028943472057	0	1.81267580699072	2.35661615665487	E	E	E	E	E	E	0	0	C00407|C02486|C00123|C01933|C02378	Amino acid metabolism|Microbial Metabolism|Miscellaneous	Valine, Leucine and Isoleucine biosynthesis|Valine, Leucine and Isoleucine degradation|Microbial Metabolism|Miscellaneous	Isoleucine|Leucine|Others|Microbial Metabolism|Miscellaneous	HMDB00172|HMDB03640|HMDB00687|HMDB01645|HMDB01901	CID6306|CID193411|CID6106|CID21236|CID564	C6H13NO2	131.0946	AGPKZVBTJJNPAG-WHFBIAKZSA-N|GLUJNGJDHCTUJY-UHFFFAOYSA-N|ROHFNLRQFUQHCH-YFKPBYRVSA-N|LRQKBLKVPFOOQJ-YFKPBYRVSA-N|SLXKOJJOQWFEFD-UHFFFAOYSA-N	InChI=1S/C6H13NO2/c1-3-4(2)5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t4-,5-/m0/s1|InChI=1S/C6H13NO2/c1-4(2)5(7)3-6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)|InChI=1S/C6H13NO2/c1-4(2)3-5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t5-/m0/s1|InChI=1S/C6H13NO2/c1-2-3-4-5(7)6(8)9/h5H,2-4,7H2,1H3,(H,8,9)/t5-/m0/s1|InChI=1S/C6H13NO2/c7-5-3-1-2-4-6(8)9/h1-5,7H2,(H,8,9)	M132T75_11	132.10245955461	75.0124298070721	[70][M]+	[M+Na+HCOOH]+ 63.1096	1	2	@M86.0969T74.86_2|+(HCOOH)|+(H2O-CO)|@M133.1057T75.03_4|-13C|@M134.1065T75.09_8|-18O|-13C2
M105.0039T39.56	c18hyper			-0.0810913272824081	0.55050858690356	0	-0.141541146886663	0.470645964806772	0	-0.0457227973452987	0.89695579455174	0	-0.176065502112635	0.437096606356446	0	0.380727281637822	0.0296320099510088	E	E	E	E	E	E	0	0											M105T40	105.003910473251	39.5569165917096		[M+H]+ 103.999	10	3	@M86.9933T39.5|+(H2O)
M90.9773T43.33	c18hyper			0.0680120526488466	0.706500281863953	0	-0.00517594632725604	0.998849425066238	0	-0.147178409514837	0.580527630029447	0	0.0476167944558767	0.845693938612335	0	0.255779631506205	0.952452807502136	E	E	E	E	E	E	0	0											M91T43	90.9773006404169	43.3254216007768			4	4	@M132.0039T43.34|-(CH3CN)|-(C2H3N)
M91.0148T39.1	c18hyper			0.0196122429948637	0.937947770822997	0	-0.0995046898630356	0.623777071101206	0	0.0424331945016547	0.82222984616018	0	-0.187456925177734	0.231744505305049	0	0.240443446407081	0.640499157620341	E	E	E	E	E	E	0	0											M91T39	91.0148264425887	39.1037221088862	[7][M+3]2+		10	5	@M151.036T39.52_1|-(CH3COOH)|-(C2H4O2)|-CH3COOH
M94.0457T39.24_2	c18hyper			0.0178782346560844	0.945932299991922	0	-0.116015919861951	0.469137882154904	0	0.00666942820948435	0.959095264598343	0	-0.140046915878042	0.325897458680628	0	0.246521100195885	0.466615522739191	E	E	E	E	E	E	0	0											M94T39_2	94.0457398292374	39.2438728811778	[16][M]2+		10	5	@M94.5465T39.16_1|-13Cdb|@M95.0444T39.29_2|-13C|-15N|@M130.0175T39.51_1|-(HCl)
M95.546T39.2	c18hyper			0.0219342765186816	0.943960337260999	0	-0.146754777279238	0.418214459310025	0	0.0253762923824183	0.880735481611051	0	-0.192970224927304	0.195147979004784	0	0.227466395470997	0.665190884295972	E	E	E	E	E	E	0	0											M96T39	95.5460224787652	39.2043439090728	[16][M+3]2+		10	5	@M95.0444T39.29_2|+13Cdb
M110.0094T39.51_2	c18hyper			0.0624905093595594	0.700990800266153	0	-0.128870296911312	0.478083568854626	0	-0.0108245122267974	0.98673246462512	0	-0.148208969129186	0.362366815775657	0	0.400624143933935	0.308623285856842	E	E	E	E	E	E	0	0											M110T40_2	110.009378417198	39.5139673802308	[31][M]+	[M+Na]+ 87.0249	10	5	@M111.0101T39.52_1|-13C|-15N|@M112.0069T39.52|-34S|-41K|-37Cl|@M128.02T39.56|-(H2O)|@M151.036T39.52_1|-(CH3CN)|-(C2H3N)|@M154.0368T39.53_2|-(C2H4O)
M111.0101T39.52_1	c18hyper			0.0507740778501073	0.79607070837657	0	-0.15700402777145	0.396073159314659	0	-0.0173853619321243	0.970275900119726	0	-0.16274630188807	0.350173078670167	0	0.257216070172322	0.181069499836052	E	E	E	E	E	E	0	0											M111T40_1	111.010148238834	39.5169432119798	[31][M+1]+		10	5	@M110.0094T39.51_2|+13C|+15N|@M112.0069T39.52|-15N|@M129.0207T39.54|-(H2O)|@M152.0369T39.52_2|-(CH3CN)|-(C2H3N)|@M153.0335T39.52|-(CH2N2)
