sampleMetadata	gene	mouse_nb	sex	initial_name	CLASS	InjOrder	SourisGenre	Genre	Type	BW	batch	injectionOrder	sampleType	pca_sco1	pca_sco2	hotel_pval	miss_pval	deci_pval	id
X501f	MX2	501	F	Ec57697N_501F_M_Lo_GB8_01_16984	SPLE	17016	521F	F	M	Lo	pos	17016	sample	26.6226792197684	7.48873340406914	0.301928430398713	0.141193802276679	0.45046014036257	X501f
X502m	MX2	502	M	Ec57711N_502M_M_Hi_GD6_01_17000	SPLE	17015	528M	M	M	Hi	pos	17015	sample	-18.1400486469152	-19.480091426865	0.296130135227246	0.243234342852662	0.269217919731743	X502m
X503m	MX2	503	M	Ec57702N_503M_M_Hi_GC5_01_16990	SPLE	17014	622F	F	C	Lo	pos	17014	sample	23.2574793799389	-2.11403564688999	0.428202028282426	0.879021584210312	0.338738731167206	X503m
X506m	MX2	506	M	Ec57718N_506M_M_Hi_GE5_01_17008	SPLE	17013	841F	F	L	Lo	pos	17013	sample	24.2645842603701	7.91835832480434	0.357554551721595	0.879021584210312	0.488616632478027	X506m
X508f	MX2	508	F	Ec57719N_508F_M_Lo_GE6_01_17009	SPLE	17012	627M	M	C	Hi	pos	17012	sample	-4.32790728332856	-4.5930868028647	0.932467261690633	0.879021584210312	0.0182699772883657	X508f
X509f	MX2	509	F	Ec57713N_509F_M_Lo_GD8_01_17002	SPLE	17011	826M	M	L	Hi	pos	17011	sample	-14.8807498264761	9.68273741888197	0.592225570416854	0.879021584210312	0.156577215140545	X509f
X513m	MX2	513	M	Ec57686N_513M_M_Hi_GA5_01_16971	SPLE	17009	508F	F	M	Lo	pos	17009	sample	25.026944807488	1.01040102566037	0.378372120875625	0.879021584210312	0.439724878523649	X513m
X517f	MX2	517	F	Ec57705N_517F_M_Lo_GC8_01_16993	SPLE	17008	506M	M	M	Hi	pos	17008	sample	-26.2556422981781	16.5812488323253	0.208973235622706	0.879021584210312	0.146092240641861	X517f
X518f	MX2	518	F	Ec57694N_518F_M_Lo_GB5_01_16980	SPLE	17007	620F	F	C	Lo	pos	17007	sample	21.7110096357729	-9.45886376242346	0.406786598588326	0.879021584210312	0.514247682806252	X518f
X521f	MX2	521	F	Ec57725N_521F_M_Lo_BA4_01_17016	SPLE	17006	862F	F	L	Lo	pos	17006	sample	0.140372751609773	-30.9544738633104	0.169908094984784	0.879021584210312	0.0984061719810099	X521f
X527m	MX2	527	M	Ec57706N_527M_M_Hi_GD1_01_16994	SPLE	17005	859M	M	L	Hi	pos	17005	sample	-9.31549306519435	-35.8423018423225	0.0843106286145578	0.879021584210312	0.525257034150999	X527m
X528m	MX2	528	M	Ec57724N_528M_M_Hi_BA3_01_17015	SPLE	17004	629M	M	C	Lo	pos	17004	sample	-8.3047054741994	8.02394018410255	0.793536380870659	0.879021584210312	0.348214941800969	X528m
