variableMetadata	chromato	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	name	chebi_id	annot_level	annot_confidence	limma2ways_WT.LAT_diff	limma2ways_WT.LAT_BH	limma2ways_WT.LAT_signif	limma2ways_M.F_diff_LAT	limma2ways_M.F_BH_LAT	limma2ways_M.F_signif_LAT	limma2ways_WT.MX2_diff	limma2ways_WT.MX2_BH	limma2ways_WT.MX2_signif	limma2ways_M.F_diff_MX2	limma2ways_M.F_BH_MX2	limma2ways_M.F_signif_MX2	OPLSDA_VIP-pred_LAT	OPLSDA_VIP-pred_MX2	biosign_plsda_LAT	biosign_forest_LAT	biosign_svm_LAT	biosign_plsda_MX2	biosign_forest_MX2	biosign_svm_MX2	mixomics_LAT	mixomics_MX2
M96.9695T1	c18acqui	M97T59	96.9695346795798	58.7005952843633		[M-H-C2H4]- 126.004	105	1	@M78.959T0.9|+(H2O)|@M154.9282T0.9|-(NaCl)	Unknown		4		0.0123153569715964	0.955333775599802	0	0.841279536382864	0.00123866655297045	1	0.23353994893826	0.780058157881769	0	0.756984780505929	0.00333845907324786	1	0.380964459442306	0.895085899886829	E	E	E	E	E	E	0	0
M156.9252T0.9	c18acqui	M157T55	156.925209648498	55.245166432733			105	1	@M154.9282T0.9|+34S|+41K|+37Cl	Unknown		4		0.10907320526071	0.877439763153342	0	0.917533257915943	0.00352540504759451	1	0.314826539121265	0.736574108439909	0	0.933937849906144	0.00207115437138409	1	0.75039769615429	0.913679396806358	E	E	E	E	E	E	0	0
M334.9916T0.9	c18acqui	M335T54	334.991568755293	54.4339020099826			105	1	@M154.9282T0.9|+(C6H10O5)+(H2O)	Unknown		4		-0.0685719533039144	0.995685619482662	0	1.02136412030449	0.00534181348480084	1	0.137562532674195	0.917711883955604	0	1.03364195688059	0.00134591220801116	1	0.250944148305161	0.411025572038656	E	E	E	E	E	E	0	0
M96.9695T1.2	c18acqui	M97T72	96.9695092988283	71.832428802054			8	2	@M78.959T1.2|+(H2O)	Unknown		4		0.0826058173459376	0.880611605599119	0	0.540696769684578	0.0130725032001017	1	0.126383515498482	0.86738116778328	0	0.599442781201086	0.0024203843354369	1	0.663483302553341	0.520647938306915	E	E	E	E	E	E	0	0
M80.9651T8.6	c18acqui	M81T519	80.9651229406471	518.605866484295		[M-H-CO2]- 125.961	60	3	@M79.9573T8.6|+13C|@M132.0455T8.7|-3(NH3)|@M213.0054T8.7|-(C5H8O4)|@M213.9985T8.7|-(C3H6O3)-(CHNO)	Unknown		4		0.303143828235203	0.544728493061266	0	0.979801987644334	0.000246453542868982	1	-0.0639744100033681	0.891043999575817	0	1.24114701360065	1.36233134349221e-05	1	1.32109981272834	0.170746646885803	E	E	E	E	E	E	0	0
M124.9549T8.7	c18acqui	M125T519	124.954938252878	519.163007876155		[M-H]- 125.961	60	3	@M210.9945T8.6|-(C4H6O2)|@M213.9985T8.7|-(C3H7O2N)	Unknown		4		0.278748927739672	0.557216260922575	0	1.20090365838028	3.52134720088169e-05	1	-0.100336797670414	0.862864456443553	0	1.49441577143193	4.9897947786517e-06	1	1.18719545395105	0.429714173584637	E	E	E	E	E	E	0	0
M210.9945T8.6	c18acqui	M211T519	210.994521805546	518.630621289623			60	3	@M124.9549T8.7|+(C4H6O2)|@M212.0023T8.7|-13C|@M213.0054T8.7|-13C2|-(H2)|@M213.9985T8.7|-13C-37Cl|-13C-18O|-13C-34S	Unknown		4		0.309797942628832	0.564104516170412	0	0.930511615144653	0.00108971793700038	1	-0.00212567668284791	0.955616617470517	0	1.26764618099962	2.74811395041949e-05	1	1.3799653701161	0.1061305230742	E	E	E	E	E	E	0	0
M212.0023T8.7	c18acqui	M212T520	212.002293157443	519.575395642256	[89][M]-		1078	3	@M79.9573T8.6|+(C5H8O4)|@M132.0455T8.7|+(SO3)|@M210.9945T8.6|+13C|@M213.0054T8.7|-13C|@M213.9985T8.7|-34S|-41K|-37Cl|@M291.959T8.7|-(SO3)	Unknown		4		0.479088559462227	0.552015004652139	0	1.4962878074057	0.000456972965787682	1	0.0216719581410842	0.974631922884215	0	1.82100724719251	4.01976421354967e-05	1	1.32335999879162	0.00100631046214649	E	E	E	E	E	E	0	0
M425.0117T8.6	c18acqui	M425T519	425.011724743013	518.952497359201		[M-H]- 426.019	60	3	@M213.0054T8.7|+(C5H9O7P)|@M446.9938T8.7|-Na|@M462.9675T8.6|-K|@M470.0699T8.7|-(C2H7N)	Unknown		4		0.497277459015455	0.557216260922575	0	1.89958346065209	0.000121384234285648	1	0.187847513443327	0.943320412017668	0	2.07440319756157	1.36233134349221e-05	1	1.15839770372411	0.259919563159426	E	E	E	E	E	E	0	0
M446.9938T8.7	c18acqui	M447T519	446.993792928942	519.164619711586		[M-2H+Na]- 426.019	60	3	@M425.0117T8.6|+Na	Unknown		4		0.438596080887324	0.626665363937795	0	1.65260087777824	0.000431865119509156	1	-0.106271117712616	0.894982083399533	0	2.08104193559412	3.08832431996743e-05	1	1.18627214752963	0.150652090930909	E	E	E	E	E	E	0	0
M462.9675T8.6	c18acqui	M463T518	462.967450991703	518.223241627061			1079	3	@M425.0117T8.6|+K	Unknown		4		0.438916611857168	0.536649796318945	0	1.39280499703093	0.000246453542868982	1	0.104428868294187	0.971922991931234	0	1.54895573840152	3.07225918789441e-05	1	1.29879524884671	0.221846123323998	E	E	E	E	E	E	0	0
M470.0699T8.7	c18acqui	M470T519	470.0698871956	519.149747379141			60	3	@M425.0117T8.6|+(C2H7N)	Unknown		4		0.570369910831777	0.512679388157418	0	2.10332198934588	1.53727296961065e-05	1	-0.179897543437395	0.835296024091683	0	2.4983699921081	1.44557097876151e-06	1	1.10782232289078	0.262551418881713	E	E	B	E	E	E	0	0
