dataMatrix	X501f	X502m	X503m	X506m	X508f	X509f	X513m	X517f	X518f	X521f	X527m	X528m	X529f	X531f	W616f	W617f	W620f	W621f	W622f	W623f	W625m	W627m	W628m	W629m	W630m	W631m	W632f	W633f	W634m	L818f	L819f	L824m	L825m	L826m	L827m	L836f	L841f	L848m	L849m	L854f	L859m	L862f
M132.102T1.19_3	24.7525676564828	25.0008535731051	24.8560161853829	24.7950887590136	24.7721934494073	24.9562644908141	24.6572117174236	24.6395905661655	24.8205712260403	24.8070238802192	24.4087454312376	24.2188654858188	24.6584557519747	24.744947441324	24.9767254398933	24.9457443921356	24.9636044424511	24.5731392185924	24.9916324177933	24.8332485063728	24.6101092448249	24.7708603923666	24.510551952637	24.4577611488428	24.7397814035965	24.6129429642405	25.0035192443637	24.839909109985	24.7623186451018	24.8716739673963	24.9633464970903	24.7996034656229	24.8223726216853	24.8397475256601	24.7236444669395	24.6711396976942	24.9286063451486	24.3942679725264	24.6786317806639	24.8694735506175	24.6640363707159	24.2520632561631
M118.0863T1.18_2	24.2630844103511	24.5714520417183	24.7233043367307	24.5863122217931	24.2042117994301	24.608454248207	24.4202152805211	24.2676899719519	24.3989718971809	24.3286384193972	24.02250016789	24.0024749516092	24.1042820895341	24.2786790839913	24.4918189727913	24.442827148518	24.5268768207564	24.2211488209768	24.3716693322468	24.3766358572701	24.0281003808227	24.5110775454783	24.224312030666	24.2266570860997	24.2785436043513	24.2819004011756	24.3629772438757	24.1913388971288	24.2981610841298	24.4652470819772	24.3946322295128	24.5576690028519	24.3998326342502	24.5661507111667	24.3443610317815	24.3272850504579	24.2937228563351	24.2085950587187	24.3881535923829	24.5325460155774	24.4135700385105	23.9138093084658
M118.1366T1.17	24.2025398280562	24.6327020266502	12.8653727121388	12.4603093860686	12.6334470831028	24.6801533953934	24.3130807658003	24.2533995453659	24.3251011932946	24.4157838060083	24.0203476479818	24.0921376334849	24.0576780916832	24.1796942841648	24.4358457123313	24.3274169333144	24.6144337277141	24.2586901221932	24.4631101599584	24.4435177638556	24.0018899590063	24.6040481907402	24.113063748622	24.3060891992299	24.2134941123268	12.3229404065496	24.3425250746993	24.1088874995931	24.3527899296569	24.4234721123063	24.307976136614	24.5063389846026	24.4132659171257	24.6589809255645	24.2494509313142	24.3740941128726	24.3862490349654	24.130404747375	24.3186626672836	24.4294931999045	12.3980481155069	23.9990563724835
M86.0964T1.2_2	23.767777132644	24.1962769150014	24.1030238531984	23.8815739776205	24.0022269370563	24.0078093287731	23.5968133782814	23.7264210598157	23.7817402554531	23.9847101332056	23.6379751032513	23.1703178111635	23.9205052987167	23.9174175715471	24.0788862081446	24.1590251315193	24.1778290103276	23.5844394560777	24.1830404341162	23.9724640809283	23.8887694287875	23.7072030168147	23.7102716081401	23.6315489993037	23.8018861469964	23.7729148862889	24.2166601157044	24.0415571169135	23.9700476308922	23.8853340833356	24.111608235319	23.7943705096144	23.9343658001226	23.9638834999667	23.8241904089516	23.6366475000701	24.1015358334898	23.6559383737693	23.7653114560403	24.0208666626384	23.7649160933532	23.4709533216045
M72.0806T1.18_2	23.0855318753295	23.0821501055989	23.409702199808	23.5625308075055	22.8482034117351	23.6239185192525	23.4896581442472	23.0194164002545	23.3378488743577	23.0944329244666	22.7136395231841	23.0421283068476	22.8068718963086	23.053282743497	23.4709982425949	23.2484266373313	23.0616671562542	23.213636693769	23.1502336706206	23.3487960533002	22.7650672334139	23.4804388476503	23.122763519408	23.0863345155846	23.3407092028469	23.1178265839698	23.0430425142293	22.9612324118828	22.9396770775056	23.4623387669168	23.0718734804324	23.4959974122848	23.4140513523285	23.4131405225828	22.9933299985139	23.2404369723739	23.0055614136032	23.033607508157	23.0265457567403	23.2310466746315	23.3848096539162	22.4868742725739
M204.123T1.18_3	21.9806871130924	21.4054435938412	21.1933101692016	21.6967966794822	21.9799637603289	22.1772792080047	22.2452370762719	21.7631007340257	22.2328571322057	21.6788732200864	21.5441784646344	22.3895573673754	21.9130719975171	21.7986473743234	22.3679586029822	21.9234731855173	21.6880626502675	22.4648641283463	21.8139137491769	22.1796949093753	21.5329631709928	21.6404649850653	21.9525135952467	22.0295545499134	22.0094411370825	21.8784529512444	22.1251897712455	22.1428857084867	21.7100626996432	22.6168697332277	22.2153929486549	21.3855445071112	21.5954909833357	21.4772603740016	21.5739327939027	22.2118436395588	22.0058139338128	21.0668146863112	21.5336382639669	21.9996814299265	21.9222072781945	22.6642350707994
M150.0583T1.19	21.818644101212	22.3652400819821	22.1218874543518	21.7917069077829	22.0240379744652	21.8345004877947	21.616642092742	21.9809667243342	21.9948534280026	22.2705682504165	22.0185122526624	21.5654493759546	22.1193975722685	22.1457274866997	21.5524928658111	21.9945660688548	22.1408976817863	21.6921226810158	21.9326295953469	21.8015027868085	21.6589316485539	21.9717247084812	22.0238328114438	21.8956585997506	21.5524765528518	21.8489912059811	22.1876559864934	21.9828788109742	22.0892309178742	21.8434913961253	22.0186759471785	21.9586813512348	21.6837287843751	22.0364319779203	21.8865061844966	22.0174539823892	21.5984174258702	21.9285590889034	22.0765471770673	22.0269401669027	21.7923064217819	21.9349609546231
M182.0812T1.19_2	21.3725612590519	21.7412142153916	21.3967934809737	21.0991595893235	21.3041221747479	21.2033551273296	21.0981094982812	21.1735617606358	21.2411553623304	21.8562475429889	21.5865584323548	21.3186357501726	21.5809819646766	21.6907462052967	21.0307249076466	21.7282262152509	21.3038131324788	21.5956133781165	21.2449113696621	20.9373206370722	21.028217707868	21.1261382209926	21.2055423728394	21.0336994020481	21.0850281903594	20.9587860120175	21.4304387427476	21.2535867617903	21.4686831880757	21.1899503128928	21.3392197203175	21.1388046375459	21.0471038713489	21.0905080883909	21.3088500896717	21.8852702715321	21.0857905996335	21.0482570108188	21.8984354984557	21.5192411340806	21.5751654665123	21.7158678345478
M130.0863T1.18_3	19.8865336019912	20.2602021713842	19.8443547996769	20.3225998225504	19.8417289214167	19.4389388938394	20.2141221093678	20.0133975087868	19.643544052071	19.8479584939625	19.9373290755568	19.8155838803772	19.7639673044438	19.8484155947548	19.3008212978989	19.3732071413187	19.5794425400329	19.0418640156275	19.5177672073601	19.8004216531778	20.1860711836421	19.9213695858407	20.1099189122249	20.6576813555164	20.3251832548533	20.4325842216552	19.5647738839802	19.5734429948784	20.1988302256534	19.79207932629	19.627168908097	20.0453668442241	19.9743399234995	20.2942146756799	19.7942785230585	18.8502652755824	19.4931089815075	20.333664356254	19.6924979536845	19.5773007595814	20.2779891928496	19.5174072899059
M104.0531T1.19	19.6434961549103	20.0794193449241	19.8436596135518	19.6449218914426	19.7774195956351	19.7517493361881	19.5493288674469	19.8393803340646	19.7989193613001	20.0673931139484	19.7082338712465	19.5043592137204	19.8885733767865	19.9132095250737	19.4704906459207	19.8006533168251	19.8828299707011	19.6322206673767	19.6999780744116	19.429047389719	19.3650777200822	19.8642660155825	19.7122833117398	19.5471016914211	19.5196324237669	19.4664060245482	19.8597853588547	19.7954070057787	19.801025568091	19.7541368557868	19.7092659444258	19.8474006477984	19.5958051594947	19.7237460975209	19.6782725086199	19.7730468901896	19.3299865263331	19.6377349112894	19.8793994223458	19.8105343748856	19.5891054763613	19.6599377356599
