variableMetadata	chromato	name	chebi_id	limma2ways_WT.LAT_diff	limma2ways_WT.LAT_BH	limma2ways_WT.LAT_signif	limma2ways_M.F_diff_LAT	limma2ways_M.F_BH_LAT	limma2ways_M.F_signif_LAT	limma2ways_WT.MX2_diff	limma2ways_WT.MX2_BH	limma2ways_WT.MX2_signif	limma2ways_M.F_diff_MX2	limma2ways_M.F_BH_MX2	limma2ways_M.F_signif_MX2	OPLSDA_VIP-pred_LAT	OPLSDA_VIP-pred_MX2	biosign_plsda_LAT	biosign_forest_LAT	biosign_svm_LAT	biosign_plsda_MX2	biosign_forest_MX2	biosign_svm_MX2	mixomics_LAT	mixomics_MX2	annot_level	annot_confidence	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag
M61.5087T0.72_1	c18acqui			0.150531985737853	0.800055697572617	0	-0.129448250139115	0.461721385194749	0	0.0633331312726462	0.974330332819913	0	-0.148257318530179	0.392381696912812	0	1.63339706691187	0.415091288095788	E	E	E	E	E	E	0	0	4		M62T43_1	61.5086557690867	43.1853361108618	[5][M+1]2+		14	1	@M61.0072T0.72_5|+13Cdb|@M79.5191T0.72_1|-(H2O)|@M92.5223T0.72_1|-(CH3O.)
M63.0036T0.72_3	c18acqui			0.00710068616339399	0.997399894625708	0	-0.125228353905893	0.437298185652474	0	-0.0163284399258998	0.993544136762396	0	-0.188796258218606	0.189341448979432	0	0.32936772619428	0.155139657020521	E	E	E	E	E	E	0	0	4		M63T43_3	63.0036167373717	43.1737771115211	[5][M+4]2+		14	1	@M61.0072T0.72_5|+34S|+41K|+37Cl
M70.0124T0.72_3	c18acqui			0.0998700220363382	0.883217181892346	0	-0.132241592880355	0.444181612085754	0	0.016741999866106	0.986967026657348	0	-0.198091751020542	0.216181538076241	0	1.20803224712562	0.0712211985999843	E	E	E	E	E	E	0	0	4		M70T43_3	70.0124277893366	43.1790911213774	[17][M]2+	[M+H+K]2+ 100.049	14	1	@M70.5138T0.72_1|-13Cdb|@M72.0089T0.72_4|-34S|-41K|-37Cl|@M88.0232T0.72_4|-(H2O)
M70.5138T0.72_1	c18acqui			0.0977106823939131	0.884749432707332	0	-0.111968605787979	0.554123990368119	0	-0.00178500359564993	0.997716009714354	0	-0.155293213798576	0.351359543062601	0	1.16907625790145	0.108845220925946	E	E	E	E	E	E	0	0	4		M71T43_1	70.5137906307791	43.1853361108618	[17][M+1]2+		14	1	@M70.0124T0.72_3|+13Cdb|@M88.5243T0.72_1|-(H2O)
M72.0089T0.72_4	c18acqui			0.0349032022357765	0.971472175244133	0	-0.101960058038021	0.567817683016901	0	-0.0821243139381362	0.966614363565369	0	-0.219241558588166	0.170203944038338	0	0.596229459327979	0.601565409679931	E	E	E	E	E	E	0	0	4		M72T43_4	72.0088932760289	43.1764996346772	[17][M+4]2+		14	1	@M70.0124T0.72_3|+34S|+41K|+37Cl|@M143.9968T0.72_1|-(CO2)-(CO)
M79.0177T0.72_2	c18acqui			0.125048079932597	0.843224229415198	0	-0.141382559176542	0.445153584769968	0	0.0275790228175481	0.98334591086093	0	-0.220252419368382	0.186317285267218	0	1.37984419866769	0.147253915309818	E	E	E	E	E	E	0	0	4		M79T43_2	79.0177267908052	43.1790911213774	[31][M]2+		14	1	@M61.0072T0.72_5|+(H2O)|@M79.5191T0.72_1|-13Cdb|@M81.0142T0.72_3|-34S|-41K|-37Cl|@M97.0286T0.72_3|-(H2O)
M81.5205T0.72_1	c18acqui			0.10528389784713	0.882879073935551	0	-0.105344450378979	0.605045023782326	0	-0.00453218297723623	0.999189346311541	0	-0.203386768220554	0.248751196529965	0	1.19586819722153	0.0765300848341724	E	E	E	E	E	E	0	0	4		M82T43_1	81.5204669953997	43.1591901605617		[M+H-C2H4]+ 108.548	14	1	@M79.5191T0.72_1|+18O|+41K|+37Cl|@M81.0142T0.72_3|+13Cdb|@M83.517T0.72_1|-34S|-41K|-37Cl|@M99.5315T0.72_1|-(H2O)
M83.517T0.72_1	c18acqui			0.112303038233332	0.843548069174541	0	-0.146692942253987	0.350095496323695	0	-0.000802836909681304	0.995054109066654	0	-0.189451502466078	0.222528836424434	0	1.30776815463722	0.106921066214419	E	E	E	E	E	E	0	0	4		M84T43_1	83.5169548015343	43.1591901605617	[37][M+3]2+		14	1	@M81.5205T0.72_1|+34S|+41K|+37Cl|@M101.5281T0.72_1|-(H2O)
M84.9596T0.72_2	c18acqui			0.126088495947215	0.857490035697635	0	-0.137601529119593	0.499313340536683	0	-0.00623785678145339	0.999189346311541	0	-0.21984980156288	0.239255079657354	0	1.29015232130337	0.152291189098035	E	E	E	E	E	E	0	0	4		M85T43_2	84.9595586066561	43.1751383730992	[47][M]+	[M+K]+ 45.9958 [M+K]+ 45.9958	14	1	@M85.963T0.72_3|-13C|@M88.9525T0.72_2|-44Ca|@M102.9706T0.72_3|-(H2O)|@M125.9862T0.72_1|-(CH3CN)|-(C2H3N)|@M126.9895T0.72_1|-(C2H4N.)
M85.963T0.72_3	c18acqui			0.124700284869395	0.872307478065683	0	-0.0673317155667554	0.822007500573386	0	-0.0167686899454598	0.995054109066654	0	-0.204167296396651	0.285789797761551	0	1.30263051669328	0.0867862173843964	E	E	E	E	E	E	0	0	NA		M86T43_3	85.9630393690672	43.1790911213774	[47][M+1]+		14	1	@M84.9596T0.72_2|+13C|@M126.9895T0.72_1|-(CH3CN)|-(C2H3N)
