sampleMetadata	gene	mouse_nb	sex	initial_name	class	batch	injectionOrder	sampleType	pca_sco1	pca_sco2	hotel_pval	miss_pval	deci_pval	id
X501f	MX2	501	F	X20180906_501P_pos_030	Bio	pos	30	sample	-21.003736441155	-2.41416065972684	0.849093085196598	1	0.649407814192179	X501f
X502m	MX2	502	M	X20180906_502P_pos_048	Bio	pos	48	sample	24.7056617432096	-36.9796057543965	0.436979783718116	1	0.0396709584724191	X502m
X503m	MX2	503	M	X20180906_503P_pos_036	Bio	pos	36	sample	-3.4397040562862	-46.0604059636189	0.388478454015614	1	0.341030127371577	X503m
X506m	MX2	506	M	X20180906_506P_pos_057	Bio	pos	57	sample	12.8678072313801	-29.2257975963136	0.642137848309041	1	0.375567022167506	X506m
X508f	MX2	508	F	X20180906_508P_pos_058	Bio	pos	58	sample	-33.4828885070434	-12.5324651526066	0.620774853203353	1	0.37028549251187	X508f
X509f	MX2	509	F	X20180906_509P_pos_051	Bio	pos	51	sample	-18.3063594992584	2.64333623518518	0.882038712330386	1	0.109657501318374	X509f
X513m	MX2	513	M	X20180906_513P_pos_017	Bio	pos	17	sample	-1.37924747395072	26.0992538724217	0.735733251342303	1	0.062566367057356	X513m
X517f	MX2	517	F	X20180906_517P_pos_040	Bio	pos	40	sample	4.11168130822461	-2.20789284151456	0.991642617661711	1	0.631837706396264	X517f
X518f	MX2	518	F	X20180906_518P_pos_027	Bio	pos	27	sample	-23.0147803217612	-20.1921233212857	0.686985872540974	1	0.40024454378612	X518f
X521f	MX2	521	F	X20180906_521P_pos_065	Bio	pos	65	sample	-23.6490825188003	-23.647112101108	0.635426162778863	1	0.0305037069550069	X521f
X527m	MX2	527	M	X20180906_527P_pos_041	Bio	pos	41	sample	-10.1711861378447	59.4308422945722	0.205302240432348	1	0.131661704556483	X527m
X528m	MX2	528	M	X20180906_528P_pos_064	Bio	pos	64	sample	22.6207978464277	80.4600585165895	0.0532412099654652	1	0.0766159513132871	X528m
X529f	MX2	529	F	X20180906_529P_pos_034	Bio	pos	34	sample	-14.2293495935125	-18.3471311076691	0.7982388927612	1	0.499195679258456	X529f
X531f	MX2	531	F	X20180906_531P_pos_019	Bio	pos	19	sample	-50.6058740229417	4.12424676391138	0.39557136542003	1	0.106326496253637	X531f
W616f	WT	616	F	X20180906_616P_pos_031	Bio	pos	31	sample	-71.3598913628405	-20.8780750718805	0.138181922950032	1	0.0943466535629711	W616f
W617f	WT	617	F	X20180906_617P_pos_015	Bio	pos	15	sample	-65.3925167045245	-12.487503749268	0.205225448213668	1	0.402220501930698	W617f
W620f	WT	620	F	X20180906_620P_pos_055	Bio	pos	55	sample	-42.788636138829	-40.900328425642	0.24984282428213	1	0.513308867726034	W620f
W621f	WT	621	F	X20180906_621P_pos_043	Bio	pos	43	sample	-47.9726870051173	65.0544928458247	0.0733540675029238	1	0.000741360359633791	W621f
W622f	WT	622	F	X20180906_622P_pos_063	Bio	pos	63	sample	-12.4406285303822	-27.3174540181821	0.676328920166813	1	0.328173310685688	W622f
W623f	WT	623	F	X20180906_623P_pos_049	Bio	pos	49	sample	24.9574266880844	-16.1362775366013	0.709367027465351	1	0.246566956999885	W623f
W625m	WT	625	M	X20180906_625P_pos_037	Bio	pos	37	sample	50.7329161998958	6.97677513984172	0.388389391011466	1	0.0869061563083757	W625m
W627m	WT	627	M	X20180906_627P_pos_060	Bio	pos	60	sample	62.5846077607355	-30.3522008904878	0.167960728000405	1	0.526532220155384	W627m
W628m	WT	628	M	X20180906_628P_pos_016	Bio	pos	16	sample	52.2160827865565	13.675993710562	0.346636977742843	1	0.473352087659079	W628m
W629m	WT	629	M	X20180906_629P_pos_052	Bio	pos	52	sample	-17.2163762203212	12.9120507301026	0.832572983105051	1	0.106305208166605	W629m
W630m	WT	630	M	X20180906_630P_pos_029	Bio	pos	29	sample	13.1077341328316	0.368397089267448	0.939058649319027	1	0.547282428634971	W630m
W631m	WT	631	M	X20180906_631P_pos_022	Bio	pos	22	sample	107.324256671168	30.3559240156138	0.014353416289941	1	0.027464628152494	W631m
W632f	WT	632	F	X20180906_632P_pos_039	Bio	pos	39	sample	-6.63648709816963	-25.6354465418061	0.732418534567849	1	0.380296330560472	W632f
W633f	WT	633	F	X20180906_633P_pos_024	Bio	pos	24	sample	9.05282269532519	-15.5673143691721	0.870031542704425	1	0.175754157472191	W633f
W634m	WT	634	M	X20180906_634P_pos_047	Bio	pos	47	sample	64.0728970343493	-28.4795325661797	0.164994448099994	1	0.028700050128303	W634m
L818f	LAT	818	F	X20180906_818P_pos_035	Bio	pos	35	sample	-66.3304815103814	-16.3610039452245	0.187633792065639	1	0.000811656994590626	L818f
L819f	LAT	819	F	X20180906_819P_pos_023	Bio	pos	23	sample	-46.3161536995427	-32.4031542102955	0.292613413920626	1	0.739666277408638	L819f
L824m	LAT	824	M	X20180906_824P_pos_033	Bio	pos	33	sample	36.169260655455	-41.9816449249625	0.288224702212298	1	0.241585498942753	L824m
L825m	LAT	825	M	X20180906_825P_pos_042	Bio	pos	42	sample	14.248254782139	-19.4993414334357	0.782642425424156	1	0.527020161291444	L825m
L826m	LAT	826	M	X20180906_826P_pos_059	Bio	pos	59	sample	45.7101856809606	-17.8552245469381	0.409573443656087	1	0.232296803293892	L826m
L827m	LAT	827	M	X20180906_827P_pos_021	Bio	pos	21	sample	7.35738344463369	-20.8438801392745	0.806223898780247	1	0.515187379744219	L827m
L836f	LAT	836	F	X20180906_836P_pos_046	Bio	pos	46	sample	-20.9557309012144	83.2795523243073	0.0453160332270672	1	0.192245476202299	L836f
L841f	LAT	841	F	X20180906_841P_pos_061	Bio	pos	61	sample	-48.1434962973838	-31.0756653415683	0.28572202667359	1	0.126781484605927	L841f
L848m	LAT	848	M	X20180906_848P_pos_025	Bio	pos	25	sample	77.2864882535692	-13.6943233356383	0.113918664892436	1	0.167006497769339	L848m
L849m	LAT	849	M	X20180906_849P_pos_028	Bio	pos	28	sample	-6.98867473965414	72.8835299170009	0.0994138033770575	1	0.0388286531840278	L849m
L854f	LAT	854	F	X20180906_854P_pos_018	Bio	pos	18	sample	-12.1904061075834	10.5294436970314	0.900928435310384	1	0.394425343480173	L854f
