variableMetadata	chromato	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	name	formula	monoisotopic_mass	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	chebi_id	hmdb_id	pubchem_id	inchikey	inchi	limma2ways_WT.LAT_diff	limma2ways_WT.LAT_BH	limma2ways_WT.LAT_signif	limma2ways_M.F_diff_LAT	limma2ways_M.F_BH_LAT	limma2ways_M.F_signif_LAT	limma2ways_WT.MX2_diff	limma2ways_WT.MX2_BH	limma2ways_WT.MX2_signif	limma2ways_M.F_diff_MX2	limma2ways_M.F_BH_MX2	limma2ways_M.F_signif_MX2	OPLSDA_VIP-pred_LAT	OPLSDA_VIP-pred_MX2	biosign_plsda_LAT	biosign_forest_LAT	biosign_svm_LAT	biosign_plsda_MX2	biosign_forest_MX2	biosign_svm_MX2	mixomics_LAT	mixomics_MX2
M86.0606T82.15	c18hyper	M86T82	86.0606471913248	82.1521246036377	[1][M]+		2789	1	@M87.064T82.51|-13C			NA										0.345572704265386	0.440979742856789	0	0.0843145858312369	0.7138593232554	0	-0.00265500986951039	0.987370012942616	0	0.141308520007659	0.562960509073612	0	1.44400346117051	0.12787518409935	E	E	E	E	E	E	0	0
M87.1001T74.52	c18hyper	M87T75	87.100099806759	74.5206215882584	[2][M+1]+		1	2	@M86.0968T74.57_2|+13C|@M133.1055T74.93_4|-(HCOOH)|-(H2O-CO)			NA										-0.0701243691006574	0.825214179216347	0	0.197788909805286	0.196607240312133	0	-0.0957130606220566	0.731869960526049	0	0.282075907149451	0.0654380151337766	0	0.776489411284672	0.502725193337507	E	E	E	E	E	E	0	0
M132.1023T74.93_10	c18hyper	M132T75_10	132.102281296596	74.9256404524714	[68][M]+	[M+H+HCOOH]+ 85.0878	1	2	@M86.0968T74.57_2|+(HCOOH)|+(H2O-CO)|@M133.1055T74.93_4|-13C|@M134.1063T75.02_28|-18O|-13C2	L-Isoleucine;Isoleucine|β-Leucine;DL-β-Leucine;3-Amino-4-methylpentanoic acid|L-Leucine;Leucine|L-Norleucine;Norleucine|6-Aminocaproic acid;6-Aminohexanoic acid	C6H13NO2	131.0946	C00407|C02486|C00123|C01933|C02378	Amino acid metabolism|Miscellaneous	Valine, Leucine and Isoleucine biosynthesis|Valine, Leucine and Isoleucine degradation|Miscellaneous	Isoleucine|Leucine|Others|Miscellaneous	CHEBI:17191|CHEBI:72772|CHEBI:15603|CHEBI:18347|CHEBI:16586	HMDB00172|HMDB03640|HMDB00687|HMDB01645|HMDB01901	CID6306|CID193411|CID6106|CID21236|CID564	AGPKZVBTJJNPAG-WHFBIAKZSA-N|GLUJNGJDHCTUJY-UHFFFAOYSA-N|ROHFNLRQFUQHCH-YFKPBYRVSA-N|LRQKBLKVPFOOQJ-YFKPBYRVSA-N|SLXKOJJOQWFEFD-UHFFFAOYSA-N	InChI=1S/C6H13NO2/c1-3-4(2)5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t4-,5-/m0/s1|InChI=1S/C6H13NO2/c1-4(2)5(7)3-6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)|InChI=1S/C6H13NO2/c1-4(2)3-5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t5-/m0/s1|InChI=1S/C6H13NO2/c1-2-3-4-5(7)6(8)9/h5H,2-4,7H2,1H3,(H,8,9)/t5-/m0/s1|InChI=1S/C6H13NO2/c7-5-3-1-2-4-6(8)9/h1-5,7H2,(H,8,9)	-0.0781283522597533	0.779547664477495	0	0.170125976881671	0.260397760136029	0	-0.0826786728040645	0.743574528200295	0	0.258039709591873	0.0700467442671927	0	0.886423067558102	0.499504589078949	E	E	E	E	E	E	0	0
M86.0971T335.66	c18hyper	M86T336	86.0970779806615	335.6584702961			88	3	@M128.1078T335.62|-(C2H2O)			NA										0.0252085843470375	0.954709008986172	0	0.110878019054471	0.772114936163099	0	0.0207698935675538	0.983827544363901	0	0.164911505137278	0.622263065813788	0	0.109522071475839	0.27151489625107	E	E	E	E	E	E	0	0
M156.1028T335.75_2	c18hyper	M156T336_2	156.102794475771	335.747397611563	[103][M]+		88	3	@M128.1078T335.62|+(CO)|@M157.1062T335.46|-13C			NA										0.0206118271432949	0.971287136509511	0	0.0773125176052787	0.882471257288991	0	-0.11421893709068	0.880664343863676	0	0.301681685335021	0.489530882634639	0	0.0424453273075914	0.125739348816111	E	E	E	E	E	E	0	0
M87.0444T76.18	c18hyper	M87T76	87.0444056982077	76.177029580119	[4][M]+		1	4	@M105.055T76.28|-(H2O)	γ-Butyrolactone	C4H6O2	86.03678	C01770				CHEBI:42639	HMDB00549	CID7302	YEJRWHAVMIAJKC-UHFFFAOYSA-N	InChI=1S/C4H6O2/c5-4-2-1-3-6-4/h1-3H2	0.176898390184309	0.517889264935122	0	0.549749234713257	0.00248175533242154	1	-0.121910648712298	0.782851029095766	0	0.22479078545787	0.372946514361703	0	0.512717076782911	0.443924643949722	E	E	E	E	E	E	0	0
M94.0457T39.07_2	c18hyper	M94T39_2	94.0456531361813	39.0692967926265	[20][M]2+		14	5	@M95.0444T39.06_2|-13C|-15N			NA										0.0681662316426568	0.82452127328829	0	-0.1060466771408	0.570933952579345	0	-0.121619576079979	0.742019502634987	0	-0.220161297350217	0.240316959164155	0	0.686218949752889	0.930542166477922	E	E	E	E	E	E	0	0
M95.546T39.06_2	c18hyper	M96T39_2	95.5459993293189	39.0608047698638	[20][M+3]2+		14	5	@M95.0444T39.06_2|+13Cdb			NA										0.0509247213126791	0.887098881711317	0	-0.0988407510267564	0.633657236016297	0	-0.162122715512655	0.684611256404239	0	-0.212723803969951	0.306206362944233	0	0.47905420556422	1.06705812459797	E	E	E	E	E	E	0	0
M110.0093T39.44	c18hyper	M110T39	110.009305321694	39.4396317210947	[33][M]+		14	5	@M111.0101T39.43|-13C|-15N|@M112.0068T39.43|-34S|-41K|-37Cl|@M128.0199T39.45_2|-(H2O)|@M151.0359T39.45|-(CH3CN)|-(C2H3N)|@M177.9968T42.43|-(HCOONa)			NA										0.174956463969405	0.617081579155976	0	-0.197496173344572	0.368213255462295	0	-0.125893870710904	0.790466973971264	0	-0.314951028997132	0.165788567589181	0	1.22272772472452	0.683519342611764	E	E	E	E	E	E	0	0
M111.0101T39.43	c18hyper	M111T39	111.01005094106	39.4308784859111	[33][M+1]+		14	5	@M110.0093T39.44|+13C|+15N|@M112.0068T39.43|-15N|@M129.0206T39.43|-(H2O)|@M152.0367T39.46|-(CH3CN)|-(C2H3N)|@M153.0334T39.45|-(CH2N2)			NA										0.194572717307121	0.572006538061414	0	-0.17356412209085	0.452876668397962	0	-0.100814213644133	0.832979901530351	0	-0.297814489455497	0.189429130440809	0	1.27639158536258	0.61355185349022	E	E	E	E	E	E	0	0
