dataMatrix	W616f	W617f	W620f	W621f	W622f	W623f	W625m	W627m	W628m	W629m	W630m	W631m	W632f	W633f	W634m	L818f	L819f	L824m	L825m	L826m	L827m	L836f	L841f	L848m	L849m	L854f	L859m	L862f
M420.5418T279_1	14.5455372127388	15.1729046198598	15.4034426066551	16.0191912723581	14.875407418764	15.0919836837325	15.6918342673633	15.2437521959106	16.0672299006007	15.8632868980447	16.5577135015579	15.5920525756454	15.6081122776001	15.6618462671808	15.0328892865869	10.6101719318413	10.4000854079263	9.26996567693499	9.8544254968363	10.2092983991146	10.7105411753571	11.3169001612018	10.7763113644804	11.6981019331711	11.6826935899892	12.3723737550383	12.8288811688516	13.4779245974821
M347.6821T261_1	17.3612170263045	17.5946602956053	18.0916312743236	18.3146082441426	17.9207752312696	17.6762864899556	17.9684665861035	18.0792085363196	18.5631716780384	18.3893945014159	19.3091590085865	18.2984480704379	17.571819269896	17.9327592244034	17.7101216945185	13.8730700225202	13.2614175405192	13.4865726384577	13.779780709304	13.4075891006288	13.5719124434256	14.7274654210002	15.4630092973241	14.8554653999159	14.6152390394056	15.2914565076735	15.8054853054365	16.0504231028479
M347.9327T261_2	16.8124225891213	17.1175731587239	17.5861172957428	17.8593373417408	17.3692213017456	17.1834300316281	17.4136860109165	17.5931378945794	18.0214425111342	17.9560862207818	18.7713711092318	17.8273675173555	17.1050558831068	17.4848551029144	17.1298785732686	13.278091937613	12.5215802098789	12.7931988716342	13.0052494335018	12.9445950267494	12.9151654814045	14.2893979670589	14.9311532454502	14.1206457403672	14.1283998408596	14.9501365271926	15.3859631895721	15.4705555333533
M463.9087T261_2	13.6316003393022	13.8001712289783	14.2231926351761	14.7978404824682	14.1187355963613	13.973334909393	14.1736239647951	14.358541907404	14.9043265669668	14.5714489908924	15.6061980875959	14.5395363488396	13.8689066806149	14.3103808255705	13.8301413266255	10.4504968290591	9.84533137685527	9.88640977522216	10.1134847461472	10.9676247576808	9.5365947352418	11.6979807909971	11.6812002900545	10.70090300367	10.7305976907927	11.4496714520715	12.2132573462798	12.4829698834891
M480.2962T329	12.1338061433755	13.0566687752388	14.2086793257429	12.3821325544619	12.682455971289	13.467301751292	12.8047637922064	12.2588387555351	13.2737324439965	13.3085406712039	13.8411014973434	13.1164994871405	13.5395396673443	13.9217255049283	13.4283777925648	9.568459037142	9.58156859010905	9.6270107396207	10.7362794128183	9.34837687076351	11.396789892439	11.1202682941383	9.42593015060513	11.395664813845	9.26484464138532	10.1268218894917	10.3838472462951	10.3686357088339
M366.1866T268	13.6881567114649	14.310519994754	14.6341837681322	14.8923337857199	14.0411154558276	14.1041257776885	14.6667539153639	13.9858589388055	15.2646530899491	15.1826899143701	15.8661065437621	14.8125672982833	14.677357945574	14.8028489445356	14.6901893655575	9.61656005268424	11.5617826616159	11.4803410991632	11.8112531761547	10.8647456584072	11.154209131671	12.096310437241	12.0979637706763	12.1485369367345	12.0524965818724	12.0659012796538	12.7325645430839	12.781172243888
M426.7409T248	12.6521778770832	12.9149291900453	13.3723116470232	13.9229529448556	13.1305073729733	12.9630075761342	13.4164768461358	13.717904519162	13.5289029802915	13.3115180772058	14.4599370462819	13.627970300845	12.7342133025366	13.3624224594521	13.0823840455598	11.7417636937728	11.9402617789149	11.7627022834292	11.5243966239084	11.6742541289454	11.7272438915345	11.8695266437586	11.7690536036081	12.1180470460306	11.6075188546532	11.8847855680922	11.9298521709862	11.264607605661
M692.2178T377_4	16.9764331069279	17.037021860806	17.0811747545266	17.1428197027281	16.9188266391927	16.7696662063433	17.3929151751779	17.3472895767915	17.3049751096994	17.2159214480542	17.5399281618285	17.6016747428588	17.2256470666458	17.2131680493298	17.1992177795813	15.452291005966	15.5617863827566	15.7465964533169	16.3391751236	15.4162351619702	15.7906949340207	16.3857362541597	15.6273717038742	16.3395985733053	16.0379337985678	16.234412708085	16.0711752307501	16.0593979991773
M755.0545T378_4	17.9626673431181	18.1052669002805	18.0908915893164	18.1795836146619	17.9299724756741	17.7169454995543	18.3641825520242	18.2371782816275	18.2752985315304	18.2987218131894	18.5053712459558	18.5855027832356	18.2467489471759	18.2188569823004	18.2803049722516	16.5844981348814	16.9600951474079	16.7268648050436	17.3342913392371	16.4954142954117	16.8818694151666	17.3317543118373	16.7361191474346	17.4337042351557	17.0284392855652	17.2257383859803	17.2237082716532	17.1217643997176
M245.8976T96_1	15.1827743771873	14.8534159445895	15.3844367435097	16.0482662068246	15.9350525685537	15.042885455874	15.4916024782602	16.2056376349518	15.8513577996367	15.3638514363901	16.6178689038799	15.9033325479507	14.5484850165451	14.9551395556513	15.0984883071852	11.7506933491479	10.4658953851815	11.2561768150366	11.3581184663226	10.8840400117534	12.161137478816	12.1446757504831	13.2267190337623	12.8899888311282	12.1969221974399	13.280146960453	13.1511499687643	13.4204135420543
