sampleMetadata	gene	mouse_nb	sex	initial_name	class	injectionOrder	sampleType	batch	KO	pca_sco1	pca_sco2	hotel_pval	miss_pval	deci_pval	id
W616f	WT	616	F	X20180906_616F_pos_031	Bio	31	sample	b1	CTL	-11.9920093731894	-24.5609722609388	0.82776726522325	1	0.106542891802145	W616f
W617f	WT	617	F	X20180906_617F_pos_015	Bio	15	sample	b1	CTL	-67.551268943851	-29.3166653037066	0.307642177105288	1	0.231189066156887	W617f
W620f	WT	620	F	X20180906_620F_pos_055	Bio	55	sample	b1	CTL	-34.5448157042926	-37.5690956196077	0.537764140965807	1	0.415183101680145	W620f
W621f	WT	621	F	X20180906_621F_pos_043	Bio	43	sample	b1	CTL	49.7041873995086	-52.8361725653045	0.290928361242953	1	0.224889686739799	W621f
W622f	WT	622	F	X20180906_622F_pos_063	Bio	63	sample	b1	CTL	22.6050879120741	-86.2476201883335	0.137281515044996	1	0.0393317939255657	W622f
W623f	WT	623	F	X20180906_623F_pos_049	Bio	49	sample	b1	CTL	26.3336661688783	-10.0808868541803	0.839236200721346	1	0.125405735564986	W623f
W625m	WT	625	M	X20180906_625F_pos_037	Bio	37	sample	b1	CTL	-16.944250296031	-51.1397974418884	0.477562468513529	1	0.15350160768244	W625m
W627m	WT	627	M	X20180906_627F_pos_060	Bio	60	sample	b1	CTL	-33.4453654274364	-84.9083004770429	0.128673477583005	1	0.00633839466565944	W627m
W628m	WT	628	M	X20180906_628F_pos_016	Bio	16	sample	b1	CTL	-96.8222610651273	20.2644763216762	0.130405180248923	1	0.160606362017024	W628m
W629m	WT	629	M	X20180906_629F_pos_052	Bio	52	sample	b1	CTL	-84.3324902123123	6.94790688882694	0.224112770452208	1	0.112021766781842	W629m
W630m	WT	630	M	X20180906_630F_pos_029	Bio	29	sample	b1	CTL	-15.8061151447987	-36.6963884119604	0.667032584612188	1	0.642114055814591	W630m
W631m	WT	631	M	X20180906_631F_pos_022	Bio	22	sample	b1	CTL	-75.5669942736948	-31.1012771358671	0.237021423224495	1	0.132384723748914	W631m
W632f	WT	632	F	X20180906_632F_pos_039	Bio	39	sample	b1	CTL	-118.489798389864	19.8178393588461	0.0529071086664077	1	0.0484406071474779	W632f
W633f	WT	633	F	X20180906_633F_pos_024	Bio	24	sample	b1	CTL	-27.2416164437627	-0.458399289855463	0.852882496701844	1	0.390956044144435	W633f
W634m	WT	634	M	X20180906_634F_pos_047	Bio	47	sample	b1	CTL	-63.3681766276489	39.425868333575	0.28913289800663	1	0.379179413675757	W634m
L818f	LAT	818	F	X20180906_818F_pos_035	Bio	35	sample	b1	Lat	88.6259912688004	57.374196165092	0.08793375455257	1	0.0123805909703316	L818f
L819f	LAT	819	F	X20180906_819F_pos_023	Bio	23	sample	b1	Lat	57.6936587444019	20.396537932705	0.444071446641768	1	0.313630366371172	L819f
L824m	LAT	824	M	X20180906_824F_pos_033	Bio	33	sample	b1	Lat	99.9300438204553	43.8509224453021	0.0804816190226925	1	0.0663958388593386	L824m
L825m	LAT	825	M	X20180906_825F_pos_042	Bio	42	sample	b1	Lat	6.24461796793259	101.925308392117	0.0742289550524065	1	0.147051831384889	L825m
L826m	LAT	826	M	X20180906_826F_pos_059	Bio	59	sample	b1	Lat	38.743702637843	101.624760155731	0.0568451452554855	1	0.252361953819555	L826m
L827m	LAT	827	M	X20180906_827F_pos_021	Bio	21	sample	b1	Lat	-5.67411448805108	102.305852857539	0.0729718282577845	1	0.566279157370144	L827m
L836f	LAT	836	F	X20180906_836F_pos_046	Bio	46	sample	b1	Lat	71.8354551596221	7.47841812758098	0.333052403946933	1	0.111372313840548	L836f
L841f	LAT	841	F	X20180906_841F_pos_061	Bio	61	sample	b1	Lat	29.6444284894447	-3.71729213755896	0.825408754943955	1	0.736774455833949	L841f
L848m	LAT	848	M	X20180906_848F_pos_025	Bio	25	sample	b1	Lat	-6.51809403843651	87.8379419125889	0.140856481850194	1	0.495207374032622	L848m
L849m	LAT	849	M	X20180906_849F_pos_028	Bio	28	sample	b1	Lat	38.6626058093781	-14.2596220394827	0.689241078849478	1	0.62230132394801	L849m
L854f	LAT	854	F	X20180906_854F_pos_018	Bio	18	sample	b1	Lat	-27.3425903839583	46.7375884483464	0.484287930948748	1	0.422523722197547	L854f
L859m	LAT	859	M	X20180906_859F_pos_053	Bio	53	sample	b1	Lat	38.6151384762494	-3.97913510195471	0.724180999616492	1	0.61220165025073	L859m
L862f	LAT	862	F	X20180906_862F_pos_054	Bio	54	sample	b1	Lat	54.553843146007	-16.0392984224564	0.497707290219372	1	0.226308520890241	L862f
