variableMetadata	set	gene	chromato	name	chebi_id	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	hmdb_id	pubchem_id	formula	monoisotopic_mass	inchikey	inchi	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	WT.KO_fold	WT.KO_BH	WT.KO_signif	M.F_fold	M.F_BH	M.F_signif	oplsda_vip	biosigner	mixomics
M420.5418T278.84_1	metabolomics_liver_c18hyper_pos	LAT	c18hyper													M421T279_1	420.541808734563	278.839346232196		[M+K]+ 381.574	71	NA		-4.32768562624698	4.55767160727888e-09	1	0.340522560498668	0.971844166712806	0	2.30770406255898		0.177249240125931
M347.9327T261.37_2	metabolomics_liver_c18hyper_pos	LAT	c18hyper													M348T261_2	347.932703172215	261.370504721967	[625][M]2+		1932	382	@M348.434T261.25_4|-13Cdb	-3.64305907990378	4.55767160727888e-09	1	0.268561460442649	0.99228013271056	0	2.33430662116354		0.236281034986991
M347.6821T261.49_1	metabolomics_liver_c18hyper_pos	LAT	c18hyper													M348T261_1	347.68205570403	261.492334611856	[624][M]+		1931	381	@M348.1835T261.36_3|-13Cdb	-3.55765211914558	4.55767160727888e-09	1	0.242004900682588	0.987641573946486	0	2.34000354285099		0.282820537857038
M284.8295T247.12_1	metabolomics_liver_c18hyper_pos	LAT	c18hyper													M285T247_1	284.829491856531	247.11553183971			1817	NA		-4.04515611709088	6.16406611926442e-09	1	0.495204431263	0.790324001926237	0	2.2929425332815		0.252486734593383
M463.9087T261.36_2	metabolomics_liver_c18hyper_pos	LAT	c18hyper													M464T261_2	463.908703157213	261.355904879436			2082	NA		-3.4044260256465	6.16406611926442e-09	1	0.306315722796263	0.930168596995371	0	2.32289830818468		0.216377557722274
M755.0545T377.53_4	metabolomics_liver_c18hyper_pos	LAT	c18hyper													M755T378_4	755.054528623334	377.531407497955		[M+H+NH3]+ 737.006	64	752	@M692.0507T377.53_1|+Na+CH3CN	-1.1997734998339	6.67450036454434e-09	1	-0.0684435027796724	0.42845598011477	0	2.30691778865427		0.395361633953075
M830.1574T377.58_2	metabolomics_liver_c18hyper_pos	LAT	c18hyper													M830T378_2	830.157430299373	377.584871586521	[1459][M]2+		64	807	@M830.6581T377.53_2|-13Cdb	-1.18281807751209	6.67450036454434e-09	1	-0.0989819397716474	0.326686286680904	0	2.25879376860065		0.340489213890745
M692.2178T377.42_4	metabolomics_liver_c18hyper_pos	LAT	c18hyper													M692T377_4	692.217840737315	377.418037449374			64	NA		-1.27634394321401	6.7526271083662e-09	1	-0.0947611653280092	0.360370571912991	0	2.30766460862724		0.339928417490869
M613.3621T335.3	metabolomics_liver_c18hyper_pos	LAT	c18hyper													M613T335	613.362129540475	335.304065640974			79	NA		-2.77873312018146	8.24276771717105e-09	1	0.661499850682528	0.285056888927587	0	2.22524718629051	plsda	0.193964794396983
M366.1866T268.09	metabolomics_liver_c18hyper_pos	LAT	c18hyper													M366T268	366.186590698054	268.091415638314		[M+Na]+ 343.202	77	NA		-2.90428839514197	9.68570158361823e-09	1	-0.115004304330476	0.52156316062363	0	2.26220374583596	forest	0
