dataMatrix	W616f	W617f	W620f	W621f	W622f	W623f	W625m	W627m	W628m	W629m	W630m	W631m	W632f	W633f	W634m	L818f	L819f	L824m	L825m	L826m	L827m	L836f	L841f	L848m	L849m	L854f	L859m	L862f
M420.5418T278.84_1	14.6389652877462	15.5301536116624	15.2035342167051	15.9683686756118	14.5987283142826	14.9643972783763	15.7233244398483	14.9931237049061	16.4056382681977	15.6976637193136	16.678470849698	15.8236580686402	15.628943858267	15.8600105429962	14.9335399053592	10.6570968917831	10.6137342230178	9.33785133246518	9.82088274292002	9.96707347784512	10.9581887333838	11.2316886005892	10.5154682395489	11.8789065404683	11.8169416373398	12.6740823401312	12.651478918657	13.2891039089589
M347.9327T261.37_2	16.9209901282822	17.3199754726925	17.432793071355	17.8724235890004	17.0612825826742	17.1238182946596	17.4902813371642	17.347749384081	18.2182406294344	17.8513543785327	18.8919806366325	17.9903627205278	17.1744488263745	17.6360545833641	17.0992912999049	13.3642892602855	12.6787218256022	12.8902230402853	13.0334357351923	12.7188417167404	13.0839315114381	14.2732390404348	14.6655146883604	14.2658201266535	14.2551554788986	15.1358098705022	15.2655048038466	15.3339163389626
M347.6821T261.49_1	17.4748870621181	17.7642677504041	17.9456638680858	18.3415409742816	17.6042194745896	17.6289367406483	18.0567091496088	17.8325748351092	18.7304240306015	18.2953402657858	19.4348411729669	18.4489664265414	17.6539562489555	18.0762159149244	17.693103037156	13.9692111206971	13.4085088722422	13.5913470246285	13.8216703592684	13.1826521096871	13.7256538308726	14.7250866180905	15.1938729791707	14.9950825561434	14.7422852225227	15.6854244514989	15.694737665662	15.9223890477616
M463.9087T261.36_2	13.6671492504009	13.8500549492837	14.1986176940913	14.8171795413738	14.0731072499218	13.9669794230101	14.2165442911313	14.3204395479624	14.9521205801327	14.5552955176133	15.641655247166	14.5791856883983	13.9193186650437	14.3483630088208	13.8320691687926	10.4924380707067	9.88721254122856	9.92611167982839	10.1438015476503	10.9321962936231	9.58033244365608	11.707997072943	11.6435919720522	10.7412883238502	10.7694221619831	11.4940395261845	12.1942259015809	12.4611443143031
M284.8295T247.12_1	15.8702151536009	15.9203698375033	16.3314421816472	17.2224279574282	16.1359929882326	15.7701011981961	16.527795553827	16.6328063875195	16.8421870389302	16.4554705899914	17.7886979439788	16.8648801392501	15.6687254637107	16.3708954466286	15.7636436893162	11.8997217049198	12.0846150856022	11.0663334320488	10.8414416937832	10.0641890192192	12.4636336951697	12.6849177721957	13.2472871457598	12.5625703806066	12.8622378880305	13.3671826563513	13.4006486613149	14.2156702555178
M245.8976T96.4_1	15.2694149116969	14.9132110632522	15.3044497227734	16.0863502244036	15.7295989712684	15.03267900614	15.5706070140228	16.0515129405465	15.9149293105099	15.3211371431561	16.7055270970175	15.9846759009958	14.6257630572471	15.0400298104206	15.1079836714927	11.8326396563793	10.5558966603512	11.3408509705205	11.4062570988461	10.7526490883063	12.2402126477146	12.1636773473205	13.0560168162624	12.9761267737584	12.2846893652982	13.3506657505657	13.0965934425469	13.3534404634686
M613.3621T335.3	14.0573351877529	15.315138238075	15.1179863661307	13.0103029076019	13.6622778337975	14.1679198655519	14.3277778721746	15.1128157704422	13.6263056575029	13.6006052068265	13.9029958900223	14.7166956954173	14.2655359363421	14.3836394993257	12.5408860052315	10.9931131762457	11.6587800568001	10.3859195466226	10.7800648055972	11.1817237540948	10.7458910900816	11.6820728599898	11.8785077193827	11.7555197950049	11.2035498927391	11.9540417795828	11.1671553004883	11.9947893619204
M426.7409T247.89	12.6802608348743	12.8916118983821	13.3647584474248	13.9298205802368	13.129057578232	12.9578215767921	13.4481834299593	13.7128622720075	13.5102375227245	13.3042158308914	14.4846013888363	13.6336378164325	12.764771469201	13.374627911255	13.0802710849808	11.7734994233076	11.9493047516874	11.7932005176236	11.5328248954197	11.6651200297924	11.7293305610402	11.8696840570528	11.7650017590714	12.1299105172084	11.6301433301096	11.8749586853332	11.9223063914127	11.253698008839
M692.2178T377.42_4	16.9722854117221	17.0829442425544	17.0812878587699	17.1324595649536	16.9483546827847	16.7570852484825	17.3911823232706	17.3641893844343	17.3455377903152	17.208396317072	17.5378432550622	17.6165100765721	17.2284908534002	17.2217249349529	17.1854862131932	15.4481905294887	15.5733415645773	15.7417621630403	16.3317077353558	15.4293881061468	15.8090950991826	16.372351736296	15.6482370714913	16.3454416324473	16.0373751432552	16.2652187197032	16.0659642782094	16.0567416379055
M463.5747T261.28_1	15.037323445892	15.2794781876866	15.6763083494572	16.1854964728307	15.3789877196682	15.2421045108632	15.5786793140317	15.4741641281442	16.3309830327903	15.886355329341	17.2210867280333	16.1218418701629	15.1488070295387	15.7951335829197	15.2821842143805	12.0042408352865	10.3429769038263	11.1957345275223	10.5947052908071	10.9631330619992	11.6557346358796	12.6256020066279	12.9462576833075	12.5145996595659	12.5875466572775	13.1904347651631	13.3148692626403	13.7388965828073
M755.0545T377.53_4	17.9897537096053	18.1335902751447	18.069567245954	18.1997581211489	17.8647501917985	17.7187308584651	18.3957667338819	18.1903035956774	18.3031421515322	18.2897239868894	18.5318676332262	18.611804336121	18.2819680492906	18.2449960092844	18.2890615700273	16.6139476965162	16.9862964868378	16.7549122878354	17.358773091388	16.4541781427673	16.9083128650062	17.3441259650776	16.6833565283632	17.4598214099942	17.054757981895	17.2528594293697	17.2108216166925	17.1047768682339
M366.1866T268.09	13.7802372947223	14.6622522390535	14.4332411561376	14.8567819757778	13.7149988714716	13.9915953607107	14.7004738560288	13.7080524858607	15.5978442251185	15.0260435594166	15.9846509820655	15.0402087983613	14.7014429266568	14.9974220859884	14.6076562705151	9.66366928173368	11.7727409679289	11.5490578439619	11.7920675459067	10.6008077419775	11.3969204699613	12.0291215491254	11.8023192533417	12.3270560357539	12.1852728349096	12.3628914643308	12.5612413981643	12.5950970694628
