variableMetadata	set	gene	chromato	name	chebi_id	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	hmdb_id	pubchem_id	formula	monoisotopic_mass	inchikey	inchi	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	WT.KO_fold	WT.KO_BH	WT.KO_signif	M.F_fold	M.F_BH	M.F_signif	oplsda_vip	biosigner	mixomics
M420.5418T278.84_1	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M421T279_1	420.541808734563	278.839346232196		[M+K]+ 381.574	71	NA		-4.32432464530418	3.08242380871391e-09	1	0.334823832188169	0.975905502518186	0	2.29270540308634		0.242695910518094
M347.9327T261.37_2	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M348T261_2	347.932703172215	261.370504721967	[625][M]2+		1932	382	@M348.434T261.25_4|-13Cdb	-3.64173106970668	3.08242380871391e-09	1	0.256507483801279	0.996741587959819	0	2.32538369700388		0.301998451857554
M347.6821T261.49_1	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M348T261_1	347.68205570403	261.492334611856	[624][M]+		1931	381	@M348.1835T261.36_3|-13Cdb	-3.5532952948688	3.08242380871391e-09	1	0.224913816922435	0.963040785753659	0	2.32884594497342		0.336020721053959
M463.9087T261.36_2	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M464T261_2	463.908703157213	261.355904879436			2082	NA		-3.40814364080514	3.08242380871391e-09	1	0.295893206142535	0.936648712425353	0	2.32387418315108		0.31746597923645
M284.8295T247.12_1	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M285T247_1	284.829491856531	247.11553183971			1817	NA		-4.04485502332871	4.91235878048098e-09	1	0.475216338164865	0.801690644446473	0	2.2949798913765		0.33045442265374
M245.8976T96.4_1	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M246T96_1	245.897627001753	96.4030407895708		[M+H-CO2]+ 288.893	45	NA		-3.32516188084197	8.24107344746501e-09	1	0.111434356915542	0.849212472709175	0	2.29691072821029		0.187134798983623
M613.3621T335.3	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M613T335	613.362129540475	335.304065640974			79	NA		-2.78353792841172	8.24107344746501e-09	1	0.6495381790181	0.275561853747002	0	2.22591904123373	plsda	0.267000047099539
M426.7409T247.89	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M427T248	426.740872448984	247.893323177896	[842][M+1]+		2048	NA		-1.590424981695	9.84192263085215e-09	1	-0.142712043339243	0.301146391781463	0	2.25012508340413	forest	0.241749500229244
M692.2178T377.42_4	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M692T377_4	692.217840737315	377.418037449374			64	NA		-1.27224043482835	9.84192263085215e-09	1	-0.115797532891051	0.296058982089914	0	2.25075040195053		0.295970197228149
M463.5747T261.28_1	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M464T261_1	463.574693428601	261.276940510807			2081	NA		-3.58043673237931	1.19176759970705e-08	1	0.276459311664222	0.980727888964886	0	2.29155876086428		0.0950677494413792
M755.0545T377.53_4	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M755T378_4	755.054528623334	377.531407497955		[M+H+NH3]+ 737.006	64	764	@M692.0507T377.53_1|+Na+CH3CN	-1.19327226941002	1.88653133876548e-08	1	-0.0946264262745764	0.357426063174963	0	2.2166524696627		0.23207212326998
M366.1866T268.09	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M366T268	366.186590698054	268.091415638314		[M+Na]+ 343.202	77	NA		-2.91212192458528	1.9552954496312e-08	1	-0.122395896539981	0.518382371454129	0	2.21935066567005		0
M830.6581T377.53_2	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M831T378_2	830.658111153553	377.53099690592	[1459][M+1]2+		64	822	@M830.1574T377.58_2|+13Cdb	-1.13388847128864	1.9552954496312e-08	1	-0.112458172632309	0.296058982089914	0	2.18796964626281		0.199709836277828
M613.6959T333.93	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M614T334	613.695904295394	333.932390925269		[3M+2K]2+ 383.146	79	NA		-3.25440688169398	2.07618601923133e-08	1	0.978531594268398	0.131605528015739	0	2.19296592891241		0.283785610587692
M550.1199T73.86	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M550T74	550.119916066275	73.8649246135006		[M+H]+ 549.109	1	NA		-2.96849624017936	2.54964589074162e-08	1	0.45558806839745	0.666946435766626	0	2.19452923440321	plsda	0.0903538597107652
M830.1574T377.58_2	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M830T378_2	830.157430299373	377.584871586521	[1459][M]2+		64	822	@M830.6581T377.53_2|-13Cdb	-1.17110452754073	2.54964589074162e-08	1	-0.126750559088816	0.280929804412251	0	2.15540131355596		0.107026337277508
M830.458T377.53_4	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M830T378_4	830.458022230993	377.533874689224	[1463][M]2+		64	NA		-1.10502068274099	3.07603307827307e-08	1	-0.0750731135324934	0.427567002236356	0	2.2156419713313		0.198453044975144
M306.9156T243.97_1	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M307T244_1	306.915629778068	243.966138930942	[509][M]2+		1854	304	@M307.417T244_3|-13Cdb	-3.13534826050829	4.19410465089382e-08	1	0.126878450600685	0.89149494131276	0	2.24533378396907		0
M692.3848T377.46_5	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M692T377_5	692.384769644919	377.460650183135		[M+Na+NaCOOH]+ 601.402	64	762	@M691.8834T377.35_1|+13Cdb	-1.22049321026627	4.19410465089382e-08	1	-0.0903427497161786	0.415585326401151	0	2.20486913415566		0.16921166055895
M490.5198T258.38_1	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M491T258_1	490.519771725139	258.37935875258			49	NA		-1.91441660720768	5.12018020212007e-08	1	-0.0350860330325631	0.654277094086616	0	2.22577116921917		0
M307.1664T243.94_2	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M307T244_2	307.166431852882	243.937736291251			1855	NA		-3.05691951095072	6.50058372247782e-08	1	0.131136135339908	0.902398895397912	0	2.23634423145621		0
M754.9633T377.54_3	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M755T378_3	754.963301517076	377.536341880493		[M+H+HCOOH]+ 707.94	64	NA		-1.16418307260386	6.50058372247782e-08	1	-0.109975777665749	0.35312383189262	0	2.16073715180418		0
M755.1454T377.55_5	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M755T378_5	755.14540512558	377.550620455083		[M+Na+HCOOH]+ 686.17	64	765	@M692.1344T377.48_3|+(CH2S)+(NH3)|+Na+CH3CN	-1.18397557275674	6.53660966327786e-08	1	-0.0577972881560171	0.533031188289895	0	2.17537860413239		0.023326241981741
M409.5537T243.91	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M410T244	409.553720562434	243.914498208625			2024	NA		-3.57877628399663	7.21233406085569e-08	1	0.159953849719056	0.91080038782931	0	2.22381137138863		0
M650.3883T347.69	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M650T348	650.388268349049	347.689830497198			58	NA		-3.76208778564513	7.25046529166519e-08	1	0.491749701452289	0.788427961838792	0	2.18260953138441		0
M754.7809T377.53_1	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M755T378_1	754.780865707878	377.528116241072		[M+H-C6H10O4]+ 899.835	64	NA		-1.1539716178717	7.25046529166519e-08	1	-0.0541817496916188	0.547212233485282	0	2.20044638264378		0.0507076515917691
M922.3944T377.53_3	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M922T378_3	922.394428345555	377.530001650394		[2M+2Na-H]+ 438.713	64	NA		-1.07451262169663	7.60089213692282e-08	1	-0.104782319116769	0.35312383189262	0	2.19595021937967	forest	0.0242409306011735
M691.9672T377.42_2	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M692T377_2	691.967211773875	377.418037449374	[1328][M]2+		64	763	@M692.4684T377.44_6|-13Cdb	-1.11415778712028	9.97691659708589e-08	1	-0.0485045108167501	0.567392043734774	0	2.18583938096937		0
M408.8852T243.9_1	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M409T244_1	408.885176970777	243.904374080837	[790][M]+		2020	NA		-3.20079612140241	1.10668370287925e-07	1	0.0643384964582498	0.829828233825866	0	2.22642002373345		0
M830.558T377.53_1	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M831T378_1	830.557999308775	377.533874689224		[M+K]+ 791.606	64	NA		-1.12584044455972	1.17372425791026e-07	1	-0.0490486759341238	0.572488628432179	0	2.14996583692888		0
M830.3573T377.44	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M830T377	830.357311028991	377.439343816255	[1462][M]2+		64	766	@M692.3012T377.54_2|+(C4H10O5)|@M755.3276T377.52_7|+(C2H5NO2)|@M830.8582T377.46|-13Cdb	-1.05371074442898	1.17372425791026e-07	1	-0.105692513660799	0.360948330969536	0	2.13247226436789		0
M490.7705T258.3_2	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M491T258_2	490.770491178372	258.295794628548		[M+K]+ 451.795	49	NA		-2.05787981631141	1.18601844951448e-07	1	0.160562730125408	0.981273463105973	0	2.21086186460582		0
M463.9295T277.77	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M464T278	463.929450484976	277.773525059673			3014	NA		-2.22275658213943	1.2311469621957e-07	1	0.408719100735944	0.578959584130528	0	2.2130873882649		0
M691.8834T377.35_1	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M692T377_1	691.883423962056	377.345705727039			64	762	@M692.3848T377.46_5|-13Cdb	-1.16366781507246	1.30276555154461e-07	1	-0.11208573482992	0.380699345761887	0	2.13779290597884		0
M374.551T257.72	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M375T258	374.550961920955	257.719554967775			49	NA		-2.51539051892782	1.67561233280668e-07	1	-0.199604026600252	0.447043347045125	0	2.18175996664583		0
M754.8724T377.52_2	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M755T378_2	754.872373131393	377.52411878388			64	NA		-1.16203793409702	1.67561233280668e-07	1	-0.0656885038811019	0.535335174730263	0	2.15009938590058		0
M413.2115T274.46	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M413T274	413.21153764131	274.460683210461		[M+H]+ 412.202	90	NA		-2.96164584049648	1.83209295271446e-07	1	0.0192495282686345	0.784653593101582	0	2.14214185443144		0
M605.8154T305.69	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M606T306	605.815407197028	305.689298081298		[M+K]+ 566.846	94	NA		1.0918614438538	2.70429702888878e-07	1	0.0583703294320781	0.557524079408372	0	2.29783409017522		0
M409.2195T243.92_2	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M409T244_2	409.219508070946	243.919484547913			2022	NA		-2.79033066568818	3.3553235624003e-07	1	0.154742267636886	0.952898658833256	0	2.21518742005171		0
M258.1646T242.59	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M258T243	258.164620268292	242.594954347841	[351][M]2+		1779	203	@M258.6663T242.63|-13Cdb	-3.02284428853441	4.53159647914909e-07	1	0.479764499173351	0.709763480404585	0	2.13138589083358		0
M695.3904T277.96	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M695T278	695.390411344474	277.961744678664	[1332][M]2+		71	767	@M695.8914T278.01|-13Cdb	-2.47926287132264	4.53159647914909e-07	1	0.594995142094113	0.404224703230079	0	2.16398054994619		0
M343.5407T310.61_1	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M344T311_1	343.540660319375	310.606442345624		[3M+2Na+K-H]2+ 201.052 [M+Na]+ 320.555	70	NA		-2.88986583992046	5.35801473842233e-07	1	0.185740072653514	0.98128382728511	0	2.14989172234954		0
M252.6405T89.38	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M253T89	252.640482324329	89.3807706885137		[M+2H-C6H10O4]2+ 649.31	38	NA		1.65922014933282	5.35801473842233e-07	1	-0.144832905311537	0.954127690009823	0	2.28588023896607		0
M240.159T134.12_1	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M240T134_1	240.159038919491	134.116663108799			75	NA		-2.55163596038949	5.40111722437628e-07	1	-0.508347032406173	0.175171629800981	0	2.08266227688453		0
M755.4186T377.41_2	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M755T377_2	755.418621071243	377.412570397156		[2M+Na]+ 366.219	64	NA		-0.919723036876153	5.65330067027225e-07	1	-0.100131409170251	0.388845258853237	0	2.0842744236679		0
M325.947T265.3	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M326T265	325.946991010811	265.296291575764	[564][M+1]2+		1886	NA		-1.55776327024788	5.70061443811447e-07	1	-0.751359918025159	0.00323639734673517	1	1.83102724718207		0
M327.8441T259.47	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M328T259	327.844103129117	259.465162754154			1890	NA		-3.30361315024024	6.11754170355653e-07	1	0.257788173412989	0.982893755156297	0	2.16827313680742		0
M258.171T213.84	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M258T214	258.171004287772	213.835589824625			84	NA		-1.68068479846195	6.62337428786335e-07	1	-0.137495698288694	0.481073476594629	0	2.10418101494166		0
M572.7706T238.69_2	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M573T239_2	572.770585806806	238.686156652348	[1176][M]2+		2163	675	@M573.2719T238.52_4|-13Cdb	1.20150136522749	6.62337428786335e-07	1	0.403166068988108	0.0329646818597812	1	2.09183160669922		0
M351.6679T87.1	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M352T87	351.667874012428	87.1030945711818			1499	NA		-10.6514309831745	1.20571578804872e-06	1	1.62510652847881	0.753546195831566	0	2.13853611811472	svm	0
M453.2521T327.55	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M453T328	453.252112103479	327.545344921296			16	531	@M453.7533T327.55_2|-13Cdb	-3.1456613502571	1.23604407479094e-06	1	0.438229044031786	0.798197624931558	0	2.16037502618658		0
M348.6897T266.99_1	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M349T267_1	348.689657289067	266.987893890527	[624][M+1]+		1937	NA		-3.44150025470113	1.47026781909891e-06	1	0.375560168179076	0.893092902180469	0	2.08228729763834		0
M240.41T134.15_2	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M240T134_2	240.409961635409	134.14819630344		[3M+Na+3K-H]3+ 194.116	75	NA		-2.98599033536138	1.47026781909891e-06	1	-0.429254658921243	0.323286162285605	0	2.07756247461273		0
M572.5198T238.7_1	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M573T239_1	572.519838786458	238.700848426785	[1175][M]2+		2162	674	@M573.0214T238.6_3|-13Cdb	1.29501617606015	1.51078339274111e-06	1	0.462326471955265	0.0325488740098998	1	2.06931098922233		0
M257.1751T273.09	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M257T273	257.175116557764	273.08831053842			2835	NA		-2.20408057574398	1.51329399195445e-06	1	-0.387898344656479	0.25259969181703	0	2.07586253367667		0
M365.2183T104.21	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M365T104	365.218309023397	104.21210491101			2975	NA		1.59995645318417	1.59444608108448e-06	1	0.106852247017542	0.562129715582507	0	2.17039125284008		0
M343.5556T219.98_1	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M344T220_1	343.55563806813	219.980124839527			3078	NA		-2.7541455954218	1.60754010413482e-06	1	-0.47286062945877	0.264122078631238	0	2.07840630772972		0
M754.6901T377.48_1	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M755T377_1	754.690090198682	377.475305676434			64	NA		-1.18228058546063	1.61189385341152e-06	1	-0.00275641143275784	0.785139007858319	0	2.07188742711746		0
M319.8763T134.2_2	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M320T134_2	319.876310176375	134.204528398718			75	NA		-2.72909545627268	1.76875756326196e-06	1	-0.744891929670535	0.097474394633911	0	2.02054279531764		0
M453.5027T327.55_1	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M454T328_1	453.502724818667	327.545344921296	[906][M]2+		16	532	@M454.004T327.59_4|-13Cdb	-3.16532782523749	1.80428690791783e-06	1	0.414069946757401	0.833827515537934	0	2.15009763486343		0
M584.163T85.77	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M584T86	584.163016261705	85.7674279438033	[1194][M]+	[M+H]+ 583.164	38	689	@M585.1666T85.78|-13C	-1.51217410771585	1.91388924535359e-06	1	-0.21352479272743	0.33960415565615	0	2.05547419033931		0
M370.5416T161.57_1	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M371T162_1	370.541601801519	161.572439517123		[3M+3K-H]2+ 208.405	9	NA		-3.27006804512722	2.06338570508415e-06	1	0.293380320635835	0.952440637007581	0	2.12685917663921		0
M257.9185T220.48	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M258T220	257.9184725123	220.479281638043			3078	NA		-2.63526102989191	2.16990836064458e-06	1	-0.42400673894476	0.298917092134096	0	2.06961071713729		0
M262.1659T195.34_2	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M262T195_2	262.165924367804	195.341499485022			2344	NA		-2.40252467715682	2.31960700454111e-06	1	-0.0288909597799503	0.759539819195048	0	2.14051942873472		0
M392.4166T258.42	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M392T258	392.416604092123	258.423844197114		[M+K]+ 353.459	49	NA		-1.85716844201901	2.42585000527996e-06	1	-0.0536967445906846	0.703577990711544	0	2.14899588177918		0
M207.6403T128.17_1	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M208T128_1	207.640289733558	128.174191479288	[209][M]2+		75	126	@M208.1419T128.18_2|-13Cdb	-2.18883034430711	2.98647713560971e-06	1	0.0264811892640271	0.83946597982354	0	2.00305638079887		0
M612.6955T338.36_1	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M613T338_1	612.695488169013	338.360457451531			85	NA		-3.67201442659763	3.04854874329952e-06	1	0.726891256056838	0.617203619388576	0	2.04763462907321		0
M343.8749T310.58_2	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M344T311_2	343.874933141915	310.576962687746		[M+H-CH4]+ 358.903	70	NA		-2.83923665226704	3.04854874329952e-06	1	-0.0333016636253216	0.764893936282382	0	2.03372978404128		0
M268.1413T72.53	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M268T73	268.141258560738	72.5276002033872		[M+H]+ 267.136	1	NA		-2.20074886835626	3.12786871669675e-06	1	0.781896255280767	0.189669947619934	0	2.08369154389124		0
M392.6171T258.42_1	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M393T258_1	392.617105094834	258.423643754218			49	NA		-2.24357356491582	3.16128126373253e-06	1	0.115223002295428	0.949535058125259	0	2.11603003102627		0
M258.1704T107.44	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M258T107	258.170408346655	107.435479454709		[M+H]+ 257.157 [M+H-HCOOH]+ 303.16	63	NA		-2.13413998534177	3.24703915243696e-06	1	-0.414578290123806	0.243329625778663	0	2.03720770676684		0
M426.5615T272.62_1	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M427T273_1	426.561517940262	272.617200150488			77	NA		-1.93389225732914	3.37511497676432e-06	1	0.580217640043722	0.304512897691063	0	2.08465003771992		0
M539.2023T304.33	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M539T304	539.202294428494	304.334759653483		[M+K+NaCOOH]+ 432.246	8	NA		-1.16029271085289	3.45844436049484e-06	1	-0.16956727316213	0.350265230928707	0	2.08170909339655		0
M296.8222T245.23	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M297T245	296.822151571029	245.226237154239			1835	NA		2.0581309908168	4.26653515229113e-06	1	-0.081038534027936	0.919119936776479	0	2.1047082407948		0
M450.9857T249.3	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M451T249	450.985685119065	249.295166139728			2065	NA		2.34184192680068	4.37824361627687e-06	1	-0.322903167944657	0.825300282342867	0	2.171448068943		0
M477.2804T377.84_1	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M477T378_1	477.280410118477	377.843577779205			64	NA		-1.97835159612911	6.11779238694258e-06	1	0.520266259557822	0.427567002236356	0	2.04941198892092		0
M946.3652T52.9	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M946T53	946.365165153153	52.9019786430887		[3M+Na+K]2+ 610.255	4	NA		-1.98396279740222	6.38121875421861e-06	1	0.646674657189887	0.268388625845674	0	2.07960475902061		0
M150.0225T80.68	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M150T81	150.022492325241	80.6806475064893		[M+Na+NH3]+ 109.996	56	NA		-1.47492848766017	6.5007787321104e-06	1	0.239287045639323	0.753546195831566	0	2.08582458760244		0
M502.6216T360.9_1	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M503T361_1	502.621578386325	360.901329134696		[M+K]+ 463.659	64	NA		1.61654263272328	6.55414692232527e-06	1	0.496248027742757	0.0955436253579824	0	2.05746641281651		0
M327.1677T65.54	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M327T66	327.167654805269	65.5395647575757			7	NA		-1.16141550881683	6.55414692232527e-06	1	0.0198198476081437	0.862873639196648	0	2.05996200916676		0
M282.686T261.82_1	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M283T262_1	282.685982672221	261.822412417226			1813	NA		-2.245559745589	7.59032105904478e-06	1	-1.03399318557519	0.0168194270666713	1	1.87595989980914		0
M474.5047T250.97	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M475T251	474.504729089636	250.971250888547			2091	NA		1.48104128160958	8.02805547880651e-06	1	0.241281711604534	0.339383885283949	0	2.07055205293039		0
M580.4685T325.93	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M580T326	580.46851691584	325.934549021504		[M+Na]+ 557.486	16	NA		1.38798198777763	8.02805547880651e-06	1	0.252585108464901	0.299481934143856	0	2.04146202389616		0
M357.7147T300.04_1	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M358T300_1	357.714689711049	300.039016019836	[659][M]2+	[M+2H-H20]2+ 731.425	8	401	@M358.2168T300.01_2|-13Cdb	-1.90405030947266	8.26064858295865e-06	1	0.0136294618184643	0.838598780692844	0	2.06788423426444		0
M642.8303T352.62	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M643T353	642.830336294376	352.616603166641	[1285][M]2+		2860	739	@M643.3321T352.37|-13Cdb	-1.44131728598602	9.12747842548485e-06	1	-0.0635710046108056	0.687968671468025	0	2.03181251170368		0
