dataMatrix	W616f	W617f	W620f	W621f	W622f	W623f	W625m	W627m	W628m	W629m	W630m	W631m	W632f	W633f	W634m	L818f	L819f	L824m	L825m	L826m	L827m	L836f	L841f	L848m	L849m	L854f	L859m	L862f
M201.5621T622.38	12.2035801873433	9.57471510971691	11.0710456777855	10.2679052192873	11.0725676649835	10.7536792373927	13.2613792777734	12.5872047670765	11.7225633652689	11.5690378482193	11.1240730252472	10.5381804953547	11.145368143846	10.5519777096924	12.6405059802055	14.2751849427453	14.872345264674	15.3379151089302	15.0778263730885	15.223200368176	15.0597870127029	13.5326562010201	13.8824824563807	15.2552852099035	14.1355242264651	14.4253712794723	14.2992162641343	13.3095791714854
M248.0792T138.66	18.2758550341886	18.8938578805741	17.9829064279437	19.8814007363807	17.8225150679226	18.2349196171162	19.3297185110787	17.9767957732183	19.7632472444946	19.8535627722483	18.9158697996125	19.460086706759	19.9466380047041	18.9693461572593	21.2999942914947	21.3391744660262	21.9839272766344	22.1287307581996	21.966775300902	22.0281910663308	22.00332278588	22.1194839460788	20.8045993920036	21.6178553926036	22.140767765246	21.6789923461226	21.9917123515494	21.9261780817977
M337.1259T301.28	15.8423335090519	15.5297929662351	16.0599647109019	14.8843041857512	16.2445839881433	16.0789192076867	15.9322651013139	16.0401200576292	16.891653032294	16.4310103399784	16.5471013507989	16.3431819830459	16.5398086671348	16.3767317558777	16.4785289640442	13.9861631822593	14.3319091296842	13.0120063461195	13.4404277213565	13.9798549532155	14.3948721436146	14.4971634247227	14.1614481644016	13.8287519798924	13.2584941271421	15.4818939135687	13.7503231047738	13.98982450194
M326.9893T552.22	17.1150503431302	17.8611146868294	17.192724003386	17.0972261025534	16.9058018500765	16.4686400768696	17.7304611014129	16.9115192460617	17.5874590195512	18.3156314904734	17.3561954418557	17.9155127622984	17.3744841293898	16.7971591095805	18.7976716109544	18.5850283355706	19.0319348157319	19.6335661662486	20.3227460809687	19.4288101363174	19.6525944351391	18.798816261311	18.4014467559894	20.4134703684247	19.6020520251908	19.2227580411202	19.286260820467	18.4800623739112
M319.5201T605.46	14.393477857568	15.2222570068919	14.8199517274643	15.1150253173881	13.8942090624313	15.165619989748	15.6446240731043	14.4397947948508	16.2187781761092	16.7874993605661	16.9283319810028	16.0025826061497	14.898152209293	16.0173027704588	16.4562625420396	16.9148837186257	17.8281862287107	18.4526428607696	18.2994035175657	17.5265193434446	18.0378912804034	17.5342037235159	17.0972459145227	18.2921323898955	17.8834244724159	17.1254821756564	17.8261070029935	16.6462464497217
M698.0528T620.79	15.4713524116428	15.7744592937292	15.3464393225326	14.7233902536514	14.9769694850916	14.9688256161539	15.0931411732456	15.241455901604	14.0871132687549	13.9553671090222	14.6679304640846	14.7148104823381	13.958008440283	14.9226879077733	15.1983741311042	15.955444399148	16.6783723419592	16.7084629838185	16.9730621372315	17.0479787684104	17.0391257491674	16.378638147763	16.5386549247036	17.2907339413078	16.7417412169297	16.2110887001371	16.4167983956981	16.2617344196381
M228.0282T541.11	16.6860704283546	17.0366146362345	16.664051913867	16.1121632586919	15.9355452462066	14.8317061357641	17.3286739233	16.1949727442709	15.8881783874143	16.2035433788626	15.5140568093699	16.7119004057038	15.1259672414731	15.6879121129669	17.3176010142182	17.9309247501712	18.3070330399407	18.2727910969715	18.4142356123776	18.1709003220198	18.2942338602281	17.9985346658784	17.6887365526674	18.1679261164829	18.5681231030439	17.9864456946083	18.5512792708898	17.9242353633786
M273.0385T535.7	14.6626857031518	15.7017522987142	16.2097852328496	14.3813845042152	15.0161196956995	14.3872798128362	15.6787388848765	14.4805652208752	14.37732332554	14.9167080357647	14.9411301012548	13.8245737547928	15.7544575082137	15.9678468365139	16.607559809733	18.2840390452917	18.4343103847516	18.3180980064121	17.5846094901282	17.7355152505961	18.4414769653501	17.6812303002481	16.4665777851812	17.8208878422013	16.965123954247	18.1743501039861	17.5898405910076	16.5563681819935
M535.1549T306.55	21.198786645392	22.5774506043942	21.1677142184715	21.5182488862868	21.5462342634952	21.4686624503401	22.0894910736827	21.8328123173065	22.8919476550931	22.7414104691591	22.2742299813179	23.1283955226431	22.6291693436967	21.5063247014529	23.2842874957664	23.4040860159753	23.8344551135918	23.5967898815371	23.8695309710561	24.1277423780628	23.8375683855438	23.1893146094388	23.624429133368	24.0130127061027	23.9249669537699	23.7421303108571	23.9866268523647	23.2682336219056
M533.1743T655.98	12.6222818288509	12.1372538255241	12.0693084679908	10.2431104259606	11.5770969035336	9.94951151957145	13.0416002158937	12.3729472069558	10.7850359724774	9.97909344855318	11.202414926474	10.6087818030997	10.6245048840958	11.0855267970884	11.8221450928336	13.9318627065203	14.6442940542136	15.4607317591477	14.462806947679	14.774431123303	14.5884305063047	13.6144098053202	13.4011842345867	13.9692215130432	13.9443461568679	13.5701211590527	13.9302095292613	13.1985662610034
