sampleMetadata	gene	mouse_nb	sex	initial_name	class	injectionOrder	batch	sampleType	pca_sco1	pca_sco2	hotel_pval	miss_pval	deci_pval	id
W616f	WT	616	F	X20180910_616F_neg_041	Bio	41	b1	sample	-43.8284279882442	11.2270741193922	0.304057139734464	1	0.60529273303125	W616f
W617f	WT	617	F	X20180910_617F_neg_025	Bio	25	b1	sample	-19.8303374556627	-8.08327193814636	0.751943916667271	1	0.380823850568301	W617f
W620f	WT	620	F	X20180910_620F_neg_064	Bio	64	b1	sample	3.26421579261069	6.28903147782167	0.957807104345424	1	0.656759473237062	W620f
W621f	WT	621	F	X20180910_621F_neg_053	Bio	53	b1	sample	-54.2400541854942	-4.83204568156368	0.191572890947056	1	0.0247768576630216	W621f
W622f	WT	622	F	X20180910_622F_neg_072	Bio	72	b1	sample	-50.4186522362865	-6.05417811693846	0.234844878933545	1	0.0899448557285449	W622f
W623f	WT	623	F	X20180910_623F_neg_058	Bio	58	b1	sample	-26.364799196692	12.0894570058159	0.588711710668088	1	0.370401053428063	W623f
W625m	WT	625	M	X20180910_625F_neg_047	Bio	47	b1	sample	-11.5877556925949	0.836234669069542	0.925373831788294	1	0.458567801014244	W625m
W627m	WT	627	M	X20180910_627F_neg_069	Bio	69	b1	sample	-8.7713236658091	1.94645911139955	0.953482164142611	1	0.43030329968448	W627m
W628m	WT	628	M	X20180910_628F_neg_026	Bio	26	b1	sample	-6.2142583124194	42.0822483440857	0.196864206485217	1	0.290047815102517	W628m
W629m	WT	629	M	X20180910_629F_neg_061	Bio	61	b1	sample	6.94490665400767	54.062160756535	0.072858418843268	1	0.337351646113891	W629m
W630m	WT	630	M	X20180910_630F_neg_039	Bio	39	b1	sample	-24.286077433749	34.9186479785206	0.237623956071218	1	0.558184861585939	W630m
W631m	WT	631	M	X20180910_631F_neg_032	Bio	32	b1	sample	-17.6063338032854	23.7785364357748	0.497960423079256	1	0.659434965979812	W631m
W632f	WT	632	F	X20180910_632F_neg_049	Bio	49	b1	sample	6.2317480309925	38.1636103260437	0.259692977256343	1	0.333801749219743	W632f
W633f	WT	633	F	X20180910_633F_neg_034	Bio	34	b1	sample	-7.24005584316048	13.0856179215152	0.827233381447623	1	0.46106634290951	W633f
W634m	WT	634	M	X20180910_634F_neg_056	Bio	56	b1	sample	38.044318414299	36.8341622387631	0.133260408102169	1	0.0755923888573242	W634m
L818f	LAT	818	F	X20180910_818F_neg_045	Bio	45	b1	sample	-7.06990799285742	-61.8403487466567	0.0344876211211276	1	0.000459868528284391	L818f
L819f	LAT	819	F	X20180910_819F_neg_033	Bio	33	b1	sample	9.05091398971203	-39.4518230904587	0.232236221147924	1	0.406640650057572	L819f
L824m	LAT	824	M	X20180910_824F_neg_043	Bio	43	b1	sample	23.8978201832955	-43.070991339407	0.137758542694029	1	0.451973068576156	L824m
L825m	LAT	825	M	X20180910_825F_neg_052	Bio	52	b1	sample	85.4354256802235	-1.90707843704567	0.0208923251367263	1	0.059783085171446	L825m
L826m	LAT	826	M	X20180910_826F_neg_068	Bio	68	b1	sample	66.822419342373	-27.2377465378822	0.0470206081943249	1	0.488129672613103	L826m
L827m	LAT	827	M	X20180910_827F_neg_031	Bio	31	b1	sample	51.4244604870908	-22.0521813700871	0.150026206312459	1	0.486122672618604	L827m
L836f	LAT	836	F	X20180910_836F_neg_055	Bio	55	b1	sample	-27.692430869184	-5.87953708623393	0.626391793987921	1	0.201372924730886	L836f
L841f	LAT	841	F	X20180910_841F_neg_070	Bio	70	b1	sample	5.37631682975432	-38.026614081246	0.263524348349206	1	0.21579098969322	L841f
L848m	LAT	848	M	X20180910_848F_neg_035	Bio	35	b1	sample	78.3797016297923	13.993260577105	0.0316715933501612	1	0.00895294677433478	L848m
L849m	LAT	849	M	X20180910_849F_neg_038	Bio	38	b1	sample	-14.5362891851821	-34.5975289568643	0.297731753003476	1	0.179014802639125	L849m
L854f	LAT	854	F	X20180910_854F_neg_028	Bio	28	b1	sample	23.8402644655203	-9.92576246577362	0.660504910388269	1	0.338233665971255	L854f
L859m	LAT	859	M	X20180910_859F_neg_062	Bio	62	b1	sample	-1.51477144935663	-28.7384821444074	0.466424831781706	1	0.33180448411424	L859m
L862f	LAT	862	F	X20180910_862F_neg_063	Bio	63	b1	sample	-25.0078156132835	-32.8777109142709	0.263444129272097	1	0.0474431540999574	L862f
