variableMetadata	set	gene	chromato	name	chebi_id	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	hmdb_id	pubchem_id	formula	monoisotopic_mass	inchikey	inchi	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	WT.KO_fold	WT.KO_BH	WT.KO_signif	M.F_fold	M.F_BH	M.F_signif	oplsda_vip	biosigner	mixomics
M201.5621T622.38	metabolomics_liver_hilic_neg	LAT	hilic													M202T622	201.562122563989	622.375815029953			1866	NA		3.17541753829828	1.99455062251705e-08	1	-1.20666007548004	0.0159182678839381	1	2.12304766810556		-0.462814274750489
M248.0792T138.66	metabolomics_liver_hilic_neg	LAT	hilic													M248T139	248.079248025111	138.658401044601	[337][M]-	[M-H]- 249.092	18	161	@M249.0826T138.67|-13C|@M284.0559T140.98|-(HCl)	2.71824811084964	1.16119819988486e-07	1	-0.758345434633206	0.169565235739093	0	2.1334261696369		-0.367249281997174
M337.1259T301.28	metabolomics_liver_hilic_neg	LAT	hilic													M337T301	337.125893462174	301.278295412593			928	NA		-2.1393174731701	1.16119819988486e-07	1	0.262589293010013	0.769864299609632	0	2.3456692503669	plsda	0.296420147383253
M326.9893T552.22	metabolomics_liver_hilic_neg	LAT	hilic													M327T552	326.989256931791	552.216343777615		[M+Cl]- 292.02	6	242	@M424.9664T552.26|-(H3PO4)	1.86844480296594	1.16119819988486e-07	1	-0.972978844279591	0.00167363669697428	1	2.00185675790629		-0.358013692620149
M319.5201T605.46	metabolomics_liver_hilic_neg	LAT	hilic													M320T605	319.52008700423	605.461630928221			23	NA		2.18418068203981	2.43769802414578e-07	1	-1.15169644637959	0.00294273919620444	1	1.97144814712157		-0.287186127860269
M698.0528T620.79	metabolomics_liver_hilic_neg	LAT	hilic													M698T621	698.052845249631	620.793146840401	[830][M]-	[M+Cl]- 663.083 [M-H]- 699.06	26	432	@M699.0568T620.78|-13C	1.76063237690019	2.43769802414578e-07	1	-0.215002147036444	0.785318901337592	0	2.20197187459807		-0.231252085242693
M228.0282T541.11	metabolomics_liver_hilic_neg	LAT	hilic													M228T541	228.028163936189	541.106610883565		[M-H+HCOOH]- 183.023	10	148	@M326.0055T545.52|-(H3PO4)	1.95910021770663	3.30311347370795e-07	1	-0.548748214639286	0.197002525729271	0	2.19061888861235	forest	-0.195037794960351
M273.0385T535.7	metabolomics_liver_hilic_neg	LAT	hilic													M273T536	273.038528007956	535.697117677769		[2M-2H+Na]- 126.034	10	NA		2.56914655946418	5.15856369441905e-07	1	-0.114568845652364	0.897509265614406	0	2.19655951871945		-0.214974721756683
M535.1549T306.55	metabolomics_liver_hilic_neg	LAT	hilic													M535T307	535.154921331548	306.545013762054	[733][M]-		9	377	@M536.1585T306.52|-13C|@M537.1605T306.17|-18O|-13C2	1.60085205555451	5.15856369441905e-07	1	-0.780255194624278	0.0112558346602048	1	1.88568224467383		-0.308096164026102
M533.1743T655.98	metabolomics_liver_hilic_neg	LAT	hilic													M533T656	533.174334911105	655.979697064586			2028	NA		2.7732885292247	6.35074638128927e-07	1	-0.590940237755831	0.39916231467922	0	2.19234059219515		-0.151196533422714
M282.0847T373.05	metabolomics_liver_hilic_neg	LAT	hilic	Guanosine	CHEBI:16750	C00387	Nucleotide metabolism	Purine metabolism	Guanine	HMDB00133	CID6802	C10H13N5O5	283.09167	NYHBQMYGNKIUIF-UUOKFMHZSA-N	InChI=1S/C10H13N5O5/c11-10-13-7-4(8(19)14-10)12-2-15(7)9-6(18)5(17)3(1-16)20-9/h2-3,5-6,9,16-18H,1H2,(H3,11,13,14,19)/t3-,5-,6-,9-/m1/s1	M282T373	282.084749242544	373.048834272949	[405][M]-		364	NA		1.10983863405093	1.88439052565936e-06	1	-0.838981586904602	0.000121551078326011	1	1.76594309630934		-0.185391860666221
M920.3136T302.41	metabolomics_liver_hilic_neg	LAT	hilic													M920T302	920.313630992333	302.410100975575	[914][M]-		12	484	@M921.3167T302.53|-13C|@M922.319T301.82|-18O|-13C2	1.45443624918753	2.6767231884907e-06	1	-0.761098548017685	0.0121114653870396	1	1.81945418482076		-0.161400318597082
M765.1981T578.2	metabolomics_liver_hilic_neg	LAT	hilic													M765T578	765.198135659838	578.202056254424			17	NA		2.34538411125767	2.91968491073647e-06	1	-1.53949258687305	0.00120902913217895	1	1.88064638094554		-0.0162078314278064
M803.2355T307.8	metabolomics_liver_hilic_neg	LAT	hilic													M803T308	803.235485566502	307.80472611095	[871][M]-		9	458	@M804.2386T307.83|-13C|@M805.2409T308.01|-18O|-13C2	2.0214574978161	4.21573410345337e-06	1	-1.03853064254871	0.0183164451386017	1	1.78675093312101		-0.119927152556255
M348.5228T620.4	metabolomics_liver_hilic_neg	LAT	hilic													M349T620	348.522773528414	620.401411381551	[538][M]2-	[M-H+Cl]2- 663.083 [M-2H]2- 699.06	26	260	@M349.0247T620.53|-13Cdb	1.24455645671638	4.21573410345337e-06	1	-0.234707030874119	0.551418928968675	0	2.02776952248514		0
M618.0859T539.49	metabolomics_liver_hilic_neg	LAT	hilic													M618T539	618.085885054475	539.491948756086	[792][M]-	[M+Cl]- 583.115 [M-H]- 619.093	10	408	@M619.089T539.49|-13C	2.46855341523066	4.48491391160154e-06	1	-0.99118232008172	0.0882534752448928	0	1.92216961809704		-0.0649004992658412
