dataMatrix	W616f	W617f	W620f	W621f	W622f	W623f	W625m	W627m	W628m	W629m	W630m	W631m	W632f	W633f	W634m	L818f	L819f	L824m	L825m	L826m	L827m	L836f	L841f	L848m	L849m	L854f	L859m	L862f
M540.2731T12.9	8.37056373349498	8.2036831683679	8.73554595541772	8.06237836312613	7.22685503384445	7.10960200384394	7.6339894487774	8.50653603611682	8.71747616417483	9.78472643114243	9.58335225945384	7.77258089120341	8.578450052348	8.99333474076728	10.1404015825012	8.97618159502273	9.93036000489958	9.21235599417211	10.2002379453004	9.83444813094791	9.09561651099646	10.0287699300049	9.48207627505287	9.63140017741405	10.6135163040724	9.96894982203583	9.98713623287716	10.0082454553545
M516.2731T12.9	8.09735885027318	9.4612202496572	8.81316751183238	8.03210731045649	7.83296489872309	8.50053632441469	7.94465688690707	8.63993045562289	8.85446198175523	9.05379482684124	10.1871305312267	8.50358045046273	8.84905417671334	9.72223325102067	9.51071612027265	9.34420713906764	10.4707433131298	8.94291799490068	9.72446546147767	9.88407032703225	9.22816375912507	9.95984027927973	9.92943559364674	10.3805673245092	11.4698849282796	10.2587049027581	10.1668926341462	9.91657882171658
M130.0661T10.3	11.1441292960792	11.9918150882152	11.9507081901213	11.1010606189572	10.7130164080408	11.278872878078	10.4118815098993	11.8603772226738	11.1593721819631	9.57792373600064	10.1673466358843	11.2218259841917	10.4880348334722	9.46282429051987	11.7223043148746	11.6724284788064	12.1072089477013	11.302672202926	11.5963620899669	12.9225679176569	12.6978061235588	13.0718808124787	12.7562036788909	10.0899855523483	13.0768139734093	13.2379294234393	12.727370956542	12.3769443546348
M405.0286T1.2	10.1219611155541	11.1953674258809	12.2232986320699	10.703329576299	10.9262475600997	11.0215961770963	11.1671107465478	11.5883859391595	11.9736865886655	9.73424272116056	10.3984439716137	11.0892935008294	11.2009411179475	10.9814019766139	12.2353299488627	11.8332967955712	12.2260883814498	11.6481843142487	11.1909026759876	12.6564646378789	11.9265561244066	12.0631830761157	12.7166997287831	10.4117979152031	11.6961249818163	12.5558038573536	12.1050674369002	12.6475616156958
M155.0097T1.2_2	12.2632934398064	12.095027541074	12.4682083449221	12.1925127218633	10.7987339129881	12.1355187396896	12.1456189862565	12.5052194092863	12.8667625606197	11.7395057842033	12.3617161631293	12.341044836424	12.404890731303	12.0103647422169	12.6793782350686	12.6811135484738	12.9180797928428	13.1849877060794	12.8627834918934	12.3607639449566	12.8441235296024	12.0708157841065	12.7520702122471	12.8444925524869	13.0854163246909	12.6839583896954	12.7436813233665	12.5444085837431
M154.9984T1.2_1	12.2632934398064	12.095027541074	12.4682083449221	12.1925127218633	12.2806414931583	12.1355187396896	12.1456189862565	11.963971085588	12.8667625606197	11.7395057842033	12.3617161631293	12.341044836424	12.404890731303	12.0103647422169	12.4131431733665	12.6811135484738	12.9180797928428	13.1849877060794	12.0347537894153	12.3607639449566	12.8441235296024	12.0708157841065	12.7520702122471	12.8444925524869	12.7146503623696	12.6839583896954	12.7436813233665	12.5444085837431
M87.0087T1.2	16.1659093659482	16.5384967449003	16.5059912284467	15.9061492099278	16.3075742477072	16.2357918827661	16.2585565041324	16.6287301114131	17.0233834425275	16.5704312734821	16.3027695809829	16.8806481369325	16.4766231659633	16.2822113380139	16.9773229072076	16.6815016311967	16.7467629003453	17.0815862514251	16.4480140729012	16.963986275687	16.7943446309186	16.6389808927478	17.3015751456823	16.5177468375604	16.8703795362446	17.0814244592831	17.1731895045542	16.9314817482926
M174.032T0.7	9.3078416854072	9.51407881169671	9.68237360474943	9.3403069888995	9.84994786106384	9.69555841578335	9.23743683065519	9.28319494447588	9.38825405057005	8.92419615006411	9.75030655598362	9.70876003460772	9.15230840920293	9.51595684194309	9.61695737190902	9.63110512733776	10.1629460649882	9.69214248262549	9.73706474897132	10.2720341417402	9.73385874732205	9.94395325755913	10.0011373619389	9.67403051914093	9.59433328986068	9.31929782758786	10.1600879075108	10.1197618057634
M114.0308T1	13.1891417921853	13.395614084953	13.1715605160534	12.3777158083843	13.170644455058	12.7471723564386	13.0051848258848	12.8767251813523	12.8926398306247	13.2154060966404	12.82321452442	13.2338030922634	13.1533253646566	13.2750359294446	12.7708769429764	13.0644374689515	13.0445952731116	13.6045094138601	13.2977616726468	13.741362083903	13.2857261541331	13.0165645660003	13.48594680972	13.4547663882551	13.6203183852391	13.3227233206963	13.4249196487602	13.4047874699092
M527.3548T15.6	11.8583390653914	11.9420827896113	11.8419472070448	11.5925199289466	11.7770979116035	11.8306893479932	12.2258527864444	12.1136590834943	12.353963738309	12.4240762513093	12.3778372247974	12.4176748070127	11.9582838100118	11.9778960525253	12.2279269326354	11.7257181163319	11.4209827582473	12.1156956398989	11.9974692341344	12.3021999125832	12.2984776404336	11.3378502367954	11.9662078486975	12.0908062212794	12.0352423937647	11.6541418246177	11.9328780739739	11.5692268796697
M464.3147T15.7	9.33999472686366	9.24954715937466	9.36657502627159	9.39733770342931	9.19715325800708	10.0711482028199	9.32732019267684	9.23191727400385	10.0773916560953	9.9400911725037	9.43274006371796	9.74624000190065	9.64465688075955	9.54514962609691	10.3994256581816	9.42898793480841	9.08833775526913	9.50223650729784	9.62327398275518	9.25521067610181	8.89896583820461	8.92694888643734	8.81015617701766	8.94438374103827	8.7000709825408	9.44414188843051	9.19552525782067	9.43708304886329
M307.0338T1.2	9.92041391295056	9.48946295491032	9.54172790001994	9.85205681856073	9.926739223315	9.81875230629549	9.90407184420405	10.4056362332306	10.0071665689037	9.78173630762089	9.57467729141734	9.78117857792392	9.70885037724331	9.5631804709441	9.68109702646047	9.46842444598312	9.3476183985482	10.0893800795706	9.54160639454081	9.50427480943169	9.65022988947825	8.54382706691199	8.91756514622801	10.1079160965512	9.53202404606979	9.22133577249021	8.84802520721239	9.4805563673722
M157.0367T1	15.9753301046378	16.0615555418177	15.8678662465679	14.9716007377367	15.7323727688057	15.3698939691193	15.7851363231605	15.565147718552	15.5547469374457	15.8338906639679	15.6828173239853	15.8115249332765	15.8276587216386	15.8748922400733	15.8649915377734	15.866880876317	15.8874890866645	16.2939428161853	15.7573803961361	16.3677296272145	15.9324817762435	15.6422619740087	16.2350438877997	16.2333191405538	16.21843424873	16.3107949973413	16.2844392744349	15.7934043580687
M604.3258T12.9	10.1683581151011	10.4585884591436	9.83626093073309	10.3062222301391	7.21257291961927	8.4255464938615	8.00288452585412	7.3325809897322	8.60943298142265	10.8064020719727	9.94249867305853	9.32667125298151	9.8383940845346	10.4280494696629	9.97381388062497	10.7334123019175	11.5065765641909	8.42116658336307	10.2145458957307	9.7547024709859	9.61093901077628	11.7968672554125	10.1201404347161	10.3763898865664	13.0480406989149	10.7664360892297	11.5377959071916	12.3362311913593
M133.0142T1.2	17.8562267962851	18.6452099091728	18.3655971879577	18.4029212316586	18.2085977646988	18.1367007433837	17.8685799380671	18.7545750811037	18.5466723768556	17.7160884742297	17.4877986410036	17.6797791815447	18.7383912196304	18.0705201814765	18.6659052520114	18.3895781630242	18.6500796121979	18.3117497866669	17.7800425688082	18.6982563279093	18.8419945038042	18.8387754530914	19.2046911108609	18.1506629623666	18.8564258024097	19.2947543270425	19.0369456589328	18.874346698364
M161.9621T1.2	12.60131618331	12.3550982711749	12.3985704433717	12.3856681584761	12.2086754113259	12.3118745731797	11.9445372675552	12.0337075049781	11.4327203832453	11.7122035766079	12.3523769401889	12.2443219853158	12.2990661841973	12.3017719479678	12.0484704186585	12.5190039321409	12.3201810712356	12.3982627739506	12.160746244334	12.3609223270458	12.3788843425916	12.4141029631485	12.4731089081519	12.1281368369789	12.5653360252423	12.5254216855192	12.4448044072254	12.5915865724335
M129.0557T7.9	11.2131356221659	12.1784547370763	11.8151526807276	11.9596186780282	12.2499965626518	12.3080302810671	10.7566459311883	11.701623555726	12.4246632556377	12.8022802233626	12.674476324701	12.2667152275079	12.2885632664794	12.6226116052986	12.5798275598209	12.387723944654	12.7742160302277	12.6580247542281	12.3635396726133	13.0933104250008	12.400606798439	12.277738755386	13.2482392901929	12.470506136392	12.4858655239567	12.6270806029513	13.1598694392252	12.9472933346531
M569.7428T16.8_5	10.907665799512	11.077017491207	10.7089960750116	10.5431618505922	10.8652422697495	10.8020241698457	10.4350627104907	10.1843100064033	10.6331732185711	10.9140173274961	10.8675585884619	11.0720272198473	10.5885112810066	11.1986606801738	10.4645465024691	10.7867177497782	10.2092431212946	10.3853035738472	10.5380817538512	10.5318029833011	10.6385135388894	10.2152273668998	10.6323437183127	10.3709888771093	10.2615958858773	10.5266328129157	10.3454345515037	10.5217913899437
M181.0504T7.6	10.1204729325355	11.5205843120086	10.3954528736517	10.2612923435977	10.2836546883611	10.2689604013485	9.05878056362151	9.37447989783857	10.8709112256235	8.9595863184966	8.7444503060546	9.95395818187265	10.9451216860217	10.8292538679887	10.2409251895196	9.97278205332526	11.4033272253142	10.332450797269	9.96800294276573	10.3851572078321	10.9745320464751	11.4495404817389	10.7787737273008	10.4796071653322	10.6801173092198	10.7792532275865	10.3657199523136	11.5119032523537
M204.0666T9.6	11.8602258004025	12.2537349890961	13.1676238227215	12.7344861342515	12.4593747355036	11.7889990685637	11.264658102641	12.1736540138406	11.8086597671829	12.0253594193432	11.4445144855007	11.4262411306853	12.0959733103761	11.1349139907083	12.6148135799557	12.2276700749508	12.4691260966753	12.5055468907862	11.7008192358364	12.9717208201519	12.428961965075	12.5540005054346	12.9083320708866	12.4094986298119	13.1348454858536	12.6083232415065	12.299728902669	12.9947110870292
M243.0833T0.9	10.878383606377	11.2467078643615	11.0935920536833	10.6115601320021	11.1367545088305	12.0003987499404	10.8696621339152	10.6843297827875	11.2727136975533	11.1428461668398	11.7336611074942	11.6706231154766	11.1010303184401	11.2389912343165	11.3169467231042	10.8575254644533	11.1534992751543	11.0610253146103	11.0985339013659	11.1457208740028	10.9030245373458	9.78219023652545	10.7452584590243	10.6105411829778	10.3893722451001	11.1601208892479	9.97822361975195	10.4733315245498
M482.3154T16.6	9.97240404162538	9.99207703146774	10.3445990957747	10.1893052649	9.72587715698729	10.1032894357691	10.0630587983001	10.1226545933125	10.0719685481188	11.0802404854037	9.95669962249638	10.3163563224089	10.1120916004253	10.7770689653776	10.3409903671724	9.46636029154227	10.0700789177175	9.780361684811	9.86075176108252	10.3843280730722	9.73478384080237	9.74572882362904	9.86577165773602	9.89078593054005	9.45432526016864	10.3260416454238	9.92690676398172	9.59711976391528
M191.0197T1.2	17.8786694495714	18.0344974260267	18.184293582243	17.7863835263619	17.7229904195649	17.8277207625527	17.9360069474954	18.0006595291813	18.4074364192207	17.0657347609561	17.6968664423019	17.980196870518	17.971734362805	17.9358287131308	18.5881617137384	18.4326190863158	18.5400440769539	18.4340686395684	18.1518880162676	18.436825723354	18.4289438868786	18.1588791896424	18.4075162664125	17.6244271882059	18.1369628848344	18.3973593823291	18.0063400482396	18.591098249304
M767.5632T15.2	9.34606646299139	9.0929505190254	9.34699953475636	9.94886033173931	9.25816255188843	9.60107583153864	9.88490568832392	10.1236156506939	9.53919183185827	9.21716176444029	9.14662956404534	9.51301013044674	9.44294228336301	9.16503389836431	9.35177009574865	9.28754247249965	9.39009652584286	8.87953332918968	8.94005433934539	8.98047090597128	9.01687655540001	9.31208207709523	9.53253005688259	9.06541620618293	8.93364481896993	9.21736945283475	9.03663861023958	9.33553537688874
M143.0462T1	10.7629012922922	11.2429299723686	10.7426989309387	9.3843064924868	10.3699502717133	10.235456311608	10.7138704859034	10.0770393715855	11.6221950187359	10.581803253897	10.3785333191176	10.5962248160816	10.3984398770606	11.0594127384609	11.2197871555094	11.1226360951033	11.8269374286373	12.9119923619695	10.9218750265414	10.7182491637579	11.4714684902827	12.202740671678	12.610939450191	12.7047656144524	10.757330420852	10.3945080938919	12.3988015308269	9.65333307826865
M686.2461T14.2	8.63894933310763	8.64719695192469	8.86771703731725	9.34162678450637	8.73006857721636	9.30082514938903	9.97718907781416	10.240105508498	9.34519085264102	10.9734001803996	10.7883253049824	10.6882854460368	8.57453117342048	9.05723497292709	10.2896585505154	9.32999608886797	9.48879469330256	10.2385635492958	10.7838696623807	10.5959917559444	10.6178423263471	9.52210760735886	9.05817103095517	10.8880493108315	10.7944782782568	9.61003439670976	10.3016191563696	9.39973132639762
M131.0713T8.6	11.5886243399889	12.0824967881839	11.8143659479431	12.8314796558629	12.7485438711655	12.5685918234291	12.4922738608097	13.0696753117687	13.355528527634	12.9611674830893	13.3521119499536	13.3281366270628	13.0031858103581	11.8818926711313	13.6979305052626	13.0707751274422	12.6744625343767	14.6118146013603	13.6394901133408	14.0788878399194	13.7273480749547	12.4774527150047	11.9656958063117	13.9235650956754	13.6755100396073	12.3809057401521	13.8570749376747	12.3218762355789
M352.0279T0.9	12.7737911342898	12.7219982685526	12.1207938945413	11.9075600394529	12.2235269258936	12.8924801112165	12.2140223034594	12.2871273973731	12.2409963563182	12.3664921615624	13.0356067274653	13.1195786148755	12.3550899287366	12.6048298407072	12.5480314265374	12.4524174662379	12.2298537769829	12.2199355466252	12.638547376239	12.4881436895999	12.7036159718396	11.4351908366519	11.7914519295883	12.1325523830771	11.7996703861595	12.189659682222	10.8083785127383	11.1111424379184
M481.3129T16.6	12.5004309517824	12.6685590245517	12.5767682914847	12.0747283641107	12.3425231746095	12.4072805427573	12.216334097677	12.4615083449067	12.5499689153717	13.0335071400106	12.3334911024013	12.5431337710677	12.2855385385232	12.7252834385288	12.6983064787032	12.1242740321919	12.2662223590703	12.3365405224895	12.2385761520701	12.4211827353674	12.3982617564298	12.0298440218897	12.1660363117371	12.582163483912	11.9655935965471	12.5644088229747	12.1262155630123	12.2265787936874
M146.983T1.2	12.1729979215811	12.0946694938561	11.7698980401986	12.0128737299121	12.0491191394315	11.7649433078127	11.9650142264008	12.0130818054038	12.1443395172479	11.995748400522	11.7109865186171	12.073789374875	11.7338046455078	12.0234965245865	11.7757299700792	11.8385956925256	11.6279622448812	11.9144300347014	11.6509650326231	11.7004851424497	11.8833804654756	11.4299046455185	11.9427543743333	11.9381651571262	12.1423089933501	11.5163903366995	11.7527386304033	11.5561811878807
M543.0595T15.2_6	10.0825939723813	10.0737102544494	9.9560621802073	9.99952568762294	9.9810407658782	10.2034178399111	10.2749948133584	10.039892952061	10.0330351206328	9.97304317850947	10.1203947183002	10.2439578988394	10.1052311596643	9.99422893212336	10.1688229644585	10.0463724074166	9.86018188537126	10.011017427703	10.2488552399506	9.97189078381804	10.1356692139414	9.75338170421394	9.76511915122885	10.1068614777071	9.83049459664578	9.93371028577421	9.89527554785244	9.83103473939019
M225.0495T1	9.167201680926	9.39479881983854	9.67349598841548	8.89936354904382	10.0577517127322	9.16845475308524	9.93214659763218	10.1185420087304	10.3965022129782	10.3041552949643	9.93914539499646	10.0857729662935	9.64654710733244	9.27276160012934	10.0391741613526	10.1891217391269	10.0032535885968	10.2381188060202	10.0006059941033	10.2315144899326	10.8382644617382	9.82965149768749	10.1736781837098	9.62145129443652	10.1737946509344	9.68827514187019	10.3615839692266	10.0159556770957
M173.0091T1.2	13.9625168722259	14.0382425407995	14.4233719312283	13.9065835271662	14.0941771747306	13.919474978785	13.5346467726519	13.9731842668228	14.6041591866235	13.4058020231879	13.7527316509195	13.9342139985742	13.7971835020096	14.0994317613099	14.1587670679854	14.1501929083014	14.4280226845069	14.3528304861548	13.9768187232942	14.277452578741	14.1360797325156	13.9579177967211	14.6279525689635	13.8787047469329	14.2556567318905	14.4432656701199	14.1358856348564	14.4651336576559
