sampleMetadata	gene	mouse_nb	sex	initial_name	CLASS	InjOrder	SourisGenre	Genre	Type	BW	batch	injectionOrder	sampleType	pca_sco1	pca_sco2	hotel_pval	miss_pval	deci_pval	id
W616f	WT	616	F	Ec57698N_616F_C_Lo_GC1_01_16985	SPLE	17000	502M	M	M	Hi	pos	35	sample	-17.5985739515716	-16.5418918369516	0.354387274934917	1	0.153207291670034	W616f
W617f	WT	617	F	Ec57684N_617F_C_Lo_GA3_01_16969	SPLE	16999	634M	M	C	Hi	pos	34	sample	-26.6620952466607	-16.9184444334721	0.193552200155722	1	0.0195476150561522	W617f
W620f	WT	620	F	Ec57717N_620F_C_Lo_GE4_01_17007	SPLE	16998	836F	F	L	Hi	pos	33	sample	6.9604829203333	37.4132763683926	0.0548455370527342	1	0.236759396050057	W620f
W621f	WT	621	F	Ec57708N_621F_C_Lo_GD3_01_16997	SPLE	16997	621F	F	C	Lo	pos	32	sample	4.61475395925146	36.2115537012045	0.0674443729489105	1	0.0858793464759406	W621f
W622f	WT	622	F	Ec57723N_622F_C_Lo_BA2_01_17014	SPLE	16995	825M	M	L	Hi	pos	30	sample	-18.0991827015205	-11.4858318674644	0.462907428271186	1	0.253370820007909	W622f
W623f	WT	623	F	Ec57712N_623F_C_Lo_GD7_01_17001	SPLE	16994	527M	M	M	Hi	pos	29	sample	-15.7368918891816	28.5598192850027	0.129713895398571	1	0.172670783370685	W623f
W625m	WT	625	M	Ec57703N_625M_C_Hi_GC6_01_16991	SPLE	16993	517F	F	M	Lo	pos	28	sample	14.2217433541985	-14.1489665373201	0.483273953400483	1	0.60061903905584	W625m
W627m	WT	627	M	Ec57721N_627M_C_Hi_GE8_01_17012	SPLE	16992	632F	F	C	Lo	pos	27	sample	20.907710479041	-8.26696611711154	0.449467592006672	1	0.40363197298626	W627m
W628m	WT	628	M	Ec57685N_628M_C_Hi_GA4_01_16970	SPLE	16991	625M	M	C	Hi	pos	26	sample	-8.02170160848905	6.02963393746869	0.83907818359157	1	0.00592096753303473	W628m
W629m	WT	629	M	Ec57714N_629M_C_Lo_GE1_01_17004	SPLE	16990	503M	M	M	Hi	pos	25	sample	-24.4730251698172	-18.4174997930227	0.204140412540622	1	0.0874562606558864	W629m
W630m	WT	630	M	Ec57696N_630M_C_Hi_GB7_01_16983	SPLE	16988	818F	F	L	Lo	pos	23	sample	12.0598881962897	-14.84483068483	0.504023666652685	1	0.432963742097873	W630m
W631m	WT	631	M	Ec57690N_631M_C_Hi_GB1_01_16976	SPLE	16987	529F	F	M	Lo	pos	22	sample	22.0991265114178	-7.16648131038364	0.431733448498031	1	0.236373113868785	W631m
W632f	WT	632	F	Ec57704N_632F_C_Lo_GC7_01_16992	SPLE	16986	824M	M	L	Hi	pos	21	sample	-19.1580265125307	-4.37547688955299	0.552596835212494	1	0.469508402107293	W632f
W633f	WT	633	F	Ec57692N_633F_C_Lo_GB3_01_16978	SPLE	16985	616F	F	C	Lo	pos	20	sample	25.3577454786405	-4.09396953535535	0.369559263925247	1	0.0909786471938279	W633f
W634m	WT	634	M	Ec57710N_634M_C_Hi_GD5_01_16999	SPLE	16984	501F	F	M	Lo	pos	19	sample	27.0803467032487	-4.60106777040447	0.320980169874999	1	0.260069124480236	W634m
L818f	LAT	818	F	Ec57701N_818F_L_Lo_GC4_01_16988	SPLE	16983	630M	M	C	Hi	pos	18	sample	-23.9765117047688	-12.9941007118416	0.298643190980832	1	0.0559520784800895	L818f
L819f	LAT	819	F	Ec57691N_819F_L_Lo_GB2_01_16977	SPLE	16981	849M	M	L	Hi	pos	16	sample	-15.682684710942	32.5056953454448	0.0810852512046514	1	0.0207520314427045	L819f
L824m	LAT	824	M	Ec57699N_824M_L_Hi_GC2_01_16986	SPLE	16980	518F	F	M	Lo	pos	15	sample	14.088184553074	9.51015932430132	0.611626258221098	1	0.000771504753999563	L824m
L825m	LAT	825	M	Ec57707N_825M_L_Hi_GD2_01_16995	SPLE	16979	848M	M	L	Hi	pos	14	sample	-26.0335478550383	-2.69753932282015	0.358185943165324	1	0.698267957556552	L825m
L826m	LAT	826	M	Ec57720N_826M_L_Hi_GE7_01_17011	SPLE	16978	633F	F	C	Lo	pos	13	sample	23.7902474272173	-8.18800115810731	0.372921097627768	1	0.0997809638274967	L826m
L827m	LAT	827	M	Ec57689N_827M_L_Lo_GA8_01_16974	SPLE	16977	819F	F	L	Lo	pos	12	sample	7.59166745358117	-16.5282220092726	0.514128795937681	1	0.0159489986537626	L827m
L836f	LAT	836	F	Ec57709N_836F_L_Hi_GD4_01_16998	SPLE	16976	631M	M	C	Hi	pos	11	sample	-24.4362507210753	-2.7832124040033	0.402713153751714	1	0.330220150249685	L836f
L841f	LAT	841	F	Ec57722N_841F_L_Lo_BA1_01_17013	SPLE	16974	827M	M	L	Lo	pos	9	sample	-19.4235561368104	-5.45291837171232	0.532305590984378	1	0.15987334547705	L841f
L848m	LAT	848	M	Ec57693N_848M_L_Hi_GB4_01_16979	SPLE	16973	531F	F	M	Lo	pos	8	sample	26.881729134389	-2.7897833575627	0.335116313380778	1	0.0783857846064604	L848m
L849m	LAT	849	M	Ec57695N_849M_L_Hi_GB6_01_16981	SPLE	16972	854F	F	L	Lo	pos	7	sample	13.7725787124967	5.77853601493309	0.699030653075411	1	0.500043303921106	L849m
L854f	LAT	854	F	Ec57687N_854F_L_Lo_GA6_01_16972	SPLE	16971	513M	M	M	Hi	pos	6	sample	-28.5342286627587	-9.08367452404837	0.251898860409978	1	0.0271787332418001	L854f
L859m	LAT	859	M	Ec57715N_859M_L_Hi_GE2_01_17005	SPLE	16970	628M	M	C	Hi	pos	5	sample	-12.9873873794912	8.98208180919269	0.652805895939167	1	0.18445923263467	L859m
L862f	LAT	862	F	Ec57716N_862F_L_Lo_GE3_01_17006	SPLE	16969	617F	F	C	Lo	pos	4	sample	22.8936010712776	4.74846274930178	0.434830595931744	1	0.59375148454396	L862f
