variableMetadata	set	gene	chromato	name	chebi_id	annot_level	annot_confidence	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	WT.KO_fold	WT.KO_BH	WT.KO_signif	M.F_fold	M.F_BH	M.F_signif	oplsda_vip	biosigner	mixomics
M540.2731T12.9	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			4		M540T771	540.273105778257	771.069922955118			1926	NA		1.27223707401395	0.0745978939769023	0	-0.50276985539783	0.318045103141129	0		plsda, forest, svm	-0.432934033046829
M516.2731T12.9	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			4		M516T771	516.273056261649	771.432890065932			688	NA		1.17491901254207	0.0745978939769023	0	-0.235934361419254	0.74722934765981	0		plsda, forest, svm	-0.248732791136567
M130.0661T10.3	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M130T617	130.066098800329	616.98031454028			1705	23	@M174.056T10.3|-(CO2)	1.32960618578856	0.135275158856442	0	0.201317635538539	0.600376340868616	0		forest, svm	-0.527552736451039
M405.0286T1.2	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M405T71	405.028557596096	70.964257084692			443	NA		0.871167652010016	0.325383862353848	0	0.185370395232137	0.583281494158141	0			-0.363059131403815
M155.0097T1.2_2	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M155T71_2	155.009711443104	71.1394657055316			440	NA		0.536149117065168	0.325383862353848	0	-0.324749883077979	0.185110089321156	0			0
M154.9984T1.2_1	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M155T71_1	154.998438185755	70.964257084692		[M-H+NaCOOH]- 88.0176	8	NA		0.398972452942099	0.325383862353848	0	-0.0755936951944083	0.846101029253842	0			0
M87.0087T1.2	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M87T71	87.008692622592	71.1210836266932		[M-H]- 88.0176 [M-H-COCH2]- 130.026	8	NA		0.393215125528272	0.325383862353848	0	-0.192186793196278	0.331199885326502	0			-0.315076743929638
M174.032T0.7	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M174T43	174.032001107971	43.1148443981098			90	NA		0.384867066636151	0.325383862353848	0	0.0331368777488734	0.758416004635354	0			-0.127205104534508
M114.0308T1	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M114T58	114.030831779361	58.1491961562496		[M-H-CH4]- 131.071 [M-H-H20]- 133.061	105	NA		0.346930714925277	0.325383862353848	0	-0.101996358956908	0.663612708870005	0		forest	0
M527.3548T15.6	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M527T937	527.354838994171	937.305156637848	[320][M+1]-		17	NA		-0.180792607570673	0.325383862353848	0	-0.461484011613084	2.30800055074947e-06	1			0
M464.3147T15.7	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M464T940	464.314658097927	939.507168019158			2296	NA		-0.424292880442822	0.338992723661698	0	-0.0948267664564337	0.581989715511375	0			0
M307.0338T1.2	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M307T72	307.033825354605	71.6107451207034			8	NA		-0.393056234749634	0.338992723661698	0	-0.257750657917324	0.111931446909949	0		forest	0.248222955249767
M157.0367T1	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M157T58	157.036674398529	58.3268445715955			105	27	@M193.0134T1_2|-(HCl)	0.344725650790831	0.338992723661698	0	-0.12635265764732	0.565178742252041	0			0
M604.3258T12.9	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M604T774	604.325795064432	774.003459458622			1677	NA		1.40851826838758	0.36697349735789	0	0.498270836460401	0.39600949014755	0		svm	-0.11579691367403
M133.0142T1.2	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M133T71	133.014222797696	70.7607900457254		[M-H+HCOOH]- 88.0176	8	17	@M115.0036T1.2|+(H2O)|@M135.0186T1.2|-18O|-13C2	0.47722160463665	0.398887183059123	0	0.234350988795072	0.256987499456303	0			-0.0802977060943518
M161.9621T1.2	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M162T72	161.962055007155	71.7739466259228			8	NA		0.230833544132219	0.415858626419511	0	0.250001090836763	0.0166904698592751	1			0
M129.0557T7.9	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M129T476	129.055675911792	475.605525559411			201	NA		0.561368610103029	0.442586020319211	0	-0.0671499597314007	0.951922165048046	0			-0.090339010358705
M569.7428T16.8_5	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			4		M570T1010_5	569.74276761006	1009.95187386962			680	NA		-0.292053936554021	0.442586020319211	0	0.138629931294599	0.423257700878698	0			0
M181.0504T7.6	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			4		M181T454	181.050446423313	453.735402512974			297	NA		0.576692351699368	0.453831139482918	0	0.723692426349878	0.0108306787119359	1			0
M204.0666T9.6	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M204T576	204.066589361017	576.450287249012			1616	NA		0.537985920717743	0.453831139482918	0	0.217748035626634	0.381951521423379	0			-0.0456219606547532
M243.0833T0.9	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M243T53	243.083264271967	53.1511586324551	[109][M+1]-		33	NA		-0.480005654743298	0.453831139482918	0	-0.0284200061013564	0.854997040608886	0			0
M482.3154T16.6	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M482T997	482.315397862739	996.56454889698	[283][M+2]-		1419	NA		-0.357142005475293	0.453831139482918	0	-0.0497427399557342	0.737106809010954	0			0
M191.0197T1.2	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M191T71	191.019734855632	71.2595850720204	[74][M]-		8	37	@M192.0232T1.2|-13C	0.353749936107214	0.453831139482918	0	0.0696511016038421	0.660241931245486	0			-0.255466737591093
M767.5632T15.2	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M768T913	767.563226766667	912.935326540782	[513][M+1]-		9	NA		-0.316933481537294	0.453831139482918	0	0.117737706061055	0.605570958640806	0			0
M143.0462T1	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			4		M143T60	143.046244398142	60.3443328230724			1836	NA		0.88934113023549	0.517574881238147	0	-0.361910380343854	0.566806675686878	0			0
