dataMatrix	W616f	W617f	W620f	W621f	W622f	W623f	W625m	W627m	W628m	W629m	W630m	W631m	W632f	W633f	W634m	L818f	L819f	L824m	L825m	L826m	L827m	L836f	L841f	L848m	L849m	L854f	L859m	L862f
M290.1752T8.52	9.29613537274925	8.9544213161297	16.7435103481917	17.3395133942592	17.3551634064514	10.4876376946798	15.3214113822064	17.6221527096286	9.83916615756869	9.92276488848071	9.28904293219383	9.28150603309368	9.40136315590945	8.82604410263669	18.0186209422315	18.1779905424129	20.5248394420105	17.5801464153024	18.9627363932413	18.4057437339489	17.8928566385677	17.8074467250396	19.3117543239924	19.2037939449379	18.3219850808515	16.2656938637677	17.1989379316857	14.9820656946852
M584.3347T12.9	12.3602714559155	13.1099142561053	12.1590823240126	11.9311496088563	11.94332565783	11.2946828817882	10.9746759113077	11.4844772963093	12.2532320323641	13.2312178517172	13.2266662739124	11.9050899281131	12.0170960579114	12.9460233901038	12.5945614678306	13.0647724615682	14.1090805037565	12.5518512478333	13.475817444744	12.8311600218848	13.0614863763168	13.395219672932	13.4629710577189	13.2619484601185	14.2179726726353	13.7760498746682	13.0905086051873	15.0035110042019
M176.0707T10.28	11.0109527141099	11.6023596629098	11.3527778937875	10.9582985670715	10.6584234557101	10.2645302500484	11.5970319329377	11.7195080101993	10.6030846029573	10.3130206740014	10.3362997617078	11.5502693361551	10.8780258606889	9.79064683330829	11.5100640360033	11.5877509528873	11.5840577399726	11.085835924194	11.609100646661	12.5159488726695	12.1572643305042	12.2244555951628	12.5058215209987	11.2589209296632	12.4698727857357	12.8377700915603	12.858621823195	12.1825657675529
M147.0289T1.19_1	14.1496243400192	14.0802944523835	14.5944286803851	14.0057753075707	13.7467259340209	14.2763472961039	14.5148473241491	14.1575741231834	14.7962411771654	13.8361071191001	14.0982285672633	14.3623554882083	14.290309258355	14.101737459334	14.4937401859411	14.6235424496661	15.0226521837351	14.6259952275531	14.4540009835474	14.6645822515489	14.601085693689	14.7449294003264	15.0823476845952	14.3469962832369	14.5685846123808	15.0043593233987	14.9466749773938	15.4037213947892
M370.1353T1.19_2	11.1051320284358	11.1725431835853	10.7391951450835	10.6087139115113	11.0368105619215	11.3325836789669	11.4680824401418	10.6715496210523	10.7246579063368	11.0802489258092	11.3472028377465	11.1181417326363	11.3342763031155	10.977323762098	11.1809954105956	11.6919930464932	11.8411000890068	11.6336404453041	11.1442497708933	11.7464676235149	11.2424117139018	11.3687203940685	12.062100569518	11.4719900330506	11.5172720178035	11.5512176129729	11.718519727866	11.6582772822613
M333.9622T1.15	11.9445425075056	11.8928366827685	12.0297308760299	11.6037417586849	11.8052360915371	11.942660056892	11.8120065862288	11.5930800764413	11.9623956169619	11.5950857466686	11.8840071340811	12.0270619424077	11.8033282871471	11.784667803435	11.9877515911079	12.1385143415437	12.1245986250948	12.149194054657	12.2504614581819	12.5333200969399	12.230203042499	12.2312005185042	12.1023263502978	11.8868145934592	12.4018851383098	11.8696404115339	12.2987131501504	12.598386994102
M438.9781T1.19	11.6331668205449	11.5535835871717	12.5161112105554	11.5340733523179	11.7698970126014	11.2299756528673	12.3684783432312	11.9361091411926	12.2400767586609	10.7101563829192	11.4451075483187	12.2713370510866	12.1839713887242	11.8628580037099	12.2514474041312	12.5799039023509	12.9058773546557	12.8835379933609	11.7035780529896	12.5922442170615	12.4844035423186	12.7589524924849	13.1760958746721	11.7526919151383	12.7882574066715	13.2336128672875	13.1374264903144	12.778255644507
M437.973T1.19	13.4682341923479	13.6899946432594	14.7084207854713	13.4940223298755	13.4325395411437	13.7432037607515	13.9084438256639	13.3461270769324	13.7167411629413	13.0049575976784	13.5781640561499	13.8585501562754	13.761639617525	13.9667008117401	14.3955686257314	14.6903202665011	14.7028703622878	14.3745325652917	13.7621921377355	14.2719202327163	14.5407302922918	14.4728417099586	14.9703060524104	13.2991109380668	14.3539898681441	14.9949055277758	14.6608219372987	14.6308676740134
M705.1962T9.38_1	10.5165908616114	10.6724489902377	11.5241568577509	10.7140041243542	10.639959348249	9.73973917259453	10.505157785578	10.7732425892163	10.1172460596105	11.8470381760925	10.8325237990519	9.52278049417939	11.2001408553529	11.1520189657119	11.5753019382442	11.443611357485	12.3182829463216	10.3811765552077	12.1760957556057	11.94656127851	12.3997249953739	11.9604085862349	11.4778512727178	12.3332157439368	12.8898820075402	11.2558252419879	11.4092187365961	12.8187901098807
M124.0392T1.18_1	14.0130147056887	14.2531087174298	14.4521403962305	13.303534449491	13.7319173944699	13.8393632707011	13.906174495537	13.7854431577732	13.6963708600666	13.4510781041341	13.2111831380491	13.4029589100728	14.3222099874281	13.8295242377964	13.9811143819529	14.4144950907492	15.2992791208887	13.6917190109942	13.5739857544919	13.9310162049781	14.0248029544933	14.9308212824068	14.7061455474296	14.3567760251267	13.9776104818443	14.7422115061259	13.9250877566405	15.1832236877928
