variableMetadata	set	gene	chromato	name	chebi_id	annot_level	annot_confidence	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	WT.KO_fold	WT.KO_BH	WT.KO_signif	M.F_fold	M.F_BH	M.F_signif	oplsda_vip	biosigner	mixomics
M340.103T8.44	metabolomics_plasma_c18acqui_pos	LAT	c18acqui			NA		M340T507	340.103025604161	506.618228757845	[867][M]+		103	NA		2.35457218151278	0.014375520584873	1	-1.41743422581165	0.0166710215127788	1	3.42679475593279	plsda, forest, svm	-0.480475541850961
M290.1752T8.52	metabolomics_plasma_c18acqui_pos	LAT	c18acqui			4		M290T511	290.175204051517	511.270070956165	[664][M]+	[M+Na]+ 267.18	59	106	@M291.1786T8.52|-13C|@M292.181T8.52_2|-18O|-13C2	5.54947335514903	0.0691065843186594	0	-0.811439968407177	0.868806214073401	0	3.50606589571108	plsda, svm	0
M338.0874T8.09	metabolomics_plasma_c18acqui_pos	LAT	c18acqui			NA		M338T485	338.087359323351	485.462224717788	[860][M]+		189	NA		3.19457873798932	0.0691065843186594	0	-1.61296436953742	0.138044623399122	0	3.03493558620383	plsda, svm	0
M584.3347T12.9	metabolomics_plasma_c18acqui_pos	LAT	c18acqui			4		M584T774	584.334735578908	773.843390927874	[1763][M]+		61	247	@M585.3378T12.9|-13C	1.2586590546411	0.0691065843186594	0	0.180095280086601	0.5244457963979	0	3.41969641155698	plsda, forest	-0.216934676723678
M176.0707T10.28	metabolomics_plasma_c18acqui_pos	LAT	c18acqui	indol-3-acetic-acid	CHEBI:16411	1	a,b,c	M176T617	176.070701419844	616.936760065398			8862	NA		1.12136768568785	0.0691065843186594	0	-0.158644649262207	0.878011876923205	0	3.45800220410228	plsda	-0.278587508487478
M694.3603T9.36_2	metabolomics_plasma_c18acqui_pos	LAT	c18acqui			NA		M694T562_2	694.3603	561.5079			7609	312	@M757.3909T9.36_3|-(NH3)-(HCOOH)	1.25043354825381	0.163062492323902	0	-0.31663787772295	0.66460514331119	0	3.18080241796642	plsda	0
M705.1962T9.38_1	metabolomics_plasma_c18acqui_pos	LAT	c18acqui			NA		M705T563_1	705.1962	562.53774			7613	NA		1.14253224904508	0.163062492323902	0	-0.083964466125467	0.998149896313511	0	3.46678876962865	plsda	0
M437.973T1.19	metabolomics_plasma_c18acqui_pos	LAT	c18acqui			4		M438T72	437.973005249574	71.545923726657	[1211][M]+		1	NA		0.692229257104266	0.163062492323902	0	0.285883548517035	0.171862408145466	0	3.128716927548	plsda	-0.434194150550089
M124.0392T1.18_1	metabolomics_plasma_c18acqui_pos	LAT	c18acqui			4		M124T71_1	124.039177863329	70.9561424264316			1	NA		0.547667044503555	0.163062492323902	0	0.593962717063627	0.000744941874521311	1	2.7161622783349		0
M694.4445T9.36	metabolomics_plasma_c18acqui_pos	LAT	c18acqui			NA		M694T561	694.4445	561.48486			7610	NA		1.26013953644137	0.172969905581817	0	-0.284986439954181	0.731488468256476	0	3.21395844422778	plsda	0
M784.4183T9.67	metabolomics_plasma_c18acqui_pos	LAT	c18acqui			NA		M784T580	784.4183	580.0266		[M+Na]+ 761.429	68	NA		-0.350971659654869	0.194713146500393	0	0.0656922747479136	0.815374777311886	0	3.23625691542004	plsda, forest	0.221206311718677
M438.9781T1.19	metabolomics_plasma_c18acqui_pos	LAT	c18acqui			4		M439T72	438.978097450166	71.6310285530064	[1211][M+1]+		1	NA		0.827994850413704	0.20457286551583	0	0.122513302543286	0.622022479419013	0	3.15958604186117	plsda	-0.143436856965997
M524.2773T12.85	metabolomics_plasma_c18acqui_pos	LAT	c18acqui			4		M524T771	524.277333257842	770.922836640888			6932	NA		0.820481509226859	0.20457286551583	0	-0.260174357622706	0.551920659526167	0	3.0536013302164	plsda	0
M335.9777T1.2	metabolomics_plasma_c18acqui_pos	LAT	c18acqui			NA		M336T72	335.977732121793	71.7090150254352	[848][M]+	[M+H-CH2]+ 348.988 [M+H-CH2]+ 348.988	1	NA		0.286557429096181	0.234476021728835	0	-0.0392540052425563	0.901517904367481	0	3.44185027314106	plsda	-0.399962669393314
M257.0745T1.01	metabolomics_plasma_c18acqui_pos	LAT	c18acqui			4		M257T61	257.074517961511	60.5400345585756		[M+Na]+ 234.085	164	NA		1.30023280635853	0.242195640928169	0	-0.665758046070707	0.22958125894792	0	2.75457565144417	plsda	0
M696.7825T9.48_2	metabolomics_plasma_c18acqui_pos	LAT	c18acqui			NA		M697T569_2	696.7825	568.63848		[M+Na]+ 673.791	380	NA		1.52112702184627	0.243127308694994	0	-0.451246438958643	0.614505238277072	0	3.14222492323252	plsda	0
M379.9677T1.18	metabolomics_plasma_c18acqui_pos	LAT	c18acqui			NA		M380T71	379.967653950799	70.5424334538366		[M+Na+CF3COOH]+ 222.99 [M+Na+CF3COOH]+ 222.99	1	NA		0.800301361734789	0.243127308694994	0	0.280262337633671	0.295689060060545	0	3.14545161305586	plsda	-0.0167375937435785
M518.2881T12.85	metabolomics_plasma_c18acqui_pos	LAT	c18acqui			4		M518T771	518.28805198686	771.084602469558		[M+K]+ 479.325 [M+H]+ 517.282	302	NA		0.830574513749639	0.247832151269246	0	-0.00582532773774247	0.908059881690514	0	2.96187312908851	plsda	-0.169356343911927
M408.0467T1.19	metabolomics_plasma_c18acqui_pos	LAT	c18acqui			4		M408T71	408.046676521445	71.31615552684	[1110][M+1]+		1	NA		0.582595770698502	0.247832151269246	0	0.405427166846009	0.0464001733448097	1	2.82826584026692	plsda	0
M275.1251T14.24	metabolomics_plasma_c18acqui_pos	LAT	c18acqui			4		M275T854	275.125051639078	854.465709871758		[M+K]+ 236.173	47	NA		0.506277424187632	0.247832151269246	0	-0.597795787606136	0.000763131335340256	1	2.53816432183103		0
M757.3014T9.36_2	metabolomics_plasma_c18acqui_pos	LAT	c18acqui			NA		M757T562_2	757.3014	561.50988			7619	NA		1.37293981341996	0.273840422749786	0	-0.316642904133671	0.764134840461547	0	2.98862832804357		0
M833.0311T9.36_2	metabolomics_plasma_c18acqui_pos	LAT	c18acqui			NA		M833T562_2	833.0311	561.5703			344	NA		1.24376756461754	0.273840422749786	0	-0.168610697871294	0.911753899399153	0	3.01802937955276		0
M564.8009T9.77_2	metabolomics_plasma_c18acqui_pos	LAT	c18acqui			NA		M565T586_2	564.8008822158	586.078086727762		[M+K+HCOOH]+ 479.823	68	NA		1.13940874315172	0.273840422749786	0	-0.508405718481388	0.372441692231316	0	2.87541710323021	plsda	0
M609.8108T9.48_2	metabolomics_plasma_c18acqui_pos	LAT	c18acqui			NA		M610T569_2	609.8108	568.69458			380	NA		1.08109387795662	0.273840422749786	0	-0.321904010949359	0.635088105971423	0	2.94584673988363	plsda	0
M707.3644T9.44	metabolomics_plasma_c18acqui_pos	LAT	c18acqui			NA		M707T567	707.3644	566.54856	[2145][M]3+		380	NA		1.0563943072407	0.273840422749786	0	-0.451015381310983	0.404751491295686	0	3.09202111696178		0
M543.291T12.85	metabolomics_plasma_c18acqui_pos	LAT	c18acqui			4		M543T771	543.290975471941	771.000193302828	[1590][M+1]+		302	NA		1.03147139678905	0.273840422749786	0	-0.751440729437284	0.0764671975513245	0	2.48498614239089	plsda	0
M705.363T9.38_2	metabolomics_plasma_c18acqui_pos	LAT	c18acqui			NA		M705T563_2	705.363	562.58472			7614	NA		0.99081175597799	0.273840422749786	0	0.149575553993841	0.66261014934477	0	2.98693241852564		0
