dataMatrix	W616f	W617f	W620f	W621f	W622f	W623f	W625m	W627m	W628m	W629m	W630m	W631m	W632f	W633f	W634m	L818f	L819f	L824m	L825m	L826m	L827m	L836f	L841f	L848m	L849m	L854f	L859m	L862f
M701.4347T987	13.3439750194744	13.1044401029042	14.0299538413026	13.5178062907051	13.9189908041462	14.0825976776969	14.4454686427644	14.8272140592237	14.5732556536634	13.7610187268215	13.7832777720936	14.957751470509	14.6708521495146	14.4934238617363	15.0310678251843	12.47597346243	12.9338723057166	12.9093408950009	12.1495581056116	11.5386960433218	11.3748609874664	12.2340034547911	13.9379081053209	13.0303650551775	11.9838809517767	13.1310796056684	12.722591399792	13.9255917037769
M256.0763T206	10.6645115568432	11.2429686080876	10.7148704346421	8.71837334526232	9.07985510371098	8.38208705455542	8.8678356887826	9.79805522048952	8.58957904384935	8.93082369503871	9.15970036293431	8.86228288103258	10.5703765098339	9.34046484059607	9.2315467751871	11.0434299405221	11.3970041214801	11.0182095785725	10.6999685877016	10.7521115992108	9.67708905034687	10.7529062561286	10.8767858906022	10.3185317185752	10.8617614472747	10.7152278619884	10.3739925956368	11.1708063434202
M250.0387T63	14.7802595958829	14.7957407235502	15.0415381276018	14.6413219785505	14.3669260676525	14.9460640948128	14.86904497474	14.3273205653642	14.8469077893047	14.3934041256495	14.6999788084436	15.0298834515273	14.6502677664139	14.9693163442703	14.7688681421066	15.2511863570249	15.4237794858899	15.3781182340858	14.7207933581688	15.1081865982031	15.1736598937533	15.1777951247899	15.7402227065061	14.715220619942	15.2695011495008	15.4645458009894	15.6649102995417	15.8048181579992
M177.0749T403	13.3163009038761	13.9719911168186	14.2194280111182	13.2588429074035	12.9786361446275	13.0364400386062	13.7464526418007	14.2390394795285	13.2136690128931	13.1233095504506	12.6342507889705	13.9222295560821	12.5737463773519	12.0916792587637	13.8677585516098	13.5473030784652	14.3460436668096	13.8880869829352	13.8753242758014	15.1777130100445	14.9668124331616	15.1617154842932	15.025898279254	13.4195478260325	15.640328312619	15.6845988699896	15.4674413099583	14.4322072590929
M480.2157T585	12.0540696889727	12.9296257265028	13.0080899839531	12.8472363455512	13.2075239141995	12.8660364282121	11.2118529753228	12.7295646657329	11.0367046304582	13.3662907611364	12.5698918696364	12.7451255232518	14.3389025749416	12.9396236513257	13.9622455861205	12.8642479228208	14.1839383660523	13.8624445102265	14.2951937370838	14.2624414087682	13.6756834779084	14.1738366625969	13.5034566672197	14.4251724650642	14.2769196893422	14.6342841991234	13.8794791390663	14.356459920791
M124.04T57	15.222916820611	15.4910915287928	15.5607328695449	14.842860427364	15.0584646741263	14.9416230301815	14.8466722434039	14.8593041233928	13.6188451504049	14.3533534402623	14.2404080778137	14.400813973772	15.2203741187429	14.6516386446126	14.9804588869618	15.3850752749246	16.4408845795663	14.7493768275711	14.8898570033294	14.9982576222918	15.2006028453378	15.8438494613845	15.8083611237488	15.0425841024167	15.013051464232	15.9168873063992	14.9505484023305	15.8561434142635
M413.0789T403	10.8284987567274	12.1143712792389	12.2156137375941	9.65011765940379	9.71845500188042	10.7359527218269	12.0667535638449	11.9828671250295	10.7196029221501	9.45598186462545	8.48501170160937	11.6774992945489	9.94777984878449	10.3966690605947	11.6971213726179	12.0952549542565	11.9886299858587	11.8677045167405	12.2333055723327	12.8121853161111	12.8148896239415	12.6462086694926	12.8622056075255	11.0591531827739	12.8038321387951	13.1930998000657	12.87687800143	12.1223405624388
M282.0113T90	7.2735141089441	-0.239766399238848	0.106461730144814	7.86772549464734	0.271063426903381	0.0413968001711766	8.57061953502192	10.8641510008641	9.06755994164376	7.31421755447884	13.1549467160546	11.6457242946765	8.19010317960814	-0.0914265133182158	12.9755246307628	9.49475785661707	8.59883421681088	11.5398154436815	12.4163842057383	12.3603373231922	13.5733870597267	10.8710320332488	10.2573313391214	11.8315053832923	12.7922214722943	9.0891330484935	12.153890342642	11.0820365371416
M453.3684T991	15.0577349135513	16.1727230244665	16.649829167153	16.062240382111	14.3963538206579	12.5878502301548	14.0309820628628	14.4189959940155	11.5540179753635	14.5284799456091	14.1100467972233	12.1847923158799	15.2060090442104	12.8348041901561	15.4264377733207	15.1918305679767	16.0451557610328	15.704326753076	15.6516172812261	16.5970682224901	16.3030776680653	16.5606542549786	16.491677526026	15.3143379327531	15.610803172326	17.6872279812595	16.8401557039259	15.7358124959535
M452.3651T991	16.8277951918979	17.9148785499046	18.3951373496886	17.8120173657335	16.1764666544948	14.311184447245	15.7715229362345	16.2061979192405	13.4465736033428	16.3172152504482	16.0186763270957	13.8331568886329	17.0556552518361	14.5450602445387	17.2214534539812	16.9229867227467	17.7806890469723	17.4776267130889	17.4158476534888	18.3442257447312	18.0733574032531	18.2970944217636	18.2357197742714	17.0611742893866	17.3373479544178	19.4267406138576	18.6024885584248	17.4420423596896
M432.3904T991	11.9544478756485	12.9840958876242	13.108785943199	12.5497227757922	11.4567729349028	9.83493365445268	10.9754771875785	11.1157261378121	8.6089509776905	11.440207415489	10.7821233054608	8.07475010892559	12.3061008524853	9.2317520683224	12.2362664612559	11.8669558997868	12.7874576102607	12.706300444819	12.5202249577065	13.1496821384487	12.9771412603251	12.9560363337426	12.9978463638311	12.0719941878357	12.4227373421098	14.0997110354839	13.3976243777717	12.4541712277195
M429.3752T991	19.0674708932944	20.4028413675583	20.5293843285479	19.8798454616557	18.8855272210492	17.0712636880402	18.5682957947823	18.7481508462376	16.7448408101335	18.6095576242577	18.3048881031072	16.8131891072563	19.5609182428022	17.1423601547367	19.4973617740731	19.3117572916327	19.8360885604795	19.7903303351667	20.086135075708	20.5678262583858	20.3152498596125	20.3539700268843	20.380948685922	19.3998839554256	19.5786251241272	21.5722091906881	20.7239404726626	19.7242680662442
M217.1558T92	12.5711009122286	13.3603847363927	12.7712774418288	13.5991855319218	14.0362773185226	13.5940271005166	12.6112006433519	12.9266486356969	13.4037210581783	12.4897488364221	13.7235879376603	14.4075156613919	13.8512942273823	12.3346921702973	13.4635377491469	10.9986735161249	11.6541684156097	13.3977571178182	12.1186451745057	13.0437339670439	11.8880557801501	12.7436535929811	11.612788294046	12.2310356017512	13.140014898851	12.2425049720984	12.7600518572156	12.3013846566743
M687.707T404_2	10.6820189788277	10.2426140398986	10.9598101177187	9.39477557593557	10.8971371384	10.7928534543052	12.280650508051	12.336369971947	12.5793965426876	12.033377747778	12.9353983294994	12.4808164763614	11.3644294335762	10.3579187269129	12.1688776277346	11.7610016153071	11.708147310079	12.7339025459581	12.7037294102756	12.931634602597	13.0812507165662	12.6743042516395	10.8617134235472	12.6677390130636	12.5994595956266	11.6550898514504	12.8500280510504	11.4220652737083
M318.1829T344	13.7161004164911	14.0653904034955	13.2403242458407	14.274079602035	14.3494733917648	14.8380961371882	14.7895767395415	14.4125994658013	14.4850214601566	14.0269511854807	15.0587060079001	15.2810781692144	13.4809805820879	13.1451262757396	14.3791207928996	12.3785481571438	12.2581351956253	14.3615885505573	13.8363625833177	13.7190590794291	13.2368473676981	13.9460429510961	13.4399453787545	13.9192517927963	13.8079427376327	12.8177912055281	13.8693436091578	13.8225963745243
M192.0331T59	16.1669267024387	16.7981503137393	17.5541996994878	15.8162215409649	16.7774945123154	16.5951586758532	15.8171785383826	15.6746544778956	15.7856639139506	16.2909523867491	16.2166734734086	16.6208984901095	17.4474689291716	16.9313908379936	16.4050496224462	17.285683202239	17.7238191650285	16.3827897808611	16.4887763980028	16.8990101169353	17.1557105062808	17.0379077817366	17.8799031038559	16.1288816594398	17.1262374401912	18.4113642066132	17.0563943322988	17.116220843131
M338.089T301	16.3819624824213	17.3613188170878	11.6146219465213	10.5872125100994	0.63561104181719	-0.095116088607141	17.3023097127239	10.798307493928	11.1814925741594	9.55640445381263	16.7395508221075	16.4919136153789	-0.200146135210995	10.5257870436331	18.1125331598294	17.7128683604974	17.663367879299	17.8525992679709	17.9451280496425	18.9065586020824	17.4109203236274	17.2389840917419	16.0950436891951	17.6908374365187	17.1266557661536	17.6582148072367	16.9561472641598	18.2979965866744
