variableMetadata	set	gene	chromato	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	name	formula	monoisotopic_mass	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	chebi_id	hmdb_id	pubchem_id	inchikey	inchi	WT.KO_fold	WT.KO_BH	WT.KO_signif	M.F_fold	M.F_BH	M.F_signif	oplsda_vip	biosigner	mixomics
M701.4347T987.33	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M701T987	701.434677227957	987.332994377396	[1203][M]+	[M+H]+ 700.427	3757	466	@M702.4381T987.3|-13C			NA										-1.52727379247621	0.0162837527029291	1	0.193722914055527	0.857730438786312	0	2.7383230468198	plsda	0.121107459087486
M250.0387T63.11	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M250T63	250.038723880299	63.1094331025868			26	NA				NA										0.557651864459503	0.0422416573274324	1	0.149141737257349	0.245895371598381	0	2.87361838668766	plsda	-0.629936283911389
M480.2157T584.76	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M480T585	480.215681876536	584.761922820208			2450	NA				NA										1.24262006736844	0.0687529412968561	0	0.114871522643092	0.648445946674275	0	2.75831062120182		-0.0527330026337262
M124.04T56.97	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M124T57	124.039985570479	56.9664390639498			33	NA		Nicotinic acid;Niacin|Picolinic acid;2-Pyridinecarboxylic acid	C6H5NO2	123.032	C00253|C10164	Amino acid metabolism|Metabolism of cofactors and vitamins	Tryptophan metabolism|Nicotinate and Nicotinamide metabolism	Kynurenine|Deamino-NAD+	CHEBI:15940|CHEBI:28747	HMDB01488|HMDB02243	CID938|CID1018	PVNIIMVLHYAWGP-UHFFFAOYSA-N|SIOXPEMLGUPBBT-UHFFFAOYSA-N	InChI=1S/C6H5NO2/c8-6(9)5-2-1-3-7-4-5/h1-4H,(H,8,9)|InChI=1S/C6H5NO2/c8-6(9)5-3-1-2-4-7-5/h1-4H,(H,8,9)	0.572656088651829	0.0687529412968561	0	0.721197793624443	7.08820571254526e-05	1	1.65850079836225		0
M453.3684T990.95	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M453T991	453.368396156364	990.952013177231	[751][M+1]+		81	285	@M431.3861T990.99|+Na|@M452.3651T990.95|+13C|@M454.3718T991.03|-13C|@M494.3952T990.85|-(CH3CN)|-(C2H3N)			NA										1.78527851558348	0.145391902808427	0	0.600340268682199	0.249639799105015	0	2.25172859383183	plsda	-0.130372286909794
M452.3651T990.95	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M452T991	452.365058604187	990.952013177231	[751][M]+	[M+Na]+ 429.376	81	285	@M430.38T991.02|+Na|@M453.3684T990.95|-13C|@M454.3718T991.03|-18O|-13C2|@M493.3919T990.94|-(CH3CN)|-(C2H3N)|@M494.3952T990.85|-(C2H4N.)			NA										1.75472425741175	0.145391902808427	0	0.5726145213481	0.275873295110155	0	2.2350740456472		-0.099822855903992
M432.3904T991.02	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M432T991	432.39042898858	991.022796552063	[706][M+3]+		81	285	@M430.38T991.02|+13C2|@M431.3861T990.99|+13C|@M454.3718T991.03|-Na|@M494.3952T990.85|-(H2O)-(CO2)			NA										1.68514278527263	0.145391902808427	0	0.57673923042559	0.273712818051434	0	2.14759535778785		0
M429.3752T991.02	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M429T991	429.375242758528	991.022796552063	[706][M]+	[M+H-COCH2]+ 470.395	81	285	@M430.38T991.02|-13C|@M431.3861T990.99|-13C2|-(H2)|@M493.3919T990.94|-(H2O)-(HCOOH)			NA										1.47118899033932	0.145391902808427	0	0.426469859899949	0.328710168864761	0	2.22491524435948		-0.0595680804260183
M217.1558T92.23	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M217T92	217.15576712762	92.2313014855189			2855	NA				NA										-0.958397855482849	0.145391902808427	0	-0.28098871661135	0.328082845620024	0	2.04305471538348		0
M687.707T404.29_2	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M688T404_2	687.707024213137	404.292882074256		[M+H-CH2]+ 700.707	112	NA				NA										0.847109653466063	0.145391902808427	0	-1.54370988970119	4.48989607670364e-07	1	2.17711833768485		-0.0500722886348662
M318.1829T344.18	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M318T344	318.182886104224	344.180596838626		[M+H]+ 317.181	88	NA				NA										-0.742832300689049	0.145391902808427	0	-0.672201373162022	0.00831261193689123	1	1.79237520414578		0
M192.0331T59.35	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M192T59	192.033111994465	59.3480235657209		[M+Na+NaCOOH]+ 101.05	26	NA				NA										0.670335438745756	0.145391902808427	0	0.678074169829763	0.00378574725387823	1	1.92355295352389		-0.137429034593441
M338.089T301	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M338T301	338.088985759459	301.002499120698			9	NA				NA										6.47141372895178	0.147040230631446	0	-3.78099842474728	0.164991161995019	0	2.57893252622166	svm	0
M645.3722T987.39	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M645T987	645.37221094018	987.389082168202		[M+H-C4H8]+ 700.427	3757	466	@M702.4381T987.3|-(C4H9)			NA										-2.90671968914292	0.147040230631446	0	1.00202901784285	0.501251245115102	0	2.31713488252838	forest	0
M454.3718T991.03	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M454T991	454.371829815014	991.028638851935	[751][M+2]+		81	285	@M432.3904T991.02|+Na|@M452.3651T990.95|+18O|+13C2|@M453.3684T990.95|+13C			NA										2.11956289489469	0.147040230631446	0	0.630757717823753	0.368213255462295	0	2.08149446190839		0
M299.1293T407.76	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M299T408	299.129348019052	407.763224721475			4393	NA				NA										1.78709222301736	0.147040230631446	0	-0.299620207460139	0.840245967246105	0	2.14694628294478		0
M946.3779T446.86_1	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M946T447_1	946.377941587957	446.861589943843			1988	NA				NA										-1.05971734758313	0.147040230631446	0	-0.313561938498358	0.380972975958463	0	2.28157038132261		0.0148975821672334
M194.9677T54.28	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M195T54	194.967676274273	54.2750041977998		[M+K+HCOOH]+ 109.997 [M+K+HCOOH]+ 109.997	33	NA				NA										1.03897302140052	0.147040230631446	0	-0.0665489455780701	0.988854483238769	0	2.60528377647637		-0.223149934988236
M427.3598T946.72	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M427T947	427.359824779961	946.716753447969			4230	NA				NA										1.01747412434467	0.147040230631446	0	0.8852709355274	0.0179715982084865	1	1.62071067564168		0
M988.1518T453.87_1	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M988T454_1	988.151755617266	453.868627499643			4	NA				NA										-0.840545018866878	0.147040230631446	0	-0.228502736238365	0.419934602456436	0	2.20936005946589		0.0559497825414236
M505.2069T174.48	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M505T174	505.206920435204	174.479485909767			3060	NA				NA										-0.826360473594516	0.147040230631446	0	-0.108624567952392	0.660242165133342	0	2.2926312287355		0
M533.7948T392.18	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M534T392	533.794829620319	392.180527097019	[908][M+1]2+		658	NA				NA										-0.745830481495863	0.147040230631446	0	-1.02265642237186	0.000518427673418499	1	1.43193726707168		0
M299.1104T62.12	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M299T62	299.110389973462	62.121518055698		[M+K+NH3]+ 243.121	26	NA				NA										0.548283137043743	0.147040230631446	0	-0.338127609834434	0.138816367283437	0	2.43517677156563		0
M381.5541T339.69	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M382T340	381.554051657967	339.69064345663		[M+H]+ 380.543 [M+2H-CO]2+ 789.081	88	NA				NA										-0.537001566925746	0.147040230631446	0	-0.167221950842308	0.347244427122051	0	2.58546239761932		0.336666566565472
M381.2197T339.73	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M381T340	381.219654187274	339.728743339936			88	NA				NA										-0.448150979495193	0.147040230631446	0	-0.213349267925384	0.162248673403169	0	2.43582873622272		0.303474429861827
M588.8187T394.13_2	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M589T394_2	588.818659231394	394.125814955686			665	NA				NA										-0.447310187485529	0.147040230631446	0	-0.0325003786765077	0.748909051321723	0	2.27133400904743	plsda	0
M328.0256T241.48	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M328T241	328.02558814906	241.478014613225	[515][M]+		71	NA				NA										0.37940524144199	0.147040230631446	0	0.247268368306122	0.0647351539163013	0	2.19924409828346		-0.184787088912544
M226.0565T63.08	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M226T63	226.056485017329	63.0791217940337		[M+2H-C6H10O5]2+ 612.156	26	NA				NA										0.361154843552356	0.147040230631446	0	0.0738138265527226	0.512784135389756	0	2.46977698166565		-0.464576104023218
M334.897T380.14_1	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M335T380_1	334.896989084433	380.140490292345			592	NA				NA										-0.323482989796409	0.147040230631446	0	-1.0666032106985	6.96669693710998e-09	1	0.710116810119272		0
M342.0865T62.35	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M342T62	342.086549071664	62.3502599948763	[541][M]+	[M+H+CF3COOH]+ 207.091	26	NA				NA										0.448148742766151	0.168188007297543	0	0.193648050790923	0.229975625623274	0	2.25497132529272		0
M431.3818T950.51	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M431T951	431.381810131273	950.511889889918	[708][M+2]+		116	NA				NA										1.28268458532109	0.18699427246872	0	0.113441237803212	0.746353740292354	0	2.23398625626547		0
M257.0753T50.93	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M257T51	257.075283216202	50.9291572338902			1338	NA				NA										1.36127447305135	0.202160853907959	0	-1.12446710056476	0.0447252364859097	1	2.16605456759943		0
M299.0721T241.33	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M299T241	299.072070490207	241.32799595503		[M+Na]+ 276.081	71	NA				NA										0.427051173945417	0.202160853907959	0	0.340322597574678	0.0389757939401596	1	2.03990984279497		-0.133862713735053
M132.0816T372.03	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M132T372	132.081551960808	372.030088026444			79	NA				NA										5.78468600150489	0.210421378327999	0	0.562627437297195	0.742253976983661	0	2.11816778121484	svm	0
