variableMetadata	set	gene	chromato	name	chebi_id	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	hmdb_id	pubchem_id	formula	monoisotopic_mass	inchikey	inchi	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	WT.KO_fold	WT.KO_BH	WT.KO_signif	M.F_fold	M.F_BH	M.F_signif	oplsda_vip	biosigner	mixomics
M340.1039T320.73	metabolomics_plasma_c18hypersil_pos	LAT	c18hypersil										NA			M340T321	340.103896079417	320.725560187977			1099	NA		9.99370972718816	0.00771875842445323	1	-5.48833671595048	0.0344114177817289	1	3.28634774987771	plsda, forest, svm	-0.440946930538509
M701.4347T987.33	metabolomics_plasma_c18hypersil_pos	LAT	c18hypersil										NA			M701T987	701.434677227957	987.332994377396	[1203][M]+	[M+H]+ 700.427	3757	500	@M702.4381T987.3|-13C	-1.55306570765105	0.0450325735405578	1	0.25106584372195	0.804278409135372	0	2.79067193198072	plsda	0
M250.0387T63.11	metabolomics_plasma_c18hypersil_pos	LAT	c18hypersil										NA			M250T63	250.038723880299	63.1094331025868			26	NA		0.559989294366071	0.0450325735405578	1	0.15385898136485	0.265289384597506	0	2.97282264872113	forest	-0.647229235520589
M124.04T56.97	metabolomics_plasma_c18hypersil_pos	LAT	c18hypersil	Nicotinic acid;Niacin|Picolinic acid;2-Pyridinecarboxylic acid	CHEBI:15940|CHEBI:28747	C00253|C10164	Amino acid metabolism|Metabolism of cofactors and vitamins	Tryptophan metabolism|Nicotinate and Nicotinamide metabolism	Kynurenine|Deamino-NAD+	HMDB01488|HMDB02243	CID938|CID1018	C6H5NO2	123.032	PVNIIMVLHYAWGP-UHFFFAOYSA-N|SIOXPEMLGUPBBT-UHFFFAOYSA-N	InChI=1S/C6H5NO2/c8-6(9)5-2-1-3-7-4-5/h1-4H,(H,8,9)|InChI=1S/C6H5NO2/c8-6(9)5-3-1-2-4-7-5/h1-4H,(H,8,9)	M124T57	124.039985570479	56.9664390639498			33	NA		0.581384123538296	0.086674443343894	0	0.719727321547628	0.000127224479021925	1	1.82765760598446		0
M480.2157T584.76	metabolomics_plasma_c18hypersil_pos	LAT	c18hypersil										NA			M480T585	480.215681876536	584.761922820208			2450	NA		1.23334776864652	0.0895123683355487	0	0.142964080801843	0.623131277739231	0	2.8975037961747	forest	-0.0379969882960901
M338.0886T100.98	metabolomics_plasma_c18hypersil_pos	LAT	c18hypersil										NA			M338T101	338.088550057031	100.984178748098		[M+Na+NaCOOH]+ 247.115	69	NA		7.31912224539775	0.188915882002064	0	-4.98639738587894	0.0606034446118391	0	2.7867319606232		0
M217.1558T92.23	metabolomics_plasma_c18hypersil_pos	LAT	c18hypersil										NA			M217T92	217.15576712762	92.2313014855189			2855	NA		-0.959620502641263	0.234159378021233	0	-0.279591348594414	0.354034059210621	0	2.20726367976676		0
M318.1829T344.18	metabolomics_plasma_c18hypersil_pos	LAT	c18hypersil										NA			M318T344	318.182886104224	344.180596838626		[M+H]+ 317.181	88	NA		-0.74374233811354	0.234159378021233	0	-0.689968517356807	0.00800956179112301	1	1.91342190800047		0
M338.089T301	metabolomics_plasma_c18hypersil_pos	LAT	c18hypersil										NA			M338T301	338.088985759459	301.002499120698			9	NA		6.46174186082545	0.245982631332296	0	-3.79465801603532	0.182331644075367	0	2.67761969437043		0
M645.3722T987.39	metabolomics_plasma_c18hypersil_pos	LAT	c18hypersil										NA			M645T987	645.37221094018	987.389082168202		[M+H-C4H8]+ 700.427	3757	500	@M702.4381T987.3|-(C4H9)	-2.91874739178258	0.245982631332296	0	1.03927577238227	0.509826244907809	0	2.41533484680736		0
M454.3718T991.03	metabolomics_plasma_c18hypersil_pos	LAT	c18hypersil										NA			M454T991	454.371829815014	991.028638851935	[751][M+2]+		81	313	@M432.3904T991.02|+Na|@M452.3651T990.95|+18O|+13C2|@M453.3684T990.95|+13C	2.11048275783591	0.245982631332296	0	0.656134409291749	0.407480467417792	0	2.12606741484218		0
M299.1293T407.76	metabolomics_plasma_c18hypersil_pos	LAT	c18hypersil										NA			M299T408	299.129348019052	407.763224721475			4393	NA		1.77639765084085	0.245982631332296	0	-0.283566477342939	0.872479616760566	0	2.23201641221211		0
M453.3684T990.95	metabolomics_plasma_c18hypersil_pos	LAT	c18hypersil										NA			M453T991	453.368396156364	990.952013177231	[751][M+1]+		81	313	@M431.3861T990.99|+Na|@M452.3651T990.95|+13C|@M454.3718T991.03|-13C|@M494.3952T990.85|-(CH3CN)|-(C2H3N)	1.77359806681663	0.245982631332296	0	0.628527160776629	0.288224401130006	0	2.27990331674435		-0.132424359714794
M452.3651T990.95	metabolomics_plasma_c18hypersil_pos	LAT	c18hypersil										NA			M452T991	452.365058604187	990.952013177231	[751][M]+	[M+Na]+ 429.376	81	313	@M430.38T991.02|+Na|@M453.3684T990.95|-13C|@M454.3718T991.03|-18O|-13C2|@M493.3919T990.94|-(CH3CN)|-(C2H3N)|@M494.3952T990.85|-(C2H4N.)	1.74342255050119	0.245982631332296	0	0.599174609714559	0.312336344262164	0	2.26375279057775		-0.105807585586875
M432.3904T991.02	metabolomics_plasma_c18hypersil_pos	LAT	c18hypersil										NA			M432T991	432.39042898858	991.022796552063	[706][M+3]+		81	313	@M430.38T991.02|+13C2|@M431.3861T990.99|+13C|@M454.3718T991.03|-Na|@M494.3952T990.85|-(H2O)-(CO2)	1.67829980835108	0.245982631332296	0	0.59363890867772	0.314996977388089	0	2.1932063584271		-0.000543244579775329
M429.3752T991.02	metabolomics_plasma_c18hypersil_pos	LAT	c18hypersil										NA			M429T991	429.375242758528	991.022796552063	[706][M]+	[M+H-COCH2]+ 470.395	81	313	@M430.38T991.02|-13C|@M431.3861T990.99|-13C2|-(H2)|@M493.3919T990.94|-(H2O)-(HCOOH)	1.47671558336103	0.245982631332296	0	0.43577488324663	0.379917323073435	0	2.26664936875438		-0.0752591429609146
M257.0753T50.93	metabolomics_plasma_c18hypersil_pos	LAT	c18hypersil										NA			M257T51	257.075283216202	50.9291572338902			1338	NA		1.36489086834864	0.245982631332296	0	-1.11426125620135	0.0526447927685555	0	2.2819124061579		0
M946.3779T446.86_1	metabolomics_plasma_c18hypersil_pos	LAT	c18hypersil										NA			M946T447_1	946.377941587957	446.861589943843			1988	NA		-1.05240001763613	0.245982631332296	0	-0.310144670457236	0.412913074845803	0	2.38564894441607		0.0597333289024628
M194.9677T54.28	metabolomics_plasma_c18hypersil_pos	LAT	c18hypersil										NA			M195T54	194.967676274273	54.2750041977998		[M+K+HCOOH]+ 109.997 [M+K+HCOOH]+ 109.997	33	NA		1.02783341944954	0.245982631332296	0	-0.0704005724446723	0.997682438199019	0	2.64743388850164		-0.0754523972260683
M427.3598T946.72	metabolomics_plasma_c18hypersil_pos	LAT	c18hypersil										NA			M427T947	427.359824779961	946.716753447969			4230	NA		1.02231332470249	0.245982631332296	0	0.888581833738817	0.0264324148199504	1	1.71220146914355		0
M946.477T447.14_2	metabolomics_plasma_c18hypersil_pos	LAT	c18hypersil										NA			M946T447_2	946.476962960225	447.137101029159			1989	NA		-0.911215374587375	0.245982631332296	0	-0.256723671617079	0.432954539177921	0	2.16965128329885		0
M248.108T569.72	metabolomics_plasma_c18hypersil_pos	LAT	c18hypersil										NA			M248T570	248.10798381773	569.722612314963	[301][M]+		2932	145	@M249.1113T569.63|-13C	0.893786913068832	0.245982631332296	0	-0.329196345224222	0.490872785186821	0	2.5240206397055		0
M505.2069T174.48	metabolomics_plasma_c18hypersil_pos	LAT	c18hypersil										NA			M505T174	505.206920435204	174.479485909767			3060	NA		-0.872317515067245	0.245982631332296	0	-0.0525867998161154	0.801586588573332	0	2.45308639822481		0
M988.1518T453.87_1	metabolomics_plasma_c18hypersil_pos	LAT	c18hypersil										NA			M988T454_1	988.151755617266	453.868627499643			4	NA		-0.857476406145341	0.245982631332296	0	-0.194538586267328	0.536882015422004	0	2.25881744880673		0
M687.707T404.29_2	metabolomics_plasma_c18hypersil_pos	LAT	c18hypersil										NA			M688T404_2	687.707024213137	404.292882074256		[M+H-CH2]+ 700.707	112	NA		0.847765275643996	0.245982631332296	0	-1.52733138524133	1.26277233612019e-06	1	2.27157999751957		0
M192.0331T59.35	metabolomics_plasma_c18hypersil_pos	LAT	c18hypersil										NA			M192T59	192.033111994465	59.3480235657209		[M+Na+NaCOOH]+ 101.05	26	NA		0.66783694491885	0.245982631332296	0	0.685355626397765	0.00976481732801902	1	1.95243277880381		0
M381.5541T339.69	metabolomics_plasma_c18hypersil_pos	LAT	c18hypersil										NA			M382T340	381.554051657967	339.69064345663		[M+H]+ 380.543 [M+2H-CO]2+ 789.081	88	NA		-0.52156746284097	0.245982631332296	0	-0.177015947091835	0.357570079539861	0	2.60625575886313		0.321543787086982
M342.0865T62.35	metabolomics_plasma_c18hypersil_pos	LAT	c18hypersil										NA			M342T62	342.086549071664	62.3502599948763	[541][M]+	[M+H+CF3COOH]+ 207.091	26	NA		0.452677039116832	0.245982631332296	0	0.187421392304472	0.273796087360752	0	2.4486552519272		0
M381.2197T339.73	metabolomics_plasma_c18hypersil_pos	LAT	c18hypersil										NA			M381T340	381.219654187274	339.728743339936			88	NA		-0.446537396636106	0.245982631332296	0	-0.221024909027944	0.189610935257222	0	2.41513535183298		0.174331173970651
M226.0565T63.08	metabolomics_plasma_c18hypersil_pos	LAT	c18hypersil										NA			M226T63	226.056485017329	63.0791217940337		[M+2H-C6H10O5]2+ 612.156	26	NA		0.360938713894033	0.245982631332296	0	0.0814401577624082	0.533838194649091	0	2.46211143491763		-0.279173016192323
