variableMetadata	set	gene	chromato	name	chebi_id	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	hmdb_id	pubchem_id	formula	monoisotopic_mass	inchikey	inchi	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	WT.KO_fold	WT.KO_BH	WT.KO_signif	M.F_fold	M.F_BH	M.F_signif	oplsda_vip	biosigner	mixomics
M239.0025T146.67	metabolomics_plasma_hilic_neg	LAT	hilic										NA			M239T147	239.002472737962	146.66636538284			1206	NA		10.5096500603607	0.000519784280591041	1	-2.73358867773334	0.437939859315348	0	2.12389337436601	svm	0
M338.089T188.5	metabolomics_plasma_hilic_neg	LAT	hilic										NA			M338T188	338.089028108226	188.495647124473			1230	NA		9.98222990778884	0.000519784280591041	1	-4.13492500316124	0.137271398264413	0	2.05156345022928	svm	0
M216.0517T510.91	metabolomics_plasma_hilic_neg	LAT	hilic										NA			M216T511	216.051734459599	510.910534008398			1073	NA		0.941772830311491	0.000519784280591041	1	0.0776519287307007	0.615271244486678	0	2.12051399825171		0
M248.0239T639.01	metabolomics_plasma_hilic_neg	LAT	hilic										NA			M248T639	248.023938567629	639.006575175072		[M-H]- 249.031	44	158	@M204.034T639.26|+(CO2)	0.716087692776481	0.000519784280591041	1	-0.00637589015577156	0.865596205494788	0	2.38060997797429	plsda, forest	-0.248422056836153
M145.0508T163.47	metabolomics_plasma_hilic_neg	LAT	hilic	Monomethyl glutaric acid;5-Methoxy-5-oxopentanoic acid						HMDB00858	CID73917	C6H10O4	146.05791	IBMRTYCHDPMBFN-UHFFFAOYSA-N	InChI=1S/C6H10O4/c1-10-6(9)4-2-3-5(7)8/h2-4H2,1H3,(H,7,8)	M145T163	145.050823834934	163.471401539785			1493	NA		0.712044465708079	0.000519784280591041	1	-0.169911851352754	0.563019947479382	0	2.23564688103055	plsda	0
M146.0223T610.17	metabolomics_plasma_hilic_neg	LAT	hilic										NA			M146T610	146.022290733609	610.171147494403		[3M-H+Cl]2- 86.0345 [M-H]- 147.03	10	6	@M84.0218T610.39|+(H2O)+(CO2)|@M128.0117T610.93|+(H2O)|@M130.9987T610.5|+(CH3.)|@M192.0234T610.93|-(HCOOH)|-(H2O-CO)	0.58851085463742	0.000519784280591041	1	0.0903447804641786	0.40010222327175	0	2.22055702848686	plsda	-0.431987109601661
M87.0089T179.61	metabolomics_plasma_hilic_neg	LAT	hilic										NA			M87T180	87.0088671570841	179.61452883344	[6][M]-		22	8	@M88.0122T179.61|-13C|@M89.0132T179.85|-18O|-13C2	0.552243435864778	0.000519784280591041	1	-0.305965748396719	0.0239796505494368	1	2.25687879833027		-0.14830713810927
M128.0117T610.93	metabolomics_plasma_hilic_neg	LAT	hilic										NA			M128T611	128.011726772449	610.933528171626		[M-H-H20]- 147.03	10	6	@M84.0218T610.39|+(CO2)|@M111.0089T611.16|+(OH.)|@M146.0223T610.17|-(H2O)	0.540027334389075	0.000519784280591041	1	0.147816805232157	0.168102239994944	0	2.23912227143234		-0.22235629641528
M95.5081T610.34_1	metabolomics_plasma_hilic_neg	LAT	hilic										NA			M96T610_1	95.5080538894784	610.339850023314	[27][M+1]2-		10	6	@M95.0064T610.19|+13Cdb|@M96.0085T610.17_2|-13Cdb	0.525459699441257	0.000519784280591041	1	0.0506465350606788	0.578926010904198	0	2.23382822955416	plsda	-0.372323650875002
M414.1528T339.73	metabolomics_plasma_hilic_neg	LAT	hilic										NA			M414T340	414.15275974623	339.732499601578	[556][M]-		899	361	@M415.1563T339.92|-13C	2.00304827289712	0.000685154744742334	1	-0.971260832486664	0.0812113144976543	0	2.0099585042517		0
