variableMetadata	set	gene	chromato	name	chebi_id	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	hmdb_id	pubchem_id	formula	monoisotopic_mass	inchikey	inchi	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	WT.KO_fold	WT.KO_BH	WT.KO_signif	M.F_fold	M.F_BH	M.F_signif	oplsda_vip	biosigner	mixomics
M243.089T385.69	metabolomics_liver_c18hyper_pos	MX2	c18hyper													M243T386	243.089029260631	385.685822168698	[308][M]+	[M+H]+ 242.082	80	172	@M244.0923T385.55|-13C|@M265.071T385.59|-Na	0.886997788457734	0.000932822449420137	1	0.243088261278071	0.360776893103829	0	2.85790786597009	plsda, forest	0.572175056839153
M613.6959T333.93	metabolomics_liver_c18hyper_pos	MX2	c18hyper													M614T334	613.695904295394	333.932390925269		[3M+2K]2+ 383.146	79	NA		-1.45053977324734	0.00247803646008975	1	0.220592435237791	0.524773007394568	0	2.86566959355405	plsda, forest	-0.438397802652543
M613.3621T335.3	metabolomics_liver_c18hyper_pos	MX2	c18hyper													M613T335	613.362129540475	335.304065640974			79	NA		-1.40754622253865	0.0172714734243223	1	0.408063078273448	0.323680965359669	0	2.6815904607692	plsda	-0.267432161048958
M348.4618T262.53	metabolomics_liver_c18hyper_pos	MX2	c18hyper													M348T263	348.461834713385	262.533856121367			1936	NA		-1.18961352468723	0.0172714734243223	1	-0.0419532339012072	0.994001408582589	0	2.52189440962618	plsda	-0.227654266718194
M343.5556T219.98_1	metabolomics_liver_c18hyper_pos	MX2	c18hyper													M344T220_1	343.55563806813	219.980124839527			3078	NA		-0.89000859249477	0.0172714734243223	1	-0.517694985349911	0.0609661704606701	0	2.41250767883048		-0.275610983173267
M753.4277T360.91	metabolomics_liver_c18hyper_pos	MX2	c18hyper													M753T361	753.427714306687	360.908246298054		[3M+3K-H]2+ 463.659 [M+Na+CF3COOH]+ 596.438	64	NA		1.72029653260958	0.0278689473270393	1	1.13807875329645	0.0539207447440296	0	2.56975042951858		0.218707324229897
M374.551T257.72	metabolomics_liver_c18hyper_pos	MX2	c18hyper													M375T258	374.550961920955	257.719554967775			49	NA		-1.10834154005947	0.0278689473270393	1	-0.415366848019108	0.350539204075711	0	2.37791883978869		-0.163011817513576
M477.4809T377.78_2	metabolomics_liver_c18hyper_pos	MX2	c18hyper													M477T378_2	477.480870064916	377.780548810611			64	NA		-1.1031019278202	0.0278689473270393	1	0.259965217250866	0.489835047301038	0	2.47549550129773		-0.152452704489361
M258.1704T107.44	metabolomics_liver_c18hyper_pos	MX2	c18hyper													M258T107	258.170408346655	107.435479454709		[M+H]+ 257.157 [M+H-HCOOH]+ 303.16	63	NA		-1.08503771330321	0.0278689473270393	1	-0.636407814504501	0.0844094241848789	0	2.39163053929147		-0.216746250782191
M257.9185T220.48	metabolomics_liver_c18hyper_pos	MX2	c18hyper													M258T220	257.9184725123	220.479281638043			3078	NA		-0.982454702753346	0.0278689473270393	1	-0.649419211822314	0.0520412308393577	0	2.35419487233908		-0.153467597528926
M343.8899T219.89_2	metabolomics_liver_c18hyper_pos	MX2	c18hyper													M344T220_2	343.889891855726	219.893201216761			3078	NA		-0.870477820354569	0.0278689473270393	1	-0.561940319559222	0.0582614568793749	0	2.27063946083276		-0.181560949124428
M131.6951T75.33_7	metabolomics_liver_c18hyper_pos	MX2	c18hyper													M132T75_7	131.695119864185	75.3269274354397		[2M+Na+3K-H]3+ 128.105	1	NA		-0.818316901728092	0.0278689473270393	1	-0.0506104061192687	0.965851634366949	0	2.73299276103972		-0.188527640253664
M477.2804T377.84_1	metabolomics_liver_c18hyper_pos	MX2	c18hyper													M477T378_1	477.280410118477	377.843577779205			64	NA		-1.09686480472286	0.0285486822274992	1	0.167800983697582	0.652457375571248	0	2.47579134132943		-0.135218134969434
M258.1829T255.9	metabolomics_liver_c18hyper_pos	MX2	c18hyper													M258T256	258.182909509535	255.903497792729	[353][M]2+		49	206	@M258.6846T255.6|-13Cdb	-0.736719715341611	0.0285486822274992	1	-1.01254228267148	3.54056610357366e-05	1	1.8742879752507		-0.0399092344748166
M502.6216T360.9_1	metabolomics_liver_c18hyper_pos	MX2	c18hyper													M503T361_1	502.621578386325	360.901329134696		[M+K]+ 463.659	64	NA		1.03903150297077	0.0288628712990232	1	0.520889764511017	0.194995528159095	0	2.38798862988591		0.0967286795478974
M602.3616T348.64	metabolomics_liver_c18hyper_pos	MX2	c18hyper													M602T349	602.361564297584	348.643853183833		[M+H]+ 601.355 [2M+Na+3K-H]3+ 834.099	58	NA		-1.3374450178424	0.0329492179364411	1	0.676584245944865	0.136165389268167	0	2.26655119741458		0
M477.6815T377.93	metabolomics_liver_c18hyper_pos	MX2	c18hyper													M478T378	477.681527024584	377.933759022633		[M+K]+ 438.713	64	NA		-1.36869700991886	0.0400491597980344	1	0.364348340718529	0.46881106426974	0	2.35691293651151		-0.102240214924452
