dataMatrix	X501f	X502m	X503m	X506m	X508f	X509f	X513m	X517f	X518f	X521f	X527m	X528m	X529f	X531f	W616f	W617f	W620f	W621f	W622f	W623f	W625m	W627m	W628m	W629m	W630m	W631m	W632f	W633f	W634m
M243.089T385.69	18.230854496636	17.8813625478936	18.534294902252	18.253099579895	18.2198307320513	18.9221171676722	18.4687620411198	19.0002847751619	18.568975159311	17.944722926048	18.3541318447657	18.3140091780398	17.9581221988499	18.6724253419715	18.0732059128453	17.6207116866834	17.2716918960609	17.8671121984496	17.5361363983661	17.0038769161451	17.2490541788979	17.0357645762918	17.396537889097	17.4914029666272	17.4682063886881	17.0679836282033	17.8362125060912	17.8358222029732	17.8372632715386
M613.6959T333.93	12.6161800823961	12.9988040681774	12.406737014071	11.2012693435075	11.3762675892283	13.0603581826421	11.4450588298028	11.6166696759148	12.8906024877926	12.3906437741321	11.676365709253	12.9061506489743	12.6991397100086	13.1119779204082	13.7608633783151	14.550970385786	14.4413925685634	13.4808949415977	13.3986702194866	13.7876322327475	13.8239692326026	14.5778742904877	13.8754949954535	13.3788610920046	13.8301982704552	14.0244298088258	13.6533713262502	13.8338813286102	12.228027696475
M613.3621T335.3	12.8500662823868	12.8338230348475	12.6744381410539	12.3792332237828	12.1020019253972	12.9632934867852	11.9303296742773	12.7824016024129	13.9931993497445	12.1546728830973	11.1824738111842	12.7880792134378	13.321343290398	13.3901729875704	14.0573351877529	15.315138238075	15.1179863661307	13.0103029076019	13.6622778337975	14.1679198655519	14.3277778721746	15.1128157704422	13.6263056575029	13.6006052068265	13.9029958900223	14.7166956954173	14.2655359363421	14.3836394993257	12.5408860052315
M348.4618T262.53	12.6002562779928	12.6345183983841	11.6363781088743	11.5757717988509	11.6922955453235	11.8300940623646	11.3205585754347	10.8127051807517	12.9377204741243	12.8102934714246	11.4649637956479	11.9985784424933	11.8380240286597	11.9964014581078	12.7402848321534	13.5039784946208	13.5452685834156	12.3662279441604	12.0904283882181	12.7411104820752	12.7385478867139	13.626942139613	13.140566189697	13.4738769453605	13.6096266244979	13.6057549742888	13.5382604829071	13.7625159614381	12.8535947519213
M374.551T257.72	13.5269906498472	14.0131106507741	12.6244991658636	13.2044111246009	12.6496563216722	12.8354141030716	12.9708074695908	12.3756889324374	13.8642683774759	13.5711873508248	12.4822936970377	13.1853996808942	12.2814076072469	12.6872884104338	13.6222680701921	14.2638450189311	14.3182384502889	12.7994627566237	13.0282982277815	13.7111496355039	13.8777490420563	14.4373567592533	15.0058061026247	14.8997675793559	14.5347253901414	14.6352062627182	14.7532898851097	14.5058183754498	14.1644371574558
M257.9185T220.48	12.8128014289712	13.6855766614919	12.5045009738609	12.4835102300566	12.30263806708	12.143398202123	12.8908887649462	11.534377301419	13.4720510789225	12.0985223316823	12.4065356072988	12.8623614990524	11.7588532150259	12.4395067864912	12.6377078209568	13.5170714216384	13.1438672201198	13.1967639365665	13.1734112124835	12.7532388993094	13.060073905543	13.7331615333687	14.4394802945353	14.1695069725952	13.9645692042298	14.2865873602318	14.1557693097373	13.0453963827086	13.830325053419
M343.5556T219.98_1	12.6979955146654	13.5421854875022	12.5776134018831	12.4636112184465	12.3145991042032	12.2385575995754	12.7881854810292	11.9640675385621	13.2266092252234	12.7288811515614	12.3827953026728	12.6848075628637	11.9583982880488	12.5142268280949	13.0119837030929	13.4616827915645	13.1113515365699	12.825090955005	13.0660716949827	12.9883605409674	12.9927441822213	13.5765764609265	14.2804286113625	14.1584668947294	13.801583077437	14.125428000687	14.1212064780329	12.8024757736063	13.9429817660899
M343.8899T219.89_2	11.3182111889809	12.065422530184	11.8213841625285	11.2815620638292	11.6255686756931	10.820377638483	11.3500805998934	10.7754143967148	12.0973191154272	11.4970200022229	11.2970853523835	12.0283709282372	11.134109893772	11.7195894665304	11.9077277920359	12.2777473965409	11.9005668441216	12.0783112836183	11.5453902257145	11.8343169752003	11.9721045727572	12.8124386599876	13.0990290211186	13.1176163184355	12.7171252408394	13.0511394220071	12.9728188196924	11.7240682712209	12.5351718371765
M477.2804T377.84_1	13.5432844148164	13.9869805977104	12.5965345451507	12.6891396968753	12.8606103889055	12.5979491808817	13.4245416137022	12.5523816344623	14.0749575991874	13.6344060860058	11.8658183146766	12.8442571569394	12.8650848401622	12.8200051981651	14.0858018911541	14.7102042884598	14.4930686057374	14.0990379001647	13.6019587721354	13.6278302357578	13.6056322985993	15.1976540282362	14.3250974131357	13.961245286062	13.5638826524891	14.3235284012428	15.2666745576855	14.0354572396866	13.328324307587
M477.6815T377.93	13.2333212812309	13.6356682462903	11.3326643030905	12.4266801512235	12.9583587722833	12.221891577538	11.9174261608781	12.2130306852911	13.8252042720561	13.3324548021352	10.3759050059332	12.2981940543846	12.3515571103536	12.5449808489045	13.656021451158	14.5070760863511	13.8192700096679	13.6892270764066	13.7309031354549	12.9344059245394	13.1884695433698	14.9380868069122	14.1686525331948	13.5620348787565	13.1023538529594	14.7547867896845	15.0873074414978	13.7907211380524	13.1614962907051
