variableMetadata	set	gene	chromato	name	chebi_id	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	hmdb_id	pubchem_id	formula	monoisotopic_mass	inchikey	inchi	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	WT.KO_fold	WT.KO_BH	WT.KO_signif	M.F_fold	M.F_BH	M.F_signif	oplsda_vip	biosigner	mixomics
M243.089T385.69	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil													M243T386	243.089029260631	385.685822168698	[308][M]+	[M+H]+ 242.082	80	173	@M244.0923T385.55|-13C|@M265.071T385.59|-Na	0.87414827017902	0.00178507143305899	1	0.238833484644996	0.37566059909182	0	2.75244971365604	plsda, forest	0.513350028366706
M613.6959T333.93	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil													M614T334	613.695904295394	333.932390925269		[3M+2K]2+ 383.146	79	NA		-1.46241937715535	0.00253739783521355	1	0.215056968504745	0.527958415049851	0	2.86391250701945	plsda	-0.414476542665645
M613.3621T335.3	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil													M613T335	613.362129540475	335.304065640974			79	NA		-1.45301008311949	0.00812111942320966	1	0.394814385632678	0.32979513733244	0	2.6791172634788		-0.26349528818111
M348.4618T262.53	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil													M348T263	348.461834713385	262.533856121367			1936	NA		-1.21661614885058	0.00812111942320966	1	-0.0403779059031333	0.988839680678524	0	2.50789116085923		-0.28556903469455
M374.551T257.72	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil													M375T258	374.550961920955	257.719554967775			49	NA		-1.15103575648686	0.0114409817900472	1	-0.42424799553026	0.319809642582132	0	2.37036823972449		-0.197463577211267
M257.9185T220.48	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil													M258T220	257.9184725123	220.479281638043			3078	NA		-1.01221045313274	0.0114409817900472	1	-0.647420091211604	0.0390372869918521	1	2.37481132925382		-0.227685128007107
M343.5556T219.98_1	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil													M344T220_1	343.55563806813	219.980124839527			3078	NA		-0.907104995127959	0.0114409817900472	1	-0.517635844984552	0.0628741529720426	0	2.4043139796823		-0.263893199361887
M343.8899T219.89_2	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil													M344T220_2	343.889891855726	219.893201216761			3078	NA		-0.881739415730154	0.0114409817900472	1	-0.540409795829062	0.0485019563640084	1	2.29709069513902		-0.260332581382254
M477.2804T377.84_1	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil													M477T378_1	477.280410118477	377.843577779205			64	NA		-1.12293476799644	0.0158919611877208	1	0.162937912669582	0.630551419114599	0	2.51169454550263		-0.187176603976333
M477.6815T377.93	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil													M478T378	477.681527024584	377.933759022633		[M+K]+ 438.713	64	NA		-1.39648248737168	0.0198439170307089	1	0.379066409085819	0.404466962069694	0	2.4141881014004		-0.16779495005911
