dataMatrix	X501f	X502m	X503m	X506m	X508f	X509f	X513m	X517f	X518f	X521f	X527m	X528m	X529f	X531f	W616f	W617f	W620f	W621f	W622f	W623f	W625m	W627m	W628m	W629m	W630m	W631m	W632f	W633f	W634m
M242.0134T94.37	15.740149575672	14.9750489067262	14.8178807430131	14.4240197642359	15.3786685538787	13.4035556493047	14.9899694715862	16.4521966966624	17.1734220613902	17.5087113906801	16.4841514657252	14.5217942232396	15.0979545286604	14.8637420075415	0	8.3177599662826	0	0	0	0	15.5814269703234	8.56592597667112	0	0	9.68766285013384	0	0	0	13.4208435880415
M615.1551T535.92	15.3525965733394	15.7418138394581	15.1445691750405	15.3426629859195	15.3746995489867	14.2894229563913	15.0706512574442	15.509565728468	15.2972077327335	15.5803972329349	14.8187926374078	14.7461065749955	14.0417097940072	14.5242697487697	11.5488553792332	13.8561488871645	14.4512884786292	10.9416368955789	10.6535529420567	11.4905398065763	12.3876568959987	12.1151044526454	12.3375926861554	9.94313180032356	12.4890267756455	10.2333377660814	14.1862098021968	14.7396860414128	14.6786549037529
M273.0385T535.7	16.8086996775842	17.4207919853133	16.8242597395229	17.1160028450483	16.9748913845237	16.3213446882685	16.5413871017388	17.1113192543978	16.8605296416629	17.3747761834246	16.3574375691781	16.026242865758	15.5198794048606	16.1795353883412	14.6626857031518	15.7017522987142	16.2097852328496	14.3813845042152	15.0161196956995	14.3872798128362	15.6787388848765	14.4805652208752	14.37732332554	14.9167080357647	14.9411301012548	13.8245737547928	15.7544575082137	15.9678468365139	16.607559809733
M698.0528T620.79	16.0840952844262	15.5515659743697	15.4978756153077	15.7041677640429	15.4606027142259	15.7920894515291	15.8519840798578	16.0822255596765	15.1818144004342	15.6407415181884	16.4110803573341	15.721999750742	15.9157411452395	16.2088869898295	15.4713524116428	15.7744592937292	15.3464393225326	14.7233902536514	14.9769694850916	14.9688256161539	15.0931411732456	15.241455901604	14.0871132687549	13.9553671090222	14.6679304640846	14.7148104823381	13.958008440283	14.9226879077733	15.1983741311042
M348.5228T620.4	16.1536210878678	15.8993752631673	15.84043058133	16.2246384974168	16.03900450066	16.3357353799573	16.3717943815969	16.3194572695949	15.6837531218634	16.3259429023276	16.9630399904652	16.3407239993561	16.4501371523713	16.618056154557	16.1819468795823	16.0525791336275	15.5525694830385	15.7327407852505	15.9722178937476	15.790519732093	15.3699677550892	15.9113606534503	15.2955499511154	15.2275089262024	15.5205314159047	15.3421715918147	14.7913925256008	15.179338450579	15.5996111163087
M319.5201T605.46	15.7384236497264	16.51389885561	17.1009979866706	15.9714092000025	15.9050175117128	15.8645359357974	17.1935376364971	16.6278219821019	16.2733225855598	16.3990927456931	17.1036500147794	16.8661284925576	16.2927948861576	15.9254259548674	14.393477857568	15.2222570068919	14.8199517274643	15.1150253173881	13.8942090624313	15.165619989748	15.6446240731043	14.4397947948508	16.2187781761092	16.7874993605661	16.9283319810028	16.0025826061497	14.898152209293	16.0173027704588	16.4562625420396
M762.6608T622.46	14.0463379169036	13.30851171854	13.6559489214118	14.0486045345976	14.0998852945164	14.1693925828664	14.4068279671568	14.599356737823	13.8679332923721	14.1812620463855	15.3627733006229	13.8778667381229	14.5806788724455	14.6642665745477	13.9416310527273	13.993877971429	12.988326259569	13.8911914235917	13.7222581020449	13.7127915764968	13.0579570893458	13.7017304373431	12.870301730439	12.2310461076482	13.523951203459	12.9972148530724	12.5158450203259	12.9772644614811	13.7889203743363
M141.0221T573.16	16.6957722583967	17.1183590494756	16.6294343841521	17.013517226448	16.9075574971528	16.5715020819055	16.9838707693238	15.8594697307643	16.9271417123835	16.925426839175	16.7274924358593	16.3593219006122	16.7772805836819	17.0499763162559	16.7752801201973	17.8213198892702	17.7271597625527	16.6914426292926	17.8500077628633	16.943585035806	17.391586057068	16.6891151574389	17.6962336712229	17.7752334242452	17.0926629044663	18.0161804208363	17.5555005808278	17.8165494488108	17.584042555636
M268.05T605.92	17.0431916177155	16.0356365159606	16.5581142771461	16.8881056251808	16.8066861371704	17.0246239005656	16.9832041909727	17.206897684507	16.5634498083571	17.0087111151506	16.3930641116892	17.1057482222329	16.6143807363291	16.5846937047286	16.2248502557396	16.5431370203418	16.5337521085425	16.4605705481037	16.6571503825657	16.4614064050972	15.2421877478505	15.7962855886637	16.6924139209105	15.6465950824752	15.9886669428181	15.4523883805821	16.6694816677153	15.7737303363011	16.2347445889184
M253.0503T540.31	17.2831342871191	17.4488364752156	17.2265170802357	17.1696413670191	17.2572734425153	17.2078778351572	17.3903257595862	17.4497136451151	17.0436893124244	17.5164912709018	17.6549383906408	18.066610356041	17.5124699211046	17.6958637156268	17.2959327446376	16.9583183309589	16.9089467401891	16.9559947826447	16.8743383496344	17.1429112115938	17.0587164404631	17.1028122209065	17.024832348662	17.0771169240522	17.0273098174832	17.5263736973642	16.232595023837	16.6682616057624	16.7050240181701
M261.0288T535.57	15.2923163320804	12.5536019464975	14.2053354448615	14.1932381112053	15.2406927336858	14.9746590426529	13.6546894991675	14.693444969242	15.3451300489815	14.950941270348	13.7429532045874	13.2567557140411	14.3365992876918	13.6556642197803	14.4062269948573	13.9191185094376	14.1841648434116	14.5058830520074	14.6608798104118	14.2009482829801	12.6901168640968	10.3777674947612	11.9320388651897	10.744811545392	12.0221036684228	11.598363150103	14.5650404881534	15.146187687664	11.7709352417858
M358.1071T539.64	15.1832554409754	14.8402552246666	15.5426805880499	15.3843782022464	15.4211876826744	15.2847066759186	15.4851062164463	15.0572945450551	15.5712088604074	14.4348294901906	15.7270738753355	15.5610053161979	15.2115798223798	14.7192586149088	14.7195164364315	14.6640314647267	14.7622562088941	14.5970686021592	14.5341883952495	14.2967285633884	15.3111386604062	13.6258027696254	14.2059004003444	13.4884488496261	15.1476738876571	15.0938792730839	14.6700424456628	13.9226606216704	15.0331574634714
M357.1045T539.75	18.3995552230858	18.2618079132466	18.6637357253387	18.7366910501215	18.8726709958666	18.4348489670129	18.9905860931492	18.4660123828892	18.9550262574523	18.1403326080206	18.7600969424729	18.9666368179611	18.2382265313325	18.1970248767966	18.1949973671084	18.0893351040745	17.9509954347002	17.8708879022478	18.0416953818829	18.1121561730898	18.4115308208369	17.4962528318934	18.2612485423409	18.2328759757648	18.4206847543026	18.4836532044961	18.1254695545787	18.1952452148488	18.4732206306931
M301.0729T199.59	16.1654289003734	15.9381009890247	16.0970958160409	15.3937074422674	16.4585286896506	16.6719052482883	15.2810446926211	16.3328623539544	16.3854755204534	16.2680689761989	16.1406366594524	16.0593154986909	16.106181433806	15.3731063034377	15.4019855135041	15.2914710449904	15.0139188225761	16.6121385162604	15.3889289959283	15.9113725284297	14.5987910391286	15.1390162799241	15.6154891941883	14.5427224515364	14.7416462592526	15.3626456111347	15.4486586377761	16.0631875826579	15.5189498791616
M254.982T605.05	19.300799216371	17.786587971271	18.2359206822583	18.106316927653	19.2628435914743	19.4216958093856	18.654243033206	19.7059055322032	19.0630632860026	18.7046716174024	18.9811052397988	18.3320292938584	18.8990350564031	19.2459963034403	18.7187095350774	18.3668927346599	18.7748572713067	18.0835933971751	18.5016265419509	18.3924432954781	18.5478776374592	18.085008130591	17.3547509971517	18.3843623758944	18.238556626485	17.7990424461011	18.3279100416886	18.6919103322788	17.8287384725708
M124.9915T288.4	22.8656736571773	22.2347951653212	22.8538342188392	22.8209241147451	23.3292687678453	22.7425279046118	22.9263253575545	22.0403480100312	22.5495266214286	22.0910106718403	22.9139560447014	22.8515618890765	21.9400065158538	22.304293105367	21.6519692891433	21.6591353678037	20.8770467783453	22.588859421431	21.5087502015883	22.2391488496829	21.2943917798364	20.8488035119109	22.5726573287271	22.5805359918725	22.3255525900723	22.4049778681013	20.9172109700395	22.1200049748025	21.9747329760546
M271.0233T507.55	14.8627558440293	15.0794669206422	14.6144085309164	15.5217351865444	15.0333591375239	14.6354975765384	15.4674320266562	14.0009654588535	14.9178693672433	14.1222194492501	14.9431756490353	13.6659927437811	14.4561983827278	13.9137259966137	13.6428467033447	13.9424546671006	13.5250980756239	8.80984224969144	10.1518593068891	13.4645778810966	10.8809710048957	8.39398375497483	13.9177258898066	12.9157513592939	10.3334659957249	13.3239383410737	14.3172838583872	13.9665333171433	14.7660807676564
M248.0792T138.66	19.912688524098	21.2805579756927	21.3514071645215	21.9703306986749	20.6347859452285	19.565346432481	21.3845551842975	18.8994704257845	20.0080614176448	19.629828635045	20.5080230620468	20.6037074954891	19.0219115852911	18.3345919561413	18.2758550341886	18.8938578805741	17.9829064279437	19.8814007363807	17.8225150679226	18.2349196171162	19.3297185110787	17.9767957732183	19.7632472444946	19.8535627722483	18.9158697996125	19.460086706759	19.9466380047041	18.9693461572593	21.2999942914947
M239.9976T97.8	15.0659412881151	15.8061142430307	14.6132591911963	16.5115823007617	15.5830634342519	15.4563312597163	16.2148794837558	16.4718964186744	17.7589188902489	16.7421311376654	14.4907650806328	13.5249539551257	14.4193461583355	14.4901270362008	16.3843758356379	16.5906864488004	0	0	0	0	17.2342497055699	13.3365588428628	8.97722254108073	0	16.8116856710861	15.6008958417985	0	0	17.5202817215382
M290.0998T426.79	17.6092898182744	17.3311023419704	17.4014213922303	17.7255636678669	17.509773001277	17.1095454788934	17.5286597159299	17.5574336330313	17.882040666642	18.1060419201078	16.8296988552184	17.5943474881146	17.574091007143	17.0614314922348	17.9428022796237	18.1445262761253	18.5791376747278	16.9889945768608	17.9014178938461	17.7903481325434	18.215272340531	18.2602701355835	17.9774215018523	17.8236550435392	17.9576362263839	17.6781492129932	18.2348046516433	18.2216357734026	17.9438886768975
M557.6557T592.8	14.6709213482575	15.8759495022051	15.3789469967178	16.0873375415905	15.0200824523227	15.3919690522462	15.7784915224526	14.8809245402203	15.2854185603469	15.7141522746136	14.9110198769667	15.6771230512974	15.3588425806134	14.899915611445	15.8999836230631	15.4408577728508	15.5761416163385	15.980856404794	16.1807011738532	15.9569481489328	15.6343139808768	15.7100362518359	16.0864840727787	16.0723939114845	15.9901821377579	15.8896463065147	15.7223137105256	15.1945392422237	15.9899633605425
M149.9867T448.57_1	22.1111040564224	22.4039403839584	22.5395290248051	22.3058402625675	22.7108323203066	22.5328562095966	21.9708829829324	22.694358787457	22.0992809655007	22.8280201576471	22.3633111688128	22.710970813301	22.2308876217546	22.3137524331426	22.1799642756758	21.8183116746312	22.2829117857205	21.4994113618848	21.4238857772342	22.3733112468701	22.1583229814115	22.4460119309264	22.0584524009107	22.1329712413705	22.0877767092325	22.1614649003907	21.337343609611	21.9843185262013	21.4162730762661
M118.076T303	17.670424947878	17.8616446116572	17.7385104286309	17.8771492395682	17.6385413589753	17.4303259965703	17.8449463842318	17.8638987705226	17.9893270973443	17.5454295291101	17.7715025058378	18.1035021584384	17.8176728327725	18.0812255164502	18.1317032208512	18.0374931289989	18.1215935185155	18.1697016179033	18.1745313028996	18.0369698021673	17.9411181163452	18.4016425136137	18.1341433667515	17.9393410151859	18.0288633738223	17.80426778709	18.0740761110515	18.1797983351928	17.8957120680318
M303.0684T186.99	16.8162328185659	17.902873263369	17.3121054081373	17.2132567872952	16.8599342113181	17.4920092563532	17.5772984945861	16.3016749173004	16.7515315932356	17.3788220346408	16.8156868689312	18.1147602540402	17.1650706021695	17.9997579081931	16.1458711890161	15.4143111558628	16.2851353020401	17.8685376666054	16.5482321788128	17.3657109437624	16.3594031666228	16.0237728739317	16.1889716849141	15.9718736327409	16.9338737604427	17.7710764723646	15.6227913670332	15.2588376136701	15.7697763156911
M303.5069T620.41	14.7085368422989	14.883522702116	14.7040951190801	15.2722962264396	14.979911072785	15.3016133854124	15.2457426711896	15.3132697286194	14.6646303863344	15.3468373853205	15.9796840978704	15.2599917074127	15.5229397816231	15.4940108393776	15.1919409513101	14.7469191405714	14.3979037810376	15.0479391132512	14.9537905325584	15.0315549203736	14.3926710811044	14.8799063754758	13.7309644280302	14.1534076991305	14.8425221427108	14.4992410786439	12.8434646739841	13.8684784097761	14.7749757212204
M141.0671T196.9	15.7446486908947	16.2392494046247	16.2134320868888	15.7776653606278	15.9968700799734	16.0263870051617	17.1780732495738	16.0490506381077	16.1625047262209	15.6977368073633	16.2281694836567	16.42416663	16.5972440541127	17.0561550542819	16.5525948151559	16.3380118914834	15.4831242579074	15.6476026390442	15.5277690599128	15.2640971971194	15.7119907907309	16.0995541721258	15.5462379328444	15.0323556178999	15.0266701380351	15.9435230373768	15.2474577548509	15.7891359834435	14.6149477552723
M124.0075T453.23	28.4500910490534	28.5922972187727	28.1751537781796	28.8509016405003	28.4589499716421	28.5778942119233	28.7532187848048	28.0540627595366	28.584140618717	29.0167116677416	28.6059709178046	29.0598660407327	28.4804667829261	28.5460275484132	28.0221476864396	28.412876929296	27.966443690451	28.5300457523244	27.9452345779254	27.8675243253938	28.4470655899817	27.2491844761962	28.3214910115118	27.8421954780685	28.3391641556778	26.7763399605244	27.9903085756008	28.4533298791953	28.3293119593233
M266.1251T297.86	18.3681384574274	18.8435734997548	18.6264660455537	18.6196077879644	18.2673994942633	17.8928768122777	18.6339423713163	18.5415939797504	18.9447482620202	19.1477512997175	17.3937056392007	19.1700126027852	18.7843326360528	18.7318731442197	19.2170570121204	18.6717633639667	19.1217521085269	19.7494372784673	19.5147012575536	18.7941474798119	19.2863848431375	19.3577254597934	18.9525786061582	19.2874113838041	19.0501019564589	18.5855181858697	19.1741301196247	18.929530765899	18.9559498166143
M505.9888T558.81	17.5187520014343	17.5871153039738	17.6987757777333	17.831474333206	17.5697528041513	17.4528621861266	18.0760159081271	17.8851636729595	17.5100474718866	17.487880153112	17.5720627638477	17.6372524040938	17.6743015826442	17.970150935737	17.7129234443533	17.7298238686029	17.5450229078477	17.0969118105113	17.4543650508243	17.0014031729259	17.8757845487166	16.7635827869648	17.3793738135184	16.5883737927097	17.1011965160768	17.12418429442	17.0768394203721	17.3482624207083	17.2340354663721
M267.0739T304.25	26.3769000931139	26.8620390261672	26.9220006066151	27.1144823504654	26.8826572861555	26.3588716124909	26.9812419838972	25.654346588926	26.3609031612909	26.8049479284719	26.7806447375701	27.0300661985838	26.3499846546992	25.9782596447106	25.5006125347894	26.3251849343687	25.6688059144249	25.9954788224688	26.0768090578005	25.7925094213464	26.1866835858971	26.1656599922046	26.6327602780976	26.7195268916263	26.2273327607899	26.5744448456359	26.4146988868972	25.9422427979832	26.9219834660168
M304.0712T460.18	26.3994841614549	26.5394817281559	26.3945011552465	26.6712679788938	26.751610235572	26.4394948123905	26.744529995829	26.5079143955926	26.5474934767154	26.4456254827918	26.5642908523833	26.6217404433583	26.2000852485954	26.27825427024	26.2700135063672	26.4425849620461	26.1558761205619	26.1194169560109	25.8766984832379	26.1827088232471	26.4512380057747	26.2764315389492	26.6795514236811	26.221394336999	26.2693739749529	26.3221864283192	26.2069489185556	26.2108286524021	26.4605132815682
M247.0462T620.16	12.8450072050612	12.5969779941654	12.4667754891502	13.3729198332459	13.026534685083	13.406329382285	13.0081110793593	13.670475824854	12.8198537145033	10.6808924852607	13.7104737066098	13.7547080316451	12.4100679062133	13.308594073501	12.0978372948148	11.9572916219375	11.5615446785236	8.94440505022167	11.2957907081367	12.8523301879105	13.677344854228	13.1437671362045	10.8259677997774	12.6831282797408	11.4599780105271	10.1009895346381	10.2288659302606	11.7562352845681	11.7839437067737
M145.0255T153.86	18.0346081835387	16.0584912627126	15.944787301726	17.0525384482688	18.3160926951923	17.015297568646	16.7499449087603	17.2287080258712	17.5618071067977	17.0617889028118	16.4111668149965	16.0137201730962	17.2516807133305	17.0468672926693	16.3221563860537	16.969500236662	16.6292548422684	15.5207121904894	16.3592082749262	16.6664592925331	15.9062183608486	16.8016664696044	15.8568856713418	14.8371316439545	16.3706732088396	16.3668681307284	15.8226576417546	16.1325100448982	16.8070908270243
M309.1321T429.93	17.2484262648497	17.7208971465935	17.4023301522313	17.6178263521037	17.0322271591043	16.3095979701671	17.4880477242753	17.6445396827212	17.698185280205	18.1996860407473	16.528687116457	17.8545690925679	17.5132737880399	17.5837338517966	18.3173215215983	18.3614945931392	18.7913005521963	17.0438361340272	18.6202596102642	17.8306740471869	18.2338721801903	18.8805759440354	17.8874763766359	17.7653343014133	17.9984552264874	17.5311769324662	18.3662998294168	17.7284066921421	17.7090091522607
M196.0286T509.61	15.1322573754246	17.0010525001514	16.6867692431232	16.2493546721913	15.9442023815172	15.6736071110776	16.4993565488559	15.9197769201165	15.9183084968119	15.7641831511538	16.3323590791645	15.6737145786351	15.6864447005339	14.866543027624	15.2018124911807	14.6406589307146	15.3014900819319	15.5723951452278	15.2412319782827	15.6111291656781	15.4264548164451	15.2376668365202	14.642862644886	15.6245920131008	15.4145334898483	15.9385920407303	15.1881484399587	15.3181287352199	16.501013646748
M356.9998T556.54	19.7327114020904	20.6929744703603	20.5931025610627	20.7142912661078	20.4024473831492	19.8754509702707	20.8187984250217	19.9108562313884	20.0942135440698	19.8985767778745	21.0866407959908	20.1732276289223	19.9894398926107	19.7260331488332	19.1460215955132	19.9245598160713	19.201597108477	19.6866829074588	19.6693469512395	19.6183692412749	19.6127186563467	19.1754491940409	20.2789034226771	20.4567825017852	19.9917025972791	20.2842996386957	19.8158539714074	19.9158473153191	20.6614518880704
M375.2755T81.11	22.4795996168224	23.2988839088247	23.1213751267782	23.3680081938708	22.48692270551	22.1185667268763	22.663297447034	22.7751285740093	22.4809792847723	22.5663593227463	23.3534410445957	23.6224849105299	22.3082594531547	22.2755236821023	22.9256180508327	22.7866284222484	22.9346779538667	23.2476018404884	23.3528016347567	22.6301463733098	23.3493756701121	23.8446965118588	23.6304076498052	23.4088309759916	23.2754855327939	23.3284723362533	23.1724624498976	22.6484306738914	23.0650701813458
M239.0235T637.13	15.7664657040022	14.8655284444005	15.488772941704	15.6771737044635	15.2290305905919	14.9830851352227	15.8891403884475	15.2758714377461	15.7492836509299	15.3990518307885	15.2581376932378	15.7016716152228	15.234620759191	15.326265021496	15.1383283508057	14.8928544043682	14.9392513320626	14.704088189919	14.9123163414406	14.7678942052887	14.2673073558376	14.406076260709	15.3254979119695	15.8123588652065	15.0975955874936	15.0543425302395	14.8224453132784	15.2713643588031	15.1733489896115
M203.0022T101.02	15.5842074616659	15.5670250640757	14.5504376726168	15.8146833690765	14.2093630992157	15.0228248799396	14.0332566579266	16.4234902027654	15.9741367971118	16.8036444061856	15.8697670204741	14.8151152452449	16.2673625993636	15.7436860932121	16.475462352412	16.7100335167895	18.044618165183	15.6831339604841	16.7457910097832	17.2931399917369	17.3611454889762	18.8907733719149	16.7157235627951	14.094071365102	16.6797577148048	16.9361414800386	15.6121008922058	16.6618152286986	16.2661356590962
M745.1021T438.01	15.7105001629316	14.5350455934379	15.2037943939696	15.2710870419697	16.0149464334361	15.7957429234932	15.0598372812473	15.3367523207249	16.5477876936046	15.1329423574995	14.9035612449941	15.7623035158589	14.0900009256541	15.3424338571924	14.4789831804531	15.2843520223355	15.2341174816385	14.4666895932757	13.9605240684156	14.980308668258	13.92072853963	14.2675517255678	14.8882658983596	13.8976948992589	15.0786491699903	15.3544494070584	14.0455931835956	14.2374621464554	14.9880787312535
M521.9842T641.81	14.5696326997582	14.535324825718	14.6530891991607	14.4798056570687	14.3017376675947	14.5608889480064	14.9786175315133	15.0911832633334	14.1450978062293	14.4413960762534	14.6059668003755	14.3888909326442	14.5790211019163	15.3198114509311	14.9719041844571	14.7447924889292	14.6610255728428	13.1539575277883	13.8637537862493	13.5991158396721	15.1591639447725	14.0216424606937	13.8129264905305	12.9970137289511	13.5740063035089	13.7344658956593	13.1330732137326	13.9744559474434	13.7833417721152
M223.1455T91.46	11.5135413629181	15.3620274871477	16.0482411592595	14.9217824752086	13.7377003833314	12.0056506426443	15.5953772479543	10.9280236926964	13.3693535985522	9.02903547123899	16.4817195495413	14.4851617724067	13.7134796861683	11.5495152278771	0	8.97900265544077	8.6497203210382	10.0242137828292	0	10.5621060363283	10.0727970976756	7.93914819574739	14.2740880690347	16.8774637670427	14.6667876243507	13.5378619175583	0	12.014223583166	16.0027132161344
