variableMetadata	set	gene	chromato	name	chebi_id	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	hmdb_id	pubchem_id	formula	monoisotopic_mass	inchikey	inchi	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	WT.KO_fold	WT.KO_BH	WT.KO_signif	M.F_fold	M.F_BH	M.F_signif	oplsda_vip	biosigner	mixomics
M242.0134T94.37	metabolomics_liver_hilic_neg	MX2	hilic													M242T94	242.013449702662	94.3745552445189			45	NA		11.7116109745448	2.98756534659837e-05	1	-2.20350720078939	0.307585749391951	0	3.40618079131772	plsda, forest, svm	0.567054386153012
M615.1551T535.92	metabolomics_liver_hilic_neg	MX2	hilic													M615T536	615.155078461593	535.917471634079		[M-H-CH3]- 631.189	10	NA		2.65610979809584	0.00334174341037489	1	0.399546202482369	0.771294275755878	0	3.10721272517793	plsda	0.344840227311101
M273.0385T535.7	metabolomics_liver_hilic_neg	MX2	hilic													M273T536	273.038528007956	535.697117677769		[2M-2H+Na]- 126.034	10	NA		1.54688436092337	0.00334174341037489	1	0.174116317153876	0.843028491223118	0	3.20894049865463	plsda	0.389671394040041
M698.0528T620.79	metabolomics_liver_hilic_neg	MX2	hilic													M698T621	698.052845249631	620.793146840401	[830][M]-	[M+Cl]- 663.083 [M-H]- 699.06	26	432	@M699.0568T620.78|-13C	0.919850025828062	0.00724694460393012	1	0.199319375857536	0.637753610244753	0	3.23150162158156	plsda	0.330611250600911
M348.5228T620.4	metabolomics_liver_hilic_neg	MX2	hilic													M349T620	348.522773528414	620.401411381551	[538][M]2-	[M-H+Cl]2- 663.083 [M-2H]2- 699.06	26	260	@M349.0247T620.53|-13Cdb	0.686693172049093	0.0166077075082148	1	0.10971103804739	0.787114485359936	0	2.84554051832475	plsda	0.287200221132122
M319.5201T605.46	metabolomics_liver_hilic_neg	MX2	hilic													M320T605	319.52008700423	605.461630928221			23	NA		0.945650899595627	0.0566905645028522	0	-0.867588105826238	0.00557027677376394	1	2.13737972896064		0.116437408598542
M762.6608T622.46	metabolomics_liver_hilic_neg	MX2	hilic													M763T622	762.660820033832	622.458757477175			1848	NA		0.877354238992142	0.0566905645028522	0	0.269583700934154	0.528572799249154	0	2.64482253030942		0.197864027698366
M141.0221T573.16	metabolomics_liver_hilic_neg	MX2	hilic													M141T573	141.022052661556	573.155460859182		[M-3H]3- 426.089	17	NA		-0.675098810017527	0.0592126752207596	0	-0.103837308015294	0.824227696633194	0	2.50798329491032		-0.149731546686893
M268.05T605.92	metabolomics_liver_hilic_neg	MX2	hilic													M268T606	268.049995984242	605.921472534349		[M+Cl]- 233.076	23	NA		0.614116957346845	0.0592126752207596	0	0.403955728123496	0.0854707324521115	0	2.17317612557863		0.171402736461844
M253.0503T540.31	metabolomics_liver_hilic_neg	MX2	hilic													M253T540	253.050320971412	540.312473969068		[M-H-C2H4]- 282.095	10	NA		0.452466491864342	0.0592126752207596	0	-0.142381343670898	0.422658139891249	0	2.50813121470234		0.106542768139532
M261.0288T535.57	metabolomics_liver_hilic_neg	MX2	hilic													M261T536	261.028821441228	535.570332924112			10	NA		1.17760055424239	0.080833536079827	0	2.11119854063573	3.42871134178426e-06	1	1.78587698365089		0
M358.1071T539.64	metabolomics_liver_hilic_neg	MX2	hilic													M358T540	358.107122229927	539.63641620044	[552][M+1]-		754	NA		0.706392341610625	0.080833536079827	0	-0.141809765939945	0.638668920017515	0	2.68951452161192		0.166716203591497
M357.1045T539.75	metabolomics_liver_hilic_neg	MX2	hilic													M357T540	357.104467632096	539.753749634335	[552][M]-	[M-H]- 358.113	10	NA		0.420025244148441	0.080833536079827	0	-0.205990870995411	0.202534082696742	0	2.5105395990523		0.185909904647153
M301.0729T199.59	metabolomics_liver_hilic_neg	MX2	hilic													M301T200	301.072879709288	199.588000916914			8	NA		0.671233166064814	0.0825645491687247	0	0.513198360042956	0.052402427525063	0	2.24003100876507		0.0466318868873679
M254.982T605.05	metabolomics_liver_hilic_neg	MX2	hilic													M255T605	254.981988528743	605.052006874275	[350][M]-		1687	NA		0.562644217660754	0.0825645491687247	0	0.661792110389879	0.00131324339364597	1	2.18991440097119		0.0754112122772762
M124.9915T288.4	metabolomics_liver_hilic_neg	MX2	hilic													M125T288	124.991511208169	288.400109095554		[M-H-CH4]- 142.034	12	42	@M126.9872T288.46|-34S|-41K|-37Cl	0.766989952733979	0.0922191580038973	0	-0.265031860567859	0.422948495758273	0	2.34850547192309		0.0625152525112859
M271.0233T507.55	metabolomics_liver_hilic_neg	MX2	hilic													M271T508	271.02328831043	507.54670758871		[M+Cl]- 236.056	15	NA		2.2361345220833	0.113136366045434	0	0.239106172118813	0.91129730807349	0	2.43608339951698		0
M248.0792T138.66	metabolomics_liver_hilic_neg	MX2	hilic													M248T139	248.079248025111	138.658401044601	[337][M]-	[M-H]- 249.092	18	161	@M249.0826T138.67|-13C|@M284.0559T140.98|-(HCl)	1.11469048184102	0.113136366045434	0	-1.15856777332987	0.00732792308201931	1	2.02208197812855		0
M239.9976T97.8	metabolomics_liver_hilic_neg	MX2	hilic													M240T98	239.997578435728	97.7981906803739			37	NA		7.34693455070679	0.139800187866854	0	-3.96039684834434	0.223453796405029	0	2.38491001716334	svm	0
M290.0998T426.79	metabolomics_liver_hilic_neg	MX2	hilic													M290T427	290.099806265406	426.788210241504		[M-H-CO2]- 335.09	3	NA		-0.490156373179705	0.139800187866854	0	0.0504793269573049	0.820586595282309	0	2.33308994028841		-0.0328467315522276
