variableMetadata	set	gene	chromato	name	chebi_id	annot_level	annot_confidence	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	WT.KO_fold	WT.KO_BH	WT.KO_signif	M.F_fold	M.F_BH	M.F_signif	oplsda_vip	biosigner	mixomics
M143.0462T1	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			4		M143T60	143.046244398142	60.3443328230724			1836	NA		1.32585980661736	0.0158420968555183	1	-0.639766991675069	0.0458506051199871	1		plsda, forest, svm	-0.643473261849978
M158.0425T1_2	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			4		M158T59_2	158.042547243019	59.3297902935001			2173	NA		0.493721733466183	0.0819204968147662	0	-0.291929072182255	0.0428095237581887	1			-0.325272335976753
M157.0367T1	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M157T58	157.036674398529	58.3268445715955			105	27	@M193.0134T1_2|-(HCl)	0.42311116516354	0.0892167901732147	0	-0.0324635729510518	0.788466610506639	0		plsda	-0.252707884678163
M140.0102T1	metabolomics_plasma_c18acqui_neg	MX2	c18acqui	O-Phosphorylethanolamine	CHEBI:17553	2	a,b	M140T58	140.010235213613	58.2380203639225		[M+2Cl]2- 210.075	105	NA		0.497654013419655	0.122082723667765	0	-0.101323765033625	0.54809999101673	0			-0.223400438004463
M129.0193T0.9	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M129T57	129.01931142056	56.7884939716417			105	NA		0.491247802502283	0.122082723667765	0	0.201508848990272	0.296646586375268	0			-0.259661588645087
M114.0308T1	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M114T58	114.030831779361	58.1491961562496		[M-H-CH4]- 131.071 [M-H-H20]- 133.061	105	NA		0.407943910282331	0.122082723667765	0	0.0458347732741036	0.882878847619731	0			-0.134763208089666
M211.0976T9.3	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M211T556	211.097592821571	556.115265344684			2061	NA		0.5627550056112	0.345918902590186	0	-0.0220521359409851	0.895648437278814	0			-0.0094681216933317
M191.0197T1	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			4		M191T59	191.019676176253	59.163212963712			226	NA		0.422193950885685	0.345918902590186	0	0.421970004362144	0.0112700497645566	1			0
M459.1456T15.9	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M459T952	459.145616716294	951.538386832176			41	NA		0.84333770655352	0.347758221877293	0	-0.123024084155469	0.716181458260199	0			-0.308877517180785
M279.1966T14.4	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M279T862	279.196559837911	862.296693184584			1903	NA		1.06223145008762	0.377078603439413	0	-0.247318451298463	0.571333693550553	0			-0.171880753959541
M540.2731T12.9	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			4		M540T771	540.273105778257	771.069922955118			1926	NA		0.899513068968748	0.395847401100003	0	-1.23766078689673	0.00277036909147374	1			-0.207471953712022
M203.0018T9.2	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M203T550	203.001831864291	549.602024360291			1745	NA		-0.886357771626159	0.395847401100003	0	0.363957231414233	0.337408249378831	0			0.10086259980862
M129.0557T7.9	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M129T476	129.055675911792	475.605525559411			201	NA		0.651044650235399	0.395847401100003	0	-0.174696641292211	0.530053773091011	0			0
M231.9676T8.4	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M232T502	231.967647652034	502.468217141327		[M-H]- 232.975	136	NA		0.633731576715425	0.395847401100003	0	-0.476522346731176	0.082115437571256	0			-0.103225370444872
M146.9612T8.4_2	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			4		M147T502_2	146.961242326652	502.263811229334		[M-H-CO]- 175.966	136	NA		0.47152097850473	0.395847401100003	0	-0.460054732401318	0.026233251823724	1			-0.150056937780609
M206.0823T9.3	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			4		M206T559	206.082298224686	558.701843500781		[M-H]- 207.09	294	NA		0.455917761949854	0.395847401100003	0	0.684833036367845	0.000603916682852079	1			0
M104.043T1.2_2	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M104T73_2	104.043049493674	72.8074445816334			1583	NA		-0.439016687161626	0.395847401100003	0	0.0817791712987681	0.672571287459402	0			0
M894.9186T0.8_1	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M895T47_1	894.918647440627	47.2783712723773		[M-H-CH2]- 909.935	18	NA		0.362123437249789	0.395847401100003	0	-0.204898439992727	0.173163879147327	0			0
M115.0765T8.3	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M115T499	115.076457833813	499.100876202751		[M-H]- 116.085 [M-H-CO2]- 160.074	309	NA		0.348047361571439	0.395847401100003	0	-0.00835121488718116	0.923016793333569	0			0
M163.04T9.2	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M163T554	163.040023610338	553.643713658803		[M-H]- 164.047	194	NA		0.902505800525782	0.532258645712159	0	0.406072837137291	0.425416213691	0			0
M516.2731T12.9	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			4		M516T771	516.273056261649	771.432890065932			688	NA		0.849489962133651	0.532258645712159	0	-0.756326047879517	0.0543387256053627	0			-0.0655014623531456
M544.2682T15.7	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M544T940	544.268183845464	940.480439842878	[345][M]-		2294	NA		0.625749210535993	0.532258645712159	0	-0.228414487071948	0.455111386310346	0			0
M413.8003T0.9	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			4		M414T52	413.800272448163	52.2820133502601		[M+Cl]- 378.837	33	NA		0.395031359216864	0.532258645712159	0	-0.28833104555067	0.111321524621255	0			0
M415.7976T0.9	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			4		M416T52	415.797610561279	52.4067133312997		[M-2H+K]- 378.837	33	NA		0.376247689930715	0.532258645712159	0	-0.349927241507416	0.0513500288925061	0			0
M121.0294T8.4	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M121T501	121.029429203698	501.385172690174			1806	NA		0.3656085589894	0.532258645712159	0	-0.244021556823268	0.161824568108121	0			0
M195.0104T1	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M195T58	195.010407984937	58.1911840274128			105	NA		0.349889889053669	0.532258645712159	0	0.0382117844394152	0.920242203473756	0			0
M505.2574T14.7_1	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M505T882_1	505.257359165616	882.016601776854			11	NA		-0.228110478261598	0.532258645712159	0	-0.154096265075426	0.179573578504738	0			0.243403600991824
M264.9343T0.8	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			4		M265T48	264.934338651899	48.4523493189256		[2M-2H+K]- 113.997	18	NA		0.772577019281389	0.551731972372634	0	-0.992307255840657	0.0113435956176306	1			0
M480.3002T14.2	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M480T854	480.300220816066	854.294930671236	[281][M+2]-		1165	NA		0.493841605443992	0.551731972372634	0	-1.6042978710247	9.40241608864083e-07	1			0
M275.2015T16.9	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M275T1011	275.201488343401	1011.35647243299			1826	NA		-0.493806727109734	0.551731972372634	0	-0.0363580560560273	0.966175839831455	0			0.0555332536096153
M130.0622T1	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			4		M130T58	130.06215420357	58.1451779251806		[M-H]- 131.071	105	22	@M166.0389T1|-(HCl)	0.288428010689618	0.551731972372634	0	-0.270828389870285	0.0602608476893225	0			0
M243.0622T1.2	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M243T71	243.062244613435	71.2888265298924			8	NA		0.262757232724351	0.551731972372634	0	-0.158121947290343	0.230073144508369	0			0
M124.0073T0.9	metabolomics_plasma_c18acqui_neg	MX2	c18acqui	L-taurine	CHEBI:15729	2	a,b	M124T53	124.007336473433	52.6476572738028	[24][M]-	[M-H]- 125.017	33	NA		0.233821011820933	0.551731972372634	0	-0.232533510193871	0.0454258812065475	1			0
M602.302T14.7	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M602T880	602.301953483117	879.681056479086		[M+Cl]- 567.333	23	NA		0.219677495283634	0.551731972372634	0	0.0680034347640479	0.638922978099419	0			0
M225.0495T1	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			4		M225T57	225.049494988648	57.4525349850601			105	NA		0.348644582641761	0.595217778852497	0	-0.423232684159467	0.0193589179997818	1			0
M239.9245T0.9	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M240T52	239.924544832618	52.4372661513982			33	NA		0.207657455936339	0.595217778852497	0	-0.124637388806239	0.240186927320071	0			0
M507.3288T16.9	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			4		M507T1013	507.328756051785	1012.51702896947	[302][M+1]-		138	NA		-0.378048133268123	0.601974471820401	0	-0.769518982357193	7.64191554086844e-05	1			0
M139.1128T15.9	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M139T952	139.112765059232	951.688575941322			41	NA		0.746642722557153	0.606050213622193	0	-0.0422629204499465	0.903112044351278	0			0
M658.3339T15.2	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M658T911	658.333944865803	911.215520883432			1219	NA		-0.29574093815979	0.606050213622193	0	-0.187036820759868	0.263133282301056	0			0
