variableMetadata	set	gene	chromato	name	chebi_id	annot_level	annot_confidence	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	WT.KO_fold	WT.KO_BH	WT.KO_signif	M.F_fold	M.F_BH	M.F_signif	oplsda_vip	biosigner	mixomics
M340.103T8.44	metabolomics_plasma_c18acqui_pos	MX2	c18acqui			NA		M340T507	340.103025604161	506.618228757845	[867][M]+		103	NA		3.95103016412453	2.71526217377221e-08	1	-0.673413818923979	0.097752271697923	0	3.93892014177564	plsda, forest, svm	-0.386838347122721
M257.0745T1.01	metabolomics_plasma_c18acqui_pos	MX2	c18acqui			4		M257T61	257.074517961511	60.5400345585756		[M+Na]+ 234.085	164	NA		1.72520467747892	0.000239165117660336	1	-0.920956908105019	0.00313110082633799	1	3.36976177408045		-0.245906279969498
M599.7404T7.92_2	metabolomics_plasma_c18acqui_pos	MX2	c18acqui			4		M600T475_2	599.7404	475.35474			77	NA		0.725202762280915	0.00266289535253056	1	0.101302688864193	0.742547826044293	0	3.61556310516487		-0.137341970063919
M783.8546T8.69_1	metabolomics_plasma_c18acqui_pos	MX2	c18acqui			4		M784T521_1	783.8546	521.4327			329	365	@M784.3564T8.69_2|-13Cdb|@M784.8569T8.69_1|-13C	-1.35021978076255	0.0027622622373568	1	-1.20724494780797	0.000139090183540142	1	2.46151576566243	plsda	0
M710.3676T7.78_6	metabolomics_plasma_c18acqui_pos	MX2	c18acqui			4		M710T467_6	710.3676	467.09496			337	263	@M621.3215T7.79_3|+(C3H7O2N)	1.66945022517063	0.00277842289335259	1	0.159749818321371	0.874260148568682	0	3.72531713141222	forest	-0.306235563167926
M709.6515T7.78_1	metabolomics_plasma_c18acqui_pos	MX2	c18acqui			4		M710T467_1	709.6515	467.09316	[2158][M]+		337	322	@M710.6535T7.78_2|-13C|-15N	1.63489690149763	0.00277842289335259	1	0.0329215511624881	0.963689892123499	0	3.68743345676405		-0.268942122625128
M827.759T7.79_1	metabolomics_plasma_c18acqui_pos	MX2	c18acqui			4		M828T467_1	827.759	467.14596			337	378	@M828.2607T7.78_4|-13Cdb|@M828.762T7.78_2|-13C	1.61342422263409	0.00277842289335259	1	0.326203359889902	0.57776516247998	0	3.62218058798375		-0.245234816920436
M827.926T7.78_2	metabolomics_plasma_c18acqui_pos	MX2	c18acqui			4		M828T467_2	827.926	467.07576			337	379	@M828.4278T7.78_5|-13Cdb|@M828.9287T7.79_3|-13C	1.60093118975717	0.00277842289335259	1	0.080162779565077	0.977721324923072	0	3.66946442653795		-0.287724966543554
M710.2245T7.78_5	metabolomics_plasma_c18acqui_pos	MX2	c18acqui			4		M710T467_5	710.2245	467.09496		[M+K]+ 671.267	337	NA		1.58557966131839	0.00277842289335259	1	0.252302594852228	0.710113308391831	0	3.6571964856478	forest	-0.242984289851469
M710.0813T7.78_4	metabolomics_plasma_c18acqui_pos	MX2	c18acqui			4		M710T467_4	710.0813	467.09496		[M+K]+ 671.116	337	NA		1.56835606503179	0.00277842289335259	1	0.0987505762413754	0.9501696703547	0	3.67705128715204		-0.321166007577233
M993.912T7.78_3	metabolomics_plasma_c18acqui_pos	MX2	c18acqui			NA		M994T467_3	993.912	467.01936			337	NA		1.53108206261918	0.00277842289335259	1	-0.0264621271022829	0.881410790797272	0	3.5135728440497		0
M709.7947T7.78_2	metabolomics_plasma_c18acqui_pos	MX2	c18acqui			4		M710T467_2	709.7947	467.07972	[2160][M]+		337	NA		1.48822977581952	0.00277842289335259	1	0.17155322933689	0.827274837055751	0	3.63533233167204	forest	-0.252569011821416
M828.0934T7.78_3	metabolomics_plasma_c18acqui_pos	MX2	c18acqui			4		M828T467_3	828.0934	467.04786		[M+Na+CF3COOH]+ 671.116	337	380	@M828.5942T7.78_1|-13Cdb	1.55040542634547	0.00310128465565349	1	0.138912487905248	0.89124150474524	0	3.62999874995818		-0.254808363083843
M994.1124T7.78_4	metabolomics_plasma_c18acqui_pos	MX2	c18acqui			4		M994T467_4	994.1124	467.04786			337	NA		1.48767024110653	0.00310128465565349	1	0.0655028204599439	0.987944884077729	0	3.5138603913868		0
M709.938T7.78_3	metabolomics_plasma_c18acqui_pos	MX2	c18acqui			4		M710T467_3	709.938	467.08722			337	NA		1.64404483516306	0.00311441970837525	1	0.0779492350055317	0.982056394110882	0	3.59459585848076		-0.270301849678421
M900.4241T7.92_2	metabolomics_plasma_c18acqui_pos	MX2	c18acqui			4		M900T475_2	900.4241	475.22958		[3M+Na+K]2+ 579.623	77	396	@M899.4212T7.92_2|+13C|@M899.9228T7.92_1|+13Cdb	0.905332521038941	0.00311441970837525	1	0.189508355707828	0.585676926665504	0	3.52386219380311		0
M828.2607T7.78_4	metabolomics_plasma_c18acqui_pos	MX2	c18acqui			4		M828T467_4	828.2607	467.08362		[M+Na+CF3COOH]+ 671.267	337	378	@M827.759T7.79_1|+13Cdb|@M828.762T7.78_2|-13Cdb	1.6158016590349	0.003705595398693	1	0.168357695798871	0.863658727209471	0	3.55971721338805		-0.197618396644809
M993.7119T7.78_2	metabolomics_plasma_c18acqui_pos	MX2	c18acqui			4		M994T467_2	993.7119	467.09496			337	NA		1.43211915992148	0.00505336520864726	1	0.0436536563569732	0.984399187409319	0	3.47101415395659		-0.050738992855471
M290.1752T8.52	metabolomics_plasma_c18acqui_pos	MX2	c18acqui			4		M290T511	290.175204051517	511.270070956165	[664][M]+	[M+Na]+ 267.18	59	106	@M291.1786T8.52|-13C|@M292.181T8.52_2|-18O|-13C2	5.60530655082148	0.00565000429025532	1	0.0959748726382923	0.9620919452207	0	2.96640725054582	plsda, svm	0
M580.6213T7.91_1	metabolomics_plasma_c18acqui_pos	MX2	c18acqui			4		M581T475_1	580.621279916896	474.609149945653		[M+H]+ 579.623	77	NA		-0.733177019315503	0.00565000429025532	1	-0.210036285354798	0.419882469680439	0	3.08610492835683		0
M621.1963T7.79_2	metabolomics_plasma_c18acqui_pos	MX2	c18acqui			4		M621T467_2	621.1963	467.15616	[1868][M]2+		7404	NA		1.52464161490652	0.00589336770678265	1	-0.0549861302830958	0.852311870438878	0	3.58528375708695	forest	-0.132588044452797
M993.5124T7.78_1	metabolomics_plasma_c18acqui_pos	MX2	c18acqui			4		M994T467_1	993.5124	467.04552			337	NA		1.52067354036064	0.00614376378790474	1	0.180001178834102	0.839008949710106	0	3.48408353087058		-0.153665773537656
M273.0485T1.01	metabolomics_plasma_c18acqui_pos	MX2	c18acqui			4		M273T61	273.048463665069	60.5429719586808		[M+K]+ 234.085	164	NA		1.21879300853854	0.00649805536700084	1	-0.734910158433244	0.0203854366248155	1	2.93225260897524		0
M621.8234T7.79_3	metabolomics_plasma_c18acqui_pos	MX2	c18acqui			4		M622T467_3	621.8234	467.16702	[1872][M+1]2+		337	263	@M621.3215T7.79_3|+13Cdb	1.17180778353298	0.00649805536700084	1	0.116487892531403	0.882791134993729	0	3.44630329604688		-0.0894338377712471
M993.312T7.78	metabolomics_plasma_c18acqui_pos	MX2	c18acqui			4		M993T467	993.312	467.08722			337	NA		1.38512860263387	0.00658347140007206	1	0.108936209653788	0.92638017496741	0	3.56816657550789		-0.0476371406458548
M600.2846T7.92_9	metabolomics_plasma_c18acqui_pos	MX2	c18acqui			4		M600T475_9	600.2846	475.33446		[M+H]+ 599.278	77	NA		0.770934693791656	0.00658347140007206	1	0.117994176932942	0.761430000818607	0	3.53325288087965		-0.0183129897036713
M621.6974T7.79_2	metabolomics_plasma_c18acqui_pos	MX2	c18acqui			4		M622T467_2	621.6974	467.11926	[1868][M+1]2+		337	NA		1.55828695316137	0.0096819541374333	1	0.118132678039542	0.93543053337971	0	3.38177036547238		0
M621.447T7.79_4	metabolomics_plasma_c18acqui_pos	MX2	c18acqui			4		M621T467_4	621.447	467.18634	[1874][M]2+		337	NA		1.3056633599162	0.0104855883193099	1	0.207214451740219	0.759534362150853	0	3.32392425998396		0
M898.9198T7.92_1	metabolomics_plasma_c18acqui_pos	MX2	c18acqui			4		M899T475_1	898.9198	475.25232		[3M+Na+K]2+ 578.627 [3M+2H]2+ 598.609 [2M+H+Na]2+ 886.918	77	396	@M899.4212T7.92_2|-13Cdb|@M899.9228T7.92_1|-13C	0.839924133365871	0.0113348451642734	1	0.129862535052194	0.76874424350269	0	3.41742332805603		0
M599.9502T7.92_6	metabolomics_plasma_c18acqui_pos	MX2	c18acqui			4		M600T475_6	599.9502	475.31202		[M+H]+ 598.942 [2M+3H]3+ 898.411	77	253	@M600.9531T7.92_2|-13C	0.750524146541803	0.011364978887636	1	0.155137202010124	0.651260476637391	0	3.40977469461582		0
M599.6158T7.92_1	metabolomics_plasma_c18acqui_pos	MX2	c18acqui			4		M600T475_1	599.6158	475.31412		[M+H]+ 598.609	77	252	@M600.6188T7.92_1|-13C	0.738901024805383	0.011364978887636	1	0.130162769876272	0.72356998947464	0	3.4652480477127		0
M621.5717T7.79_1	metabolomics_plasma_c18acqui_pos	MX2	c18acqui			NA		M622T467_1	621.5717	467.15766			337	NA		1.53239868852387	0.0122264071276148	1	0.176517176666875	0.859666857421609	0	3.27548556962134		0
M586.9278T1.19_1	metabolomics_plasma_c18acqui_pos	MX2	c18acqui			4		M587T71_1	586.927798019411	71.1577689928914	[1768][M]3+		1	NA		-1.27051594826999	0.0122264071276148	1	-0.283449587395898	0.616535359162074	0	3.30298977532933		0
M314.1748T8.98	metabolomics_plasma_c18acqui_pos	MX2	c18acqui			4		M314T539	314.174846210375	538.864131556265			8399	NA		-0.525525353049455	0.0143230253048568	1	-0.0638517573353656	0.849181426994728	0	3.14715463170005		0
M587.2617T1.19_2	metabolomics_plasma_c18acqui_pos	MX2	c18acqui			4		M587T71_2	587.261680559428	71.169650408826	[1768][M+1]3+		1	NA		-1.2397225802409	0.0150423374343696	1	-0.214604204651241	0.741340611270637	0	3.28978386028099		0
M710.7968T7.79_3	metabolomics_plasma_c18acqui_pos	MX2	c18acqui			4		M711T467_3	710.7968	467.11152	[2160][M+1]+		337	NA		1.11904294131342	0.0150423374343696	1	0.3304805496387	0.46608390986851	0	3.17204266712936		0
M837.2464T7.78	metabolomics_plasma_c18acqui_pos	MX2	c18acqui			4		M837T467	837.2464	466.92846			7400	NA		1.08502719733961	0.0150423374343696	1	0.0731040307942017	0.953122020740682	0	3.08782156240577		0
M710.5107T7.78_1	metabolomics_plasma_c18acqui_pos	MX2	c18acqui			4		M711T467_1	710.5107	467.0502			337	NA		1.37792882040298	0.0154323488405234	1	0.165058595759989	0.854950695570266	0	3.32220955305708		0
M584.3347T12.9	metabolomics_plasma_c18acqui_pos	MX2	c18acqui			4		M584T774	584.334735578908	773.843390927874	[1763][M]+		61	247	@M585.3378T12.9|-13C	1.1699995061426	0.0165716986783746	1	-0.328641543558756	0.358307395494493	0	3.28376654816329		0
M581.2892T7.91_3	metabolomics_plasma_c18acqui_pos	MX2	c18acqui			4		M581T475_3	581.289165237251	474.617267630215		[M+H]+ 580.289	77	NA		-0.767859336256219	0.0167524763990367	1	-0.154745313217861	0.68436513063537	0	2.78945835435752		0
