dataMatrix	X501f	X502m	X503m	X506m	X508f	X509f	X513m	X517f	X518f	X521f	X527m	X528m	X529f	X531f	W616f	W617f	W620f	W621f	W622f	W623f	W625m	W627m	W628m	W629m	W630m	W631m	W632f	W633f	W634m
M783.8575T342.28_1	12.79007129261	13.0939752915233	13.8818734353399	13.8212195045968	12.9051608229569	13.4999344649575	12.9265849082152	13.0515952499792	12.6165835224204	12.2785165227586	12.7037789461486	12.4047090666504	10.8159194205578	12.0146103803024	14.4554021534761	14.3243304069621	14.9448580269692	13.725407487155	13.8023955655975	14.1116066609223	13.734957558381	15.3859720581674	15.1050968021797	14.6777068536844	15.1384769368202	14.7844098488646	14.4490597608024	14.2863569673111	15.2626983951293
M676.5901T278.63_1	12.9396530478344	13.107048617277	13.8558281666512	13.5727409138148	12.9100205683475	12.9141696830261	12.6442428326547	13.3381627615629	12.8134522347724	12.7682752072837	12.7550462050846	12.3046905151111	11.6203516396793	12.0568983459867	13.9715186459769	13.8716724239579	14.3819664428914	12.9891079550159	13.8037030635131	13.9277980197061	13.5427431212241	14.4880018160791	14.4909988118856	14.455760427593	14.4528365404883	14.27815724416	13.8113996739837	14.1820324393364	14.7150274530371
M676.3394T278.83_2	13.2655025640687	13.5354185422358	14.4158904855129	14.0658097698086	13.5961140196701	13.7505827956973	13.3093384967657	13.6701076508189	13.1624538048817	13.1727461100034	13.2684254011959	13.06190782677	12.4478796807648	12.7837518276782	14.429243731782	14.3365622129827	14.6730893988918	13.5279535908816	14.3996439129357	14.284218446623	13.8192403797853	14.7525611438733	14.8301127618718	15.0298813377467	14.9986501083924	14.7833722446685	14.4800595439271	14.6910343077174	15.1230246662161
M257.0753T50.93	15.582600519268	14.7036770475282	16.3333323353846	16.149335649195	15.318903154925	14.3987386587266	15.4771614471538	15.0585308122419	14.0370018286549	13.3825157157537	16.1067969722988	15.7351201105215	12.9255090268025	15.191900330919	12.4853224332892	13.3628054206568	12.6828386756024	10.858815030269	13.3966294367286	12.5938604027212	13.9342006061048	13.1901410398744	14.8711170598362	13.2075064762477	13.7070099088468	14.0583308419342	12.2163334693752	13.1314899815306	14.6975737995327
M676.0887T278.8_1	12.7181149168069	13.1061268442016	13.8211518163762	13.4686182566127	12.893693946066	13.197349049851	12.8599844284162	13.3409582929252	12.8224694223933	12.9143416388235	12.4810900357739	12.811511608301	11.6416457951831	12.2958605857778	14.0912199292307	13.7002717305656	14.2371780660171	12.9869201522244	13.5642831975537	13.9681184569115	13.2789838525113	14.3170714369137	14.4519224966951	14.5246122563798	14.3952381221774	14.2869781097164	13.7543951515114	14.2580102683677	14.6820265621911
M561.2892T275.95	9.07149186897677	11.3110145626668	12.0118996380713	12.6374152643654	10.1588073467719	10.5773722734932	10.5740108963384	10.9184788928611	11.6840167908841	11.710924414785	10.9227315387388	11.2945038667755	10.4852723140293	8.95144757528325	12.3530114747072	12.5074397262834	12.9592414422035	12.2604148624898	12.5511389577409	12.2467293075811	11.7884461138796	12.6297423355542	12.3017802005094	12.5911969126536	13.2156325857358	12.8370267454984	12.4430355274221	12.3262161088446	12.9853744786989
M561.539T274.15	12.3536538573683	11.8360037396975	12.6016539231171	12.7977553375534	12.5147660784847	12.3537865922222	11.6309321517976	12.3437286188779	12.6603284979576	12.9428589084045	11.8597272740303	11.2504626237349	12.8609967268314	12.8458596538115	13.4774479245943	13.7085985527879	13.270303973123	12.9012913986898	13.8427379176368	13.0702482747158	12.7232250348955	13.4093311011542	12.4034103004778	13.2283084311278	13.6386476181282	13.1006610213083	13.4699024677315	13.404860102685	13.6560518425776
M621.447T299.34_4	15.9349888657547	15.50499945117	16.6063222498248	16.6661934829019	15.137417581843	16.0203082376993	16.3653409233834	15.9936692379249	15.902319916204	15.5951876930045	16.0240534332675	15.68808444217	15.4191467278321	15.5064761991823	14.507292720424	14.0738649843589	14.5823065096363	12.9455131699663	14.1187482704748	14.8952823372234	13.5451171794803	14.0711548039885	14.9507805617547	15.9763708609485	15.5697675497992	14.4760524195106	15.006513760185	15.0605825634408	15.2650706496946
M260.9754T50.13	15.2869085682648	15.5374413225835	15.0373653656075	15.3194095458198	14.9757340993638	15.2146298491861	15.2488059313895	14.9461766105113	14.8348930222052	14.8471341022354	15.2034469099876	15.3686970096297	15.0676282379705	14.6915132456492	14.0061515257184	14.8398076749682	14.6763169092585	14.2147093369067	14.2994983347303	14.4123034120535	14.8309664773634	14.0987257131873	14.6327699723764	14.753748297487	14.9822054612988	14.7470400103009	14.5589627714877	14.5418231303535	15.0687918681709
M580.6222T302.22_1	13.6113066279625	14.1379507642976	14.1229411718237	13.3175425324459	14.0805454928961	12.2644440292185	13.1471865466079	13.7083610283387	12.9041920158908	14.2534037025711	11.5809300613752	14.1764146037918	13.8474816876969	13.9228051276011	14.4007646128242	14.9895223164499	14.5229427988533	14.3673440531306	14.5891200532226	15.4488123341945	15.1297781497942	15.5811577964502	14.9180579933721	14.1199516026515	14.5304155743784	14.9981455105841	14.4346143625489	14.9430521130002	15.3939859332511
