sampleMetadata	gene	mouse_nb	sex	initial_name	class	batch	injectionOrder	sampleType	pca_sco1	pca_sco2	hotel_pval	miss_pval	deci_pval	id
X501f	MX2	501	F	X20180906_501P_pos_030	Bio	pos	30	sample	-16.4618677943256	8.01484739958627	0.878297043162005	0.280685461829512	0.434861757012585	X501f
X502m	MX2	502	M	X20180906_502P_pos_048	Bio	pos	48	sample	27.9464587920785	21.9350810494386	0.608138115952768	0.750506858127548	0.0374159718079909	X502m
X503m	MX2	503	M	X20180906_503P_pos_036	Bio	pos	36	sample	3.76323903203272	40.0728374851947	0.503085673195643	0.498833147280504	0.46071918522752	X503m
X506m	MX2	506	M	X20180906_506P_pos_057	Bio	pos	57	sample	6.65754072990258	23.4704777947954	0.776766461214827	0.362920018551084	0.235561901184639	X506m
X508f	MX2	508	F	X20180906_508P_pos_058	Bio	pos	58	sample	-32.4948831062425	1.97389790604282	0.67189120129288	0.401585008643403	0.410998257478358	X508f
X509f	MX2	509	F	X20180906_509P_pos_051	Bio	pos	51	sample	-15.9242116226191	-6.87837689842326	0.890502461333034	0.59539456127979	0.130937379583248	X509f
X513m	MX2	513	M	X20180906_513P_pos_017	Bio	pos	17	sample	-18.8130416765088	6.40267368887948	0.859848805451873	0.22338589517917	0.0868698489834689	X513m
X517f	MX2	517	F	X20180906_517P_pos_040	Bio	pos	40	sample	11.4317477540508	3.90865022496526	0.945611419380845	0.989259561265005	0.744802477134776	X517f
X518f	MX2	518	F	X20180906_518P_pos_027	Bio	pos	27	sample	-19.1970549640672	19.7683707273142	0.736632181372669	0.302337688072039	0.496372345910641	X518f
X521f	MX2	521	F	X20180906_521P_pos_065	Bio	pos	65	sample	-19.3695436233121	4.30683754784019	0.861242622349781	0.643175859399662	0.0150984313346056	X521f
X527m	MX2	527	M	X20180906_527P_pos_041	Bio	pos	41	sample	-0.899395776914167	-61.2128395487442	0.209588785143315	0.951511265372217	0.212557548100572	X527m
X528m	MX2	528	M	X20180906_528P_pos_064	Bio	pos	64	sample	26.9206748796267	-79.5660207509213	0.0590300353009862	0.51397994958408	0.093961374575972	X528m
X529f	MX2	529	F	X20180906_529P_pos_034	Bio	pos	34	sample	-6.00809831257664	15.2584617626312	0.892596413080029	0.336847909699148	0.487190628336458	X529f
X531f	MX2	531	F	X20180906_531P_pos_019	Bio	pos	19	sample	-59.014838230735	10.4329452803535	0.265261525376085	0.820792808153422	0.200191065519074	X531f
W616f	WT	616	F	X20180906_616P_pos_031	Bio	pos	31	sample	-64.7118489910734	15.900872819663	0.194708029249716	0.280685461829512	0.0804437035711629	W616f
W617f	WT	617	F	X20180906_617P_pos_015	Bio	pos	15	sample	-96.0641116283826	40.4727622269278	0.0208243359821347	1.74565093213896e-05	0.26022961086251	W617f
W620f	WT	620	F	X20180906_620P_pos_055	Bio	pos	55	sample	-39.0849337446048	20.9903326669812	0.469778109552484	0.401585008643403	0.456563576902532	W620f
W621f	WT	621	F	X20180906_621P_pos_043	Bio	pos	43	sample	-34.977821467482	-78.2027413995705	0.0542010603658913	0.989259561265005	0.00233057460196884	W621f
W622f	WT	622	F	X20180906_622P_pos_063	Bio	pos	63	sample	-9.5144857273475	9.47726648736394	0.929798094116593	0.932672551562287	0.300433353698443	W622f
W623f	WT	623	F	X20180906_623P_pos_049	Bio	pos	49	sample	27.2329589317097	10.3552326120077	0.722954067589442	0.679851232719051	0.265644649369032	W623f
W625m	WT	625	M	X20180906_625P_pos_037	Bio	pos	37	sample	56.8872579166488	2.59663929761285	0.302179082936625	0.677471848658863	0.0794208075401923	W625m
W627m	WT	627	M	X20180906_627P_pos_060	Bio	pos	60	sample	58.0520866478449	22.3683060293629	0.235498935731606	0.485958464437198	0.686653973372736	W627m
W628m	WT	628	M	X20180906_628P_pos_016	Bio	pos	16	sample	26.0035796027276	21.3018331590793	0.639597275512427	0.0197934292747761	0.368868662329018	W628m
W629m	WT	629	M	X20180906_629P_pos_052	Bio	pos	52	sample	-17.3829935861309	-11.3021841109451	0.844796594844893	0.531492057892467	0.057633140191514	W629m
W630m	WT	630	M	X20180906_630P_pos_029	Bio	pos	29	sample	14.0392470303363	12.4777210716433	0.868363843084387	0.291376379065206	0.449109725664153	W630m
W631m	WT	631	M	X20180906_631P_pos_022	Bio	pos	22	sample	95.4002017070224	-2.11814327339039	0.0398930356646394	0.348893230157265	0.0464927331857454	W631m
W632f	WT	632	F	X20180906_632P_pos_039	Bio	pos	39	sample	3.17487641813698	19.5228264830703	0.845918910395186	0.913871476267356	0.44754672621408	W632f
W633f	WT	633	F	X20180906_633P_pos_024	Bio	pos	24	sample	5.90045869707764	24.7012979537954	0.760094173145595	0.302337688072039	0.233237001098975	W633f
W634m	WT	634	M	X20180906_634P_pos_047	Bio	pos	47	sample	65.3058246071706	21.2440157654484	0.174949007871005	0.786680558541572	0.0280833145705639	W634m
