variableMetadata	set	gene	chromato	name	chebi_id	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	hmdb_id	pubchem_id	formula	monoisotopic_mass	inchikey	inchi	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	WT.KO_fold	WT.KO_BH	WT.KO_signif	M.F_fold	M.F_BH	M.F_signif	oplsda_vip	biosigner	mixomics
M340.1039T320.73	metabolomics_plasma_c18hyper_pos	MX2	c18hyper										NA			M340T321	340.103896079417	320.725560187977			1099	NA		11.7751998920963	7.05814796930952e-05	1	-3.62644943622084	0.0824682960852526	0	3.21147463998312	plsda, svm	-0.131826039353227
M783.8575T342.28_1	metabolomics_plasma_c18hyper_pos	MX2	c18hyper										NA			M784T342_1	783.857468612928	342.283652784672			88	575	@M784.3591T342.22_2|-13Cdb|@M784.8603T342.1|-13C	-1.82217717964457	7.05814796930952e-05	1	-0.694404693354548	0.0723071987008292	0	3.40622098981549	plsda	0
M257.0753T50.93	metabolomics_plasma_c18hyper_pos	MX2	c18hyper										NA			M257T51	257.075283216202	50.9291572338902			1338	NA		1.84006635776395	0.000206590971338115	1	-1.23304284111204	0.000898913196732725	1	2.76641287802973		-0.509446045732784
M676.5901T278.63_1	metabolomics_plasma_c18hyper_pos	MX2	c18hyper										NA			M677T279_1	676.590092305336	278.63266222687	[1163][M+1]2+		4272	517	@M676.0887T278.8_1|+13Cdb	-1.30934176038861	0.000206590971338115	1	-0.474017988030758	0.14141774628848	0	3.24488362897679	plsda	0
M676.3394T278.83_2	metabolomics_plasma_c18hyper_pos	MX2	c18hyper										NA			M676T279_2	676.339373945152	278.832383259109	[1165][M]2+		4269	519	@M676.8408T278.66_2|-13Cdb	-1.19927453891881	0.000277358864452618	1	-0.435844720920585	0.153365579536224	0	3.1805848924148	plsda	0
M561.2892T275.95	metabolomics_plasma_c18hyper_pos	MX2	c18hyper										NA			M561T276	561.289155046599	275.945278281715			4329	NA		-1.68989712398742	0.000713589630564736	1	-0.638288735922334	0.16413864575218	0	2.87910087300695	plsda	0
M676.0887T278.8_1	metabolomics_plasma_c18hyper_pos	MX2	c18hyper										NA			M676T279_1	676.088693506518	278.797038686971	[1163][M]2+		4266	517	@M676.5901T278.63_1|-13Cdb	-1.21010741445437	0.000982332049140573	1	-0.4608304079857	0.175030685585219	0	3.10383175076303		0
M580.6222T302.22_1	metabolomics_plasma_c18hyper_pos	MX2	c18hyper										NA			M581T302_1	580.622195784883	302.215496341989			237	NA		-1.33466698129486	0.00201860743524123	1	-0.0936221145474363	0.929817539913124	0	3.31718481535497	forest	0
M561.539T274.15	metabolomics_plasma_c18hyper_pos	MX2	c18hyper										NA			M562T274	561.539030273475	274.149813010392		[M+Na]+ 538.544	105	NA		-0.933926332081452	0.00215613720587979	1	0.397101138000421	0.0820242060679741	0	2.82357339488946		0
M440.4485T65.06	metabolomics_plasma_c18hyper_pos	MX2	c18hyper										NA			M440T65	440.448451942606	65.0592953860166			18	NA		-1.86707516753579	0.00225047820492533	1	-0.112885603697929	0.953892125144467	0	3.61339876150817		0
