dataMatrix	X501f	X502m	X503m	X506m	X508f	X509f	X513m	X517f	X518f	X521f	X527m	X528m	X529f	X531f	W616f	W617f	W620f	W621f	W622f	W623f	W625m	W627m	W628m	W629m	W630m	W631m	W632f	W633f	W634m
M242.0135T94	16.1310749479439	15.3038476260713	15.615409028674	15.1742952455387	15.8054876236838	14.4362872971073	14.8989074113806	15.08101907621	15.7908975112021	15.0704120404818	15.1736136949704	15.2913673542241	15.1110047798334	12.3965268291284	8.56988138146798	0	0	0	0	0	14.8583333192901	0	0	0	0	0	0	0	12.6542622023818
M338.089T189	16.9759663338525	16.7237163201534	17.2080020005975	16.0775767345022	16.5999183259226	13.9033896821242	15.8269541651404	16.2286393117754	16.2072788199623	16.9812836805292	16.7871329682327	16.5189762774587	16.3704154860497	15.4829964210302	7.37294120802978	10.4147353529998	0	0	0	0	15.5039719745409	6.9922996599738	0	0	10.9467628631493	0	0	0	14.7892275752169
M414.1528T340	16.5391099766178	15.9068189895235	17.3786035862724	17.5100983399163	16.6874392510606	15.3231327377454	16.2613264192369	15.7534454438746	14.2265044860411	15.40860338565	16.6585618863099	16.9583006171107	13.2447765159189	16.0561501393886	12.4755507252208	13.2744490076649	13.3772909800886	13.6320145240138	14.2704362816971	12.8975716499077	14.6964002633858	13.3983554772665	14.5117364196513	14.0401751905727	13.9434322032638	13.7990136081313	12.8940892078139	12.7335436944109	15.5746019712178
M233.0783T351	19.9321907358844	18.8002342559751	20.6784662091622	20.9817697460394	19.7574707104027	18.4651167069179	19.7484885974774	19.2790251885161	17.5426886143376	18.0194261946912	19.8274668527888	20.0537933292135	16.8086031871031	19.1942470804335	16.5488323948658	16.7996777352335	16.7180925955994	16.5224679024395	17.2911469921315	16.3347888625326	17.9809113714715	16.6993158258859	17.972211172417	17.5604365779311	17.4322005313544	17.5383896148805	16.1611907538995	16.6338135757468	18.6196060028273
M415.1563T340	13.9135885829455	12.9895040486103	14.7286269713696	14.974047534709	13.9978346581933	12.5511065063573	13.4574367400973	12.8916607959315	11.1846931818639	11.1922632802281	14.0074453574094	14.2948405629454	8.85410481326892	13.2207284311072	8.31182618029694	7.19926042506324	9.58723511421868	9.75743431634298	10.256472218771	8.51652574735104	11.3783071984349	8.3396864939699	11.7727849073903	8.27774841505372	10.2419651796303	10.2439337349041	7.35036307551053	8.40491234582267	12.5487279282139
M143.0464T350	17.7515554490859	16.8538475279429	18.4721560884146	18.8063923831442	17.6130379720475	16.3009683529849	17.5365122470888	17.1062143390387	15.3289872402226	16.0204860467822	17.6262195761243	17.8776914524524	14.2151282444149	16.9597998254063	13.9232784091806	14.8852231187267	14.4186820652555	13.2166798655114	15.0963257850935	12.3750469500716	15.8240973534498	14.1390445927139	15.894925777409	15.3589790052464	15.2644882837466	14.4606225197563	13.4453965261182	14.3151957038375	16.581339931343
M296.0741T341	18.6105135369987	17.6416938137066	19.1127269132177	19.5804205765058	18.7309723563668	17.4529245912227	18.3484141347421	17.8504882464337	16.6002762064651	16.9208708587267	18.6982424370902	18.8627338323242	15.3827330293468	17.7751377372128	15.1116312966884	15.4089325994813	15.4978896479612	15.590066688569	16.3739808709532	15.3988096182557	16.9933154734422	15.7952540250814	16.7591566402132	16.344094555195	16.3952710460556	16.4864099473348	15.236621293635	15.279992769168	17.6346846046597
M315.0029T352	21.8218992650488	20.8123016461271	22.2430300311673	22.4393816832573	21.7094390759372	20.7054644937096	21.6722809873773	21.4571111105908	20.027250224912	20.2859120785196	21.9672322683873	22.1286737267757	19.2018980054493	21.4255914100778	19.0003016752823	19.2788950604793	18.9417660526326	19.0922104448541	19.7698799177481	18.7788831743635	20.3317245418351	19.1430270021882	20.545504141992	20.0152567452731	19.8979057480966	20.1084779271934	18.5492107928373	19.3595501286374	20.9562307181405
M313.0049T352	21.8447969194072	20.8473482455148	22.2869117381025	22.4915183812839	21.754846578375	20.7575715410431	21.7338587709983	21.4892435734365	20.0677965764964	20.335234479447	21.9891327778573	22.1820973855281	19.2666747992269	21.4741736216733	19.002159145457	19.3255688021377	19.0053150098587	19.1609232667596	19.8114077514429	18.8215788876786	20.3834573067845	19.2060994228876	20.6030408502632	20.0642092194878	19.937946059024	20.1674351956519	18.6148726204505	19.4040811694849	20.9973943511286
M316.0059T352	17.9194875744987	16.9779032950697	18.3788494245176	18.5839284684681	17.8212463826995	16.8843905753392	17.8500605529526	17.6456611629283	16.2837396872445	16.473471837719	18.1804910881049	18.3229720476959	15.4224372688364	17.5809824329972	15.2898092923588	15.634657085016	15.3117167819552	15.3946505606489	16.004606945666	15.0840404913724	16.4889310390508	15.3625064000408	16.7164547875736	16.1905592800606	16.1176618548419	16.3123338375286	14.9993630558155	15.6665055452886	17.09181791509
